Orthogroup	DSIM.longest_only	DPSE.longest_only
OG0000000	LOC27208741|XP_016036703.2|DSIM	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE
OG0000000	LOC6732391|XP_002079512.1|DSIM	LOC6898698|XP_015040315.2|DPSE
OG0000000	LOC6728685|XP_002104021.1|DSIM, LOC6728686|XP_016035358.1|DSIM	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE
OG0000000	LOC6734183|XP_002081212.2|DSIM	LOC6898695|XP_002138700.2|DPSE
OG0000000	LOC6738254|XP_039150029.1|DSIM	LOC117184977|XP_033240205.1|DPSE
OG0000000	LOC6738257|XP_016032137.1|DSIM	LOC6900000|XP_002135366.3|DPSE
OG0000000	LOC6738255|XP_016032135.1|DSIM, LOC6738256|XP_002085068.1|DSIM	LOC6899999|XP_033240207.1|DPSE
OG0000000	LOC6736137|XP_002083037.1|DSIM	LOC4804691|XP_001361210.2|DPSE
OG0000000	LOC6728763|XP_002104098.1|DSIM, LOC6730296|XP_039151807.1|DSIM, LOC6730295|XP_016037057.1|DSIM	LOC6896672|XP_033232290.1|DPSE
OG0000000	LOC6730293|XP_039151545.1|DSIM	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE
OG0000000	LOC6732333|XP_039152942.1|DSIM	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE
OG0000000	LOC6729069|XP_016035716.1|DSIM	LOC6897227|XP_002137399.2|DPSE
OG0000000	LOC6732608|XP_002079727.1|DSIM	LOC6902907|XP_033236216.1|DPSE
OG0000000	LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE
OG0000000	LOC6736070|XP_039148852.1|DSIM	LOC6896813|XP_033232366.1|DPSE
OG0000000	LOC6729989|XP_002105283.1|DSIM	LOC4801605|XP_001358672.2|DPSE
OG0000001	LOC120284346|XP_039147371.1|DSIM	LOC117184744|XP_033239458.1|DPSE
OG0000001	LOC120284769|XP_039149499.1|DSIM, LOC120284971|XP_039150785.1|DSIM	LOC117185672|XP_033241852.1|DPSE, LOC117184861|XP_033239816.1|DPSE
OG0000001	LOC120284706|XP_039149044.1|DSIM	LOC117184985|XP_033240229.1|DPSE
OG0000002	LOC6735666|XP_002082584.2|DSIM	LOC6899110|XP_033234698.1|DPSE
