Orthogroup	DKIK.longest_only	DSIM.longest_only
OG0000000	LOC108078585|XP_017027994.1|DKIK	LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM
OG0000000	LOC108084016|XP_017035518.1|DKIK	LOC6728685|XP_002104021.1|DSIM, LOC6728686|XP_016035358.1|DSIM
OG0000000	LOC108077933|XP_017026960.1|DKIK	LOC6734183|XP_002081212.2|DSIM
OG0000000	LOC108078602|XP_017028011.1|DKIK	LOC6738254|XP_039150029.1|DSIM
OG0000000	LOC108078603|XP_017028013.1|DKIK	LOC6738257|XP_016032137.1|DSIM
OG0000000	LOC108072234|XP_017018785.1|DKIK	LOC6736137|XP_002083037.1|DSIM
OG0000000	LOC108080866|XP_017031258.1|DKIK	LOC6728763|XP_002104098.1|DSIM, LOC6730296|XP_039151807.1|DSIM
OG0000000	LOC108084391|XP_017036073.1|DKIK, LOC108084392|XP_017036074.1|DKIK	LOC6730724|XP_016023153.2|DSIM
OG0000000	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK	LOC6730293|XP_039151545.1|DSIM
OG0000000	LOC108080870|XP_017031262.1|DKIK	LOC6734251|XP_039147854.1|DSIM
OG0000000	LOC108078011|XP_017027058.1|DKIK, LOC108074649|XP_017022253.1|DKIK	LOC6736799|XP_039149212.1|DSIM
OG0000000	LOC108073703|XP_017020927.1|DKIK	LOC6730283|XP_016037045.1|DSIM
OG0000000	LOC108080896|XP_017031287.1|DKIK	LOC6732333|XP_039152942.1|DSIM
OG0000000	LOC108075384|XP_017023284.1|DKIK	LOC6729069|XP_016035716.1|DSIM
OG0000000	LOC108076851|XP_017025370.1|DKIK	LOC6732608|XP_002079727.1|DSIM
OG0000000	LOC108070814|XP_017016902.1|DKIK	LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM
OG0000000	LOC108070634|XP_017016690.1|DKIK	LOC6729989|XP_002105283.1|DSIM
OG0000000	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK	LOC6726722|XP_002102133.3|DSIM
OG0000000	LOC108078601|XP_017028010.1|DKIK	LOC6738252|XP_002085064.1|DSIM
OG0000002	LOC108082125|XP_017032915.1|DKIK	LOC6734821|XP_002081824.1|DSIM
OG0000002	LOC108085203|XP_017037209.1|DKIK	LOC6735666|XP_002082584.2|DSIM
OG0000002	LOC108085202|XP_017037207.1|DKIK	LOC6735665|XP_002082583.2|DSIM
OG0000002	LOC108082094|XP_017032879.1|DKIK	LOC6735327|XP_016028674.2|DSIM
OG0000002	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK	LOC6738777|XP_016032596.1|DSIM
OG0000002	LOC108082669|XP_017033655.1|DKIK	LOC6731201|XP_002078360.1|DSIM
OG0000003	LOC108072418|XP_017019012.1|DKIK	LOC6734558|XP_002081567.1|DSIM
OG0000003	LOC108072446|XP_017019063.1|DKIK	LOC6734561|XP_002081570.1|DSIM
OG0000003	LOC108070524|XP_017016527.1|DKIK	LOC6733269|XP_002080332.1|DSIM
OG0000003	LOC108072406|XP_017018997.1|DKIK, LOC108072404|XP_017018996.1|DKIK	LOC6734556|XP_016027664.2|DSIM
OG0000003	LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK	LOC6734559|XP_002081568.1|DSIM
OG0000003	LOC108072419|XP_017019013.1|DKIK	LOC6734554|XP_039147555.1|DSIM
OG0000003	LOC108070794|XP_017016883.1|DKIK	LOC6733557|XP_016026506.1|DSIM
OG0000003	LOC108070791|XP_017016879.1|DKIK	LOC6733555|XP_039148197.1|DSIM
OG0000003	LOC108073603|XP_017020784.1|DKIK	LOC6731100|XP_002078257.3|DSIM
OG0000004	LOC108083332|XP_017034568.1|DKIK	LOC27206793|XP_016022768.2|DSIM, LOC120285540|XP_039154131.1|DSIM, LOC120285538|XP_039154129.1|DSIM, LOC120285535|XP_039154126.1|DSIM, LOC120285537|XP_039154128.1|DSIM, LOC120285539|XP_039154130.1|DSIM, LOC120285536|XP_039154127.1|DSIM, LOC120285792|XP_039154341.1|DSIM, LOC120285796|XP_039154345.1|DSIM, LOC120285257|XP_039152608.1|DSIM, LOC120285256|XP_039152600.1|DSIM, LOC120285795|XP_039154344.1|DSIM, LOC120285791|XP_039154340.1|DSIM, LOC6733079|XP_002080156.3|DSIM, LOC120285793|XP_039154342.1|DSIM, LOC120285794|XP_039154343.1|DSIM, LOC6740700|XP_002077499.3|DSIM
OG0000005	LOC108085749|XP_017037978.1|DKIK	LOC120285806|XP_039154356.1|DSIM, LOC120285548|XP_039154138.1|DSIM, LOC120285275|XP_039152669.1|DSIM, LOC120285808|XP_039154358.1|DSIM, LOC120285276|XP_039152679.1|DSIM, LOC120285549|XP_039154139.1|DSIM, LOC27207875|XP_039154141.1|DSIM, LOC120285271|XP_039152664.1|DSIM, LOC120285267|XP_039152656.1|DSIM, LOC120285804|XP_039154354.1|DSIM, LOC6740385|XP_002077244.1|DSIM, LOC120285805|XP_039154355.1|DSIM, LOC120285550|XP_039154140.1|DSIM, LOC120285279|XP_039152693.1|DSIM, LOC120285268|XP_039152661.1|DSIM, LOC120285547|XP_039154137.1|DSIM, LOC120285807|XP_039154357.1|DSIM
OG0000006	LOC108072846|XP_017019650.1|DKIK	LOC120285264|XP_039152640.1|DSIM, LOC120285542|XP_039154132.1|DSIM, LOC120285263|XP_039152632.1|DSIM, LOC120285546|XP_039154136.1|DSIM, LOC120285800|XP_039154350.1|DSIM, LOC120285260|XP_039152620.1|DSIM, LOC120285545|XP_039154135.1|DSIM, LOC120285803|XP_039154353.1|DSIM, LOC120285801|XP_039154351.1|DSIM, LOC6740317|XP_002077189.3|DSIM, LOC120285265|XP_039152650.1|DSIM
OG0000006	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK	LOC27208095|XP_016025859.1|DSIM
OG0000007	LOC108071918|XP_017018366.1|DKIK	LOC6738477|XP_016032322.1|DSIM
OG0000007	LOC108071584|XP_017017854.1|DKIK	LOC6736956|XP_002083803.1|DSIM
OG0000007	LOC108071623|XP_017017894.1|DKIK, LOC108071566|XP_017017836.1|DKIK	LOC6736951|XP_016030595.1|DSIM
OG0000007	LOC108086265|XP_017038640.1|DKIK	LOC6731020|XP_002078181.1|DSIM
OG0000007	LOC108078491|XP_017027862.1|DKIK	LOC6733581|XP_002080635.1|DSIM
OG0000007	LOC108086266|XP_017038642.1|DKIK	LOC6731021|XP_002078182.1|DSIM
OG0000007	LOC108078726|XP_017028216.1|DKIK	LOC6737273|XP_039149649.1|DSIM
OG0000007	LOC108078727|XP_017028217.1|DKIK	LOC27206286|XP_016030986.1|DSIM
OG0000007	LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK	LOC6731019|XP_002078180.2|DSIM
OG0000007	LOC108071626|XP_017017898.1|DKIK	LOC6736957|XP_016030597.1|DSIM
OG0000007	LOC108071627|XP_017017899.1|DKIK	LOC27207276|XP_016030598.2|DSIM
OG0000008	LOC108081759|XP_017032449.1|DKIK	LOC6727443|XP_016034017.1|DSIM
OG0000008	LOC108072724|XP_017019474.1|DKIK	LOC6736744|XP_016030372.1|DSIM
OG0000008	LOC108075890|XP_017023993.1|DKIK	LOC6732025|XP_039148682.1|DSIM
OG0000008	LOC108072727|XP_017019476.1|DKIK	LOC6736742|XP_002083598.1|DSIM
OG0000008	LOC108070862|XP_017016987.1|DKIK	LOC6725212|XP_002106235.2|DSIM
OG0000008	LOC108080420|XP_017030642.1|DKIK	LOC6726999|XP_039151364.1|DSIM
OG0000008	LOC108080451|XP_017030677.1|DKIK	LOC6726998|XP_016033494.2|DSIM
OG0000008	LOC108080456|XP_017030682.1|DKIK	LOC6726996|XP_002102397.1|DSIM
OG0000008	LOC108080419|XP_017030641.1|DKIK	LOC6726997|XP_002102398.2|DSIM
OG0000008	LOC108080455|XP_017030681.1|DKIK	LOC6726995|XP_002102396.1|DSIM
