Orthogroup	DSUZ.longest_only	DBIA.longest_only
OG0000000	LOC108012249|XP_016933037.1|DSUZ	LOC108034778|XP_016965225.1|DBIA
OG0000000	LOC108012248|XP_016933036.1|DSUZ	LOC108034464|XP_016964837.1|DBIA
OG0000000	LOC108019552|XP_036669814.1|DSUZ	LOC108029324|XP_016957007.1|DBIA
OG0000000	LOC108013696|XP_016935107.1|DSUZ	LOC108029053|XP_016956604.1|DBIA
OG0000000	LOC108013925|XP_016935418.2|DSUZ	LOC108031338|XP_016960091.1|DBIA
OG0000000	LOC108019563|XP_016942889.1|DSUZ	LOC108029341|XP_016957023.1|DBIA
OG0000000	LOC118877230|XP_036670644.1|DSUZ	LOC108034429|XP_016964803.1|DBIA
OG0000000	LOC108007474|XP_036670349.1|DSUZ	LOC108034424|XP_016964798.1|DBIA
OG0000000	LOC108018332|XP_016941362.2|DSUZ	LOC108034427|XP_016964800.1|DBIA
OG0000000	LOC108007476|XP_036670350.1|DSUZ	LOC108034428|XP_016964801.1|DBIA
OG0000000	LOC108007475|XP_016926645.1|DSUZ	LOC108034426|XP_016964799.1|DBIA
OG0000000	LOC108008220|XP_016927499.2|DSUZ	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC108014040|XP_016935546.2|DSUZ	LOC108024280|XP_016949667.1|DBIA
OG0000000	LOC108014081|XP_036675273.1|DSUZ	LOC108024997|XP_016950742.1|DBIA
OG0000000	LOC118878125|XP_036675508.1|DSUZ	LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA
OG0000000	LOC108012145|XP_036675462.1|DSUZ	LOC108024999|XP_016950744.1|DBIA
OG0000000	LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ	LOC108031001|XP_016959690.1|DBIA
OG0000000	LOC108016521|XP_036671132.1|DSUZ	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA
OG0000000	LOC108017700|XP_016940298.1|DSUZ	LOC108030080|XP_016958186.1|DBIA
OG0000000	LOC108011960|XP_036678587.1|DSUZ	LOC108033578|XP_016963412.1|DBIA
OG0000000	LOC108012138|XP_036675463.1|DSUZ	LOC108025172|XP_016950938.1|DBIA
OG0000000	LOC108012139|XP_036675579.1|DSUZ	LOC108025165|XP_016950931.1|DBIA
OG0000000	LOC108012154|XP_036675464.1|DSUZ	LOC108025419|XP_016951390.1|DBIA
OG0000000	LOC108011715|XP_016932464.1|DSUZ, LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ	LOC108032345|XP_016961644.1|DBIA
OG0000000	LOC108011579|XP_036673946.1|DSUZ	LOC108023058|XP_016947798.1|DBIA
OG0000000	LOC108013429|XP_016934786.2|DSUZ	LOC108033274|XP_016963030.1|DBIA
OG0000000	LOC108008212|XP_016927490.1|DSUZ	LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA
OG0000000	LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ	LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA
OG0000000	LOC108020157|XP_036673587.1|DSUZ	LOC108024473|XP_016949882.1|DBIA
OG0000000	LOC118878061|XP_036675143.1|DSUZ	LOC108032904|XP_016962446.1|DBIA
OG0000000	LOC108007479|XP_036670397.1|DSUZ	LOC108034432|XP_016964806.1|DBIA
OG0000000	LOC118877197|XP_036670391.1|DSUZ, LOC108007478|XP_016926649.1|DSUZ	LOC108034431|XP_016964805.1|DBIA
OG0000000	LOC108007477|XP_016926648.2|DSUZ	LOC108034430|XP_016964804.1|DBIA
OG0000000	LOC108007738|XP_016926982.2|DSUZ	LOC108027980|XP_016955095.1|DBIA
OG0000000	LOC108021799|XP_036676928.1|DSUZ	LOC108032244|XP_016961600.1|DBIA
OG0000001	LOC118878795|XP_036677709.1|DSUZ, LOC118879348|XP_036678093.1|DSUZ	LOC108030270|XP_016958969.1|DBIA
OG0000002	LOC108008721|XP_016928110.1|DSUZ	LOC108036386|XP_016967980.1|DBIA
OG0000002	LOC108009088|XP_016928634.1|DSUZ	LOC108022558|XP_016947041.1|DBIA
OG0000002	LOC108009087|XP_016928633.1|DSUZ	LOC108022153|XP_016946484.1|DBIA
OG0000002	LOC108011106|XP_016931667.2|DSUZ	LOC108028911|XP_016956419.1|DBIA
OG0000002	LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ	LOC108029010|XP_016956543.1|DBIA
OG0000002	LOC108005528|XP_016924310.2|DSUZ	LOC108028819|XP_016956295.1|DBIA
OG0000002	LOC108006739|XP_016925771.1|DSUZ	LOC108027026|XP_016953710.1|DBIA
OG0000002	LOC108005537|XP_016924320.2|DSUZ	LOC108028092|XP_016955225.1|DBIA
OG0000002	LOC108009013|XP_016928477.1|DSUZ	LOC108027710|XP_016954748.1|DBIA
OG0000002	LOC108009683|XP_016929720.1|DSUZ, LOC108009469|XP_016929341.1|DSUZ	LOC108033431|XP_016963245.1|DBIA
OG0000002	LOC118876801|XP_036668620.1|DSUZ	LOC108027704|XP_016954743.1|DBIA
OG0000002	LOC108021294|XP_016945474.2|DSUZ	LOC108029040|XP_016956580.1|DBIA
OG0000003	LOC108008945|XP_016928345.1|DSUZ	LOC108030370|XP_016958727.1|DBIA
OG0000003	LOC108008944|XP_016928343.1|DSUZ	LOC108030025|XP_016958054.1|DBIA
OG0000003	LOC118877697|XP_036673424.1|DSUZ	LOC108024348|XP_016949739.1|DBIA
OG0000003	LOC108008943|XP_016928342.1|DSUZ	LOC108030024|XP_016958053.1|DBIA
OG0000003	LOC108018006|XP_016940848.1|DSUZ	LOC108030125|XP_016958318.1|DBIA
OG0000003	LOC108008949|XP_016928349.1|DSUZ	LOC108030172|XP_016958401.1|DBIA
OG0000003	LOC108008948|XP_016928348.1|DSUZ	LOC108029856|XP_016957835.1|DBIA
OG0000003	LOC108008946|XP_016928346.1|DSUZ, LOC108008150|XP_016927428.2|DSUZ	LOC108030023|XP_016958052.1|DBIA, LOC108029857|XP_016957836.1|DBIA, LOC108029859|XP_016957838.1|DBIA
OG0000003	LOC108008950|XP_016928350.1|DSUZ	LOC108030173|XP_016958402.1|DBIA
