Orthogroup	DMAU.longest_only	DSEC.longest_only
OG0000000	LOC117141546|XP_033160941.1|DMAU	LOC6605054|XP_032575159.1|DSEC
OG0000000	LOC117145695|XP_033167327.1|DMAU	LOC6612593|XP_002037098.2|DSEC
OG0000000	LOC117138434|XP_033156436.1|DMAU	LOC116800509|XP_032571804.1|DSEC
OG0000000	LOC117149958|XP_033172750.1|DMAU	LOC6611330|XP_002035877.1|DSEC
OG0000000	LOC117145817|XP_033167509.1|DMAU	LOC6606995|XP_002031784.1|DSEC
OG0000000	LOC117138309|XP_033156204.1|DMAU	LOC6608865|XP_002033579.1|DSEC
OG0000000	LOC117139148|XP_033157197.1|DMAU	LOC6605884|XP_032575999.1|DSEC
OG0000000	LOC117139149|XP_033157198.1|DMAU	LOC6605885|XP_032575997.1|DSEC
OG0000000	LOC117140540|XP_033159421.1|DMAU	LOC116801306|XP_032575998.1|DSEC
OG0000000	LOC117138648|XP_033156758.1|DMAU	LOC6618886|XP_002043134.2|DSEC
OG0000000	LOC117144786|XP_033166045.1|DMAU	LOC6607083|XP_032579519.1|DSEC
OG0000000	LOC117142325|XP_033162128.1|DMAU	LOC6612938|XP_032579196.1|DSEC
OG0000000	LOC117142327|XP_033162129.1|DMAU	LOC6612936|XP_002037428.1|DSEC
OG0000000	LOC117136304|XP_033153082.1|DMAU	LOC6611813|XP_002036335.1|DSEC
OG0000000	LOC117145451|XP_033167010.1|DMAU	LOC6607813|XP_032578052.1|DSEC
OG0000000	LOC117137412|XP_033154732.1|DMAU	LOC6608931|XP_002033645.2|DSEC
OG0000000	LOC117138341|XP_033156269.1|DMAU	LOC6609340|XP_032572102.1|DSEC
OG0000000	LOC117140233|XP_033158923.1|DMAU	LOC6610755|XP_032574828.1|DSEC
OG0000000	LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU	LOC6616347|XP_002040707.1|DSEC
OG0000000	LOC117136161|XP_033152774.1|DMAU	LOC116800542|XP_032571951.1|DSEC
OG0000000	LOC117139179|XP_033157239.1|DMAU	LOC116801073|XP_032574487.1|DSEC
OG0000000	LOC117145744|XP_033167397.1|DMAU	LOC6612926|XP_032578042.1|DSEC
OG0000000	LOC117145225|XP_033166688.1|DMAU	LOC6612925|XP_002037417.1|DSEC
OG0000000	LOC117145856|XP_033167567.1|DMAU	LOC116801718|XP_032578762.1|DSEC
OG0000000	LOC117150929|XP_033173982.1|DMAU	LOC6614481|XP_002038914.1|DSEC
OG0000000	LOC117137329|XP_033154610.1|DMAU, LOC117137328|XP_033154609.1|DMAU	LOC6609904|XP_032570140.1|DSEC
OG0000000	LOC117138584|XP_033156654.1|DMAU	LOC6609905|XP_032572518.1|DSEC
OG0000000	LOC117138016|XP_033155711.1|DMAU	LOC6618816|XP_002043065.1|DSEC
OG0000000	LOC117146038|XP_033167862.1|DMAU	LOC6612634|XP_002037138.2|DSEC
OG0000000	LOC117145160|XP_033166598.1|DMAU	LOC6613854|XP_002038323.1|DSEC
OG0000002	LOC117138082|XP_033155798.1|DMAU	LOC6609498|XP_002034183.1|DSEC
OG0000002	LOC117135907|XP_033152364.1|DMAU	LOC6615482|XP_002039862.2|DSEC
OG0000002	LOC117135906|XP_033152363.1|DMAU	LOC6615481|XP_002039861.2|DSEC
OG0000002	LOC117136987|XP_033154052.1|DMAU	LOC6610018|XP_032572286.1|DSEC
OG0000002	LOC117149870|XP_033172720.1|DMAU	LOC6611325|XP_002035872.2|DSEC
OG0000002	LOC117140283|XP_033159002.1|DMAU	LOC6619439|XP_032575015.1|DSEC
OG0000002	LOC117136934|XP_033153971.1|DMAU	LOC6613615|XP_032570344.1|DSEC
OG0000003	LOC117136850|XP_033153839.1|DMAU	LOC6609226|XP_032570279.1|DSEC
OG0000003	LOC117137895|XP_033155524.1|DMAU	LOC6609227|XP_002033918.2|DSEC
OG0000003	LOC117145313|XP_033166799.1|DMAU	LOC6617182|XP_002041509.2|DSEC
OG0000003	LOC117137897|XP_033155527.1|DMAU	LOC6609229|XP_032570278.1|DSEC
OG0000003	LOC117136364|XP_033153130.1|DMAU	LOC6607893|XP_002032647.1|DSEC
OG0000003	LOC117136849|XP_033153838.1|DMAU	LOC6609222|XP_002033913.1|DSEC
OG0000003	LOC117138513|XP_033156538.1|DMAU	LOC6609223|XP_002033914.2|DSEC
OG0000003	LOC117137674|XP_033155124.1|DMAU	LOC116800691|XP_032572969.1|DSEC
OG0000003	LOC117136851|XP_033153841.1|DMAU	LOC6609221|XP_002033912.1|DSEC
OG0000003	LOC117137104|XP_033154281.1|DMAU	LOC6608196|XP_002032941.1|DSEC
OG0000003	LOC117137102|XP_033154279.1|DMAU	LOC6608194|XP_002032939.1|DSEC
OG0000003	LOC117138777|XP_033156858.1|DMAU	LOC6613508|XP_002037976.1|DSEC
