Orthogroup	AEAL.longest_only	SLEB.longest_only
OG0000001	LOC115257059|XP_029712178.1|AEAL, LOC115266193|XP_029728020.1|AEAL, LOC115267598|XP_029730563.1|AEAL, LOC109398597|XP_029729814.1|AEAL, LOC115262790|XP_029721536.1|AEAL, LOC115263536|XP_029722631.1|AEAL, LOC115260919|XP_029718140.1|AEAL, LOC115268204|XP_029732116.1|AEAL, LOC115270912|XP_029736109.1|AEAL, LOC115255462|XP_029709446.1|AEAL, LOC115261307|XP_029718578.1|AEAL, LOC115259747|XP_029716391.1|AEAL, LOC115260526|XP_029717300.1|AEAL, LOC115269607|XP_029734288.1|AEAL	LOC115629498|XP_030381837.1|SLEB, LOC115629967|XP_030382445.1|SLEB, LOC115626877|XP_030378247.1|SLEB, LOC115624479|XP_030375042.1|SLEB, LOC115627092|XP_030378504.1|SLEB, LOC115621673|XP_030371244.1|SLEB, LOC115628198|XP_030380053.1|SLEB
OG0000002	LOC115263125|XP_029721902.1|AEAL, LOC109430246|XP_019561842.2|AEAL, LOC109416944|XP_019546605.2|AEAL, LOC115265443|XP_029726462.1|AEAL, LOC109426996|XP_019558100.2|AEAL, LOC109411377|XP_019540446.2|AEAL, LOC115266493|XP_029728592.1|AEAL, LOC109403760|XP_019532176.2|AEAL, LOC109416948|XP_019546608.2|AEAL, LOC109400072|XP_019528089.2|AEAL, LOC109621611|XP_019931245.2|AEAL	LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB
OG0000004	LOC115255472|XP_029709456.1|AEAL	LOC115633464|XP_030386779.1|SLEB, LOC115633591|XP_030386895.1|SLEB, LOC115630342|XP_030382736.1|SLEB
OG0000005	LOC115255470|XP_029709453.1|AEAL, LOC115262910|XP_029721668.1|AEAL, LOC109621766|XP_019931446.2|AEAL, LOC115265236|XP_029725377.1|AEAL, LOC115263152|XP_029721939.1|AEAL, LOC115261259|XP_029718493.1|AEAL, LOC115261266|XP_029718501.1|AEAL, LOC115261255|XP_029718489.1|AEAL, LOC115261257|XP_029718491.1|AEAL, LOC115261289|XP_029718530.1|AEAL, LOC115261597|XP_029719357.1|AEAL, LOC115261594|XP_029719355.1|AEAL, LOC115261223|XP_029718457.1|AEAL, LOC115261254|XP_029718488.1|AEAL, LOC115261256|XP_029718490.1|AEAL, LOC115261258|XP_029718492.1|AEAL, LOC115261260|XP_029718495.1|AEAL, LOC109398605|XP_019526537.1|AEAL, LOC109398661|XP_029714684.1|AEAL	LOC115630139|XP_030382607.1|SLEB, LOC115633501|XP_030386823.1|SLEB
OG0000006	LOC109431221|XP_019562978.1|AEAL, LOC109621653|XP_019931303.1|AEAL	LOC115630364|XP_030382757.1|SLEB
OG0000006	LOC109621651|XP_019931301.1|AEAL	LOC115630130|XP_030382598.1|SLEB
OG0000006	LOC109431220|XP_019562977.1|AEAL, LOC115261264|XP_029718499.1|AEAL, LOC115261271|XP_029718506.1|AEAL, LOC115261261|XP_029718496.1|AEAL, LOC115261224|XP_029718458.1|AEAL, LOC115261225|XP_029718459.1|AEAL, LOC115261263|XP_029718498.1|AEAL, LOC115261262|XP_029718497.1|AEAL, LOC115261290|XP_029718531.1|AEAL, LOC115263330|XP_029722488.1|AEAL, LOC109418596|XP_019548347.2|AEAL, LOC115261265|XP_029718500.1|AEAL, LOC115261270|XP_029718504.1|AEAL	LOC115630278|XP_030382673.1|SLEB
OG0000006	LOC109431223|XP_019562981.1|AEAL	LOC115630135|XP_030382603.1|SLEB
OG0000007	LOC109417624|XP_019547214.2|AEAL, LOC109417822|XP_019547546.2|AEAL, LOC109417827|XP_019547550.2|AEAL	LOC115629771|XP_030382185.1|SLEB, LOC115633152|XP_030386421.1|SLEB, LOC115633153|XP_030386422.1|SLEB, LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB, LOC115633111|XP_030386356.1|SLEB, LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB, LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB, LOC115630750|XP_030383265.1|SLEB
OG0000008	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL, LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL	LOC115623801|XP_030374203.1|SLEB
