Orthogroup	DSIM.longest_only	DSUB.longest_only
OG0000000	LOC27208741|XP_016036703.2|DSIM	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB
OG0000000	LOC6728685|XP_002104021.1|DSIM, LOC6728686|XP_016035358.1|DSIM	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB
OG0000000	LOC6734183|XP_002081212.2|DSIM	LOC117889909|XP_034650326.1|DSUB
OG0000000	LOC6738254|XP_039150029.1|DSIM	LOC117893407|XP_034655897.1|DSUB
OG0000000	LOC6738257|XP_016032137.1|DSIM	LOC117893701|XP_034656280.1|DSUB
OG0000000	LOC6738255|XP_016032135.1|DSIM, LOC6738256|XP_002085068.1|DSIM	LOC117893403|XP_034655894.1|DSUB
OG0000000	LOC6736137|XP_002083037.1|DSIM	LOC117892287|XP_034654298.1|DSUB
OG0000000	LOC6728763|XP_002104098.1|DSIM, LOC6730296|XP_039151807.1|DSIM, LOC6730295|XP_016037057.1|DSIM	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB
OG0000000	LOC6730293|XP_039151545.1|DSIM	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB
OG0000000	LOC6734670|XP_039148016.1|DSIM	LOC117899299|XP_034665108.1|DSUB
OG0000000	LOC6732333|XP_039152942.1|DSIM	LOC117899382|XP_034665255.1|DSUB, LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB
OG0000000	LOC6729069|XP_016035716.1|DSIM	LOC117896020|XP_034659918.1|DSUB
OG0000000	LOC6732608|XP_002079727.1|DSIM	LOC117901385|XP_034668002.1|DSUB
OG0000000	LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB
OG0000000	LOC6729989|XP_002105283.1|DSIM	LOC117897324|XP_034661985.1|DSUB
OG0000002	LOC6735666|XP_002082584.2|DSIM	LOC117891991|XP_034653760.1|DSUB
OG0000002	LOC6735665|XP_002082583.2|DSIM	LOC117891990|XP_034653758.1|DSUB
OG0000002	LOC6731201|XP_002078360.1|DSIM	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB
OG0000003	LOC6734558|XP_002081567.1|DSIM, LOC6734560|XP_016027665.1|DSIM	LOC117890983|XP_034652023.1|DSUB
OG0000003	LOC6729847|XP_016036585.1|DSIM, LOC6734561|XP_002081570.1|DSIM	LOC117890985|XP_034652025.1|DSUB
OG0000003	LOC6733269|XP_002080332.1|DSIM	LOC117890142|XP_034650721.1|DSUB
OG0000003	LOC6734555|XP_002081564.3|DSIM	LOC117890987|XP_034652029.1|DSUB
OG0000003	LOC6734559|XP_002081568.1|DSIM	LOC117890986|XP_034652027.1|DSUB
OG0000003	LOC6734554|XP_039147555.1|DSIM	LOC117890988|XP_034652030.1|DSUB
OG0000003	LOC6733557|XP_016026506.1|DSIM	LOC117890991|XP_034652033.1|DSUB
OG0000003	LOC6733555|XP_039148197.1|DSIM	LOC117890982|XP_034652022.1|DSUB
OG0000003	LOC6731100|XP_002078257.3|DSIM	LOC117900241|XP_034666421.1|DSUB
OG0000005	LOC120285806|XP_039154356.1|DSIM, LOC120285548|XP_039154138.1|DSIM, LOC120285275|XP_039152669.1|DSIM, LOC120285808|XP_039154358.1|DSIM, LOC120285276|XP_039152679.1|DSIM, LOC120285549|XP_039154139.1|DSIM, LOC27207875|XP_039154141.1|DSIM, LOC120285271|XP_039152664.1|DSIM, LOC120285267|XP_039152656.1|DSIM, LOC120285804|XP_039154354.1|DSIM, LOC6740385|XP_002077244.1|DSIM, LOC120285805|XP_039154355.1|DSIM, LOC120285550|XP_039154140.1|DSIM, LOC120285279|XP_039152693.1|DSIM, LOC120285268|XP_039152661.1|DSIM, LOC120285547|XP_039154137.1|DSIM, LOC120285807|XP_039154357.1|DSIM	LOC117901442|XP_034668076.1|DSUB
OG0000006	LOC120285545|XP_039154135.1|DSIM	LOC117901441|XP_034668075.1|DSUB
OG0000006	LOC120285801|XP_039154351.1|DSIM	LOC117902681|XP_034670104.1|DSUB
OG0000007	LOC6738477|XP_016032322.1|DSIM	LOC117894702|XP_034657776.1|DSUB
OG0000007	LOC6736956|XP_002083803.1|DSIM	LOC117894589|XP_034657628.1|DSUB
OG0000007	LOC6731020|XP_002078181.1|DSIM	LOC117900834|XP_034667236.1|DSUB
OG0000007	LOC6733581|XP_002080635.1|DSIM	LOC117890133|XP_034650711.1|DSUB
OG0000007	LOC6730230|XP_002105513.1|DSIM, LOC6740467|XP_002077312.3|DSIM, LOC6730231|XP_002105514.2|DSIM, LOC120284928|XP_039150400.1|DSIM, LOC6730135|XP_039150399.1|DSIM	LOC117897982|XP_034662985.1|DSUB
