Orthogroup	DPSE.longest_only	DSIM.longest_only
OG0000000	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE	LOC27208741|XP_016036703.2|DSIM
OG0000000	LOC6898698|XP_015040315.2|DPSE	LOC6732391|XP_002079512.1|DSIM
OG0000000	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE	LOC6728685|XP_002104021.1|DSIM, LOC6728686|XP_016035358.1|DSIM
OG0000000	LOC6898695|XP_002138700.2|DPSE	LOC6734183|XP_002081212.2|DSIM
OG0000000	LOC117184977|XP_033240205.1|DPSE	LOC6738254|XP_039150029.1|DSIM
OG0000000	LOC6900000|XP_002135366.3|DPSE	LOC6738257|XP_016032137.1|DSIM
OG0000000	LOC6899999|XP_033240207.1|DPSE	LOC6738255|XP_016032135.1|DSIM, LOC6738256|XP_002085068.1|DSIM
OG0000000	LOC4804691|XP_001361210.2|DPSE	LOC6736137|XP_002083037.1|DSIM
OG0000000	LOC6896672|XP_033232290.1|DPSE	LOC6728763|XP_002104098.1|DSIM, LOC6730296|XP_039151807.1|DSIM, LOC6730295|XP_016037057.1|DSIM
OG0000000	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE	LOC6730293|XP_039151545.1|DSIM
OG0000000	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE	LOC6732333|XP_039152942.1|DSIM
OG0000000	LOC6897227|XP_002137399.2|DPSE	LOC6729069|XP_016035716.1|DSIM
OG0000000	LOC6902907|XP_033236216.1|DPSE	LOC6732608|XP_002079727.1|DSIM
OG0000000	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE	LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM
