Orthogroup	DYAK.longest_only	DNOV.longest_only
OG0000000	LOC6532541|XP_002093287.2|DYAK	LOC115769480|XP_030570157.1|DNOV
OG0000000	LOC120321802|XP_039231662.1|DYAK, LOC26536205|XP_015052957.2|DYAK, LOC6529038|XP_002090069.2|DYAK	LOC115758064|XP_030554438.1|DNOV
OG0000000	LOC6530087|XP_002091033.1|DYAK	LOC115760506|XP_030557727.1|DNOV
OG0000000	LOC6535098|XP_002095761.2|DYAK	LOC115762880|XP_030561115.1|DNOV
OG0000000	LOC6532052|XP_039228287.1|DYAK, LOC6532051|XP_039228285.1|DYAK, LOC6532054|XP_039228543.1|DYAK, LOC6530976|XP_002091814.2|DYAK, LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK, LOC6538114|XP_002098649.1|DYAK	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000000	LOC6535316|XP_002095972.1|DYAK, LOC6539519|XP_002086405.1|DYAK, LOC6539518|XP_039230304.1|DYAK	LOC115762365|XP_030560399.1|DNOV
OG0000001	LOC120320646|XP_039226853.1|DYAK	LOC115763936|XP_030562591.1|DNOV, LOC115763934|XP_030562589.1|DNOV, LOC115763935|XP_030562590.1|DNOV
OG0000001	LOC120320711|XP_039227061.1|DYAK, LOC120320699|XP_039227017.1|DYAK	LOC115768652|XP_030569188.1|DNOV
OG0000002	LOC6531354|XP_002092157.1|DYAK	LOC115758620|XP_030555217.1|DNOV
OG0000002	LOC6530517|XP_002091432.3|DYAK	LOC115759079|XP_030555811.1|DNOV
OG0000002	LOC6530518|XP_002091433.1|DYAK	LOC115762794|XP_030561011.1|DNOV
OG0000002	LOC6526775|XP_002087878.2|DYAK	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV
OG0000002	LOC6527104|XP_002088197.3|DYAK	LOC115759342|XP_030556121.1|DNOV
OG0000003	LOC6530460|XP_002091376.2|DYAK, LOC6530462|XP_002091378.1|DYAK	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC6530458|XP_002091374.1|DYAK, LOC6530457|XP_002091373.1|DYAK	LOC115771231|XP_030572696.1|DNOV
OG0000003	LOC6528608|XP_002089651.1|DYAK	LOC115762286|XP_030560313.1|DNOV
OG0000003	LOC6528606|XP_002089649.1|DYAK, LOC120320435|XP_002089650.1|DYAK	LOC115771912|XP_030573666.1|DNOV
OG0000003	LOC6528128|XP_002089195.3|DYAK	LOC115758743|XP_030555359.1|DNOV
