Orthogroup	DSUB.longest_only	SLEB.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB, LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB, LOC117898485|XP_034663813.1|DSUB, LOC117890871|XP_034651851.1|DSUB, LOC117889909|XP_034650326.1|DSUB	LOC115634408|XP_030387964.1|SLEB
OG0000000	LOC117893407|XP_034655897.1|DSUB, LOC117893701|XP_034656280.1|DSUB, LOC117893403|XP_034655894.1|DSUB	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB
OG0000000	LOC117892287|XP_034654298.1|DSUB	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB
OG0000000	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB	LOC115625399|XP_030376298.1|SLEB
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB
OG0000000	LOC117897324|XP_034661985.1|DSUB	LOC115632651|XP_030385741.1|SLEB
OG0000001	LOC117902179|XP_034669231.1|DSUB	LOC115629498|XP_030381837.1|SLEB, LOC115629967|XP_030382445.1|SLEB, LOC115626877|XP_030378247.1|SLEB, LOC115624479|XP_030375042.1|SLEB, LOC115627092|XP_030378504.1|SLEB, LOC115621673|XP_030371244.1|SLEB, LOC115628198|XP_030380053.1|SLEB
OG0000002	LOC117891710|XP_034653195.1|DSUB	LOC115634390|XP_030387939.1|SLEB
OG0000002	LOC117900215|XP_034666390.1|DSUB	LOC115633967|XP_030387348.1|SLEB
OG0000002	LOC117901078|XP_034667581.1|DSUB	LOC115626113|XP_030377229.1|SLEB
OG0000002	LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB	LOC115624495|XP_030375058.1|SLEB
OG0000003	LOC117890983|XP_034652023.1|DSUB	LOC115620029|XP_030368994.1|SLEB
OG0000003	LOC117890985|XP_034652025.1|DSUB	LOC115620049|XP_030369030.1|SLEB
OG0000003	LOC117890142|XP_034650721.1|DSUB	LOC115634646|XP_030388364.1|SLEB
OG0000003	LOC117890982|XP_034652022.1|DSUB	LOC115619981|XP_030368881.1|SLEB
OG0000003	LOC117900241|XP_034666421.1|DSUB	LOC115628616|XP_030380660.1|SLEB
OG0000005	LOC117901442|XP_034668076.1|DSUB	LOC115630131|XP_030382599.1|SLEB, LOC115630138|XP_030382606.1|SLEB, LOC115630291|XP_030382687.1|SLEB, LOC115630298|XP_030382696.1|SLEB, LOC115630315|XP_030382713.1|SLEB, LOC115630295|XP_030382692.1|SLEB, LOC115630320|XP_030382719.1|SLEB, LOC115633453|XP_030386768.1|SLEB, LOC115633454|XP_030386769.1|SLEB, LOC115630356|XP_030382750.1|SLEB, LOC115630307|XP_030382704.1|SLEB, LOC115630346|XP_030382739.1|SLEB, LOC115630288|XP_030382683.1|SLEB, LOC115630258|XP_030382653.1|SLEB, LOC115630317|XP_030382714.1|SLEB, LOC115630282|XP_030382678.1|SLEB, LOC115630355|XP_030382749.1|SLEB, LOC115630321|XP_030382720.1|SLEB, LOC115630285|XP_030382681.1|SLEB, LOC115630367|XP_030382760.1|SLEB, LOC115630139|XP_030382607.1|SLEB, LOC115633501|XP_030386823.1|SLEB, LOC115630283|XP_030382679.1|SLEB, LOC115630365|XP_030382758.1|SLEB, LOC115630137|XP_030382605.1|SLEB, LOC115630358|XP_030382752.1|SLEB
OG0000006	LOC117901441|XP_034668075.1|DSUB	LOC115630364|XP_030382757.1|SLEB
OG0000007	LOC117894702|XP_034657776.1|DSUB	LOC115633152|XP_030386421.1|SLEB
OG0000007	LOC117894589|XP_034657628.1|DSUB	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB
OG0000007	LOC117890133|XP_034650711.1|DSUB	LOC115633111|XP_030386356.1|SLEB
OG0000007	LOC117900835|XP_034667237.1|DSUB	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB
OG0000007	LOC117894709|XP_034657781.1|DSUB, LOC117901609|XP_034668319.1|DSUB	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB
OG0000007	LOC117894591|XP_034657631.1|DSUB, LOC117894593|XP_034657634.1|DSUB	LOC115630750|XP_030383265.1|SLEB
OG0000008	LOC117896362|XP_034660529.1|DSUB	LOC115623801|XP_030374203.1|SLEB
OG0000008	LOC117895169|XP_034658523.1|DSUB	LOC115628395|XP_030380343.1|SLEB
OG0000008	LOC117895168|XP_034658522.1|DSUB	LOC115628400|XP_030380349.1|SLEB
OG0000008	LOC117902083|XP_034669067.1|DSUB	LOC115631184|XP_030383735.1|SLEB
OG0000008	LOC117895171|XP_034658525.1|DSUB	LOC115628403|XP_030380351.1|SLEB
OG0000008	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB
OG0000008	LOC117898640|XP_034664094.1|DSUB	LOC115623587|XP_030373847.1|SLEB
OG0000008	LOC117898631|XP_034664083.1|DSUB	LOC115624340|XP_030374852.1|SLEB
OG0000008	LOC117898634|XP_034664087.1|DSUB	LOC115624344|XP_030374855.1|SLEB
OG0000008	LOC117898636|XP_034664090.1|DSUB	LOC115623612|XP_030373889.1|SLEB
OG0000009	LOC117896628|XP_034660961.1|DSUB	LOC115624173|XP_030374629.1|SLEB
OG0000009	LOC117898287|XP_034663434.1|DSUB	LOC115624028|XP_030374465.1|SLEB
OG0000009	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB
OG0000009	LOC117892376|XP_034654476.1|DSUB	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB
OG0000010	LOC117899454|XP_034665355.1|DSUB	LOC115625114|XP_030375880.1|SLEB
OG0000012	LOC117892204|XP_034654190.1|DSUB	LOC115626791|XP_030378121.1|SLEB
OG0000012	LOC117892205|XP_034654193.1|DSUB	LOC115634820|XP_030388598.1|SLEB
OG0000012	LOC117892198|XP_034654182.1|DSUB	LOC115624523|XP_030375106.1|SLEB
OG0000012	LOC117892199|XP_034654185.1|DSUB	LOC115632632|XP_030385725.1|SLEB
OG0000012	LOC117891062|XP_034652125.1|DSUB, LOC117891063|XP_034652127.1|DSUB, LOC117891061|XP_034652124.1|DSUB	LOC115630730|XP_030383248.1|SLEB
OG0000012	LOC117891058|XP_034652122.1|DSUB, LOC117891064|XP_034652128.1|DSUB	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC117890717|XP_034651649.1|DSUB	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC117896187|XP_034660170.1|DSUB	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC117896516|XP_034660775.1|DSUB	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC117895334|XP_034658799.1|DSUB	LOC115623047|XP_030373085.1|SLEB
OG0000013	LOC117898536|XP_034663901.1|DSUB	LOC115621092|XP_030370486.1|SLEB
OG0000013	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB	LOC115624312|XP_030374797.1|SLEB
OG0000013	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000015	LOC117902318|XP_034669497.1|DSUB	LOC115628471|XP_030380453.1|SLEB
OG0000016	LOC117899529|XP_034665488.1|DSUB	LOC115621740|XP_030371332.1|SLEB
OG0000016	LOC117889984|XP_034650458.1|DSUB	LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC117898309|XP_034663475.1|DSUB	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC117892105|XP_034654005.1|DSUB	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB
OG0000016	LOC117903845|XP_034672195.1|DSUB	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC117890476|XP_034651231.1|DSUB	LOC115634608|XP_030388318.1|SLEB
OG0000016	LOC117898432|XP_034663715.1|DSUB	LOC115621272|XP_030370732.1|SLEB
OG0000016	LOC117893424|XP_034655932.1|DSUB	LOC115634447|XP_030388017.1|SLEB
OG0000017	LOC117892719|XP_034655033.1|DSUB	LOC115627671|XP_030379272.1|SLEB
OG0000017	LOC117890423|XP_034651134.1|DSUB	LOC115619974|XP_030368869.1|SLEB
OG0000017	LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB
OG0000017	LOC117891086|XP_034652156.1|DSUB	LOC115630526|XP_030382993.1|SLEB
OG0000017	LOC117890435|XP_034651155.1|DSUB	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB
