Orthogroup	AEAL.longest_only	CQUI.longest_only
OG0000001	LOC115258813|XP_029715105.1|AEAL	LOC119770310|XP_038120887.1|CQUI
OG0000001	LOC115255933|XP_029710011.1|AEAL	LOC119766275|XP_038106648.1|CQUI, LOC119766040|XP_038106322.1|CQUI, LOC119766283|XP_038106661.1|CQUI, LOC119770479|XP_038121387.1|CQUI, LOC119769226|XP_038117080.1|CQUI, LOC119770798|XP_038122239.1|CQUI, LOC119765595|XP_038105755.1|CQUI, LOC119769119|XP_038116947.1|CQUI
OG0000001	LOC115268193|XP_029732105.1|AEAL	LOC119766512|XP_038107029.1|CQUI, LOC119766149|XP_038106477.1|CQUI, LOC119769328|XP_038117267.1|CQUI, LOC119769161|XP_038116992.1|CQUI, LOC119766216|XP_038106583.1|CQUI, LOC119769525|XP_038118272.1|CQUI, LOC119769104|XP_038116932.1|CQUI, LOC119766097|XP_038106417.1|CQUI, LOC119769107|XP_038116936.1|CQUI, LOC119766391|XP_038106832.1|CQUI, LOC119766147|XP_038106475.1|CQUI, LOC119766225|XP_038106592.1|CQUI, LOC119770193|XP_038120567.1|CQUI, LOC119769976|XP_038119868.1|CQUI, LOC119766184|XP_038106543.1|CQUI, LOC119766189|XP_038106548.1|CQUI, LOC119766143|XP_038106470.1|CQUI, LOC119769526|XP_038118276.1|CQUI, LOC119769527|XP_038118287.1|CQUI, LOC119769364|XP_038117339.1|CQUI, LOC119769063|XP_038116884.1|CQUI, LOC119770945|XP_038122397.1|CQUI, LOC119769219|XP_038117071.1|CQUI, LOC119766213|XP_038106576.1|CQUI, LOC119769340|XP_038117295.1|CQUI, LOC119768904|XP_038116618.1|CQUI, LOC119769307|XP_038117218.1|CQUI, LOC119766495|XP_038107006.1|CQUI, LOC119767919|XP_038113822.1|CQUI, LOC119769139|XP_038116969.1|CQUI, LOC6051048|XP_038117973.1|CQUI, LOC119765926|XP_038106124.1|CQUI, LOC119769896|XP_038119619.1|CQUI
OG0000001	LOC115266839|XP_029729303.1|AEAL, LOC109406607|XP_019535244.2|AEAL, LOC109400564|XP_019528597.2|AEAL, LOC109404313|XP_029722627.1|AEAL	LOC119769071|XP_038116897.1|CQUI, LOC119766280|XP_038106655.1|CQUI
OG0000001	LOC115261991|XP_029719785.1|AEAL	LOC119769711|XP_038119095.1|CQUI
OG0000001	LOC115256684|XP_029711456.1|AEAL	LOC119768974|XP_038116762.1|CQUI, LOC119770754|XP_038122126.1|CQUI, LOC119768917|XP_038116638.1|CQUI
OG0000001	LOC109623019|XP_029710293.1|AEAL, LOC115269400|XP_029733938.1|AEAL	LOC119766026|XP_038106289.1|CQUI, LOC119771145|XP_038122496.1|CQUI, LOC119770320|XP_038120912.1|CQUI
OG0000001	LOC109422104|XP_029710301.1|AEAL	LOC119769345|XP_038117303.1|CQUI, LOC119766211|XP_038106574.1|CQUI
OG0000001	LOC115269388|XP_029733924.1|AEAL, LOC109622039|XP_029729050.1|AEAL, LOC115261584|XP_029719346.1|AEAL, LOC109405551|XP_019534182.2|AEAL, LOC115256176|XP_029710296.1|AEAL, LOC109426131|XP_029734345.1|AEAL	LOC119770306|XP_038120868.1|CQUI
OG0000001	LOC115262999|XP_029721807.1|AEAL, LOC115256498|XP_029711026.1|AEAL	LOC119768973|XP_038116761.1|CQUI, LOC119766434|XP_038106910.1|CQUI
