Orthogroup	AEAL.longest_only	DVIR.longest_only
OG0000001	LOC115268193|XP_029732105.1|AEAL	LOC116650112|XP_032289334.1|DVIR
OG0000001	LOC115257059|XP_029712178.1|AEAL, LOC115266193|XP_029728020.1|AEAL, LOC115267598|XP_029730563.1|AEAL, LOC109398597|XP_029729814.1|AEAL, LOC115262790|XP_029721536.1|AEAL, LOC115263536|XP_029722631.1|AEAL, LOC115260919|XP_029718140.1|AEAL, LOC115268204|XP_029732116.1|AEAL, LOC115270912|XP_029736109.1|AEAL, LOC115255462|XP_029709446.1|AEAL, LOC115261307|XP_029718578.1|AEAL, LOC115259747|XP_029716391.1|AEAL, LOC115260526|XP_029717300.1|AEAL, LOC115269607|XP_029734288.1|AEAL	LOC116649975|XP_032289192.1|DVIR, LOC116650014|XP_032289242.1|DVIR, LOC116650813|XP_032291445.1|DVIR, LOC116650693|XP_032291016.1|DVIR, LOC116650639|XP_032290738.1|DVIR, LOC116650317|XP_032289578.1|DVIR, LOC116650237|XP_032289383.1|DVIR, LOC116650018|XP_032289244.1|DVIR, LOC116651796|XP_032294718.1|DVIR, LOC116651620|XP_032294251.1|DVIR, LOC116652104|XP_032295893.1|DVIR, LOC116652102|XP_032295892.1|DVIR, LOC116651616|XP_032294247.1|DVIR, LOC116650104|XP_032289333.1|DVIR, LOC116649993|XP_032289204.1|DVIR, LOC116650569|XP_032290453.1|DVIR, LOC116652064|XP_032295773.1|DVIR
OG0000002	LOC115263125|XP_029721902.1|AEAL, LOC109430246|XP_019561842.2|AEAL, LOC109416944|XP_019546605.2|AEAL, LOC115265443|XP_029726462.1|AEAL, LOC109426996|XP_019558100.2|AEAL, LOC109411377|XP_019540446.2|AEAL, LOC115266493|XP_029728592.1|AEAL, LOC109403760|XP_019532176.2|AEAL, LOC109416948|XP_019546608.2|AEAL, LOC109400072|XP_019528089.2|AEAL, LOC109621611|XP_019931245.2|AEAL	LOC6628707|XP_002051325.3|DVIR
OG0000005	LOC109404521|XP_029734911.1|AEAL, LOC115255208|XP_029709011.1|AEAL, LOC109621664|XP_019931314.1|AEAL, LOC115255183|XP_029708974.1|AEAL, LOC109397487|XP_019525326.1|AEAL, LOC109407186|XP_019535715.1|AEAL, LOC115255205|XP_029709008.1|AEAL, LOC109397494|XP_019525333.2|AEAL, LOC115255200|XP_029709002.1|AEAL, LOC109400639|XP_019528670.1|AEAL, LOC109397482|XP_029708971.1|AEAL, LOC109404593|XP_019533042.1|AEAL, LOC109397504|XP_019525350.1|AEAL, LOC109397485|XP_019525324.1|AEAL, LOC115270068|XP_029734900.1|AEAL, LOC115270062|XP_029734894.1|AEAL, LOC115270061|XP_029734893.1|AEAL, LOC109621825|XP_019931550.1|AEAL, LOC109413196|XP_019542446.1|AEAL, LOC109404529|XP_019532971.1|AEAL, LOC109413199|XP_019542449.1|AEAL, LOC115267256|XP_029730017.1|AEAL, LOC109621654|XP_019931304.1|AEAL, LOC115266977|XP_029729560.1|AEAL	LOC6630079|XP_002053089.1|DVIR
OG0000006	LOC109621653|XP_019931303.1|AEAL	LOC6637262|XP_032288828.1|DVIR
OG0000006	LOC109431219|XP_019562976.1|AEAL	LOC6637059|XP_002060475.1|DVIR
OG0000006	LOC115261264|XP_029718499.1|AEAL, LOC115261271|XP_029718506.1|AEAL, LOC115261261|XP_029718496.1|AEAL, LOC115261224|XP_029718458.1|AEAL, LOC115261225|XP_029718459.1|AEAL, LOC115261263|XP_029718498.1|AEAL, LOC115261262|XP_029718497.1|AEAL, LOC115261290|XP_029718531.1|AEAL, LOC115263330|XP_029722488.1|AEAL, LOC109418596|XP_019548347.2|AEAL, LOC115261265|XP_029718500.1|AEAL, LOC115261270|XP_029718504.1|AEAL	LOC6630084|XP_002053094.1|DVIR
OG0000007	LOC109417624|XP_019547214.2|AEAL, LOC109417822|XP_019547546.2|AEAL, LOC109417827|XP_019547550.2|AEAL	LOC6623864|XP_002046827.1|DVIR, LOC6623030|XP_002046517.1|DVIR, LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR, LOC6625661|XP_002050782.1|DVIR, LOC116650729|XP_032291101.1|DVIR, LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR, LOC6624577|XP_032291102.1|DVIR, LOC6624526|XP_032291100.1|DVIR, LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR
OG0000008	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL, LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL	LOC6629514|XP_002054585.2|DVIR
OG0000008	LOC109409017|XP_019537970.1|AEAL, LOC115261399|XP_029718872.1|AEAL, LOC109429131|XP_029730081.1|AEAL, LOC109429134|XP_019560529.1|AEAL, LOC115261395|XP_029718863.1|AEAL, LOC115261400|XP_029718873.1|AEAL, LOC109409015|XP_029718862.1|AEAL	LOC6623720|XP_002046325.3|DVIR
OG0000008	LOC109409014|XP_019537968.1|AEAL	LOC6622211|XP_002046327.1|DVIR
OG0000008	LOC115258666|XP_029714842.1|AEAL, LOC109418542|XP_029714903.1|AEAL, LOC115258618|XP_029714768.1|AEAL	LOC6627554|XP_002052288.1|DVIR
