Orthogroup	DPER.longest_only	DHYD.longest_only
OG0000000	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER, LOC6603458|XP_002028438.2|DPER	LOC111599673|XP_023171145.1|DHYD
OG0000000	LOC6603462|XP_002028442.1|DPER	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD
OG0000000	LOC6592293|XP_002018412.1|DPER	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD
OG0000000	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER, LOC6595014|XP_026839995.1|DPER, LOC6587480|XP_002013644.2|DPER	LOC111593957|XP_023162816.2|DHYD
OG0000002	LOC6601614|XP_002026650.2|DPER	LOC115483422|XP_030081192.1|DHYD
OG0000002	LOC6601615|XP_026841465.1|DPER	LOC111597015|XP_023167289.2|DHYD
OG0000002	LOC6596381|XP_002021534.2|DPER	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD
OG0000003	LOC6590049|XP_002015522.1|DPER	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD
OG0000003	LOC6591235|XP_002016681.1|DPER	LOC115483813|XP_030082015.1|DHYD
OG0000003	LOC6596552|XP_002021689.1|DPER	LOC111602383|XP_023175172.2|DHYD
OG0000004	LOC113567408|XP_026850942.1|DPER, LOC113567409|XP_026850943.1|DPER, LOC113567399|XP_026850927.1|DPER, LOC113565362|XP_026842912.1|DPER, LOC6587537|XP_002013115.1|DPER, LOC6587316|XP_002013131.1|DPER, LOC113567243|XP_026850214.1|DPER, LOC113567235|XP_026850206.1|DPER, LOC6587397|XP_002013126.1|DPER, LOC113567242|XP_026850212.1|DPER, LOC113567391|XP_026850908.1|DPER, LOC113567026|XP_026850037.1|DPER, LOC113567027|XP_026850038.1|DPER, LOC113567400|XP_026850928.1|DPER, LOC6587650|XP_002013120.1|DPER, LOC113564935|XP_026840262.1|DPER, LOC113567383|XP_026850888.1|DPER, LOC113567241|XP_026850211.1|DPER, LOC6604119|XP_002029056.2|DPER, LOC113565361|XP_026842911.1|DPER, LOC113567390|XP_026850907.1|DPER, LOC6587454|XP_002013136.2|DPER, LOC113566634|XP_026848945.1|DPER	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD
OG0000005	LOC113567029|XP_026850041.1|DPER, LOC113567421|XP_026850960.1|DPER, LOC113565366|XP_026842918.1|DPER, LOC6587310|XP_002013132.1|DPER, LOC6587387|XP_002013127.1|DPER, LOC113566308|XP_026847198.1|DPER, LOC6599391|XP_002024443.1|DPER	LOC115483257|XP_030080462.1|DHYD
OG0000005	LOC113567403|XP_026850931.1|DPER	LOC115483190|XP_030080235.1|DHYD
OG0000005	LOC113567249|XP_026850219.1|DPER	LOC115483202|XP_030080291.1|DHYD
OG0000006	LOC113565364|XP_026842915.1|DPER, LOC113567237|XP_026850207.1|DPER, LOC113567385|XP_026850890.1|DPER, LOC113567411|XP_026850946.1|DPER	LOC115483251|XP_030080456.1|DHYD
OG0000006	LOC113567418|XP_026850957.1|DPER	LOC115483279|XP_030080482.1|DHYD
OG0000006	LOC113567394|XP_026850911.1|DPER	LOC115483250|XP_030080455.1|DHYD
OG0000006	LOC113567402|XP_026850930.1|DPER	LOC115482869|XP_030078979.1|DHYD, LOC115483254|XP_030080459.1|DHYD, LOC115482902|XP_030079009.1|DHYD, LOC115483281|XP_030080484.1|DHYD, LOC115482889|XP_030078998.1|DHYD
OG0000007	LOC6595910|XP_002021056.1|DPER	LOC111601093|XP_023173297.2|DHYD
OG0000007	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER	LOC111592429|XP_023160382.1|DHYD
OG0000007	LOC6592462|XP_002017797.1|DPER	LOC111596952|XP_023167177.2|DHYD
OG0000007	LOC6596310|XP_002021480.2|DPER	LOC111596951|XP_023167176.2|DHYD
OG0000007	LOC6601214|XP_002026310.2|DPER, LOC6589529|XP_002015017.1|DPER	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD
OG0000008	LOC6594328|XP_026850351.1|DPER	LOC111604267|XP_023178033.1|DHYD
OG0000008	LOC6601897|XP_026849381.1|DPER	LOC111598804|XP_023169992.1|DHYD
OG0000008	LOC6601898|XP_002026947.1|DPER	LOC111599437|XP_023170859.2|DHYD
OG0000008	LOC6595506|XP_002020611.1|DPER	LOC111603756|XP_023177254.2|DHYD
OG0000008	LOC6591821|XP_002016971.2|DPER, LOC6591446|XP_026851133.1|DPER	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD
OG0000008	LOC6591826|XP_002016976.2|DPER	LOC111600832|XP_023172904.2|DHYD
OG0000008	LOC6591822|XP_002016972.1|DPER	LOC111600831|XP_023172902.2|DHYD
OG0000008	LOC6591825|XP_026846385.1|DPER	LOC111600808|XP_023172870.1|DHYD
OG0000008	LOC6591827|XP_002016977.1|DPER	LOC111600811|XP_023172873.1|DHYD
