Orthogroup	DMIR.longest_only	DMAU.longest_only
OG0000000	LOC108150869|XP_017134661.1|DMIR	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU
OG0000000	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR	LOC117145695|XP_033167327.1|DMAU
OG0000000	LOC117187734|XP_033246410.1|DMIR	LOC117138434|XP_033156436.1|DMAU
OG0000000	LOC108158045|XP_017145679.2|DMIR	LOC117149958|XP_033172750.1|DMAU
OG0000000	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR	LOC117145817|XP_033167509.1|DMAU, LOC117145797|XP_033167474.1|DMAU
OG0000000	LOC117185812|XP_033243800.1|DMIR	LOC117139148|XP_033157197.1|DMAU
OG0000000	LOC108165373|XP_017156898.2|DMIR	LOC117139149|XP_033157198.1|DMAU
OG0000000	LOC108151290|XP_017135310.1|DMIR	LOC117140540|XP_033159421.1|DMAU
OG0000000	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR	LOC117138648|XP_033156758.1|DMAU
OG0000000	LOC108153842|XP_033245237.1|DMIR	LOC117144786|XP_033166045.1|DMAU, LOC117142323|XP_033162125.1|DMAU, LOC117142325|XP_033162128.1|DMAU
OG0000000	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR	LOC117142327|XP_033162129.1|DMAU
OG0000000	LOC108154033|XP_017139614.1|DMIR	LOC117145744|XP_033167397.1|DMAU
OG0000000	LOC108153951|XP_017139538.1|DMIR	LOC117145856|XP_033167567.1|DMAU
OG0000000	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR	LOC117150929|XP_033173982.1|DMAU
OG0000000	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR	LOC117138016|XP_033155711.1|DMAU
OG0000000	LOC108154608|XP_017140414.2|DMIR	LOC117146038|XP_033167862.1|DMAU
OG0000001	LOC117188126|XP_033247368.1|DMIR, LOC117186570|XP_033243418.1|DMIR, LOC117189960|XP_033250935.1|DMIR, LOC117186559|XP_033243395.1|DMIR, LOC117189228|XP_033250247.1|DMIR, LOC117186732|XP_033243774.1|DMIR, LOC117186566|XP_033243405.1|DMIR, LOC117188268|XP_033247713.1|DMIR, LOC117193495|XP_033254138.1|DMIR, LOC117186602|XP_033243477.1|DMIR	LOC117141920|XP_033161540.1|DMAU
OG0000001	LOC117190783|XP_033251735.1|DMIR	LOC117149766|XP_033172711.1|DMAU, LOC117136660|XP_033153552.1|DMAU
OG0000002	LOC108159521|XP_017148375.1|DMIR	LOC117135907|XP_033152364.1|DMAU
