Orthogroup	DERE.longest_only	DHYD.longest_only
OG0000000	LOC26526117|XP_026833226.1|DERE	LOC115483378|XP_030080958.1|DHYD
OG0000000	LOC6555364|XP_026831619.1|DERE, LOC6546799|XP_001975893.2|DERE, LOC6541982|XP_001968936.1|DERE	LOC111599673|XP_023171145.1|DHYD
OG0000000	LOC6544812|XP_001973191.2|DERE	LOC111600475|XP_023172354.2|DHYD
OG0000000	LOC6548572|XP_026836220.1|DERE	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE, LOC26526070|XP_026831673.1|DERE	LOC111593957|XP_023162816.2|DHYD
OG0000000	LOC6551915|XP_001978850.1|DERE, LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE	LOC111603644|XP_023177090.2|DHYD
OG0000002	LOC6548491|XP_001975304.1|DERE	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD
OG0000002	LOC6548172|XP_001975155.3|DERE	LOC115483422|XP_030081192.1|DHYD
OG0000002	LOC6548171|XP_001975154.2|DERE	LOC111597015|XP_023167289.2|DHYD
OG0000002	LOC6547452|XP_001974865.2|DERE	LOC111597303|XP_023167695.2|DHYD
OG0000002	LOC6542167|XP_001968638.1|DERE, LOC6541336|XP_001968621.3|DERE	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD
OG0000003	LOC6541170|XP_001970725.1|DERE	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD
OG0000003	LOC6549105|XP_001975570.1|DERE	LOC115483813|XP_030082015.1|DHYD
OG0000003	LOC6543184|XP_001968830.1|DERE	LOC111602383|XP_023175172.2|DHYD
OG0000005	LOC6556051|XP_001982911.1|DERE, LOC6548712|XP_001974001.2|DERE, LOC6556359|XP_001983142.2|DERE, LOC6556058|XP_001982915.1|DERE, LOC113564801|XP_026839449.1|DERE, LOC113564800|XP_026839448.1|DERE, LOC6548707|XP_001973996.1|DERE, LOC6556031|XP_001982896.1|DERE, LOC6556046|XP_001982906.1|DERE, LOC6556228|XP_001983059.1|DERE, LOC6556303|XP_001983113.1|DERE	LOC115483257|XP_030080462.1|DHYD
OG0000006	LOC6548706|XP_026839400.1|DERE, LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE	LOC115483251|XP_030080456.1|DHYD
OG0000006	LOC6548691|XP_001974010.1|DERE	LOC115482888|XP_030078997.1|DHYD, LOC115482872|XP_030078982.1|DHYD, LOC115483253|XP_030080458.1|DHYD, LOC115482869|XP_030078979.1|DHYD, LOC115483254|XP_030080459.1|DHYD, LOC115482902|XP_030079009.1|DHYD, LOC115483281|XP_030080484.1|DHYD, LOC115482889|XP_030078998.1|DHYD
OG0000007	LOC6546441|XP_001972927.1|DERE	LOC111601093|XP_023173297.2|DHYD
OG0000007	LOC6545298|XP_001972056.1|DERE	LOC111592429|XP_023160382.1|DHYD
OG0000007	LOC6545296|XP_001972054.1|DERE, LOC6545101|XP_001972052.1|DERE, LOC6545102|XP_001972053.1|DERE	LOC111592441|XP_023160393.1|DHYD
OG0000007	LOC6540876|XP_001968735.1|DERE	LOC111596951|XP_023167176.2|DHYD
OG0000007	LOC6545660|XP_001971664.1|DERE, LOC6540935|XP_001968733.1|DERE	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD
OG0000008	LOC6553905|XP_001979522.1|DERE	LOC111604267|XP_023178033.1|DHYD
OG0000008	LOC6543716|XP_001971859.1|DERE	LOC111598804|XP_023169992.1|DHYD
OG0000008	LOC6543719|XP_001971862.1|DERE	LOC111599437|XP_023170859.2|DHYD
OG0000008	LOC6541660|XP_001969797.3|DERE	LOC111603756|XP_023177254.2|DHYD
OG0000008	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD
OG0000008	LOC6553018|XP_001979109.1|DERE	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD
OG0000008	LOC6553016|XP_001979107.1|DERE	LOC111600832|XP_023172904.2|DHYD
OG0000008	LOC6553019|XP_001979110.3|DERE	LOC111600831|XP_023172902.2|DHYD
