Orthogroup	DNOV.longest_only	ASTE.longest_only
OG0000001	LOC115768652|XP_030569188.1|DNOV	LOC118510932|XP_035909246.1|ASTE
OG0000002	LOC115759342|XP_030556121.1|DNOV	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE, LOC118511460|XP_035910455.1|ASTE, LOC118509013|XP_035904926.1|ASTE, LOC118509867|XP_035906983.1|ASTE
OG0000006	LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV	LOC118517636|XP_035919841.1|ASTE
OG0000006	LOC115770611|XP_030571807.1|DNOV	LOC118508036|XP_035903331.1|ASTE
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE
OG0000008	LOC115762862|XP_030561098.1|DNOV	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC118509007|XP_035904915.1|ASTE
OG0000008	LOC115762865|XP_030561099.1|DNOV	LOC118506772|XP_035900260.1|ASTE
OG0000009	LOC115763759|XP_030562333.1|DNOV, LOC115763738|XP_030562299.1|DNOV, LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV, LOC115765543|XP_030565028.1|DNOV, LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV, LOC115760674|XP_030558001.1|DNOV, LOC115760799|XP_030558155.1|DNOV, LOC115760927|XP_030558362.1|DNOV, LOC115760928|XP_030558363.1|DNOV, LOC115759272|XP_030556034.1|DNOV	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE
OG0000010	LOC115759841|XP_030556795.1|DNOV, LOC115770598|XP_030571795.1|DNOV, LOC115770894|XP_030572189.1|DNOV, LOC115761849|XP_030559691.1|DNOV	LOC118503730|XP_035893236.1|ASTE
OG0000010	LOC115770584|XP_030571769.1|DNOV	LOC118509785|XP_035906820.1|ASTE
OG0000012	LOC115760603|XP_030557904.1|DNOV, LOC115760694|XP_030558018.1|DNOV, LOC115760695|XP_030558019.1|DNOV, LOC115760604|XP_030557906.1|DNOV, LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV, LOC115760685|XP_030558012.1|DNOV, LOC115761057|XP_030558532.1|DNOV	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE
OG0000013	LOC115761021|XP_030558495.1|DNOV	LOC118507210|XP_035901192.1|ASTE
OG0000013	LOC115766810|XP_030566705.1|DNOV	LOC118503015|XP_035891731.1|ASTE
OG0000013	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE
OG0000013	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV, LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE
OG0000016	LOC115761678|XP_030559394.1|DNOV, LOC115762276|XP_030560298.1|DNOV	LOC118502962|XP_035891619.1|ASTE
OG0000016	LOC115761707|XP_030559439.1|DNOV	LOC118503654|XP_035893068.1|ASTE
OG0000016	LOC115768679|XP_030569221.1|DNOV	LOC118505170|XP_035896494.1|ASTE
OG0000016	LOC115770022|XP_030570941.1|DNOV	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE
OG0000018	LOC115762746|XP_030560944.1|DNOV	LOC118513024|XP_035914194.1|ASTE
OG0000019	LOC115771723|XP_030573407.1|DNOV, LOC115771721|XP_030573404.1|DNOV, LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV, LOC115771639|XP_030573299.1|DNOV, LOC115771840|XP_030573582.1|DNOV, LOC115771914|XP_030573663.1|DNOV	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE
OG0000020	LOC115764021|XP_030562712.1|DNOV, LOC115762420|XP_030560475.1|DNOV	LOC118507513|XP_035901949.1|ASTE
