Orthogroup	DMEL.longest_only	BCOP.longest_only
OG0000000	CG33700|NP_001027121.3|DMEL, CG33752|NP_001027409.1|DMEL, CG33679|NP_001027273.1|DMEL, CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL, CG33775|NP_001027410.1|DMEL, CG33687|NP_001027130.2|DMEL, CG33690|NP_001368948.1|DMEL, CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL, CG12849|NP_611969.2|DMEL, CG33654|NP_001027165.1|DMEL, CG33920|NP_001027214.1|DMEL, CG33773|NP_001027213.1|DMEL, CG33723|NP_001027235.1|DMEL, CG33658|NP_001027209.1|DMEL, CG33798|NP_001027414.1|DMEL, CG33463|NP_995846.2|DMEL, CG33764|NP_001027107.1|DMEL, CG33912|NP_001027139.1|DMEL, CG33632|NP_001036537.1|DMEL, CG33923|NP_001027216.2|DMEL, CG33922|NP_001027217.1|DMEL, CG33777|NP_001027108.1|DMEL, CG33483|NP_001189327.1|DMEL, CG33648|NP_001027265.2|DMEL, CG33721|NP_001036743.1|DMEL, CG33928|NP_001027276.1|DMEL, CG33454|NP_995887.1|DMEL, CG33453|NP_995888.1|DMEL, CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL, CG14518|NP_651653.2|DMEL, CG33927|NP_001027147.1|DMEL, CG33796|NP_001027128.1|DMEL, CG33795|NP_001027129.2|DMEL, CG33725|NP_001027125.1|DMEL	LOC119067394|XP_037026221.1|BCOP
OG0000002	CG31832|NP_723894.2|DMEL, CG7668|NP_649170.1|DMEL	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP
OG0000002	CG9500|NP_609018.3|DMEL	LOC119076785|XP_037039644.1|BCOP
OG0000003	Cyp6a16|NP_001285631.1|DMEL	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP
OG0000005	His2B_CG33880|NP_001027355.1|DMEL, His2B_CG33890|NP_001027330.1|DMEL, His2B_CG33874|NP_001027370.1|DMEL, His2B_CG33906|NP_001027291.1|DMEL, His2B_CG33910|NP_001027283.1|DMEL, His2B_CG33902|NP_001027300.1|DMEL, His2B_CG33870|NP_001027380.1|DMEL, His2B_CG33886|NP_001027340.1|DMEL, His2B_CG33888|NP_001027335.1|DMEL, His2B_CG33894|NP_001027320.1|DMEL, His2B_CG33900|NP_001027305.1|DMEL, His2B_CG33892|NP_001027325.1|DMEL, His2B_CG33908|NP_001027287.1|DMEL, His2B_CG33884|NP_001027345.1|DMEL, His2B_CG33876|NP_001027365.1|DMEL, His2B_CG33878|NP_001027360.1|DMEL, His2B_CG33898|NP_001027310.1|DMEL, His2B_CG17949|NP_724342.1|DMEL, His2B_CG33882|NP_001027350.1|DMEL, His2B_CG33904|NP_001027296.1|DMEL, His2B_CG33872|NP_001027375.1|DMEL, His2B_CG33896|NP_001027315.1|DMEL, His2B_CG33868|NP_001027385.1|DMEL	LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP
OG0000006	His2A_CG33850|NP_001027361.1|DMEL	LOC119070768|XP_037031146.1|BCOP, LOC119082428|XP_037047851.1|BCOP
OG0000006	His2A_CG33814|NP_001027301.1|DMEL	LOC119075109|XP_037037393.1|BCOP
OG0000006	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL	LOC119075400|XP_037037739.1|BCOP
OG0000006	His2A_CG33844|NP_001027351.1|DMEL	LOC119075402|XP_037037741.1|BCOP
OG0000006	His2A_CG33808|NP_001027292.1|DMEL	LOC119077547|XP_037040651.1|BCOP
OG0000007	Jon65Aiv|NP_648012.1|DMEL, Jon65Aiii|NP_648013.1|DMEL, yip7|NP_523944.1|DMEL, CG10477|NP_648010.1|DMEL, Jon25Bii|NP_608882.1|DMEL, Jon44E|NP_724699.1|DMEL, Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL, Jon99Cii|NP_524554.1|DMEL, Jon99Ciii|NP_733330.1|DMEL, Jon25Bi|NP_001033873.1|DMEL, Jon66Cii|NP_648217.1|DMEL, Jon66Ci|NP_729372.1|DMEL, Jon25Biii|NP_608881.1|DMEL, Jon65Aii|NP_648014.1|DMEL, Jon65Ai|NP_648015.1|DMEL	LOC119080766|XP_037045225.1|BCOP
OG0000008	Cpr92A|NP_650813.2|DMEL	LOC119076148|XP_037038725.1|BCOP
OG0000008	Cpr64Aa|NP_647872.1|DMEL	LOC119067198|XP_037025928.1|BCOP
OG0000008	Crys|NP_476906.1|DMEL	LOC119077089|XP_037040143.1|BCOP
OG0000008	Cpr64Ab|NP_647873.2|DMEL	LOC119067264|XP_037026041.1|BCOP
OG0000009	CG11453|NP_650832.1|DMEL, CG11391|NP_650830.1|DMEL, CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL, CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL, CG4563|NP_611913.1|DMEL, CG4830|NP_650160.1|DMEL, CG8834|NP_610779.1|DMEL	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP
OG0000010	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL	LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP
OG0000010	His4_CG33885|NP_001027342.1|DMEL	LOC119077564|XP_037040669.1|BCOP
OG0000010	His4_CG31611|NP_724344.1|DMEL	LOC119075517|XP_037037883.1|BCOP
OG0000010	His4_CG33883|NP_001027347.1|DMEL	LOC119075105|XP_037037388.1|BCOP, LOC119075519|XP_037037884.1|BCOP, LOC119082442|XP_037047864.1|BCOP
OG0000012	CG9416|NP_611415.2|DMEL, CG10051|NP_611414.1|DMEL, CG11961|NP_725876.1|DMEL, CG10062|NP_001261089.1|DMEL, CG10081|NP_611418.1|DMEL, CG10073|NP_001261090.1|DMEL, CG30047|NP_725141.1|DMEL, CG30049|NP_725142.3|DMEL, CG30043|NP_725143.1|DMEL, CG33012|NP_788335.2|DMEL, CG13160|NP_001260918.1|DMEL	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP
OG0000013	Hsc70-5|NP_523741.2|DMEL	LOC119078237|XP_037041593.1|BCOP
OG0000013	Hsc70-3|NP_727563.1|DMEL	LOC119071389|XP_037032165.1|BCOP
OG0000013	Hsc70-4|NP_524356.1|DMEL	LOC119072742|XP_037033921.1|BCOP
OG0000013	Hsc70-2|NP_524339.1|DMEL	LOC119068977|XP_037028742.1|BCOP
OG0000013	Hsp68|NP_524474.1|DMEL, Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP
OG0000016	Act87E|NP_477091.1|DMEL, Act57B|NP_523800.1|DMEL	LOC119069122|XP_037028916.1|BCOP
OG0000016	Arp1|NP_524331.2|DMEL	LOC119071771|XP_037032720.1|BCOP
OG0000016	Act5C|NP_511052.1|DMEL	LOC119070068|XP_037030257.1|BCOP
OG0000016	Act79B|NP_524210.1|DMEL	LOC119072263|XP_037033347.1|BCOP
OG0000018	Cpr65Av|NP_729146.1|DMEL	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP
OG0000018	Cpr65Ax1|NP_001097523.1|DMEL, Cpr65Ax2|NP_652660.1|DMEL, Lcp65Ac|NP_477279.1|DMEL, Lcp65Ad|NP_477278.1|DMEL, Lcp65Af|NP_477274.1|DMEL, Lcp65Ag1|NP_477273.1|DMEL, Lcp65Ag2|NP_477272.1|DMEL, Lcp65Ag3|NP_652662.1|DMEL	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP
OG0000019	CG6283|NP_651524.1|DMEL, CG17192|NP_651522.1|DMEL, CG17191|NP_651523.1|DMEL, CG6296|NP_651520.1|DMEL, CG6295|NP_651521.1|DMEL, CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP, LOC119082044|XP_037047265.1|BCOP
OG0000020	rdog|NP_651678.1|DMEL, CG10505|NP_611571.2|DMEL	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP
OG0000020	CG31792|NP_724148.2|DMEL, l_2_03659|NP_001260823.1|DMEL, CG7627|NP_001245943.1|DMEL, CG4562|NP_001262747.1|DMEL, Mrp4|NP_650086.2|DMEL, CG9270|NP_995741.2|DMEL, CG31793|NP_609930.4|DMEL	LOC119077634|XP_037040747.1|BCOP
OG0000021	flw|NP_727418.1|DMEL	LOC119076102|XP_037038654.1|BCOP
OG0000021	Pp1alpha-96A|NP_524484.1|DMEL	LOC119074653|XP_037036827.1|BCOP
OG0000023	alpha-Est6|NP_524262.1|DMEL, alpha-Est5|NP_001246965.1|DMEL, alpha-Est3|NP_524267.2|DMEL, alpha-Est2|NP_524268.3|DMEL, gas|NP_611678.1|DMEL, alpha-Est1|NP_524269.3|DMEL, alpha-Est7|NP_524261.1|DMEL, alpha-Est9|NP_731165.2|DMEL, alpha-Est8|NP_524259.2|DMEL, alpha-Est10|NP_001246962.1|DMEL	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP
