Orthogroup	SLEB.longest_only	DANA.longest_only
OG0000000	LOC115634489|XP_030388106.1|SLEB	LOC26513897|XP_014765549.1|DANA
OG0000000	LOC115634408|XP_030387964.1|SLEB	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA, LOC6496234|XP_001960509.1|DANA, LOC6494335|XP_001960511.2|DANA
OG0000000	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA
OG0000000	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB	LOC6494112|XP_001960945.2|DANA, LOC6502509|XP_001960943.2|DANA
OG0000000	LOC115632651|XP_030385741.1|SLEB	LOC6499064|XP_032305682.1|DANA
OG0000002	LOC115634390|XP_030387939.1|SLEB	LOC6495823|XP_001959659.3|DANA, LOC116654680|XP_032306049.1|DANA, LOC6495824|XP_001959660.3|DANA
OG0000002	LOC115633967|XP_030387348.1|SLEB	LOC116655418|XP_032309202.1|DANA
OG0000003	LOC115620029|XP_030368994.1|SLEB	LOC6495486|XP_001958950.1|DANA, LOC6495485|XP_001958948.1|DANA
OG0000003	LOC115620049|XP_030369030.1|SLEB	LOC6495484|XP_001958947.1|DANA
OG0000003	LOC115634646|XP_030388364.1|SLEB	LOC6496624|XP_001961285.3|DANA
OG0000003	LOC115634502|XP_030388126.1|SLEB	LOC6495153|XP_001958951.2|DANA
OG0000003	LOC115619981|XP_030368881.1|SLEB	LOC6495430|XP_001958829.1|DANA, LOC6495216|XP_001958826.1|DANA
OG0000005	LOC115630355|XP_030382749.1|SLEB, LOC115630321|XP_030382720.1|SLEB, LOC115630285|XP_030382681.1|SLEB	LOC6506069|XP_001967796.1|DANA
OG0000005	LOC115630283|XP_030382679.1|SLEB	LOC116655707|XP_032309463.1|DANA
OG0000006	LOC115630364|XP_030382757.1|SLEB	LOC116656005|XP_032310965.1|DANA
OG0000006	LOC115630328|XP_030382725.1|SLEB	LOC6504886|XP_001964818.1|DANA
OG0000006	LOC115630278|XP_030382673.1|SLEB	LOC6504195|XP_001967916.1|DANA, LOC6506066|XP_032309425.1|DANA, LOC6507218|XP_001956446.1|DANA
OG0000007	LOC115633152|XP_030386421.1|SLEB	LOC6506540|XP_001957688.2|DANA
OG0000007	LOC115633153|XP_030386422.1|SLEB	LOC6493534|XP_001957954.1|DANA
OG0000007	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB	LOC6493532|XP_001957952.1|DANA, LOC6493531|XP_001957951.1|DANA, LOC6493535|XP_001957955.2|DANA
OG0000007	LOC115633111|XP_030386356.1|SLEB	LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA
OG0000007	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB	LOC6504214|XP_001965140.1|DANA
OG0000007	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB	LOC6492986|XP_032310804.1|DANA, LOC6507027|XP_001956797.1|DANA, LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA
OG0000007	LOC115630750|XP_030383265.1|SLEB	LOC6493536|XP_001957956.2|DANA, LOC6506391|XP_001957958.1|DANA
OG0000008	LOC115623801|XP_030374203.1|SLEB	LOC6501231|XP_001954812.1|DANA
OG0000008	LOC115628395|XP_030380343.1|SLEB	LOC6506513|XP_001957739.1|DANA
OG0000008	LOC115628400|XP_030380349.1|SLEB	LOC6493433|XP_001957742.1|DANA
OG0000008	LOC115631184|XP_030383735.1|SLEB	LOC6504295|XP_001965067.1|DANA
OG0000008	LOC115628403|XP_030380351.1|SLEB	LOC6506512|XP_001957740.2|DANA
OG0000008	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB	LOC6499974|XP_001953515.1|DANA
OG0000008	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB	LOC6499973|XP_001953518.1|DANA
OG0000008	LOC115623587|XP_030373847.1|SLEB	LOC6500585|XP_001953520.1|DANA
OG0000008	LOC115624344|XP_030374855.1|SLEB	LOC6500584|XP_001953519.1|DANA
OG0000008	LOC115623612|XP_030373889.1|SLEB	LOC6499972|XP_001953521.2|DANA
OG0000009	LOC115624173|XP_030374629.1|SLEB	LOC6500401|XP_001953140.1|DANA
OG0000009	LOC115624028|XP_030374465.1|SLEB	LOC6500399|XP_001953138.1|DANA
OG0000009	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB	LOC6500144|XP_001953137.1|DANA, LOC6500400|XP_001953139.2|DANA
OG0000009	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB	LOC6494922|XP_001959416.1|DANA
OG0000010	LOC115633544|XP_030386861.1|SLEB	LOC6500231|XP_001952977.1|DANA
OG0000010	LOC115630140|XP_030382609.1|SLEB	LOC116656007|XP_032310968.1|DANA
OG0000012	LOC115626791|XP_030378121.1|SLEB	LOC6495461|XP_014763319.1|DANA
OG0000012	LOC115634820|XP_030388598.1|SLEB	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA
OG0000012	LOC115624523|XP_030375106.1|SLEB	LOC6495181|XP_001958900.1|DANA
OG0000012	LOC115632632|XP_030385725.1|SLEB	LOC6495184|XP_001958896.1|DANA
OG0000012	LOC115630730|XP_030383248.1|SLEB	LOC6495691|XP_001959390.1|DANA, LOC6495692|XP_001959391.1|DANA, LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA, LOC26514216|XP_014763990.1|DANA
OG0000012	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB	LOC6495695|XP_001959394.1|DANA, LOC6495696|XP_032306537.1|DANA
OG0000013	LOC115634441|XP_030388010.1|SLEB	LOC6494224|XP_001960708.1|DANA
OG0000013	LOC115626662|XP_030377938.1|SLEB	LOC6502959|XP_001963513.1|DANA
OG0000013	LOC115625570|XP_030376527.1|SLEB	LOC6494241|XP_001965950.1|DANA
OG0000013	LOC115623047|XP_030373085.1|SLEB	LOC6506687|XP_032309811.1|DANA
OG0000013	LOC115621092|XP_030370486.1|SLEB	LOC6500356|XP_001953043.1|DANA
OG0000013	LOC115624312|XP_030374797.1|SLEB	LOC6500746|XP_001953834.1|DANA
OG0000013	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB	LOC116655736|XP_032309488.1|DANA, LOC6499424|XP_001954664.1|DANA, LOC6501160|XP_001954666.1|DANA, LOC6501159|XP_001954665.1|DANA, LOC6502045|XP_032309431.1|DANA
OG0000014	LOC115629406|XP_030381727.1|SLEB	LOC116654535|XP_032305652.1|DANA, LOC116656408|XP_032311858.1|DANA, LOC116655579|XP_032309422.1|DANA
OG0000015	LOC115628471|XP_030380453.1|SLEB	LOC6497258|XP_001962453.2|DANA, LOC6497259|XP_014761594.1|DANA, LOC26515435|XP_014762433.2|DANA, LOC6502546|XP_001958772.2|DANA, LOC26514507|XP_014762338.1|DANA
OG0000016	LOC115621740|XP_030371332.1|SLEB	LOC6500386|XP_001953106.1|DANA
OG0000016	LOC115634422|XP_030387989.1|SLEB	LOC6495063|XP_001959144.1|DANA
OG0000016	LOC115620605|XP_030369779.1|SLEB	LOC6499904|XP_001953662.1|DANA
OG0000016	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB	LOC6494270|XP_001960623.3|DANA
OG0000016	LOC115628929|XP_030381051.1|SLEB	LOC6504746|XP_032309021.1|DANA
OG0000016	LOC115634608|XP_030388318.1|SLEB	LOC6496662|XP_001961354.1|DANA
OG0000016	LOC115621272|XP_030370732.1|SLEB	LOC6501076|XP_001954513.1|DANA
OG0000016	LOC115634447|XP_030388017.1|SLEB	LOC6493807|XP_014764542.1|DANA
OG0000017	LOC115627671|XP_030379272.1|SLEB	LOC6503036|XP_001963366.1|DANA
OG0000017	LOC115619974|XP_030368869.1|SLEB	LOC6494096|XP_001960985.1|DANA
OG0000017	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB	LOC6493898|XP_001961368.1|DANA
OG0000017	LOC115630526|XP_030382993.1|SLEB	LOC6494709|XP_001959816.1|DANA
OG0000017	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB	LOC6496668|XP_001961367.1|DANA
OG0000017	LOC115620280|XP_030369314.1|SLEB	LOC6498652|XP_001963246.1|DANA, LOC6498651|XP_001963245.1|DANA, LOC6498650|XP_001963244.2|DANA, LOC26515517|XP_032311043.1|DANA, LOC6498649|XP_001963243.2|DANA
OG0000018	LOC115633159|XP_030386430.1|SLEB	LOC6493787|XP_001958436.1|DANA
OG0000018	LOC115633160|XP_030386431.1|SLEB	LOC6506162|XP_001958433.1|DANA
OG0000018	LOC115633162|XP_030386433.1|SLEB	LOC6506161|XP_001958434.1|DANA
OG0000019	LOC115621701|XP_030371268.1|SLEB	LOC6505609|XP_001964601.1|DANA
OG0000019	LOC115621698|XP_030371264.1|SLEB	LOC6505613|XP_032305481.1|DANA
OG0000019	LOC115621699|XP_030371266.1|SLEB	LOC6505612|XP_001964599.1|DANA
OG0000019	LOC115621700|XP_030371267.1|SLEB	LOC6505608|XP_001964602.1|DANA
OG0000020	LOC115620461|XP_030369552.1|SLEB	LOC6499398|XP_032312200.1|DANA
