Orthogroup	DMIR.longest_only	DBUS.longest_only
OG0000000	LOC108150869|XP_017134661.1|DMIR	LOC108598118|XP_017840224.1|DBUS
OG0000000	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR, LOC117187734|XP_033246410.1|DMIR, LOC108158045|XP_017145679.2|DMIR	LOC108601266|XP_017844655.2|DBUS
OG0000000	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR	LOC108594849|XP_017835476.1|DBUS
OG0000000	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR	LOC108604182|XP_017849014.1|DBUS
OG0000000	LOC108154608|XP_017140414.2|DMIR	LOC108601273|XP_017844662.1|DBUS
OG0000002	LOC108159521|XP_017148375.1|DMIR	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC108152350|XP_017137109.1|DMIR	LOC108599003|XP_033149617.1|DBUS
OG0000002	LOC108161412|XP_017151153.2|DMIR	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS
OG0000002	LOC108161232|XP_017150945.1|DMIR	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS
OG0000003	LOC108160528|XP_017150077.1|DMIR	LOC108597513|XP_017838772.1|DBUS
OG0000003	LOC108160375|XP_017149841.1|DMIR	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS
OG0000003	LOC108160275|XP_017149646.1|DMIR	LOC117134628|XP_033150902.1|DBUS
OG0000003	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR	LOC108594852|XP_033148959.1|DBUS
OG0000003	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR	LOC108597142|XP_017839023.1|DBUS
OG0000003	LOC108163634|XP_017154532.1|DMIR	LOC108608148|XP_017854884.1|DBUS
OG0000004	LOC117187293|XP_033245555.1|DMIR, LOC117187292|XP_033245554.1|DMIR, LOC117187295|XP_033245557.1|DMIR, LOC117187291|XP_033245553.1|DMIR, LOC117187294|XP_033245556.1|DMIR, LOC117187290|XP_033245552.1|DMIR	LOC117134690|XP_033149085.1|DBUS
OG0000007	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR	LOC108598463|XP_017840596.2|DBUS
OG0000007	LOC108152482|XP_017137345.1|DMIR	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS
OG0000007	LOC108165521|XP_017157067.1|DMIR, LOC108164169|XP_017155268.2|DMIR	LOC117134784|XP_033149441.1|DBUS
OG0000008	LOC108154982|XP_017141010.1|DMIR	LOC108602201|XP_017845739.1|DBUS
OG0000008	LOC108151536|XP_017135679.1|DMIR	LOC108599783|XP_017842330.1|DBUS
OG0000008	LOC108161577|XP_017151355.1|DMIR	LOC108597994|XP_017840102.1|DBUS
OG0000008	LOC108154402|XP_017140161.1|DMIR	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS
OG0000008	LOC108153895|XP_033244232.1|DMIR	LOC108601548|XP_017844935.1|DBUS
OG0000008	LOC108154495|XP_017140285.1|DMIR	LOC108601547|XP_017844934.2|DBUS, LOC108602371|XP_017845962.1|DBUS
OG0000008	LOC108154515|XP_017140305.2|DMIR	LOC108604418|XP_033150077.1|DBUS
OG0000008	LOC108153896|XP_017139483.1|DMIR	LOC108602531|XP_017846153.1|DBUS
OG0000008	LOC108154491|XP_017140280.1|DMIR	LOC108602012|XP_017845504.1|DBUS
OG0000009	LOC108157813|XP_017145500.1|DMIR	LOC108604020|XP_017848755.1|DBUS
OG0000009	LOC108154360|XP_017140115.1|DMIR	LOC108601959|XP_017845435.1|DBUS
OG0000009	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS
