Orthogroup	BCOP.longest_only	DMEL.longest_only
OG0000000	LOC119067394|XP_037026221.1|BCOP	CG33700|NP_001027121.3|DMEL, CG33752|NP_001027409.1|DMEL, CG33679|NP_001027273.1|DMEL, CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL, CG33775|NP_001027410.1|DMEL, CG33687|NP_001027130.2|DMEL, CG33690|NP_001368948.1|DMEL, CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL, CG12849|NP_611969.2|DMEL, CG33654|NP_001027165.1|DMEL, CG33920|NP_001027214.1|DMEL, CG33773|NP_001027213.1|DMEL, CG33723|NP_001027235.1|DMEL, CG33658|NP_001027209.1|DMEL, CG33798|NP_001027414.1|DMEL, CG33463|NP_995846.2|DMEL, CG33764|NP_001027107.1|DMEL, CG33912|NP_001027139.1|DMEL, CG33632|NP_001036537.1|DMEL, CG33923|NP_001027216.2|DMEL, CG33922|NP_001027217.1|DMEL, CG33777|NP_001027108.1|DMEL, CG33483|NP_001189327.1|DMEL, CG33648|NP_001027265.2|DMEL, CG33721|NP_001036743.1|DMEL, CG33928|NP_001027276.1|DMEL, CG33454|NP_995887.1|DMEL, CG33453|NP_995888.1|DMEL, CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL, CG14518|NP_651653.2|DMEL, CG33927|NP_001027147.1|DMEL, CG33796|NP_001027128.1|DMEL, CG33795|NP_001027129.2|DMEL, CG33725|NP_001027125.1|DMEL
OG0000002	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP	CG31832|NP_723894.2|DMEL, CG7668|NP_649170.1|DMEL
OG0000002	LOC119076785|XP_037039644.1|BCOP	CG9500|NP_609018.3|DMEL
OG0000003	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP	Cyp6a16|NP_001285631.1|DMEL
OG0000005	LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP	His2B_CG33880|NP_001027355.1|DMEL, His2B_CG33890|NP_001027330.1|DMEL, His2B_CG33874|NP_001027370.1|DMEL, His2B_CG33906|NP_001027291.1|DMEL, His2B_CG33910|NP_001027283.1|DMEL, His2B_CG33902|NP_001027300.1|DMEL, His2B_CG33870|NP_001027380.1|DMEL, His2B_CG33886|NP_001027340.1|DMEL, His2B_CG33888|NP_001027335.1|DMEL, His2B_CG33894|NP_001027320.1|DMEL, His2B_CG33900|NP_001027305.1|DMEL, His2B_CG33892|NP_001027325.1|DMEL, His2B_CG33908|NP_001027287.1|DMEL, His2B_CG33884|NP_001027345.1|DMEL, His2B_CG33876|NP_001027365.1|DMEL, His2B_CG33878|NP_001027360.1|DMEL, His2B_CG33898|NP_001027310.1|DMEL, His2B_CG17949|NP_724342.1|DMEL, His2B_CG33882|NP_001027350.1|DMEL, His2B_CG33904|NP_001027296.1|DMEL, His2B_CG33872|NP_001027375.1|DMEL, His2B_CG33896|NP_001027315.1|DMEL, His2B_CG33868|NP_001027385.1|DMEL
OG0000006	LOC119070768|XP_037031146.1|BCOP, LOC119082428|XP_037047851.1|BCOP	His2A_CG33850|NP_001027361.1|DMEL
OG0000006	LOC119075109|XP_037037393.1|BCOP	His2A_CG33814|NP_001027301.1|DMEL
OG0000006	LOC119075400|XP_037037739.1|BCOP	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL
OG0000006	LOC119075402|XP_037037741.1|BCOP	His2A_CG33844|NP_001027351.1|DMEL
OG0000006	LOC119077547|XP_037040651.1|BCOP	His2A_CG33808|NP_001027292.1|DMEL
OG0000007	LOC119080766|XP_037045225.1|BCOP	Jon65Aiv|NP_648012.1|DMEL, Jon65Aiii|NP_648013.1|DMEL, yip7|NP_523944.1|DMEL, CG10477|NP_648010.1|DMEL, Jon25Bii|NP_608882.1|DMEL, Jon44E|NP_724699.1|DMEL, Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL, Jon99Cii|NP_524554.1|DMEL, Jon99Ciii|NP_733330.1|DMEL, Jon25Bi|NP_001033873.1|DMEL, Jon66Cii|NP_648217.1|DMEL, Jon66Ci|NP_729372.1|DMEL, Jon25Biii|NP_608881.1|DMEL, Jon65Aii|NP_648014.1|DMEL, Jon65Ai|NP_648015.1|DMEL
OG0000008	LOC119076148|XP_037038725.1|BCOP	Cpr92A|NP_650813.2|DMEL
OG0000008	LOC119067198|XP_037025928.1|BCOP	Cpr64Aa|NP_647872.1|DMEL
OG0000008	LOC119077089|XP_037040143.1|BCOP	Crys|NP_476906.1|DMEL
OG0000008	LOC119067264|XP_037026041.1|BCOP	Cpr64Ab|NP_647873.2|DMEL
