Orthogroup	DEUG.longest_only	DSAN.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG	LOC120450014|XP_039488671.1|DSAN
OG0000000	LOC108105829|XP_017068062.1|DEUG	LOC120458328|XP_039501883.1|DSAN
OG0000000	LOC108112762|XP_017078510.1|DEUG	LOC120444836|XP_039480727.1|DSAN
OG0000000	LOC108113889|XP_017080083.1|DEUG	LOC120447883|XP_039485428.1|DSAN
OG0000000	LOC108114143|XP_017080414.1|DEUG	LOC120447886|XP_039485431.1|DSAN
OG0000000	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG	LOC120447820|XP_039485331.1|DSAN
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC120444952|XP_039480891.1|DSAN
OG0000000	LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG	LOC120453829|XP_039494657.1|DSAN
OG0000000	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG	LOC120453329|XP_039493924.1|DSAN
OG0000000	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG	LOC120443793|XP_039479056.1|DSAN
OG0000000	LOC108117463|XP_017085374.1|DEUG	LOC120454315|XP_039495452.1|DSAN
OG0000000	LOC108102547|XP_017063097.1|DEUG, LOC108112104|XP_017077343.1|DEUG, LOC108112115|XP_017077355.1|DEUG, LOC108112105|XP_017077344.1|DEUG, LOC108112113|XP_017077353.1|DEUG, LOC108112112|XP_017077352.1|DEUG, LOC108112109|XP_017077349.1|DEUG, LOC108112114|XP_017077354.1|DEUG, LOC108112107|XP_017077346.1|DEUG, LOC108112117|XP_017077356.1|DEUG, LOC108112111|XP_017077351.1|DEUG, LOC108112108|XP_017077347.1|DEUG, LOC108112110|XP_017077350.1|DEUG, LOC108112103|XP_017077342.1|DEUG, LOC108112106|XP_017077345.1|DEUG	LOC120446300|XP_039483141.1|DSAN
OG0000000	LOC108112677|XP_017078310.1|DEUG	LOC120444898|XP_039480821.1|DSAN
OG0000000	LOC108108192|XP_017071633.1|DEUG	LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN, LOC120458417|XP_039501988.1|DSAN, LOC120455242|XP_039497157.1|DSAN, LOC120443964|XP_039479362.1|DSAN
OG0000000	LOC108113484|XP_017079558.1|DEUG	LOC120454324|XP_039495461.1|DSAN
OG0000000	LOC108113483|XP_017079557.1|DEUG	LOC120453354|XP_039493961.1|DSAN
OG0000000	LOC108115565|XP_017082560.1|DEUG	LOC120453013|XP_039493463.1|DSAN
OG0000000	LOC108103054|XP_017063857.1|DEUG	LOC120444807|XP_039480688.1|DSAN
OG0000000	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG	LOC120446643|XP_039483646.1|DSAN
OG0000000	LOC108105763|XP_017067972.1|DEUG	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN
OG0000000	LOC108115960|XP_017083085.1|DEUG	LOC120454169|XP_039495171.1|DSAN
OG0000000	LOC108114927|XP_017081602.1|DEUG	LOC120453562|XP_039494248.1|DSAN
OG0000000	LOC108114139|XP_017080411.1|DEUG	LOC120447885|XP_039485430.1|DSAN
OG0000000	LOC108113890|XP_017080084.1|DEUG	LOC120447884|XP_039485429.1|DSAN
OG0000001	LOC108111625|XP_017076648.1|DEUG	LOC120457515|XP_039500997.1|DSAN, LOC120444320|XP_039479805.1|DSAN
OG0000002	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG	LOC120446478|XP_039483414.1|DSAN
OG0000002	LOC108112852|XP_017078659.1|DEUG	LOC120444309|XP_039479784.1|DSAN
OG0000002	LOC108112853|XP_017078660.1|DEUG	LOC120444310|XP_039479789.1|DSAN
