Orthogroup	DEUG.longest_only	DBUS.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG	LOC108598118|XP_017840224.1|DBUS
OG0000000	LOC108105829|XP_017068062.1|DEUG	LOC108601266|XP_017844655.2|DBUS
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC108594849|XP_017835476.1|DBUS
OG0000000	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG, LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG	LOC108604182|XP_017849014.1|DBUS
OG0000000	LOC108115960|XP_017083085.1|DEUG	LOC108601273|XP_017844662.1|DBUS
OG0000002	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS
OG0000002	LOC108112852|XP_017078659.1|DEUG	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC108112853|XP_017078660.1|DEUG	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC108102651|XP_017063276.1|DEUG, LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG	LOC108599003|XP_033149617.1|DBUS
OG0000002	LOC108113287|XP_017079326.1|DEUG, LOC108110800|XP_017075517.1|DEUG	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS
OG0000003	LOC108106604|XP_017069284.1|DEUG, LOC108106709|XP_017069429.1|DEUG	LOC108597513|XP_017838772.1|DBUS
OG0000003	LOC108106562|XP_017069219.1|DEUG	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS
OG0000003	LOC108106224|XP_017068639.1|DEUG	LOC117134628|XP_033150902.1|DBUS
OG0000003	LOC108104525|XP_017066146.1|DEUG	LOC108594852|XP_033148959.1|DBUS
OG0000003	LOC108104523|XP_017066143.1|DEUG, LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG	LOC108597142|XP_017839023.1|DBUS
OG0000004	LOC108113823|XP_017080058.1|DEUG	LOC117134690|XP_033149085.1|DBUS
OG0000007	LOC108107881|XP_017071156.1|DEUG	LOC108598463|XP_017840596.2|DBUS
OG0000007	LOC108107527|XP_017070556.1|DEUG, LOC108107526|XP_017070555.1|DEUG, LOC108107882|XP_017071157.1|DEUG, LOC108107883|XP_017071158.1|DEUG	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS
OG0000007	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG, LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG	LOC117134784|XP_033149441.1|DBUS
OG0000008	LOC108117090|XP_017084777.1|DEUG	LOC108602201|XP_017845739.1|DBUS
