Orthogroup	DKIK.longest_only	DHYD.longest_only
OG0000000	LOC108077905|XP_017026932.1|DKIK	LOC111599673|XP_023171145.1|DHYD
OG0000000	LOC108077933|XP_017026960.1|DKIK	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD
OG0000000	LOC108072234|XP_017018785.1|DKIK	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD
OG0000000	LOC108070814|XP_017016902.1|DKIK, LOC108070634|XP_017016690.1|DKIK	LOC111593957|XP_023162816.2|DHYD
OG0000000	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK, LOC108078600|XP_017028009.1|DKIK, LOC108078601|XP_017028010.1|DKIK	LOC111603644|XP_023177090.2|DHYD
OG0000002	LOC108082125|XP_017032915.1|DKIK, LOC108076145|XP_017024362.1|DKIK	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD
OG0000002	LOC108085203|XP_017037209.1|DKIK	LOC115483422|XP_030081192.1|DHYD
OG0000002	LOC108085202|XP_017037207.1|DKIK	LOC111597015|XP_023167289.2|DHYD
OG0000002	LOC108082094|XP_017032879.1|DKIK	LOC111599235|XP_023170600.2|DHYD, LOC111597303|XP_023167695.2|DHYD
OG0000002	LOC108077339|XP_017026117.1|DKIK, LOC108086114|XP_017038438.1|DKIK, LOC108086113|XP_017038437.1|DKIK, LOC108086115|XP_017038439.1|DKIK, LOC108086110|XP_017038435.1|DKIK, LOC108086111|XP_017038436.1|DKIK, LOC108076940|XP_017025477.1|DKIK, LOC108076949|XP_017025488.1|DKIK	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD
OG0000003	LOC108070524|XP_017016527.1|DKIK	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD
OG0000003	LOC108072406|XP_017018997.1|DKIK, LOC108072404|XP_017018996.1|DKIK	LOC111602573|XP_030082008.1|DHYD
OG0000003	LOC108072419|XP_017019013.1|DKIK	LOC115483813|XP_030082015.1|DHYD
OG0000003	LOC108073603|XP_017020784.1|DKIK	LOC111602383|XP_023175172.2|DHYD
OG0000004	LOC108073963|XP_017021295.1|DKIK	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD
OG0000004	LOC108074133|XP_017021525.1|DKIK	LOC115483268|XP_030080473.1|DHYD, LOC115483296|XP_030080509.1|DHYD, LOC115483295|XP_030080508.1|DHYD
OG0000005	LOC108085749|XP_017037978.1|DKIK	LOC115483257|XP_030080462.1|DHYD
OG0000006	LOC108072846|XP_017019650.1|DKIK	LOC115483233|XP_030080438.1|DHYD, LOC115483282|XP_030080485.1|DHYD, LOC115482867|XP_030078977.1|DHYD, LOC115483224|XP_030080427.1|DHYD, LOC115482871|XP_030078981.1|DHYD, LOC115482870|XP_030078980.1|DHYD, LOC115483249|XP_030080454.1|DHYD, LOC115483274|XP_030080477.1|DHYD, LOC115483251|XP_030080456.1|DHYD, LOC115483279|XP_030080482.1|DHYD, LOC115483252|XP_030080457.1|DHYD, LOC115483213|XP_030080345.1|DHYD, LOC115482868|XP_030078978.1|DHYD, LOC115483266|XP_030080471.1|DHYD, LOC115483250|XP_030080455.1|DHYD, LOC115482873|XP_030078983.1|DHYD
OG0000006	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK	LOC115483281|XP_030080484.1|DHYD
OG0000007	LOC108071918|XP_017018366.1|DKIK	LOC111601093|XP_023173297.2|DHYD
OG0000007	LOC108071623|XP_017017894.1|DKIK, LOC108071566|XP_017017836.1|DKIK	LOC111592441|XP_023160393.1|DHYD
OG0000007	LOC108078491|XP_017027862.1|DKIK	LOC111596952|XP_023167177.2|DHYD
OG0000007	LOC108086266|XP_017038642.1|DKIK	LOC111596951|XP_023167176.2|DHYD
OG0000007	LOC108078726|XP_017028216.1|DKIK, LOC108078727|XP_017028217.1|DKIK, LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD
OG0000008	LOC108081759|XP_017032449.1|DKIK	LOC111604267|XP_023178033.1|DHYD
OG0000008	LOC108072724|XP_017019474.1|DKIK	LOC111599437|XP_023170859.2|DHYD
OG0000008	LOC108075890|XP_017023993.1|DKIK	LOC111603756|XP_023177254.2|DHYD
