Orthogroup	DSEC.longest_only	DSUB.longest_only
OG0000000	LOC6612593|XP_002037098.2|DSEC	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB
OG0000000	LOC6606995|XP_002031784.1|DSEC	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB
OG0000000	LOC6608865|XP_002033579.1|DSEC	LOC117889909|XP_034650326.1|DSUB
OG0000000	LOC6605884|XP_032575999.1|DSEC	LOC117893407|XP_034655897.1|DSUB
OG0000000	LOC6605885|XP_032575997.1|DSEC	LOC117893701|XP_034656280.1|DSUB
OG0000000	LOC116800964|XP_032573791.1|DSEC, LOC116801306|XP_032575998.1|DSEC	LOC117893403|XP_034655894.1|DSUB
OG0000000	LOC6618886|XP_002043134.2|DSEC	LOC117892287|XP_034654298.1|DSUB
OG0000000	LOC6607083|XP_032579519.1|DSEC, LOC6612938|XP_032579196.1|DSEC	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB
OG0000000	LOC6612936|XP_002037428.1|DSEC	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB
OG0000000	LOC6609340|XP_032572102.1|DSEC	LOC117899299|XP_034665108.1|DSUB
OG0000000	LOC6611281|XP_032582965.1|DSEC	LOC117899382|XP_034665255.1|DSUB, LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB
OG0000000	LOC116801718|XP_032578762.1|DSEC	LOC117896020|XP_034659918.1|DSUB
OG0000000	LOC6614481|XP_002038914.1|DSEC	LOC117901385|XP_034668002.1|DSUB
OG0000000	LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB
OG0000000	LOC6612634|XP_002037138.2|DSEC	LOC117897324|XP_034661985.1|DSUB
OG0000001	LOC116801168|XP_032575066.1|DSEC	LOC117902179|XP_034669231.1|DSUB
OG0000002	LOC6615482|XP_002039862.2|DSEC	LOC117891991|XP_034653760.1|DSUB
OG0000002	LOC6615481|XP_002039861.2|DSEC	LOC117891990|XP_034653758.1|DSUB
OG0000002	LOC6611325|XP_002035872.2|DSEC	LOC117899951|XP_034665996.1|DSUB
OG0000002	LOC6613615|XP_032570344.1|DSEC	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB
OG0000003	LOC6609226|XP_032570279.1|DSEC, LOC6609227|XP_002033918.2|DSEC	LOC117890983|XP_034652023.1|DSUB
OG0000003	LOC6617182|XP_002041509.2|DSEC, LOC6609229|XP_032570278.1|DSEC	LOC117890985|XP_034652025.1|DSUB
OG0000003	LOC6607893|XP_002032647.1|DSEC	LOC117890142|XP_034650721.1|DSUB
OG0000003	LOC6609222|XP_002033913.1|DSEC	LOC117890987|XP_034652029.1|DSUB
OG0000003	LOC116800691|XP_032572969.1|DSEC	LOC117890986|XP_034652027.1|DSUB
OG0000003	LOC6609221|XP_002033912.1|DSEC	LOC117890988|XP_034652030.1|DSUB
OG0000003	LOC6608196|XP_002032941.1|DSEC	LOC117890991|XP_034652033.1|DSUB
OG0000003	LOC6608194|XP_002032939.1|DSEC	LOC117890982|XP_034652022.1|DSUB
OG0000003	LOC6613508|XP_002037976.1|DSEC	LOC117900241|XP_034666421.1|DSUB
OG0000007	LOC6610954|XP_002035511.1|DSEC	LOC117894589|XP_034657628.1|DSUB
OG0000007	LOC6613406|XP_032583270.1|DSEC	LOC117900834|XP_034667236.1|DSUB
OG0000007	LOC6608215|XP_032572281.1|DSEC	LOC117890133|XP_034650711.1|DSUB
OG0000007	LOC6612871|XP_002037363.1|DSEC, LOC6612775|XP_032579057.1|DSEC	LOC117897982|XP_034662985.1|DSUB
OG0000007	LOC6613407|XP_032570241.1|DSEC	LOC117900835|XP_034667237.1|DSUB
OG0000007	LOC6604870|XP_002029715.1|DSEC	LOC117894709|XP_034657781.1|DSUB
OG0000007	LOC6613405|XP_032574637.1|DSEC	LOC117901609|XP_034668319.1|DSUB
OG0000007	LOC6610955|XP_032575304.1|DSEC	LOC117894591|XP_034657631.1|DSUB
OG0000007	LOC6610956|XP_002035513.1|DSEC	LOC117894593|XP_034657634.1|DSUB
OG0000008	LOC6619063|XP_002043304.1|DSEC	LOC117896362|XP_034660529.1|DSUB
OG0000008	LOC6610740|XP_002035306.1|DSEC	LOC117895169|XP_034658523.1|DSUB
OG0000008	LOC6610743|XP_002035309.1|DSEC	LOC117895168|XP_034658522.1|DSUB
OG0000008	LOC6617678|XP_002041991.1|DSEC	LOC117902083|XP_034669067.1|DSUB
OG0000008	LOC6610741|XP_002035307.2|DSEC	LOC117895171|XP_034658525.1|DSUB
OG0000008	LOC6614150|XP_002038603.2|DSEC, LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB
OG0000008	LOC116801478|XP_032577234.1|DSEC	LOC117898640|XP_034664094.1|DSUB
OG0000008	LOC6614149|XP_002038602.2|DSEC	LOC117898631|XP_034664083.1|DSUB
OG0000008	LOC116801482|XP_032577264.1|DSEC	LOC117898634|XP_034664087.1|DSUB
OG0000008	LOC116801721|XP_032578777.1|DSEC	LOC117898636|XP_034664090.1|DSUB
OG0000009	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC	LOC117896628|XP_034660961.1|DSUB
OG0000009	LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC	LOC117898287|XP_034663434.1|DSUB
OG0000009	LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC, LOC6619042|XP_032576485.1|DSEC	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB
OG0000009	LOC6610926|XP_032574591.1|DSEC, LOC116801150|XP_032574906.1|DSEC	LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB
OG0000009	LOC6618810|XP_002043059.1|DSEC	LOC117890282|XP_034650935.1|DSUB
OG0000009	LOC6606719|XP_002031518.1|DSEC	LOC117896426|XP_034660636.1|DSUB
OG0000009	LOC6608841|XP_002033555.1|DSEC	LOC117892376|XP_034654476.1|DSUB
OG0000009	LOC6608840|XP_002033554.1|DSEC	LOC117892374|XP_034654475.1|DSUB
OG0000010	LOC6606375|XP_032579311.1|DSEC	LOC117899454|XP_034665355.1|DSUB
