Orthogroup	DGUA.longest_only	AAEG.longest_only
OG0000002	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA	LOC5574240|XP_001661293.1|AAEG, LOC5569832|XP_001658732.2|AAEG, LOC110677006|XP_021703013.1|AAEG, LOC5574239|XP_001661294.1|AAEG, LOC5577410|XP_021711700.1|AAEG
OG0000004	LOC117591774|XP_034140974.1|DGUA	LOC110678209|XP_021706524.1|AAEG
OG0000005	LOC117581361|XP_034124384.1|DGUA	LOC110680974|XP_021712439.1|AAEG, LOC110678228|XP_021706538.1|AAEG, LOC5578778|XP_001657148.1|AAEG, LOC5578788|XP_001657158.1|AAEG, LOC110676734|XP_021701441.1|AAEG
OG0000006	LOC117591658|XP_034140872.1|DGUA	LOC110678836|XP_021708006.1|AAEG
OG0000006	LOC117591645|XP_034140861.1|DGUA	LOC110679772|XP_021711194.1|AAEG, LOC110678357|XP_021706810.1|AAEG, LOC110678358|XP_021706811.1|AAEG, LOC110679780|XP_021711203.1|AAEG, LOC5578787|XP_001657157.1|AAEG, LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG, LOC110679774|XP_021711197.1|AAEG
OG0000007	LOC117587429|XP_034133994.1|DGUA, LOC117587428|XP_034133991.1|DGUA, LOC117584024|XP_034128652.1|DGUA, LOC117592308|XP_034141873.1|DGUA, LOC117583354|XP_034127515.1|DGUA, LOC117583632|XP_034127972.1|DGUA, LOC117583285|XP_034127411.1|DGUA, LOC117583201|XP_034127296.1|DGUA, LOC117584026|XP_034128654.1|DGUA, LOC117587067|XP_034133401.1|DGUA, LOC117584025|XP_034128653.1|DGUA, LOC117587430|XP_034133997.1|DGUA, LOC117587431|XP_034133998.1|DGUA	LOC5577572|XP_001663444.2|AAEG
OG0000008	LOC117586140|XP_034131924.1|DGUA	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG
OG0000008	LOC117579398|XP_034121168.1|DGUA	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG
OG0000008	LOC117579397|XP_034121167.1|DGUA	LOC110677732|XP_021704637.1|AAEG
OG0000008	LOC117581836|XP_034125174.1|DGUA	LOC5578716|XP_001664018.2|AAEG
