Orthogroup	CQUI.longest_only	AAEG.longest_only
OG0000002	LOC6031054|XP_038118774.1|CQUI, LOC6031056|XP_001841905.2|CQUI, LOC6031055|XP_038118771.1|CQUI	LOC5571893|XP_001653803.1|AAEG
OG0000002	LOC119770491|XP_038121412.1|CQUI	LOC5570871|XP_001659383.2|AAEG
OG0000002	LOC6038317|XP_001848136.2|CQUI	LOC5572055|XP_001653820.1|AAEG, LOC110681444|XP_021712898.1|AAEG
OG0000002	LOC6031922|XP_001842608.2|CQUI	LOC5574240|XP_001661293.1|AAEG
OG0000002	LOC119766720|XP_038108058.1|CQUI	LOC5569832|XP_001658732.2|AAEG
OG0000002	LOC6048198|XP_038107103.1|CQUI, LOC6038015|XP_001847862.2|CQUI	LOC110677006|XP_021703013.1|AAEG
OG0000002	LOC6031923|XP_038114632.1|CQUI	LOC5574239|XP_001661294.1|AAEG
OG0000002	LOC119768597|XP_038114634.1|CQUI	LOC5577410|XP_021711700.1|AAEG
OG0000003	LOC6050719|XP_001867281.2|CQUI	LOC5571532|XP_001653677.1|AAEG, LOC5571524|XP_001653676.1|AAEG, LOC5571533|XP_001653678.1|AAEG, LOC5572939|XP_021702543.1|AAEG, LOC5572936|XP_021702544.1|AAEG
OG0000003	LOC6050716|XP_038110657.1|CQUI	LOC5571526|XP_001653672.1|AAEG, LOC23687976|XP_021703143.1|AAEG
OG0000003	LOC6037852|XP_038108088.1|CQUI	LOC5571529|XP_001653674.1|AAEG, LOC5571528|XP_001653673.1|AAEG
OG0000003	LOC6050718|XP_001867280.2|CQUI	LOC5571549|XP_001653671.1|AAEG
OG0000003	LOC6054221|XP_038110656.1|CQUI	LOC5571536|XP_021703140.1|AAEG
OG0000003	LOC119766556|XP_038107240.1|CQUI, LOC6034501|XP_001844806.2|CQUI, LOC6034518|XP_001844820.2|CQUI, LOC6034534|XP_001844834.2|CQUI, LOC6034520|XP_001844821.2|CQUI, LOC6034522|XP_038114383.1|CQUI, LOC6034521|XP_001844822.2|CQUI	LOC23687959|XP_011493176.1|AAEG
OG0000003	LOC6054224|XP_001870172.2|CQUI, LOC6050709|XP_001867273.2|CQUI	LOC5571540|XP_001653687.3|AAEG
OG0000003	LOC6054222|XP_038106984.1|CQUI	LOC5571537|XP_001653682.1|AAEG
OG0000003	LOC6050720|XP_001867282.2|CQUI	LOC5571531|XP_001653675.1|AAEG
OG0000003	LOC6037490|XP_001847400.2|CQUI	LOC5565578|XP_001649932.1|AAEG
OG0000003	LOC6037497|XP_001847407.2|CQUI, LOC6037496|XP_038105707.1|CQUI, LOC6037495|XP_001847405.2|CQUI	LOC110674119|XP_021693512.1|AAEG, LOC23687481|XP_021693513.1|AAEG
OG0000004	LOC6045322|XP_038104645.1|CQUI, LOC6045318|XP_038105272.1|CQUI, LOC6045334|XP_038105149.1|CQUI	LOC110679722|XP_021711141.1|AAEG, LOC110680682|XP_021712166.1|AAEG, LOC110679728|XP_021711147.1|AAEG, LOC110679724|XP_021711143.1|AAEG, LOC110678241|XP_021706552.1|AAEG, LOC110679725|XP_021711144.1|AAEG, LOC110678238|XP_021706549.1|AAEG, LOC110679726|XP_021711145.1|AAEG, LOC110679729|XP_021711149.1|AAEG, LOC110680540|XP_021712027.1|AAEG, LOC110679730|XP_021711150.1|AAEG, LOC110678233|XP_021706544.1|AAEG, LOC110678204|XP_021706522.1|AAEG, LOC110680681|XP_021712165.1|AAEG, LOC110678243|XP_021706554.1|AAEG, LOC110679036|XP_021708656.1|AAEG, LOC110679032|XP_021708651.1|AAEG, LOC110679117|XP_021708807.1|AAEG, LOC110677863|XP_021705288.1|AAEG, LOC110679102|XP_021708754.1|AAEG, LOC110680706|XP_021712187.1|AAEG, LOC110677797|XP_021705015.1|AAEG, LOC110678650|XP_021707481.1|AAEG, LOC110680705|XP_021712186.1|AAEG, LOC110677806|XP_021705025.1|AAEG, LOC110677964|XP_021705824.1|AAEG, LOC110678252|XP_021706563.1|AAEG, LOC110678165|XP_021706478.1|AAEG, LOC110680603|XP_021712095.1|AAEG, LOC110680711|XP_021712191.1|AAEG, LOC110679727|XP_021711146.1|AAEG, LOC110679031|XP_021708646.1|AAEG, LOC110679035|XP_021708655.1|AAEG, LOC110678234|XP_021706545.1|AAEG, LOC110679731|XP_021711151.1|AAEG, LOC110678242|XP_021706553.1|AAEG, LOC110678235|XP_021706546.1|AAEG, LOC110677805|XP_021705024.1|AAEG, LOC110679723|XP_021711142.1|AAEG, LOC110679732|XP_021711152.1|AAEG, LOC110681401|XP_021712835.1|AAEG, LOC110678249|XP_021706560.1|AAEG, LOC5579411|XP_021711139.1|AAEG, LOC110681222|XP_021712685.1|AAEG, LOC110680855|XP_021712340.1|AAEG, LOC110680854|XP_021712339.1|AAEG, LOC110680831|XP_021712313.1|AAEG, LOC110680845|XP_021712330.1|AAEG, LOC110680736|XP_021712218.1|AAEG, LOC110681344|XP_021712784.1|AAEG, LOC110680832|XP_021712314.1|AAEG, LOC110680844|XP_021712329.1|AAEG, LOC110681342|XP_021712783.1|AAEG, LOC110680739|XP_021712221.1|AAEG, LOC110680723|XP_021712206.1|AAEG, LOC110678125|XP_021706421.1|AAEG, LOC110680672|XP_021712155.1|AAEG, LOC110681229|XP_021712692.1|AAEG, LOC110677796|XP_021705014.1|AAEG, LOC110680718|XP_021712199.1|AAEG, LOC110680710|XP_021712190.1|AAEG, LOC110680693|XP_021712175.1|AAEG, LOC110678232|XP_021706543.1|AAEG, LOC110678258|XP_021706569.1|AAEG, LOC110680606|XP_021712097.1|AAEG, LOC110678239|XP_021706550.1|AAEG, LOC110681405|XP_021712839.1|AAEG, LOC110680541|XP_021712028.1|AAEG, LOC110680535|XP_021712022.1|AAEG
OG0000004	LOC6048217|XP_001865170.2|CQUI, LOC119767631|XP_038112541.1|CQUI	LOC110678225|XP_021706535.1|AAEG
OG0000005	LOC6045278|XP_001862667.1|CQUI, LOC6045266|XP_001862657.1|CQUI, LOC6045300|XP_001862689.1|CQUI	LOC110678306|XP_021706669.1|AAEG, LOC110679756|XP_021711178.1|AAEG, LOC110679765|XP_021711187.1|AAEG, LOC110679758|XP_021711180.1|AAEG, LOC110679757|XP_021711179.1|AAEG, LOC110678835|XP_021708005.1|AAEG, LOC110678355|XP_021706809.1|AAEG, LOC110679763|XP_021711185.1|AAEG, LOC110679761|XP_021711183.1|AAEG, LOC110679762|XP_021711184.1|AAEG, LOC110678305|XP_021706668.1|AAEG, LOC110679759|XP_021711181.1|AAEG, LOC110679792|XP_021711215.1|AAEG, LOC110678354|XP_021706808.1|AAEG, LOC110679766|XP_021711188.1|AAEG, LOC110679755|XP_021711177.1|AAEG, LOC110679770|XP_021711192.1|AAEG, LOC5579087|XP_001657281.1|AAEG, LOC110679769|XP_021711191.1|AAEG, LOC110679768|XP_021711190.1|AAEG, LOC110679767|XP_021711189.1|AAEG, LOC110679771|XP_021711193.1|AAEG, LOC110679753|XP_021711174.1|AAEG, LOC110679788|XP_021711212.1|AAEG, LOC110679760|XP_021711182.1|AAEG
OG0000006	LOC6045337|XP_001862726.1|CQUI	LOC110679786|XP_021711210.1|AAEG
OG0000006	LOC6045306|XP_001862695.1|CQUI	LOC110679783|XP_021711207.1|AAEG, LOC110678308|XP_021706672.1|AAEG, LOC110678836|XP_021708006.1|AAEG, LOC110679779|XP_021711202.1|AAEG
OG0000006	LOC6042916|XP_038112547.1|CQUI	LOC5578787|XP_001657157.1|AAEG
OG0000006	LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI	LOC110679791|XP_021711213.1|AAEG
OG0000006	LOC6054467|XP_038113044.1|CQUI	LOC5576406|XP_001662624.1|AAEG
OG0000007	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI	LOC5577572|XP_001663444.2|AAEG
OG0000008	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG
OG0000008	LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI	LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG
OG0000008	LOC6035810|XP_038119144.1|CQUI	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG
OG0000008	LOC6035812|XP_001845934.1|CQUI	LOC5573609|XP_001654720.1|AAEG
OG0000008	LOC6035807|XP_001845929.1|CQUI	LOC110677732|XP_021704637.1|AAEG
OG0000008	LOC6041962|XP_038113753.1|CQUI	LOC5578716|XP_001664018.2|AAEG
OG0000008	LOC6035809|XP_001845931.2|CQUI	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG
