Orthogroup	DSEC.longest_only	DNOV.longest_only
OG0000000	LOC6605054|XP_032575159.1|DSEC	LOC115769480|XP_030570157.1|DNOV
OG0000000	LOC6612593|XP_002037098.2|DSEC, LOC116800509|XP_032571804.1|DSEC, LOC6611330|XP_002035877.1|DSEC	LOC115758064|XP_030554438.1|DNOV
OG0000000	LOC6608865|XP_002033579.1|DSEC	LOC115760506|XP_030557727.1|DNOV
OG0000000	LOC116800964|XP_032573791.1|DSEC, LOC116801306|XP_032575998.1|DSEC	LOC115762880|XP_030561115.1|DNOV
OG0000000	LOC6609904|XP_032570140.1|DSEC, LOC6609905|XP_032572518.1|DSEC, LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC, LOC6612634|XP_002037138.2|DSEC	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000000	LOC6613854|XP_002038323.1|DSEC	LOC115762365|XP_030560399.1|DNOV
OG0000001	LOC116801168|XP_032575066.1|DSEC	LOC115768652|XP_030569188.1|DNOV
OG0000002	LOC6609498|XP_002034183.1|DSEC	LOC115758620|XP_030555217.1|DNOV
OG0000002	LOC6615482|XP_002039862.2|DSEC	LOC115759079|XP_030555811.1|DNOV
OG0000002	LOC6615481|XP_002039861.2|DSEC	LOC115762794|XP_030561011.1|DNOV
OG0000002	LOC6613615|XP_032570344.1|DSEC	LOC115759342|XP_030556121.1|DNOV
OG0000003	LOC6609226|XP_032570279.1|DSEC, LOC6609227|XP_002033918.2|DSEC	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC6609222|XP_002033913.1|DSEC	LOC115771231|XP_030572696.1|DNOV
OG0000003	LOC6609223|XP_002033914.2|DSEC	LOC115762126|XP_030560095.1|DNOV
OG0000003	LOC6608196|XP_002032941.1|DSEC	LOC115762286|XP_030560313.1|DNOV
OG0000003	LOC6608194|XP_002032939.1|DSEC	LOC115771912|XP_030573666.1|DNOV
OG0000003	LOC6613508|XP_002037976.1|DSEC	LOC115758743|XP_030555359.1|DNOV
OG0000007	LOC116800972|XP_032573823.1|DSEC	LOC115767673|XP_030567825.1|DNOV
OG0000007	LOC6610952|XP_032575303.1|DSEC, LOC6610951|XP_002035508.1|DSEC	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV
OG0000007	LOC6608215|XP_032572281.1|DSEC	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV
OG0000007	LOC6613407|XP_032570241.1|DSEC	LOC115767684|XP_030567836.1|DNOV
OG0000007	LOC6604871|XP_002029716.1|DSEC, LOC6604870|XP_002029715.1|DSEC, LOC6613405|XP_032574637.1|DSEC	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV
OG0000008	LOC6619063|XP_002043304.1|DSEC	LOC115759663|XP_030556519.1|DNOV
OG0000008	LOC6610740|XP_002035306.1|DSEC	LOC115762862|XP_030561098.1|DNOV
OG0000008	LOC6610743|XP_002035309.1|DSEC	LOC115762903|XP_030561140.1|DNOV
OG0000008	LOC6617678|XP_002041991.1|DSEC	LOC115759949|XP_030556951.1|DNOV
OG0000008	LOC6610741|XP_002035307.2|DSEC	LOC115762865|XP_030561099.1|DNOV
OG0000008	LOC6614150|XP_002038603.2|DSEC, LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV
OG0000008	LOC6614148|XP_002038601.1|DSEC, LOC116801716|XP_032578753.1|DSEC	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV
OG0000008	LOC116801478|XP_032577234.1|DSEC	LOC115765613|XP_030565123.1|DNOV
OG0000008	LOC6614149|XP_002038602.2|DSEC	LOC115765587|XP_030565097.1|DNOV
OG0000008	LOC116801482|XP_032577264.1|DSEC	LOC115765588|XP_030565098.1|DNOV
OG0000008	LOC116801721|XP_032578777.1|DSEC	LOC115765592|XP_030565101.1|DNOV
OG0000009	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC	LOC115763759|XP_030562333.1|DNOV
OG0000009	LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC	LOC115763738|XP_030562299.1|DNOV
OG0000009	LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC, LOC6619042|XP_032576485.1|DSEC	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV
OG0000009	LOC6610926|XP_032574591.1|DSEC, LOC116801150|XP_032574906.1|DSEC	LOC115765543|XP_030565028.1|DNOV
OG0000009	LOC6618810|XP_002043059.1|DSEC	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV
OG0000009	LOC6608841|XP_002033555.1|DSEC	LOC115760928|XP_030558363.1|DNOV
OG0000009	LOC6608840|XP_002033554.1|DSEC	LOC115759272|XP_030556034.1|DNOV
OG0000010	LOC6606375|XP_032579311.1|DSEC	LOC115770608|XP_030571805.1|DNOV, LOC115770584|XP_030571769.1|DNOV, LOC115759945|XP_030556945.1|DNOV
OG0000011	LOC6605627|XP_002030445.2|DSEC	LOC115769277|XP_030569859.1|DNOV
OG0000011	LOC6607077|XP_002031865.1|DSEC	LOC115765906|XP_030565511.1|DNOV
OG0000012	LOC6609925|XP_002034575.2|DSEC	LOC115760603|XP_030557904.1|DNOV
OG0000012	LOC6609924|XP_002034574.2|DSEC	LOC115760694|XP_030558018.1|DNOV
OG0000012	LOC6609923|XP_032571611.1|DSEC	LOC115760695|XP_030558019.1|DNOV
OG0000012	LOC6609926|XP_002034576.1|DSEC	LOC115760604|XP_030557906.1|DNOV
OG0000012	LOC6609929|XP_032571342.1|DSEC, LOC6609927|XP_002034577.1|DSEC	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV
OG0000012	LOC6608817|XP_032571423.1|DSEC, LOC6608818|XP_032571424.1|DSEC, LOC6608819|XP_002033533.2|DSEC, LOC6608820|XP_032571616.1|DSEC	LOC115760685|XP_030558012.1|DNOV
OG0000012	LOC6608821|XP_032571618.1|DSEC, LOC6608822|XP_032571615.1|DSEC	LOC115761057|XP_030558532.1|DNOV
OG0000013	LOC6609116|XP_002033818.1|DSEC	LOC115761021|XP_030558495.1|DNOV
OG0000013	LOC6619913|XP_032582274.1|DSEC	LOC115766810|XP_030566705.1|DNOV
OG0000013	LOC6606301|XP_002031106.1|DSEC	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV
OG0000013	LOC6605619|XP_032575697.1|DSEC	LOC115766188|XP_030565895.1|DNOV
OG0000013	LOC6606578|XP_002031379.1|DSEC	LOC115761668|XP_030559377.1|DNOV
OG0000013	LOC6607674|XP_002032439.2|DSEC	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV
