Orthogroup	DNOV.longest_only	DVIR.longest_only
OG0000000	LOC115762358|XP_030560387.1|DNOV	LOC6636425|XP_032292006.1|DVIR
OG0000000	LOC115769480|XP_030570157.1|DNOV	LOC6623450|XP_002047287.1|DVIR
OG0000000	LOC115758064|XP_030554438.1|DNOV	LOC6627198|XP_032293006.1|DVIR
OG0000000	LOC115760506|XP_030557727.1|DNOV	LOC6625157|XP_032292502.1|DVIR
OG0000000	LOC115762366|XP_030560401.1|DNOV	LOC6625560|XP_032292064.1|DVIR
OG0000000	LOC115762368|XP_030560403.1|DNOV	LOC6625461|XP_032292063.1|DVIR
OG0000000	LOC115762369|XP_030560404.1|DNOV	LOC6625459|XP_002048889.2|DVIR
OG0000000	LOC115762370|XP_030560405.1|DNOV	LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR
OG0000000	LOC115764637|XP_030563666.1|DNOV	LOC6630220|XP_002054794.2|DVIR
OG0000000	LOC115762365|XP_030560399.1|DNOV	LOC6636429|XP_032291674.1|DVIR
OG0000001	LOC115763936|XP_030562591.1|DNOV, LOC115763934|XP_030562589.1|DNOV, LOC115763935|XP_030562590.1|DNOV	LOC116650073|XP_032289315.1|DVIR, LOC116649967|XP_032289174.1|DVIR
OG0000001	LOC115768652|XP_030569188.1|DNOV	LOC116650307|XP_032289663.1|DVIR
OG0000002	LOC115758620|XP_030555217.1|DNOV	LOC6625292|XP_002049777.1|DVIR
OG0000002	LOC115759079|XP_030555811.1|DNOV	LOC6627081|XP_002049906.2|DVIR
OG0000002	LOC115762794|XP_030561011.1|DNOV	LOC6627080|XP_002049905.2|DVIR
OG0000002	LOC115766569|XP_030566411.1|DNOV	LOC6625606|XP_002049101.2|DVIR
OG0000002	LOC115766589|XP_030566435.1|DNOV, LOC115766551|XP_030566386.1|DNOV	LOC26531234|XP_015030301.1|DVIR, LOC26531370|XP_015030317.1|DVIR, LOC26530966|XP_015030266.1|DVIR
OG0000002	LOC115766590|XP_030566436.1|DNOV	LOC26531544|XP_015030345.1|DVIR
OG0000002	LOC115763088|XP_030561386.1|DNOV	LOC26531429|XP_015025398.1|DVIR
OG0000002	LOC115766526|XP_030566353.1|DNOV	LOC6626597|XP_002049033.2|DVIR
OG0000002	LOC115759342|XP_030556121.1|DNOV	LOC6628707|XP_002051325.3|DVIR
OG0000003	LOC115771220|XP_030572684.1|DNOV	LOC6625469|XP_002049673.1|DVIR
OG0000003	LOC115771209|XP_030572672.1|DNOV	LOC6625468|XP_002049672.1|DVIR
OG0000003	LOC115762126|XP_030560095.1|DNOV	LOC6625082|XP_002050483.2|DVIR
OG0000003	LOC115763094|XP_030561396.1|DNOV	LOC6624735|XP_002049738.1|DVIR
OG0000003	LOC115762286|XP_030560313.1|DNOV	LOC6625464|XP_002049668.1|DVIR
OG0000003	LOC115771912|XP_030573666.1|DNOV	LOC6625463|XP_002049667.1|DVIR
OG0000003	LOC115758743|XP_030555359.1|DNOV	LOC6627946|XP_002051419.1|DVIR
OG0000004	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR
OG0000004	LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV	LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR
OG0000004	LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV	LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR
OG0000005	LOC115770819|XP_030572101.1|DNOV	LOC116649820|XP_032288853.1|DVIR
OG0000005	LOC115770899|XP_030572193.1|DNOV	LOC6630835|XP_002053111.1|DVIR
