Orthogroup	DMIR.longest_only	HILL.longest_only
OG0000000	LOC108150869|XP_017134661.1|DMIR, LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR, LOC117187734|XP_033246410.1|DMIR, LOC108158045|XP_017145679.2|DMIR, LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR, LOC117185812|XP_033243800.1|DMIR, LOC108165373|XP_017156898.2|DMIR, LOC108151290|XP_017135310.1|DMIR, LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR, LOC108153842|XP_033245237.1|DMIR, LOC108156429|XP_017143371.1|DMIR, LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR, LOC117187703|XP_033246307.1|DMIR, LOC108158063|XP_017145701.1|DMIR, LOC108159866|XP_033253985.1|DMIR, LOC117193681|XP_033254307.1|DMIR, LOC117185879|XP_033246561.1|DMIR, LOC108158064|XP_033254350.1|DMIR, LOC117193739|XP_033254355.1|DMIR, LOC108154033|XP_017139614.1|DMIR, LOC108154065|XP_033245991.1|DMIR, LOC117187434|XP_033245992.1|DMIR, LOC108153951|XP_017139538.1|DMIR, LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR, LOC117192382|XP_033252940.1|DMIR, LOC117192383|XP_033252942.1|DMIR, LOC108158670|XP_033246362.1|DMIR, LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR, LOC108154608|XP_017140414.2|DMIR, LOC108154051|XP_017139631.2|DMIR, LOC108154052|XP_017139633.1|DMIR, LOC108153871|XP_033244797.1|DMIR, LOC108153866|XP_017139453.1|DMIR, LOC108154580|XP_017140371.1|DMIR, LOC117187432|XP_033245983.1|DMIR, LOC108154586|XP_017140379.1|DMIR, LOC108153991|XP_033246108.1|DMIR, LOC108153868|XP_017139455.1|DMIR, LOC108154010|XP_033246058.1|DMIR	LOC119652011|XP_037911873.1|HILL, LOC119652012|XP_037911875.1|HILL, LOC119653139|XP_037913599.1|HILL
OG0000001	LOC117191691|XP_033252383.1|DMIR, LOC117191935|XP_033252574.1|DMIR, LOC117186833|XP_033244022.1|DMIR	LOC119661370|XP_037926620.1|HILL
OG0000001	LOC117190118|XP_033251096.1|DMIR, LOC117192385|XP_033252944.1|DMIR	LOC119652094|XP_037911959.1|HILL, LOC119660036|XP_037924343.1|HILL, LOC119658791|XP_037922472.1|HILL, LOC119652107|XP_037911976.1|HILL, LOC119650990|XP_037910185.1|HILL, LOC119657005|XP_037919675.1|HILL, LOC119660089|XP_037924394.1|HILL, LOC119661389|XP_037926645.1|HILL, LOC119652095|XP_037911960.1|HILL, LOC119658865|XP_037922596.1|HILL, LOC119660039|XP_037924346.1|HILL, LOC119660035|XP_037924342.1|HILL, LOC119657006|XP_037919676.1|HILL, LOC119652106|XP_037911975.1|HILL, LOC119653218|XP_037913755.1|HILL, LOC119661742|XP_037927137.1|HILL, LOC119646428|XP_037902804.1|HILL, LOC119659075|XP_037922916.1|HILL, LOC119661593|XP_037926924.1|HILL, LOC119648480|XP_037906171.1|HILL, LOC119648633|XP_037906331.1|HILL, LOC119648461|XP_037906147.1|HILL, LOC119656896|XP_037919504.1|HILL, LOC119661061|XP_037926186.1|HILL, LOC119652097|XP_037911963.1|HILL, LOC119654017|XP_037915107.1|HILL, LOC119651774|XP_037911501.1|HILL
OG0000001	LOC117187188|XP_033245213.1|DMIR, LOC117187189|XP_033245214.1|DMIR, LOC117192881|XP_033253519.1|DMIR	LOC119661654|XP_037927016.1|HILL, LOC119660048|XP_037924354.1|HILL
OG0000001	LOC117192523|XP_033253108.1|DMIR, LOC117189926|XP_033250889.1|DMIR	LOC119661083|XP_037926201.1|HILL, LOC119659107|XP_037922958.1|HILL, LOC119660022|XP_037924328.1|HILL, LOC119659079|XP_037922920.1|HILL, LOC119646359|XP_037902724.1|HILL, LOC119648631|XP_037906328.1|HILL, LOC119653988|XP_037915077.1|HILL, LOC119659083|XP_037922924.1|HILL, LOC119661419|XP_037926691.1|HILL, LOC119646789|XP_037903302.1|HILL, LOC119648508|XP_037906205.1|HILL, LOC119650839|XP_037909907.1|HILL, LOC119646145|XP_037902435.1|HILL, LOC119661666|XP_037927033.1|HILL, LOC119650916|XP_037910069.1|HILL, LOC119659121|XP_037922974.1|HILL, LOC119658148|XP_037921344.1|HILL, LOC119652789|XP_037913066.1|HILL, LOC119654156|XP_037915247.1|HILL, LOC119648499|XP_037906194.1|HILL, LOC119661543|XP_037926858.1|HILL, LOC119648467|XP_037906155.1|HILL, LOC119650835|XP_037909904.1|HILL
OG0000001	LOC117190783|XP_033251735.1|DMIR	LOC119654039|XP_037915129.1|HILL, LOC119660013|XP_037924320.1|HILL, LOC119653947|XP_037915036.1|HILL, LOC119654018|XP_037915108.1|HILL, LOC119658214|XP_037921408.1|HILL, LOC119647230|XP_037904000.1|HILL, LOC119652059|XP_037911925.1|HILL
OG0000003	LOC108160275|XP_017149646.1|DMIR	LOC119646552|XP_037902958.1|HILL, LOC119646761|XP_037903268.1|HILL, LOC119651394|XP_037910909.1|HILL, LOC119651410|XP_037910934.1|HILL, LOC119651341|XP_037910836.1|HILL, LOC119651361|XP_037910862.1|HILL, LOC119651402|XP_037910921.1|HILL, LOC119646704|XP_037903212.1|HILL, LOC119646686|XP_037903176.1|HILL
OG0000003	LOC108163634|XP_017154532.1|DMIR	LOC119658042|XP_037921211.1|HILL, LOC119661480|XP_037926772.1|HILL, LOC119647016|XP_037903683.1|HILL, LOC119646679|XP_037903148.1|HILL, LOC119648664|XP_037906375.1|HILL, LOC119647324|XP_037904183.1|HILL, LOC119646798|XP_037903319.1|HILL, LOC119646783|XP_037903295.1|HILL, LOC119646792|XP_037903309.1|HILL, LOC119659506|XP_037923565.1|HILL
OG0000004	LOC108156703|XP_017143841.1|DMIR, LOC117187288|XP_033245550.1|DMIR, LOC117187289|XP_033245551.1|DMIR, LOC117187287|XP_033245549.1|DMIR, LOC117187293|XP_033245555.1|DMIR, LOC117187292|XP_033245554.1|DMIR, LOC117187295|XP_033245557.1|DMIR, LOC117187291|XP_033245553.1|DMIR, LOC117187294|XP_033245556.1|DMIR, LOC117187290|XP_033245552.1|DMIR	LOC119655289|XP_037917033.1|HILL, LOC119655294|XP_037917042.1|HILL, LOC119655352|XP_037917132.1|HILL, LOC119655385|XP_037917184.1|HILL, LOC119655384|XP_037917183.1|HILL, LOC119655334|XP_037917106.1|HILL, LOC119655976|XP_037918138.1|HILL, LOC119655977|XP_037918139.1|HILL, LOC119655668|XP_037917584.1|HILL, LOC119655298|XP_037917051.1|HILL, LOC119655206|XP_037916906.1|HILL, LOC119655430|XP_037917248.1|HILL, LOC119655427|XP_037917246.1|HILL, LOC119653477|XP_037914027.1|HILL, LOC119654828|XP_037916324.1|HILL, LOC119655484|XP_037917314.1|HILL, LOC119653469|XP_037914014.1|HILL, LOC119654937|XP_037916518.1|HILL, LOC119655324|XP_037917091.1|HILL, LOC119655296|XP_037917049.1|HILL
OG0000005	LOC117188269|XP_033247714.1|DMIR, LOC117186052|XP_033242023.1|DMIR, LOC108164485|XP_017155735.2|DMIR	LOC119651767|XP_037911435.1|HILL
