Orthogroup	DANA.longest_only	DVIR.longest_only
OG0000000	LOC26513897|XP_014765549.1|DANA	LOC6623450|XP_002047287.1|DVIR
OG0000000	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA, LOC6496234|XP_001960509.1|DANA	LOC6627198|XP_032293006.1|DVIR
OG0000000	LOC6494335|XP_001960511.2|DANA	LOC6625157|XP_032292502.1|DVIR
OG0000000	LOC6494112|XP_001960945.2|DANA, LOC6502509|XP_001960943.2|DANA, LOC6499064|XP_032305682.1|DANA	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR
OG0000002	LOC6494276|XP_032306810.1|DANA, LOC6502541|XP_001958679.1|DANA	LOC6625292|XP_002049777.1|DVIR
OG0000002	LOC6496130|XP_001960293.1|DANA	LOC6627081|XP_002049906.2|DVIR
OG0000002	LOC6502577|XP_001960292.2|DANA	LOC6627080|XP_002049905.2|DVIR
OG0000002	LOC116655418|XP_032309202.1|DANA	LOC6626597|XP_002049033.2|DVIR
OG0000003	LOC6495486|XP_001958950.1|DANA, LOC6495485|XP_001958948.1|DANA	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR
OG0000003	LOC6495153|XP_001958951.2|DANA	LOC6625082|XP_002050483.2|DVIR
OG0000003	LOC6495217|XP_001958825.1|DANA	LOC6625464|XP_002049668.1|DVIR
OG0000003	LOC6495430|XP_001958829.1|DANA, LOC6495216|XP_001958826.1|DANA	LOC6625463|XP_002049667.1|DVIR
OG0000005	LOC6506069|XP_001967796.1|DANA	LOC6636998|XP_002060428.1|DVIR, LOC26530621|XP_015023595.2|DVIR
OG0000005	LOC116655707|XP_032309463.1|DANA	LOC116649813|XP_032288842.1|DVIR
OG0000005	LOC116655987|XP_032310872.1|DANA	LOC116649817|XP_032288847.1|DVIR
OG0000005	LOC6505206|XP_001964809.1|DANA	LOC6630835|XP_002053111.1|DVIR
OG0000006	LOC6501746|XP_001967749.1|DANA	LOC116649808|XP_032288834.1|DVIR
OG0000006	LOC116656005|XP_032310965.1|DANA	LOC6637262|XP_032288828.1|DVIR
OG0000006	LOC6506066|XP_032309425.1|DANA, LOC6507218|XP_001956446.1|DANA	LOC6630084|XP_002053094.1|DVIR
OG0000007	LOC6493534|XP_001957954.1|DANA	LOC6623030|XP_002046517.1|DVIR
OG0000007	LOC6493532|XP_001957952.1|DANA, LOC6493531|XP_001957951.1|DANA	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR
OG0000007	LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA	LOC116650729|XP_032291101.1|DVIR
OG0000007	LOC6504214|XP_001965140.1|DANA	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR
OG0000007	LOC6492986|XP_032310804.1|DANA, LOC6507027|XP_001956797.1|DANA, LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR
OG0000008	LOC6501231|XP_001954812.1|DANA	LOC6629514|XP_002054585.2|DVIR
OG0000008	LOC6506513|XP_001957739.1|DANA	LOC6623720|XP_002046325.3|DVIR
OG0000008	LOC6493433|XP_001957742.1|DANA	LOC6622211|XP_002046327.1|DVIR
OG0000008	LOC6504295|XP_001965067.1|DANA	LOC6627554|XP_002052288.1|DVIR
OG0000008	LOC6506512|XP_001957740.2|DANA	LOC26531283|XP_015031719.1|DVIR
OG0000008	LOC6499974|XP_001953515.1|DANA	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR
OG0000008	LOC6499973|XP_001953518.1|DANA	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR
OG0000008	LOC6500585|XP_001953520.1|DANA	LOC6631289|XP_002053528.2|DVIR
OG0000008	LOC6500584|XP_001953519.1|DANA	LOC6631288|XP_002053527.1|DVIR
OG0000008	LOC6499972|XP_001953521.2|DANA	LOC6631290|XP_002053529.1|DVIR
OG0000009	LOC6500401|XP_001953140.1|DANA	LOC6632445|XP_002056511.1|DVIR
OG0000009	LOC6500399|XP_001953138.1|DANA	LOC6632323|XP_002056506.1|DVIR
OG0000009	LOC6500144|XP_001953137.1|DANA, LOC6500400|XP_001953139.2|DANA	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR
OG0000009	LOC6506633|XP_001957500.1|DANA	LOC6635767|XP_032294717.1|DVIR
OG0000009	LOC6494113|XP_001960938.1|DANA	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR
OG0000009	LOC6494922|XP_001959416.1|DANA	LOC6626542|XP_002050752.1|DVIR
OG0000009	LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA, LOC6494924|XP_001959414.1|DANA	LOC6628883|XP_002051663.1|DVIR
OG0000010	LOC6500231|XP_001952977.1|DANA	LOC116649822|XP_032288857.1|DVIR, LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR
OG0000010	LOC116656007|XP_032310968.1|DANA	LOC6637215|XP_002060533.1|DVIR, LOC116649823|XP_032288859.1|DVIR, LOC6636962|XP_002060409.1|DVIR
OG0000011	LOC6502839|XP_001957409.2|DANA	LOC6623065|XP_002048503.2|DVIR
OG0000011	LOC6499942|XP_001953585.2|DANA	LOC6635697|XP_002059270.2|DVIR
OG0000012	LOC6495461|XP_014763319.1|DANA	LOC6624922|XP_002050777.1|DVIR
OG0000012	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA	LOC6625019|XP_002050778.1|DVIR
OG0000012	LOC6495181|XP_001958900.1|DANA	LOC6625021|XP_002050780.1|DVIR
OG0000012	LOC6495184|XP_001958896.1|DANA	LOC6624921|XP_015029085.1|DVIR
OG0000012	LOC6495189|XP_001958891.1|DANA, LOC6495188|XP_001958892.1|DANA, LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA, LOC6495185|XP_001958895.2|DANA	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR
OG0000012	LOC6495691|XP_001959390.1|DANA, LOC6495692|XP_001959391.1|DANA, LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA, LOC26514216|XP_014763990.1|DANA	LOC6627005|XP_002050771.1|DVIR
OG0000012	LOC6495695|XP_001959394.1|DANA, LOC6495696|XP_032306537.1|DANA	LOC6627004|XP_002050770.1|DVIR
OG0000013	LOC6494224|XP_001960708.1|DANA	LOC6626677|XP_002050872.1|DVIR
OG0000013	LOC6502959|XP_001963513.1|DANA	LOC6633411|XP_015025597.1|DVIR
OG0000013	LOC6494241|XP_001965950.1|DANA	LOC6630204|XP_002053707.1|DVIR
OG0000013	LOC6506687|XP_032309811.1|DANA	LOC6622085|XP_002048525.1|DVIR
OG0000013	LOC6500356|XP_001953043.1|DANA	LOC6632892|XP_002056192.1|DVIR
OG0000013	LOC6500746|XP_001953834.1|DANA	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR
OG0000013	LOC116655736|XP_032309488.1|DANA, LOC6499424|XP_001954664.1|DANA, LOC6501160|XP_001954666.1|DANA, LOC6501159|XP_001954665.1|DANA, LOC6502045|XP_032309431.1|DANA	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR
OG0000014	LOC116655080|XP_032308035.1|DANA	LOC116650074|XP_032289316.1|DVIR
OG0000014	LOC116655389|XP_032309141.1|DANA, LOC26514258|XP_032311543.1|DANA, LOC116655395|XP_032309151.1|DANA, LOC116656478|XP_032312029.1|DANA, LOC116655083|XP_032308038.1|DANA, LOC26514016|XP_032312054.1|DANA, LOC116656386|XP_032311769.1|DANA	LOC116649966|XP_032289172.1|DVIR, LOC116649899|XP_032289057.1|DVIR
