Orthogroup	DSUB.longest_only	CPIP.longest_only
OG0000002	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB	LOC120419546|XP_039438193.1|CPIP, LOC120419521|XP_039438165.1|CPIP, LOC120418402|XP_039436711.1|CPIP, LOC120414094|XP_039431052.1|CPIP, LOC120418401|XP_039436709.1|CPIP, LOC120421142|XP_039440266.1|CPIP, LOC120424995|XP_039445299.1|CPIP, LOC120422665|XP_039442103.1|CPIP, LOC120422680|XP_039442124.1|CPIP, LOC120420901|XP_039439958.1|CPIP, LOC120422657|XP_039442096.1|CPIP, LOC120422666|XP_039442104.1|CPIP, LOC120422654|XP_039442094.1|CPIP, LOC120422658|XP_039442097.1|CPIP, LOC120420898|XP_039439952.1|CPIP, LOC120419545|XP_039438192.1|CPIP, LOC120419977|XP_039438786.1|CPIP, LOC120424991|XP_039445294.1|CPIP
OG0000005	LOC117900068|XP_034666166.1|DSUB	LOC120415438|XP_039432920.1|CPIP, LOC120430243|XP_039451256.1|CPIP, LOC120425531|XP_039446020.1|CPIP, LOC120425546|XP_039446041.1|CPIP, LOC120425522|XP_039446010.1|CPIP, LOC120415356|XP_039432779.1|CPIP
OG0000007	LOC117894702|XP_034657776.1|DSUB, LOC117894589|XP_034657628.1|DSUB, LOC117900834|XP_034667236.1|DSUB, LOC117890133|XP_034650711.1|DSUB, LOC117897873|XP_034662839.1|DSUB, LOC117897862|XP_034662826.1|DSUB, LOC117897982|XP_034662985.1|DSUB, LOC117900835|XP_034667237.1|DSUB, LOC117894709|XP_034657781.1|DSUB, LOC117901609|XP_034668319.1|DSUB, LOC117894591|XP_034657631.1|DSUB, LOC117894593|XP_034657634.1|DSUB	LOC120412432|XP_039428825.1|CPIP, LOC120412413|XP_039428810.1|CPIP, LOC120412387|XP_039428758.1|CPIP, LOC120412425|XP_039428820.1|CPIP
OG0000008	LOC117896362|XP_034660529.1|DSUB	LOC120426154|XP_039446807.1|CPIP, LOC120426153|XP_039446806.1|CPIP, LOC120426147|XP_039446799.1|CPIP
OG0000008	LOC117895169|XP_034658523.1|DSUB	LOC120421629|XP_039440794.1|CPIP, LOC120421652|XP_039440822.1|CPIP, LOC120421673|XP_039440840.1|CPIP
OG0000008	LOC117895168|XP_034658522.1|DSUB	LOC120421619|XP_039440783.1|CPIP
OG0000008	LOC117902083|XP_034669067.1|DSUB	LOC120421726|XP_039440908.1|CPIP
OG0000008	LOC117895171|XP_034658525.1|DSUB	LOC120421683|XP_039440852.1|CPIP
OG0000009	LOC117896628|XP_034660961.1|DSUB, LOC117898287|XP_034663434.1|DSUB, LOC117899151|XP_034664850.1|DSUB, LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB, LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB, LOC117890282|XP_034650935.1|DSUB, LOC117896426|XP_034660636.1|DSUB, LOC117892376|XP_034654476.1|DSUB, LOC117892374|XP_034654475.1|DSUB	LOC120426658|XP_039447384.1|CPIP, LOC120429628|XP_039450593.1|CPIP, LOC120421295|XP_039440420.1|CPIP, LOC120421293|XP_039440418.1|CPIP, LOC120430193|XP_039451208.1|CPIP, LOC120430194|XP_039451209.1|CPIP, LOC120430179|XP_039451193.1|CPIP, LOC120414768|XP_039432015.1|CPIP, LOC120414769|XP_039432016.1|CPIP, LOC120422527|XP_039441920.1|CPIP, LOC120413328|XP_039430036.1|CPIP, LOC120413359|XP_039430078.1|CPIP, LOC120413353|XP_039430071.1|CPIP, LOC120422471|XP_039441860.1|CPIP, LOC120422470|XP_039441859.1|CPIP, LOC120422469|XP_039441857.1|CPIP, LOC120422468|XP_039441855.1|CPIP
OG0000010	LOC117899454|XP_034665355.1|DSUB	LOC120415441|XP_039432923.1|CPIP
