Orthogroup	DBIA.longest_only	DSUP.longest_only
OG0000000	LOC108034778|XP_016965225.1|DBIA	LOC119555218|XP_037722409.1|DSUP
OG0000000	LOC108034464|XP_016964837.1|DBIA	LOC119555236|XP_037722444.1|DSUP
OG0000000	LOC108029324|XP_016957007.1|DBIA	LOC119551980|XP_037717623.1|DSUP
OG0000000	LOC108029053|XP_016956604.1|DBIA	LOC119548573|XP_037711818.1|DSUP
OG0000000	LOC108031338|XP_016960091.1|DBIA	LOC119560985|XP_037730690.1|DSUP
OG0000000	LOC108029341|XP_016957023.1|DBIA	LOC119551998|XP_037717650.1|DSUP
OG0000000	LOC108034429|XP_016964803.1|DBIA	LOC119555358|XP_037722624.1|DSUP
OG0000000	LOC108034424|XP_016964798.1|DBIA	LOC119555354|XP_037722619.1|DSUP
OG0000000	LOC108034427|XP_016964800.1|DBIA	LOC119555355|XP_037722621.1|DSUP
OG0000000	LOC108034428|XP_016964801.1|DBIA	LOC119555357|XP_037722623.1|DSUP
OG0000000	LOC108034426|XP_016964799.1|DBIA	LOC119552809|XP_037718575.1|DSUP
OG0000000	LOC108022107|XP_016946439.1|DBIA	LOC119549854|XP_037714077.1|DSUP
OG0000000	LOC108024280|XP_016949667.1|DBIA	LOC119563094|XP_037732252.1|DSUP
OG0000000	LOC108024997|XP_016950742.1|DBIA	LOC119551506|XP_037716808.1|DSUP
OG0000000	LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA	LOC119562944|XP_037732029.1|DSUP
OG0000000	LOC108024999|XP_016950744.1|DBIA	LOC119554400|XP_037721217.1|DSUP
OG0000000	LOC108031001|XP_016959690.1|DBIA	LOC119553046|XP_037719085.1|DSUP
OG0000000	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA	LOC119546175|XP_037708225.1|DSUP
OG0000000	LOC108030080|XP_016958186.1|DBIA	LOC119549570|XP_037713651.1|DSUP
OG0000000	LOC108033578|XP_016963412.1|DBIA	LOC119548144|XP_037711170.1|DSUP
OG0000000	LOC108025172|XP_016950938.1|DBIA	LOC119562016|XP_037731317.1|DSUP
OG0000000	LOC108025165|XP_016950931.1|DBIA	LOC119554309|XP_037721101.1|DSUP
OG0000000	LOC108025419|XP_016951390.1|DBIA	LOC119563229|XP_037732462.1|DSUP
OG0000000	LOC108032345|XP_016961644.1|DBIA	LOC119547184|XP_037709847.1|DSUP
OG0000000	LOC108023058|XP_016947798.1|DBIA	LOC119552082|XP_037717789.1|DSUP
OG0000000	LOC108028940|XP_016956448.1|DBIA	LOC119547564|XP_037710393.1|DSUP
OG0000000	LOC108033274|XP_016963030.1|DBIA	LOC119546339|XP_037708468.1|DSUP
OG0000000	LOC108033239|XP_016962994.1|DBIA	LOC119548570|XP_037711816.1|DSUP
OG0000000	LOC108022121|XP_016946451.1|DBIA	LOC119549837|XP_037714044.1|DSUP
OG0000000	LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA	LOC119549843|XP_037714063.1|DSUP
OG0000000	LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA	LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP
OG0000000	LOC108024473|XP_016949882.1|DBIA	LOC119563146|XP_037732330.1|DSUP
OG0000000	LOC108032904|XP_016962446.1|DBIA	LOC119560562|XP_037730007.1|DSUP
OG0000000	LOC108034432|XP_016964806.1|DBIA	LOC119552808|XP_037718574.1|DSUP
OG0000000	LOC108034431|XP_016964805.1|DBIA	LOC119555364|XP_037722629.1|DSUP, LOC119555366|XP_037722632.1|DSUP
OG0000000	LOC108034430|XP_016964804.1|DBIA	LOC119555363|XP_037722628.1|DSUP
OG0000000	LOC108027980|XP_016955095.1|DBIA	LOC119555440|XP_037722739.1|DSUP
OG0000000	LOC108032244|XP_016961600.1|DBIA	LOC119555832|XP_037723387.1|DSUP
OG0000001	LOC108036881|XP_016968745.1|DBIA	LOC119561984|XP_037731306.1|DSUP
OG0000001	LOC108030270|XP_016958969.1|DBIA	LOC119562263|XP_037731367.1|DSUP, LOC119562262|XP_037731366.1|DSUP, LOC119559638|XP_037728615.1|DSUP, LOC119559616|XP_037728581.1|DSUP, LOC119559159|XP_037728155.1|DSUP, LOC119561856|XP_037731264.1|DSUP, LOC119562326|XP_037731412.1|DSUP, LOC119562410|XP_037731533.1|DSUP, LOC119559150|XP_037728149.1|DSUP, LOC119562357|XP_037731447.1|DSUP
OG0000002	LOC108036386|XP_016967980.1|DBIA	LOC119550810|XP_037715678.1|DSUP
OG0000002	LOC108022558|XP_016947041.1|DBIA	LOC119551092|XP_037716195.1|DSUP
OG0000002	LOC108022153|XP_016946484.1|DBIA	LOC119551091|XP_037716194.1|DSUP
OG0000002	LOC108029010|XP_016956543.1|DBIA	LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP
