Orthogroup	DSER.longest_only	DMEL.longest_only
OG0000000	LOC110188492|XP_020813881.1|DSER	CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL
OG0000000	LOC110181445|XP_020804849.1|DSER	CG33775|NP_001027410.1|DMEL
OG0000000	LOC110190735|XP_020817016.1|DSER	CG33687|NP_001027130.2|DMEL
OG0000000	LOC110190738|XP_020817019.1|DSER	CG33690|NP_001368948.1|DMEL
OG0000000	LOC110190736|XP_020817017.1|DSER	CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL
OG0000000	LOC110184046|XP_020808080.1|DSER	CG12849|NP_611969.2|DMEL
OG0000000	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER	CG33773|NP_001027213.1|DMEL
OG0000000	LOC110184021|XP_020808046.1|DSER	CG33723|NP_001027235.1|DMEL, CG33658|NP_001027209.1|DMEL
OG0000000	LOC110176723|XP_020798824.1|DSER, LOC110178370|XP_020801166.1|DSER	CG33777|NP_001027108.1|DMEL
OG0000000	LOC110186288|XP_020811061.1|DSER	CG33483|NP_001189327.1|DMEL
OG0000000	LOC110185901|XP_020810577.1|DSER	CG33648|NP_001027265.2|DMEL
OG0000000	LOC110187976|XP_020813156.1|DSER	CG33721|NP_001036743.1|DMEL
OG0000000	LOC110184825|XP_020809128.1|DSER	CG33928|NP_001027276.1|DMEL
OG0000000	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER	CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL
OG0000000	LOC110177452|XP_020799845.1|DSER	CG14518|NP_651653.2|DMEL
OG0000000	LOC110187957|XP_020813134.1|DSER	CG33927|NP_001027147.1|DMEL
OG0000000	LOC110190733|XP_020817014.1|DSER	CG33796|NP_001027128.1|DMEL
OG0000000	LOC110190479|XP_020816650.1|DSER	CG33795|NP_001027129.2|DMEL
OG0000000	LOC110185197|XP_020809581.1|DSER	CG33725|NP_001027125.1|DMEL
OG0000002	LOC110191937|XP_020818616.1|DSER	CG5550|NP_001246376.1|DMEL
OG0000002	LOC110177829|XP_020800431.1|DSER	CG30281|NP_726164.1|DMEL
OG0000002	LOC110177830|XP_020800433.1|DSER	CG30280|NP_611641.6|DMEL
OG0000002	LOC110189677|XP_020815494.1|DSER	CG31832|NP_723894.2|DMEL
OG0000002	LOC110189091|XP_020814726.1|DSER	CG7668|NP_649170.1|DMEL
OG0000002	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER	CG9500|NP_609018.3|DMEL
OG0000003	LOC110177692|XP_020800174.1|DSER	Cyp6a9|NP_523748.2|DMEL
OG0000003	LOC110177680|XP_020800160.1|DSER	Cyp6a21|NP_611003.2|DMEL
OG0000003	LOC110177747|XP_020800264.1|DSER	Cyp6a8|NP_523749.2|DMEL
OG0000003	LOC110189782|XP_020815670.1|DSER	Cyp6a2|NP_523628.1|DMEL
OG0000003	LOC110177689|XP_020800171.1|DSER	Cyp6a23|NP_611000.2|DMEL
OG0000003	LOC110177694|XP_020800177.1|DSER	Cyp6a19|NP_611001.2|DMEL
OG0000003	LOC110177690|XP_020800172.1|DSER	Cyp6a22|NP_652075.1|DMEL
OG0000003	LOC110188514|XP_020813952.1|DSER	Cyp6a13|NP_610390.1|DMEL
OG0000003	LOC110182737|XP_020806498.1|DSER	Cyp6a16|NP_001285631.1|DMEL
