Orthogroup	DSUP.longest_only	DSIM.longest_only
OG0000000	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP	LOC6737447|XP_016031216.1|DSIM
OG0000000	LOC119548573|XP_037711818.1|DSUP	LOC6732391|XP_002079512.1|DSIM
OG0000000	LOC119560985|XP_037730690.1|DSUP	LOC6728686|XP_016035358.1|DSIM
OG0000000	LOC119551998|XP_037717650.1|DSUP	LOC6734183|XP_002081212.2|DSIM
OG0000000	LOC119555358|XP_037722624.1|DSUP	LOC6738254|XP_039150029.1|DSIM
OG0000000	LOC119555354|XP_037722619.1|DSUP	LOC6738257|XP_016032137.1|DSIM
OG0000000	LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP	LOC6738255|XP_016032135.1|DSIM
OG0000000	LOC119552809|XP_037718575.1|DSUP	LOC6738256|XP_002085068.1|DSIM
OG0000000	LOC119549854|XP_037714077.1|DSUP	LOC6736137|XP_002083037.1|DSIM
OG0000000	LOC119551506|XP_037716808.1|DSUP	LOC6730724|XP_016023153.2|DSIM
OG0000000	LOC119554400|XP_037721217.1|DSUP	LOC6730293|XP_039151545.1|DSIM
OG0000000	LOC119546175|XP_037708225.1|DSUP	LOC6731633|XP_002078773.1|DSIM
OG0000000	LOC119549570|XP_037713651.1|DSUP	LOC6734670|XP_039148016.1|DSIM
OG0000000	LOC119555097|XP_037722243.1|DSUP	LOC27209298|XP_016030381.1|DSIM, LOC6738897|XP_002085692.1|DSIM, LOC6734178|XP_002081207.1|DSIM
OG0000000	LOC119548144|XP_037711170.1|DSUP	LOC6730565|XP_016023011.1|DSIM, LOC6730566|XP_002077745.1|DSIM
OG0000000	LOC119554309|XP_037721101.1|DSUP	LOC6730283|XP_016037045.1|DSIM
OG0000000	LOC119563229|XP_037732462.1|DSUP	LOC6730282|XP_002105565.2|DSIM
OG0000000	LOC119547184|XP_037709847.1|DSUP	LOC6732333|XP_039152942.1|DSIM
OG0000000	LOC119546339|XP_037708468.1|DSUP	LOC6732608|XP_002079727.1|DSIM
OG0000000	LOC119549505|XP_037713544.1|DSUP, LOC119551387|XP_037716639.1|DSUP	LOC6735228|XP_002082201.1|DSIM
OG0000000	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP	LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM
OG0000000	LOC119563146|XP_037732330.1|DSUP	LOC6729989|XP_002105283.1|DSIM
OG0000000	LOC119560562|XP_037730007.1|DSUP	LOC6726722|XP_002102133.3|DSIM
OG0000000	LOC119552808|XP_037718574.1|DSUP	LOC6738252|XP_002085064.1|DSIM
