Orthogroup	DFIC.longest_only	DBUS.longest_only
OG0000000	LOC108096481|XP_017053581.1|DFIC, LOC108101733|XP_017061674.1|DFIC	LOC108601266|XP_017844655.2|DBUS
OG0000000	LOC108095110|XP_017051537.1|DFIC, LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC, LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC	LOC108604182|XP_017849014.1|DBUS
OG0000000	LOC108097696|XP_017055657.1|DFIC	LOC108601273|XP_017844662.1|DBUS
OG0000002	LOC108090526|XP_017044733.1|DFIC	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS
OG0000002	LOC108090768|XP_017045096.1|DFIC	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC108090769|XP_017045098.1|DFIC	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC108092580|XP_017047713.1|DFIC, LOC108092286|XP_017047310.1|DFIC	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS
OG0000003	LOC108087667|XP_017040650.1|DFIC, LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC	LOC108597513|XP_017838772.1|DBUS
OG0000003	LOC108094289|XP_017050276.1|DFIC	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS
OG0000003	LOC108087605|XP_017040533.1|DFIC	LOC117134628|XP_033150902.1|DBUS
OG0000003	LOC108090320|XP_017044421.1|DFIC	LOC108594852|XP_033148959.1|DBUS
OG0000003	LOC108090319|XP_017044419.1|DFIC, LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC	LOC108597142|XP_017839023.1|DBUS
OG0000007	LOC108093252|XP_017048717.1|DFIC	LOC108598463|XP_017840596.2|DBUS
