Orthogroup	DMIR.longest_only	DGUA.longest_only
OG0000000	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR	LOC117592188|XP_034141680.1|DGUA
OG0000000	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR	LOC117583189|XP_034127284.1|DGUA
OG0000000	LOC117185812|XP_033243800.1|DMIR	LOC117589025|XP_034136545.1|DGUA
OG0000000	LOC108151290|XP_017135310.1|DMIR	LOC117588940|XP_034136409.1|DGUA
OG0000000	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR	LOC117592532|XP_034142283.1|DGUA
OG0000000	LOC108156429|XP_017143371.1|DMIR	LOC117583198|XP_034127292.1|DGUA
OG0000000	LOC117187438|XP_033246010.1|DMIR	LOC117583197|XP_034127291.1|DGUA
OG0000000	LOC108153951|XP_017139538.1|DMIR	LOC117583318|XP_034127468.1|DGUA
OG0000000	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR	LOC117582218|XP_034125717.1|DGUA
OG0000000	LOC117192382|XP_033252940.1|DMIR, LOC117192383|XP_033252942.1|DMIR, LOC108158670|XP_033246362.1|DMIR	LOC117592522|XP_034142264.1|DGUA
OG0000000	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR	LOC117592359|XP_034141946.1|DGUA
OG0000000	LOC108154608|XP_017140414.2|DMIR	LOC117589701|XP_034137755.1|DGUA
OG0000000	LOC108154051|XP_017139631.2|DMIR, LOC108154052|XP_017139633.1|DMIR	LOC117585205|XP_034130473.1|DGUA
OG0000000	LOC108153871|XP_033244797.1|DMIR, LOC108153866|XP_017139453.1|DMIR	LOC117585431|XP_034130796.1|DGUA
OG0000000	LOC108154580|XP_017140371.1|DMIR, LOC117187432|XP_033245983.1|DMIR, LOC108154586|XP_017140379.1|DMIR, LOC108153991|XP_033246108.1|DMIR, LOC108153868|XP_017139455.1|DMIR	LOC117592344|XP_034141927.1|DGUA
OG0000000	LOC108154010|XP_033246058.1|DMIR	LOC117583154|XP_034127239.1|DGUA
OG0000001	LOC108161272|XP_033251779.1|DMIR	LOC117591299|XP_034140394.1|DGUA
OG0000002	LOC108159521|XP_017148375.1|DMIR	LOC117579099|XP_034120716.1|DGUA
OG0000002	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR	LOC117579108|XP_034120728.1|DGUA
OG0000002	LOC108163440|XP_017154213.2|DMIR, LOC117188921|XP_033249395.1|DMIR	LOC117587542|XP_034134239.1|DGUA
OG0000002	LOC108161412|XP_017151153.2|DMIR	LOC117584002|XP_034128622.1|DGUA
OG0000002	LOC108161232|XP_017150945.1|DMIR	LOC117587987|XP_034134884.1|DGUA
OG0000003	LOC108160528|XP_017150077.1|DMIR	LOC117592331|XP_034141917.1|DGUA
OG0000003	LOC108160529|XP_017150078.1|DMIR	LOC117592350|XP_034141940.1|DGUA
OG0000003	LOC108160375|XP_017149841.1|DMIR	LOC117578447|XP_034119862.1|DGUA
OG0000003	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR	LOC117583299|XP_034127435.1|DGUA
OG0000003	LOC108160818|XP_017150534.1|DMIR	LOC117592340|XP_034141928.1|DGUA
OG0000003	LOC108160275|XP_017149646.1|DMIR	LOC117583309|XP_034127448.1|DGUA
OG0000003	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR	LOC117583990|XP_034128606.1|DGUA
OG0000003	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR	LOC117583987|XP_034128590.1|DGUA
OG0000003	LOC108163634|XP_017154532.1|DMIR	LOC117587981|XP_034134880.1|DGUA
