Orthogroup	DSEC.longest_only	DBUS.longest_only
OG0000000	LOC6605054|XP_032575159.1|DSEC	LOC108598118|XP_017840224.1|DBUS
OG0000000	LOC6612593|XP_002037098.2|DSEC, LOC116800509|XP_032571804.1|DSEC, LOC6611330|XP_002035877.1|DSEC	LOC108601266|XP_017844655.2|DBUS
OG0000000	LOC6618886|XP_002043134.2|DSEC	LOC108594849|XP_017835476.1|DBUS
OG0000000	LOC116801308|XP_032576001.1|DSEC	LOC108601225|XP_033150109.1|DBUS
OG0000000	LOC6609904|XP_032570140.1|DSEC, LOC6609905|XP_032572518.1|DSEC, LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC	LOC108604182|XP_017849014.1|DBUS
OG0000000	LOC6612634|XP_002037138.2|DSEC	LOC108601273|XP_017844662.1|DBUS
OG0000002	LOC6609498|XP_002034183.1|DSEC	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS
OG0000002	LOC6615482|XP_002039862.2|DSEC	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC6615481|XP_002039861.2|DSEC	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC6619439|XP_032575015.1|DSEC	LOC108599003|XP_033149617.1|DBUS
OG0000002	LOC6613615|XP_032570344.1|DSEC	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS
OG0000003	LOC6609226|XP_032570279.1|DSEC, LOC6609227|XP_002033918.2|DSEC	LOC108597513|XP_017838772.1|DBUS
OG0000003	LOC6607893|XP_002032647.1|DSEC	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS
OG0000003	LOC6609223|XP_002033914.2|DSEC	LOC108595075|XP_017835712.2|DBUS
OG0000003	LOC6609221|XP_002033912.1|DSEC	LOC117134628|XP_033150902.1|DBUS
OG0000003	LOC6608196|XP_002032941.1|DSEC	LOC108594852|XP_033148959.1|DBUS
OG0000003	LOC6608194|XP_002032939.1|DSEC	LOC108597142|XP_017839023.1|DBUS
OG0000003	LOC6613508|XP_002037976.1|DSEC	LOC108608148|XP_017854884.1|DBUS
OG0000007	LOC116800972|XP_032573823.1|DSEC	LOC108598463|XP_017840596.2|DBUS
OG0000007	LOC6610952|XP_032575303.1|DSEC, LOC6610951|XP_002035508.1|DSEC	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS
