Orthogroup	DYAK.longest_only	AAEG.longest_only
OG0000002	LOC6527104|XP_002088197.3|DYAK	LOC5574240|XP_001661293.1|AAEG, LOC5569832|XP_001658732.2|AAEG, LOC110677006|XP_021703013.1|AAEG, LOC5574239|XP_001661294.1|AAEG, LOC5577410|XP_021711700.1|AAEG
OG0000004	LOC6540440|XP_039228255.1|DYAK	LOC110675140|XP_021695214.1|AAEG, LOC110678203|XP_021706521.1|AAEG, LOC110680841|XP_021712324.1|AAEG, LOC110681232|XP_021712695.1|AAEG
OG0000005	LOC6540448|XP_002087255.2|DYAK	LOC110678306|XP_021706669.1|AAEG, LOC110679756|XP_021711178.1|AAEG, LOC110679765|XP_021711187.1|AAEG, LOC110679758|XP_021711180.1|AAEG, LOC110679757|XP_021711179.1|AAEG, LOC110678835|XP_021708005.1|AAEG, LOC110678355|XP_021706809.1|AAEG, LOC110679763|XP_021711185.1|AAEG, LOC110679761|XP_021711183.1|AAEG, LOC110679762|XP_021711184.1|AAEG, LOC110678305|XP_021706668.1|AAEG, LOC110679759|XP_021711181.1|AAEG, LOC110679792|XP_021711215.1|AAEG, LOC110678354|XP_021706808.1|AAEG, LOC110679766|XP_021711188.1|AAEG, LOC110679755|XP_021711177.1|AAEG, LOC110679770|XP_021711192.1|AAEG, LOC5579087|XP_001657281.1|AAEG, LOC110679769|XP_021711191.1|AAEG, LOC110679768|XP_021711190.1|AAEG, LOC110679767|XP_021711189.1|AAEG, LOC110679771|XP_021711193.1|AAEG, LOC110679753|XP_021711174.1|AAEG, LOC110679788|XP_021711212.1|AAEG, LOC110679760|XP_021711182.1|AAEG
OG0000006	LOC120322197|XP_039233188.1|DYAK, LOC120322195|XP_039233186.1|DYAK	LOC110678836|XP_021708006.1|AAEG
OG0000006	LOC120321198|XP_039229117.1|DYAK	LOC110679784|XP_021711208.1|AAEG
OG0000006	LOC26535831|XP_015045247.2|DYAK	LOC5578787|XP_001657157.1|AAEG, LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG
OG0000006	LOC120322193|XP_039233184.1|DYAK	LOC110679785|XP_021711209.1|AAEG
OG0000007	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK, LOC6533142|XP_002093868.1|DYAK, LOC6533143|XP_002093869.1|DYAK, LOC6533140|XP_002093866.1|DYAK, LOC6533138|XP_002093864.1|DYAK, LOC6533139|XP_002093865.1|DYAK, LOC6527619|XP_002088707.1|DYAK, LOC6528628|XP_002089670.1|DYAK, LOC6538895|XP_002099399.1|DYAK, LOC6538894|XP_002099398.2|DYAK, LOC26535513|XP_015044938.2|DYAK, LOC26535290|XP_015044714.2|DYAK, LOC6527618|XP_002088706.1|DYAK, LOC6532723|XP_002093465.1|DYAK, LOC6532724|XP_002093466.1|DYAK, LOC6527620|XP_002088708.1|DYAK, LOC6533144|XP_002093870.1|DYAK, LOC6533145|XP_002093871.1|DYAK	LOC5577572|XP_001663444.2|AAEG
OG0000008	LOC26536044|XP_039231154.1|DYAK	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG
OG0000008	LOC6532927|XP_002093663.1|DYAK	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG
OG0000008	LOC6532930|XP_002093666.1|DYAK	LOC110677732|XP_021704637.1|AAEG
OG0000008	LOC6527319|XP_002088412.1|DYAK	LOC5578716|XP_001664018.2|AAEG
OG0000008	LOC6532928|XP_002093664.1|DYAK	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG
OG0000009	LOC6535723|XP_002096349.3|DYAK, LOC6535721|XP_002096347.1|DYAK, LOC6535720|XP_002096346.1|DYAK, LOC6535722|XP_002096348.1|DYAK, LOC6533117|XP_002093843.1|DYAK, LOC6533118|XP_002093844.1|DYAK, LOC6532044|XP_002092821.1|DYAK, LOC6536768|XP_002097339.1|DYAK, LOC6530109|XP_002091055.1|DYAK, LOC6530111|XP_002091057.1|DYAK	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG, LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG, LOC5578292|XP_001663820.1|AAEG, LOC5576604|XP_001656167.2|AAEG, LOC5576588|XP_001656165.1|AAEG, LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG
OG0000010	LOC120322219|XP_039233209.1|DYAK	LOC110678359|XP_021706812.1|AAEG
OG0000010	LOC120322218|XP_039233208.1|DYAK	LOC110679751|XP_021711173.1|AAEG
OG0000010	LOC120322222|XP_039233212.1|DYAK	LOC110679806|XP_021711230.1|AAEG
OG0000012	LOC6530957|XP_002091795.1|DYAK, LOC6530958|XP_002091796.1|DYAK, LOC6530959|XP_015051811.1|DYAK, LOC6530956|XP_002091794.1|DYAK, LOC6530954|XP_002091792.1|DYAK, LOC6530955|XP_002091793.1|DYAK, LOC6530135|XP_002091081.1|DYAK, LOC6530133|XP_002091079.2|DYAK, LOC6530132|XP_002091078.1|DYAK, LOC6530131|XP_002091077.2|DYAK, LOC6530130|XP_002091076.1|DYAK, LOC6530129|XP_002091075.1|DYAK	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG
OG0000013	LOC6530359|XP_002091285.1|DYAK	LOC110679353|XP_021709456.1|AAEG
OG0000013	LOC6525539|XP_002101374.1|DYAK	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG
OG0000013	LOC6537221|XP_002097779.1|DYAK	LOC110678734|XP_021707697.1|AAEG
OG0000013	LOC6534055|XP_002094741.1|DYAK	LOC110676139|XP_021698547.1|AAEG
OG0000013	LOC6536907|XP_002097476.1|DYAK	LOC110679299|XP_021709332.1|AAEG
OG0000013	LOC6538786|XP_002099299.1|DYAK, LOC6536836|XP_039232142.1|DYAK, LOC6536837|XP_039232350.1|DYAK, LOC6536733|XP_039231378.1|DYAK, LOC26536199|XP_039231379.1|DYAK, LOC26535865|XP_039231377.1|DYAK	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG
OG0000016	LOC6536965|XP_002097534.1|DYAK, LOC6530731|XP_002091621.1|DYAK	LOC5565155|XP_001649530.1|AAEG
OG0000016	LOC6536862|XP_002097431.1|DYAK	LOC5577991|XP_001656729.1|AAEG
OG0000016	LOC6525488|XP_002101323.1|DYAK	LOC5574526|XP_001655175.1|AAEG
OG0000016	LOC6535129|XP_039230803.1|DYAK	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG
OG0000018	LOC6533164|XP_002093890.1|DYAK	LOC5578131|XP_001663702.2|AAEG
OG0000019	LOC6538322|XP_039232218.1|DYAK, LOC6538324|XP_002098851.2|DYAK, LOC6538323|XP_002098850.2|DYAK, LOC6538326|XP_002098853.2|DYAK, LOC6538321|XP_002098848.1|DYAK, LOC6538320|XP_002098847.1|DYAK	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG, LOC5570298|XP_021708318.1|AAEG, LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG
OG0000020	LOC6538082|XP_002098616.1|DYAK, LOC6530655|XP_002091553.1|DYAK	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG
OG0000020	LOC6529647|XP_002090641.1|DYAK, LOC6528749|XP_002089784.2|DYAK, LOC6527703|XP_002088787.1|DYAK, LOC6535735|XP_039231556.1|DYAK, LOC6537431|XP_002097987.1|DYAK, LOC6529263|XP_002090268.1|DYAK, LOC6529648|XP_002090642.1|DYAK	LOC5578230|XP_021697387.1|AAEG
OG0000021	LOC6526013|XP_039229713.1|DYAK	LOC5577439|XP_021709141.1|AAEG
OG0000021	LOC6538705|XP_002099220.3|DYAK, LOC6536819|XP_002097389.1|DYAK, LOC6524816|XP_002100658.1|DYAK	LOC5571745|XP_021708635.1|AAEG
OG0000023	LOC6536030|XP_002096645.2|DYAK, LOC6536027|XP_002096642.3|DYAK, LOC6536034|XP_002096649.3|DYAK, LOC6539886|XP_002086766.1|DYAK, LOC6531278|XP_002092087.2|DYAK, LOC26536093|XP_039232188.1|DYAK, LOC6536032|XP_039230972.1|DYAK, LOC6536035|XP_002096650.2|DYAK, LOC6540152|XP_039232191.1|DYAK	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG
OG0000024	LOC6530300|XP_002091227.1|DYAK, LOC6530298|XP_002091225.1|DYAK, LOC6530299|XP_002091226.1|DYAK, LOC6530302|XP_002091229.1|DYAK, LOC6530301|XP_002091228.2|DYAK, LOC6529811|XP_002090793.1|DYAK, LOC6530303|XP_002091230.1|DYAK, LOC6529951|XP_002090905.3|DYAK	LOC5574946|XP_001655419.1|AAEG
OG0000025	LOC6527587|XP_002088675.1|DYAK	LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG
OG0000026	LOC6525544|XP_002101379.1|DYAK, LOC6535919|XP_002096535.1|DYAK	LOC23687599|XP_011493633.2|AAEG, LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG, LOC5573680|XP_001661002.2|AAEG, LOC5573679|XP_001661001.2|AAEG, LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG
OG0000027	LOC6526916|XP_002088015.1|DYAK, LOC6526913|XP_002088012.1|DYAK, LOC6526915|XP_002088014.1|DYAK	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG
OG0000028	LOC26534799|XP_015044645.1|DYAK, LOC26535937|XP_015050935.2|DYAK, LOC26535654|XP_015045147.2|DYAK, LOC26535087|XP_015045044.2|DYAK, LOC6534951|XP_039229813.1|DYAK, LOC6535078|XP_039229703.1|DYAK	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG
OG0000029	LOC6536587|XP_002097163.1|DYAK, LOC6528801|XP_002089833.1|DYAK, LOC6531052|XP_002091888.1|DYAK, LOC6536173|XP_002096764.1|DYAK, LOC6534230|XP_002094912.1|DYAK	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG
OG0000031	LOC6528958|XP_002089990.1|DYAK, LOC6528971|XP_002090003.2|DYAK, LOC6528984|XP_002090016.3|DYAK, LOC6529463|XP_002090465.2|DYAK, LOC6532903|XP_002093639.1|DYAK, LOC6526633|XP_002087741.1|DYAK, LOC6528983|XP_002090015.2|DYAK	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG
OG0000032	LOC6536794|XP_002097364.1|DYAK, LOC6536792|XP_002097362.1|DYAK, LOC6536800|XP_002097370.2|DYAK, LOC6536793|XP_002097363.1|DYAK, LOC6536802|XP_002097372.1|DYAK, LOC6536801|XP_002097371.1|DYAK	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG
OG0000034	LOC6531351|XP_002092155.1|DYAK, LOC6529512|XP_002090514.1|DYAK, LOC6529511|XP_002090513.2|DYAK, LOC6529510|XP_002090512.1|DYAK, LOC6536871|XP_002097440.2|DYAK, LOC6529821|XP_002090802.3|DYAK, LOC6536872|XP_002097441.1|DYAK, LOC6527117|XP_002088210.1|DYAK	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG
OG0000036	LOC6536018|XP_002096633.1|DYAK	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG
OG0000036	LOC6537201|XP_002097759.1|DYAK	LOC5565959|XP_001650301.1|AAEG
OG0000037	LOC6531032|XP_002091868.2|DYAK, LOC6535647|XP_002096275.2|DYAK, LOC6535648|XP_002096276.2|DYAK	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG
