Orthogroup	DEUG.longest_only	DELE.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG	LOC108150093|XP_017133546.1|DELE
OG0000000	LOC108105829|XP_017068062.1|DEUG	LOC108139044|XP_017117150.1|DELE
OG0000000	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG	LOC108135022|XP_017111043.1|DELE
OG0000000	LOC108113889|XP_017080083.1|DEUG	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE
OG0000000	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG	LOC108145787|XP_017126846.1|DELE
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC108144294|XP_017124470.1|DELE
OG0000000	LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG	LOC108136678|XP_017113490.1|DELE
OG0000000	LOC108113894|XP_017080088.1|DEUG	LOC108150089|XP_017133542.1|DELE
OG0000000	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG	LOC108143736|XP_017123759.1|DELE
OG0000000	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG	LOC108141650|XP_017120608.1|DELE
OG0000000	LOC108117463|XP_017085374.1|DEUG	LOC108142885|XP_017122450.1|DELE
OG0000000	LOC108102547|XP_017063097.1|DEUG, LOC108112104|XP_017077343.1|DEUG, LOC108112115|XP_017077355.1|DEUG, LOC108112105|XP_017077344.1|DEUG, LOC108112113|XP_017077353.1|DEUG, LOC108112112|XP_017077352.1|DEUG, LOC108112109|XP_017077349.1|DEUG, LOC108112114|XP_017077354.1|DEUG, LOC108112107|XP_017077346.1|DEUG, LOC108112117|XP_017077356.1|DEUG, LOC108112111|XP_017077351.1|DEUG, LOC108112108|XP_017077347.1|DEUG, LOC108112110|XP_017077350.1|DEUG, LOC108112103|XP_017077342.1|DEUG, LOC108112106|XP_017077345.1|DEUG	LOC108145618|XP_017126643.1|DELE
OG0000000	LOC108115565|XP_017082560.1|DEUG	LOC108148604|XP_017131171.1|DELE
OG0000000	LOC108105763|XP_017067972.1|DEUG	LOC108144147|XP_017124279.1|DELE
OG0000000	LOC108115960|XP_017083085.1|DEUG	LOC108147230|XP_017129111.1|DELE
OG0000000	LOC108113890|XP_017080084.1|DEUG	LOC108145639|XP_017126664.1|DELE
OG0000000	LOC108113892|XP_017080086.1|DEUG	LOC108145640|XP_017126665.1|DELE
OG0000000	LOC108108505|XP_017072063.1|DEUG	LOC108141030|XP_017119608.1|DELE
OG0000002	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG	LOC108144341|XP_017124554.1|DELE
OG0000002	LOC108112852|XP_017078659.1|DEUG	LOC108143685|XP_017123691.1|DELE
OG0000002	LOC108112853|XP_017078660.1|DEUG	LOC108143683|XP_017123690.1|DELE
OG0000002	LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG	LOC108147339|XP_017129256.1|DELE
OG0000002	LOC108113287|XP_017079326.1|DEUG	LOC108147831|XP_017130074.1|DELE
OG0000002	LOC108110800|XP_017075517.1|DEUG	LOC108134705|XP_017110590.1|DELE, LOC108134691|XP_017110578.1|DELE
OG0000003	LOC108106604|XP_017069284.1|DEUG	LOC108144467|XP_017124860.1|DELE
OG0000003	LOC108106709|XP_017069429.1|DEUG	LOC108144671|XP_017125217.1|DELE
OG0000003	LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG	LOC108144670|XP_017125215.1|DELE
OG0000003	LOC108106562|XP_017069219.1|DEUG	LOC108145092|XP_017125773.1|DELE
OG0000003	LOC108106678|XP_017069398.1|DEUG	LOC108144466|XP_017124858.1|DELE
OG0000003	LOC108106603|XP_017069283.1|DEUG, LOC108106677|XP_017069397.1|DEUG, LOC108108144|XP_017071563.1|DEUG	LOC108144468|XP_017124861.1|DELE
OG0000003	LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG	LOC108144801|XP_017125415.1|DELE
OG0000003	LOC108106224|XP_017068639.1|DEUG	LOC108144820|XP_017125440.1|DELE
OG0000003	LOC108104525|XP_017066146.1|DEUG	LOC108145352|XP_017126230.1|DELE
OG0000003	LOC108104523|XP_017066143.1|DEUG	LOC108145367|XP_017126250.1|DELE
OG0000004	LOC108113823|XP_017080058.1|DEUG	LOC108135195|XP_017111306.1|DELE, LOC108134559|XP_017110400.1|DELE
OG0000007	LOC108107881|XP_017071156.1|DEUG	LOC108142600|XP_017122060.1|DELE
OG0000007	LOC108107883|XP_017071158.1|DEUG	LOC108142394|XP_017121723.1|DELE
OG0000007	LOC108102687|XP_017063316.1|DEUG	LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE
OG0000007	LOC108102695|XP_017063328.1|DEUG	LOC108138842|XP_017116842.1|DELE
OG0000007	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE
OG0000007	LOC108107529|XP_017070559.1|DEUG	LOC108142395|XP_017121724.1|DELE
OG0000007	LOC108107925|XP_017071238.1|DEUG	LOC108142396|XP_017121725.1|DELE
OG0000008	LOC108117090|XP_017084777.1|DEUG	LOC108149642|XP_017132905.1|DELE
OG0000008	LOC108107847|XP_017071090.1|DEUG	LOC108145869|XP_017126996.1|DELE
OG0000008	LOC108107843|XP_017071086.1|DEUG	LOC108145867|XP_017126995.1|DELE
OG0000008	LOC108104027|XP_017065348.1|DEUG	LOC108138029|XP_017115491.1|DELE
OG0000008	LOC108107848|XP_017071091.1|DEUG	LOC108145871|XP_017126998.1|DELE
OG0000008	LOC108103232|XP_017064122.1|DEUG	LOC108149861|XP_017133230.1|DELE
OG0000008	LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE
OG0000008	LOC108116118|XP_017083331.1|DEUG	LOC108148323|XP_017130803.1|DELE
OG0000008	LOC108116121|XP_017083334.1|DEUG	LOC108148325|XP_017130805.1|DELE
OG0000008	LOC108116123|XP_017083335.1|DEUG	LOC108148321|XP_017130801.1|DELE
OG0000008	LOC108116120|XP_017083333.1|DEUG	LOC108148322|XP_017130802.1|DELE
OG0000008	LOC108116119|XP_017083332.1|DEUG	LOC108148324|XP_017130804.1|DELE
OG0000009	LOC108117308|XP_017085159.1|DEUG	LOC108137036|XP_017114024.1|DELE
OG0000009	LOC108117290|XP_017085135.1|DEUG	LOC108136709|XP_017113523.1|DELE
OG0000009	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG	LOC108136793|XP_017113657.1|DELE
OG0000009	LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG	LOC108137037|XP_017114025.1|DELE
OG0000009	LOC108107590|XP_017070640.1|DEUG	LOC108147392|XP_017129317.1|DELE
OG0000009	LOC108107618|XP_017070676.1|DEUG	LOC108147550|XP_017129624.1|DELE
OG0000009	LOC108107216|XP_017070122.1|DEUG	LOC108144916|XP_017125568.1|DELE
OG0000009	LOC108111728|XP_017076770.1|DEUG	LOC108135151|XP_017111261.1|DELE
OG0000009	LOC108106283|XP_017068739.1|DEUG	LOC108137992|XP_017115455.1|DELE
OG0000009	LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG	LOC108137889|XP_017115317.1|DELE
OG0000011	LOC108111192|XP_017076075.1|DEUG	LOC108146665|XP_017128206.1|DELE
OG0000011	LOC108102528|XP_017063054.1|DEUG, LOC108102616|XP_017063214.1|DEUG	LOC108138672|XP_017116504.1|DELE
OG0000011	LOC108108695|XP_017072289.1|DEUG	LOC108146131|XP_017127468.1|DELE, LOC108146591|XP_017128102.1|DELE
OG0000011	LOC108118231|XP_017086302.1|DEUG	LOC108143859|XP_017123910.1|DELE, LOC108137357|XP_017114480.1|DELE
OG0000011	LOC108102619|XP_017063216.1|DEUG, LOC108111193|XP_017076077.1|DEUG	LOC108138785|XP_017116749.1|DELE
OG0000011	LOC108118458|XP_017086666.1|DEUG, LOC108118456|XP_017086662.1|DEUG	LOC108150498|XP_017134198.1|DELE
OG0000011	LOC108103884|XP_017065103.1|DEUG	LOC108138422|XP_017116107.1|DELE
OG0000011	LOC108105968|XP_017068261.1|DEUG	LOC108146667|XP_017128209.1|DELE
OG0000011	LOC108105967|XP_017068260.1|DEUG	LOC108146666|XP_017128208.1|DELE
OG0000011	LOC108109998|XP_017074326.1|DEUG	LOC108139281|XP_017117466.1|DELE
OG0000012	LOC108113192|XP_017079208.1|DEUG	LOC108145523|XP_017126497.1|DELE
OG0000012	LOC108113191|XP_017079207.1|DEUG	LOC108145522|XP_017126496.1|DELE
OG0000012	LOC108113343|XP_017079393.1|DEUG	LOC108145538|XP_017126526.1|DELE
OG0000012	LOC108113377|XP_017079435.1|DEUG	LOC108145542|XP_017126531.1|DELE
OG0000012	LOC108112229|XP_017077538.1|DEUG	LOC108147065|XP_017128845.1|DELE
OG0000012	LOC108112131|XP_017077370.1|DEUG	LOC108145377|XP_017126261.1|DELE
OG0000012	LOC108112132|XP_017077371.1|DEUG	LOC108145375|XP_017126259.1|DELE
OG0000012	LOC108112267|XP_017077578.1|DEUG	LOC108145552|XP_017126542.1|DELE
OG0000012	LOC108106282|XP_017068738.1|DEUG	LOC108137876|XP_017115303.1|DELE, LOC108137991|XP_017115454.1|DELE
OG0000012	LOC108106301|XP_017068761.1|DEUG	LOC108137877|XP_017115304.1|DELE
OG0000012	LOC108106279|XP_017068735.1|DEUG	LOC108137996|XP_017115460.1|DELE
OG0000012	LOC108106300|XP_017068760.1|DEUG	LOC108137901|XP_017115330.1|DELE
OG0000012	LOC108106742|XP_017069468.1|DEUG	LOC108137950|XP_017115398.1|DELE
OG0000012	LOC108106739|XP_017069464.1|DEUG	LOC108137951|XP_017115399.1|DELE
OG0000013	LOC108106511|XP_017069094.1|DEUG	LOC108149749|XP_017133029.1|DELE
OG0000013	LOC108104346|XP_017065833.1|DEUG	LOC108137631|XP_017114906.1|DELE
OG0000013	LOC108105608|XP_017067774.1|DEUG	LOC108134833|XP_017110785.1|DELE
OG0000013	LOC108105962|XP_017068250.1|DEUG	LOC108146660|XP_017128198.1|DELE
OG0000013	LOC108116899|XP_017084498.1|DEUG	LOC108135085|XP_017111146.1|DELE
OG0000013	LOC108116618|XP_017084081.1|DEUG	LOC108136687|XP_017113497.1|DELE
OG0000013	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG	LOC108135067|XP_017111099.1|DELE, LOC108135806|XP_017112171.1|DELE, LOC108135068|XP_017111100.1|DELE
OG0000015	LOC108106955|XP_017069721.1|DEUG	LOC108138780|XP_017116737.1|DELE
OG0000015	LOC108106287|XP_017068742.1|DEUG	LOC108144259|XP_017124429.1|DELE
OG0000015	LOC108118426|XP_017086597.1|DEUG	LOC108150455|XP_017134109.1|DELE
OG0000015	LOC108116823|XP_017084362.1|DEUG	LOC108139113|XP_017117214.1|DELE
OG0000015	LOC108110434|XP_017074990.1|DEUG, LOC108110435|XP_017074991.1|DEUG	LOC108147777|XP_017129996.1|DELE, LOC108136717|XP_017113571.1|DELE
OG0000015	LOC108106825|XP_017069551.1|DEUG	LOC108134711|XP_017110595.1|DELE
OG0000015	LOC108110504|XP_017075072.1|DEUG	LOC108134675|XP_017110562.1|DELE
OG0000015	LOC108110619|XP_017075207.1|DEUG	LOC108149227|XP_017132148.1|DELE, LOC108138680|XP_017116516.1|DELE, LOC108134715|XP_017110604.1|DELE, LOC108149217|XP_017132136.1|DELE
OG0000015	LOC108105143|XP_017067066.1|DEUG	LOC108145615|XP_017126640.1|DELE, LOC108138032|XP_017115494.1|DELE
OG0000015	LOC108111565|XP_017076580.1|DEUG	LOC108147770|XP_017129989.1|DELE
OG0000015	LOC108108656|XP_017072249.1|DEUG, LOC108108426|XP_017071967.1|DEUG	LOC108135473|XP_017111703.1|DELE
OG0000015	LOC108106912|XP_017069652.1|DEUG, LOC108106885|XP_017069622.1|DEUG, LOC108106894|XP_017069633.1|DEUG, LOC108106916|XP_017069656.1|DEUG	LOC108138355|XP_017116015.1|DELE
OG0000015	LOC108106913|XP_017069653.1|DEUG, LOC108106877|XP_017069613.1|DEUG	LOC108138106|XP_017115592.1|DELE
OG0000016	LOC108116882|XP_017084468.1|DEUG	LOC108139227|XP_017117379.1|DELE
OG0000016	LOC108109063|XP_017072885.1|DEUG	LOC108145428|XP_017126326.1|DELE
OG0000016	LOC108117273|XP_017085115.1|DEUG	LOC108135797|XP_017112156.1|DELE
