Orthogroup	AEAL.longest_only	DMIR.longest_only
OG0000001	LOC115261991|XP_029719785.1|AEAL	LOC117187188|XP_033245213.1|DMIR, LOC117187189|XP_033245214.1|DMIR, LOC117192881|XP_033253519.1|DMIR
OG0000001	LOC115255489|XP_029709475.1|AEAL, LOC115261988|XP_029719780.1|AEAL	LOC117186040|XP_033241993.1|DMIR
OG0000001	LOC115256725|XP_029711525.1|AEAL, LOC115268205|XP_029732120.1|AEAL, LOC115262799|XP_029721549.1|AEAL, LOC115263370|XP_029722527.1|AEAL, LOC115254876|XP_029708423.1|AEAL, LOC115257801|XP_029713614.1|AEAL, LOC115268197|XP_029732110.1|AEAL, LOC115261516|XP_029719137.1|AEAL, LOC115271064|XP_029736362.1|AEAL	LOC117192523|XP_033253108.1|DMIR, LOC117189926|XP_033250889.1|DMIR
OG0000001	LOC115257059|XP_029712178.1|AEAL, LOC115266193|XP_029728020.1|AEAL, LOC115267598|XP_029730563.1|AEAL, LOC109398597|XP_029729814.1|AEAL, LOC115262790|XP_029721536.1|AEAL, LOC115263536|XP_029722631.1|AEAL, LOC115260919|XP_029718140.1|AEAL, LOC115268204|XP_029732116.1|AEAL, LOC115270912|XP_029736109.1|AEAL, LOC115255462|XP_029709446.1|AEAL, LOC115261307|XP_029718578.1|AEAL, LOC115259747|XP_029716391.1|AEAL, LOC115260526|XP_029717300.1|AEAL, LOC115269607|XP_029734288.1|AEAL	LOC117190783|XP_033251735.1|DMIR
OG0000002	LOC115263125|XP_029721902.1|AEAL, LOC109430246|XP_019561842.2|AEAL, LOC109416944|XP_019546605.2|AEAL, LOC115265443|XP_029726462.1|AEAL, LOC109426996|XP_019558100.2|AEAL, LOC109411377|XP_019540446.2|AEAL, LOC115266493|XP_029728592.1|AEAL, LOC109403760|XP_019532176.2|AEAL, LOC109416948|XP_019546608.2|AEAL, LOC109400072|XP_019528089.2|AEAL, LOC109621611|XP_019931245.2|AEAL	LOC108161232|XP_017150945.1|DMIR
OG0000005	LOC115255470|XP_029709453.1|AEAL, LOC115262910|XP_029721668.1|AEAL, LOC109621766|XP_019931446.2|AEAL, LOC115265236|XP_029725377.1|AEAL, LOC115263152|XP_029721939.1|AEAL, LOC115261259|XP_029718493.1|AEAL, LOC115261266|XP_029718501.1|AEAL, LOC115261255|XP_029718489.1|AEAL, LOC115261257|XP_029718491.1|AEAL, LOC115261289|XP_029718530.1|AEAL, LOC115261597|XP_029719357.1|AEAL, LOC115261594|XP_029719355.1|AEAL, LOC115261223|XP_029718457.1|AEAL, LOC115261254|XP_029718488.1|AEAL, LOC115261256|XP_029718490.1|AEAL, LOC115261258|XP_029718492.1|AEAL, LOC115261260|XP_029718495.1|AEAL, LOC109398605|XP_019526537.1|AEAL, LOC109398661|XP_029714684.1|AEAL	LOC117188269|XP_033247714.1|DMIR, LOC117186052|XP_033242023.1|DMIR, LOC108164485|XP_017155735.2|DMIR
OG0000006	LOC109621653|XP_019931303.1|AEAL	LOC117187301|XP_033245562.1|DMIR
OG0000006	LOC109420133|XP_019549991.1|AEAL, LOC109431220|XP_019562977.1|AEAL, LOC115261264|XP_029718499.1|AEAL, LOC115261271|XP_029718506.1|AEAL, LOC115261261|XP_029718496.1|AEAL, LOC115261224|XP_029718458.1|AEAL, LOC115261225|XP_029718459.1|AEAL, LOC115261263|XP_029718498.1|AEAL, LOC115261262|XP_029718497.1|AEAL, LOC115261290|XP_029718531.1|AEAL, LOC115263330|XP_029722488.1|AEAL, LOC109418596|XP_019548347.2|AEAL, LOC115261265|XP_029718500.1|AEAL, LOC115261270|XP_029718504.1|AEAL	LOC108156704|XP_017143842.2|DMIR
OG0000007	LOC109417624|XP_019547214.2|AEAL, LOC109417822|XP_019547546.2|AEAL, LOC109417827|XP_019547550.2|AEAL	LOC108153040|XP_017138288.1|DMIR, LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR, LOC108152481|XP_017137344.1|DMIR, LOC108152482|XP_017137345.1|DMIR, LOC108163948|XP_017154978.1|DMIR, LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR, LOC117187389|XP_033245847.1|DMIR, LOC117187383|XP_033245816.1|DMIR, LOC108157498|XP_033245840.1|DMIR, LOC108157499|XP_017145088.2|DMIR, LOC108164248|XP_017155372.1|DMIR, LOC108165521|XP_017157067.1|DMIR, LOC108164169|XP_017155268.2|DMIR, LOC108152483|XP_017137346.1|DMIR, LOC108152484|XP_017137347.1|DMIR
OG0000008	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL, LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL	LOC108154982|XP_017141010.1|DMIR
