Orthogroup	DYAK.longest_only	DERE.longest_only
OG0000000	LOC6532541|XP_002093287.2|DYAK	LOC6545981|XP_001972189.2|DERE
OG0000000	LOC120321802|XP_039231662.1|DYAK	LOC6555364|XP_026831619.1|DERE
OG0000000	LOC26536205|XP_015052957.2|DYAK	LOC6546799|XP_001975893.2|DERE
OG0000000	LOC6529038|XP_002090069.2|DYAK	LOC6541982|XP_001968936.1|DERE
OG0000000	LOC6536475|XP_002097056.2|DYAK	LOC6552159|XP_001980711.1|DERE
OG0000000	LOC6535099|XP_039229818.1|DYAK	LOC6544810|XP_026832924.1|DERE
OG0000000	LOC6535097|XP_039229817.1|DYAK	LOC6544813|XP_001973192.2|DERE
OG0000000	LOC6535098|XP_002095761.2|DYAK	LOC6544812|XP_001973191.2|DERE
OG0000000	LOC6532122|XP_002092898.3|DYAK	LOC6548572|XP_026836220.1|DERE
OG0000000	LOC6536389|XP_002096971.3|DYAK	LOC6551986|XP_026839789.1|DERE
OG0000000	LOC26534826|XP_015049134.2|DYAK	LOC6554922|XP_001981127.2|DERE
OG0000000	LOC6538960|XP_002099463.2|DYAK	LOC6554923|XP_001981128.1|DERE
OG0000000	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE
OG0000000	LOC6527857|XP_002088929.1|DYAK	LOC6541136|XP_001969303.1|DERE
OG0000000	LOC26536234|XP_015048941.1|DYAK	LOC6554482|XP_001981927.3|DERE
OG0000000	LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK	LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE
OG0000000	LOC6531513|XP_002092312.3|DYAK	LOC6548870|XP_001975456.3|DERE
OG0000000	LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK	LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE
OG0000000	LOC26534860|XP_015046022.1|DYAK, LOC26535167|XP_015046650.1|DYAK	LOC6550545|XP_001977977.2|DERE, LOC6550544|XP_001977976.1|DERE
OG0000000	LOC6526414|XP_002087533.2|DYAK	LOC6542275|XP_001968276.1|DERE, LOC6541255|XP_001968278.2|DERE
OG0000000	LOC6532990|XP_039229806.1|DYAK	LOC6544187|XP_026833238.1|DERE
OG0000000	LOC6537714|XP_002098259.2|DYAK	LOC26526690|XP_015009401.1|DERE
OG0000000	LOC6529465|XP_002090467.1|DYAK	LOC6549399|XP_001974447.1|DERE
OG0000000	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE
OG0000000	LOC6532049|XP_002092826.1|DYAK	LOC6548099|XP_001976605.1|DERE
OG0000000	LOC6538114|XP_002098649.1|DYAK	LOC26526070|XP_026831673.1|DERE
OG0000000	LOC6535316|XP_002095972.1|DYAK	LOC6551915|XP_001978850.1|DERE
OG0000000	LOC6539519|XP_002086405.1|DYAK	LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE
OG0000002	LOC6531354|XP_002092157.1|DYAK	LOC6548491|XP_001975304.1|DERE
OG0000002	LOC6530517|XP_002091432.3|DYAK	LOC6548172|XP_001975155.3|DERE
OG0000002	LOC6530518|XP_002091433.1|DYAK	LOC6548171|XP_001975154.2|DERE
OG0000002	LOC6528284|XP_002089337.3|DYAK	LOC6540746|XP_001968931.3|DERE
OG0000002	LOC26535670|XP_015050876.2|DYAK	LOC6545786|XP_001973422.2|DERE
OG0000002	LOC6526775|XP_002087878.2|DYAK	LOC6541336|XP_001968621.3|DERE
OG0000002	LOC6527104|XP_002088197.3|DYAK	LOC6543212|XP_026834323.1|DERE
OG0000003	LOC6530460|XP_002091376.2|DYAK	LOC6549103|XP_001975568.1|DERE
OG0000003	LOC6530462|XP_002091378.1|DYAK	LOC6548983|XP_001975566.1|DERE
OG0000003	LOC6538264|XP_002098791.1|DYAK	LOC6554587|XP_001981543.2|DERE
OG0000003	LOC6530463|XP_002091379.1|DYAK	LOC6548982|XP_001975565.1|DERE
OG0000003	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK	LOC6541170|XP_001970725.1|DERE
OG0000003	LOC6530458|XP_002091374.1|DYAK	LOC26526619|XP_015012824.1|DERE
OG0000003	LOC6530457|XP_002091373.1|DYAK	LOC6549104|XP_001975569.3|DERE
OG0000003	LOC6530461|XP_002091377.1|DYAK	LOC6549102|XP_001975567.1|DERE
OG0000003	LOC6530456|XP_002091372.1|DYAK	LOC6549105|XP_001975570.1|DERE
OG0000003	LOC6528608|XP_002089651.1|DYAK	LOC6541262|XP_001970448.1|DERE
OG0000003	LOC6528606|XP_002089649.1|DYAK	LOC6543237|XP_001970449.1|DERE
OG0000003	LOC6528128|XP_002089195.3|DYAK	LOC6543184|XP_001968830.1|DERE
OG0000004	LOC120322179|XP_039233170.1|DYAK, LOC6529212|XP_002090219.3|DYAK, LOC120322177|XP_039233168.1|DYAK, LOC120322178|XP_039233169.1|DYAK, LOC6539223|XP_002086123.3|DYAK, LOC120322176|XP_039233166.1|DYAK, LOC6540446|XP_002087254.1|DYAK, LOC120322186|XP_039233176.1|DYAK, LOC6539221|XP_002086122.2|DYAK, LOC120322184|XP_039233174.1|DYAK, LOC120322182|XP_039233172.1|DYAK, LOC120322183|XP_039233173.1|DYAK, LOC26535476|XP_015044590.2|DYAK, LOC120322181|XP_039233171.1|DYAK, LOC120321237|XP_039229333.1|DYAK, LOC120322185|XP_039233175.1|DYAK	LOC113564789|XP_026839439.1|DERE, LOC113564794|XP_026839442.1|DERE, LOC113564793|XP_026839441.1|DERE, LOC113564762|XP_026839397.1|DERE, LOC113564780|XP_026839412.1|DERE, LOC113564788|XP_026839438.1|DERE, LOC113564798|XP_026839446.1|DERE, LOC113564782|XP_026839414.1|DERE, LOC113564781|XP_026839413.1|DERE
OG0000005	LOC120321200|XP_039229119.1|DYAK, LOC120321199|XP_039229118.1|DYAK	LOC6548712|XP_001974001.2|DERE, LOC6556359|XP_001983142.2|DERE
OG0000005	LOC120321241|XP_039229337.1|DYAK	LOC113564801|XP_026839449.1|DERE
OG0000005	LOC120321244|XP_039229340.1|DYAK	LOC113564800|XP_026839448.1|DERE
OG0000005	LOC120322226|XP_039233214.1|DYAK	LOC6556303|XP_001983113.1|DERE
OG0000006	LOC120322195|XP_039233186.1|DYAK	LOC6548669|XP_001974020.1|DERE
OG0000006	LOC120322194|XP_039233185.1|DYAK, LOC120322188|XP_039233178.1|DYAK, LOC120321197|XP_039229115.1|DYAK, LOC120321239|XP_039229335.1|DYAK, LOC120322189|XP_039233180.1|DYAK, LOC26535831|XP_015045247.2|DYAK	LOC6548691|XP_001974010.1|DERE
OG0000006	LOC120322193|XP_039233184.1|DYAK	LOC6548739|XP_001973990.1|DERE
OG0000007	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK	LOC6546441|XP_001972927.1|DERE
OG0000007	LOC6533142|XP_002093868.1|DYAK	LOC6545298|XP_001972056.1|DERE
OG0000007	LOC6533143|XP_002093869.1|DYAK	LOC6545299|XP_001972057.1|DERE
OG0000007	LOC6533140|XP_002093866.1|DYAK	LOC6545296|XP_001972054.1|DERE
OG0000007	LOC6533138|XP_002093864.1|DYAK	LOC6545101|XP_001972052.1|DERE
OG0000007	LOC6527619|XP_002088707.1|DYAK	LOC6540938|XP_001968734.1|DERE
OG0000007	LOC26535513|XP_015044938.2|DYAK, LOC26535290|XP_015044714.2|DYAK	LOC6554433|XP_001981284.1|DERE, LOC6554432|XP_001981283.1|DERE
OG0000007	LOC6527618|XP_002088706.1|DYAK	LOC6540876|XP_001968735.1|DERE
OG0000007	LOC6532724|XP_002093466.1|DYAK	LOC6545660|XP_001971664.1|DERE
OG0000007	LOC6527620|XP_002088708.1|DYAK	LOC6540935|XP_001968733.1|DERE
OG0000007	LOC6533144|XP_002093870.1|DYAK	LOC6545300|XP_001972058.2|DERE
OG0000007	LOC6533145|XP_002093871.1|DYAK	LOC6545301|XP_001972059.1|DERE
OG0000008	LOC26536044|XP_039231154.1|DYAK	LOC6553905|XP_001979522.1|DERE
OG0000008	LOC6532927|XP_002093663.1|DYAK	LOC6543716|XP_001971859.1|DERE
OG0000008	LOC6532930|XP_002093666.1|DYAK	LOC6543719|XP_001971862.1|DERE
OG0000008	LOC6527319|XP_002088412.1|DYAK	LOC6541660|XP_001969797.3|DERE
OG0000008	LOC6532928|XP_002093664.1|DYAK	LOC6543717|XP_001971860.3|DERE
OG0000008	LOC6524096|XP_002099960.1|DYAK	LOC6551209|XP_001977016.1|DERE
OG0000008	LOC6536138|XP_039231652.1|DYAK	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE
OG0000008	LOC6536141|XP_039231654.1|DYAK	LOC6553018|XP_001979109.1|DERE
OG0000008	LOC6536143|XP_002096744.1|DYAK	LOC6553016|XP_001979107.1|DERE
OG0000008	LOC6536140|XP_002096741.1|DYAK	LOC6553019|XP_001979110.3|DERE
OG0000008	LOC6536142|XP_002096743.1|DYAK	LOC6553017|XP_001979108.1|DERE
OG0000008	LOC6536144|XP_002096745.1|DYAK	LOC6553015|XP_001979106.1|DERE
OG0000009	LOC6535723|XP_002096349.3|DYAK	LOC6554105|XP_001979501.1|DERE
OG0000009	LOC6535721|XP_002096347.1|DYAK	LOC6554107|XP_001979503.1|DERE
OG0000009	LOC6535720|XP_002096346.1|DYAK	LOC6554108|XP_001979504.1|DERE
OG0000009	LOC6535722|XP_002096348.1|DYAK	LOC6554106|XP_001979502.1|DERE
OG0000009	LOC6532044|XP_002092821.1|DYAK	LOC6548094|XP_001976600.1|DERE
OG0000009	LOC6536768|XP_002097339.1|DYAK	LOC6553884|XP_001980458.1|DERE
OG0000009	LOC6530109|XP_002091055.1|DYAK	LOC6546804|XP_001975914.1|DERE
OG0000009	LOC6530111|XP_002091057.1|DYAK	LOC6546805|XP_001975915.1|DERE
OG0000010	LOC120321245|XP_039229342.1|DYAK, LOC120322219|XP_039233209.1|DYAK	LOC6556039|XP_015008608.2|DERE
OG0000010	LOC120322213|XP_039233204.1|DYAK, LOC120322214|XP_039233205.1|DYAK, LOC120322218|XP_039233208.1|DYAK	LOC113564802|XP_026839451.1|DERE
OG0000010	LOC120322222|XP_039233212.1|DYAK	LOC6556033|XP_026839405.1|DERE, LOC6549045|XP_026839450.1|DERE
