Orthogroup	DMIR.longest_only	DSEC.longest_only
OG0000000	LOC108150869|XP_017134661.1|DMIR	LOC6605054|XP_032575159.1|DSEC
OG0000000	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR	LOC6612593|XP_002037098.2|DSEC
OG0000000	LOC117187734|XP_033246410.1|DMIR	LOC116800509|XP_032571804.1|DSEC
OG0000000	LOC108158045|XP_017145679.2|DMIR	LOC6611330|XP_002035877.1|DSEC
OG0000000	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR	LOC6606995|XP_002031784.1|DSEC
OG0000000	LOC117185812|XP_033243800.1|DMIR	LOC6605884|XP_032575999.1|DSEC
OG0000000	LOC108165373|XP_017156898.2|DMIR	LOC6605885|XP_032575997.1|DSEC
OG0000000	LOC108151290|XP_017135310.1|DMIR	LOC116800964|XP_032573791.1|DSEC, LOC116801306|XP_032575998.1|DSEC
OG0000000	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR	LOC6618886|XP_002043134.2|DSEC
OG0000000	LOC108153842|XP_033245237.1|DMIR	LOC6607083|XP_032579519.1|DSEC, LOC6612938|XP_032579196.1|DSEC
OG0000000	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR	LOC6612936|XP_002037428.1|DSEC
OG0000000	LOC108154033|XP_017139614.1|DMIR	LOC6612926|XP_032578042.1|DSEC
OG0000000	LOC108154065|XP_033245991.1|DMIR, LOC117187434|XP_033245992.1|DMIR	LOC6611281|XP_032582965.1|DSEC
OG0000000	LOC108153951|XP_017139538.1|DMIR	LOC116801718|XP_032578762.1|DSEC
OG0000000	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR	LOC6614481|XP_002038914.1|DSEC
OG0000000	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR	LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC
OG0000000	LOC108154608|XP_017140414.2|DMIR	LOC6612634|XP_002037138.2|DSEC
OG0000001	LOC117190783|XP_033251735.1|DMIR	LOC116801168|XP_032575066.1|DSEC
OG0000002	LOC108159521|XP_017148375.1|DMIR	LOC6615482|XP_002039862.2|DSEC
OG0000002	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR	LOC6615481|XP_002039861.2|DSEC
OG0000002	LOC108163440|XP_017154213.2|DMIR, LOC117188921|XP_033249395.1|DMIR	LOC6611325|XP_002035872.2|DSEC
OG0000002	LOC108152350|XP_017137109.1|DMIR	LOC6619439|XP_032575015.1|DSEC
OG0000002	LOC108161232|XP_017150945.1|DMIR	LOC6613615|XP_032570344.1|DSEC
OG0000003	LOC108160528|XP_017150077.1|DMIR	LOC6609226|XP_032570279.1|DSEC, LOC6609227|XP_002033918.2|DSEC
OG0000003	LOC108160529|XP_017150078.1|DMIR	LOC6617182|XP_002041509.2|DSEC, LOC6609229|XP_032570278.1|DSEC
OG0000003	LOC108160375|XP_017149841.1|DMIR	LOC6607893|XP_002032647.1|DSEC
OG0000003	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR	LOC6609222|XP_002033913.1|DSEC
OG0000003	LOC108160818|XP_017150534.1|DMIR	LOC116800691|XP_032572969.1|DSEC
OG0000003	LOC108160275|XP_017149646.1|DMIR	LOC6609221|XP_002033912.1|DSEC
OG0000003	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR	LOC6608196|XP_002032941.1|DSEC
OG0000003	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR	LOC6608194|XP_002032939.1|DSEC
OG0000003	LOC108163634|XP_017154532.1|DMIR	LOC6613508|XP_002037976.1|DSEC
OG0000007	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR	LOC116800972|XP_032573823.1|DSEC
