Orthogroup	BTRY.longest_only	DGUA.longest_only
OG0000000	LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY, LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY	LOC117592188|XP_034141680.1|DGUA, LOC117583189|XP_034127284.1|DGUA, LOC117583148|XP_034127229.1|DGUA, LOC117588815|XP_034136215.1|DGUA
OG0000000	LOC120767587|XP_039949669.1|BTRY, LOC120769210|XP_039952036.1|BTRY, LOC120776945|XP_039963962.1|BTRY	LOC117589025|XP_034136545.1|DGUA, LOC117588940|XP_034136409.1|DGUA, LOC117592532|XP_034142283.1|DGUA, LOC117583198|XP_034127292.1|DGUA, LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA, LOC117578480|XP_034119907.1|DGUA, LOC117583194|XP_034127289.1|DGUA, LOC117583318|XP_034127468.1|DGUA, LOC117582218|XP_034125717.1|DGUA, LOC117592522|XP_034142264.1|DGUA
OG0000000	LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY	LOC117592662|XP_034142498.1|DGUA, LOC117592359|XP_034141946.1|DGUA, LOC117589701|XP_034137755.1|DGUA, LOC117585206|XP_034130474.1|DGUA, LOC117585204|XP_034130472.1|DGUA, LOC117585432|XP_034130797.1|DGUA, LOC117585250|XP_034130554.1|DGUA, LOC117585205|XP_034130473.1|DGUA, LOC117585431|XP_034130796.1|DGUA, LOC117592344|XP_034141927.1|DGUA, LOC117583154|XP_034127239.1|DGUA, LOC117585429|XP_034130795.1|DGUA, LOC117586464|XP_034132421.1|DGUA
OG0000002	LOC120782778|XP_039971179.1|BTRY, LOC120769717|XP_039952790.1|BTRY, LOC120768237|XP_039950758.1|BTRY, LOC120768236|XP_039950755.1|BTRY, LOC120768238|XP_039950759.1|BTRY, LOC120767285|XP_039949095.1|BTRY, LOC120769451|XP_039952389.1|BTRY, LOC120770146|XP_039953270.1|BTRY, LOC120781360|XP_039969505.1|BTRY, LOC120781361|XP_039969506.1|BTRY, LOC120776016|XP_039962395.1|BTRY, LOC120766551|XP_039948068.1|BTRY	LOC117584002|XP_034128622.1|DGUA
OG0000003	LOC120773128|XP_039958058.1|BTRY	LOC117592331|XP_034141917.1|DGUA
OG0000003	LOC120773129|XP_039958059.1|BTRY, LOC120773130|XP_039958060.1|BTRY, LOC120770807|XP_039954320.1|BTRY, LOC120771341|XP_039955220.1|BTRY	LOC117592350|XP_034141940.1|DGUA, LOC117578447|XP_034119862.1|DGUA
OG0000003	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY	LOC117583309|XP_034127448.1|DGUA
OG0000003	LOC120770285|XP_039953555.1|BTRY	LOC117583990|XP_034128606.1|DGUA
OG0000003	LOC120782321|XP_039970477.1|BTRY, LOC120770284|XP_039953554.1|BTRY	LOC117583987|XP_034128590.1|DGUA
OG0000003	LOC120769392|XP_039952295.1|BTRY, LOC120769651|XP_039952690.1|BTRY, LOC120769497|XP_039952461.1|BTRY, LOC120768765|XP_039951466.1|BTRY	LOC117587981|XP_034134880.1|DGUA
OG0000004	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY	LOC117591774|XP_034140974.1|DGUA, LOC117591772|XP_034140973.1|DGUA, LOC117591686|XP_034140901.1|DGUA, LOC117591643|XP_034140858.1|DGUA, LOC117591660|XP_034140874.1|DGUA
OG0000005	LOC120767523|XP_039949552.1|BTRY	LOC117581361|XP_034124384.1|DGUA
OG0000006	LOC120767509|XP_039949536.1|BTRY	LOC117591658|XP_034140872.1|DGUA
OG0000006	LOC120767475|XP_039949498.1|BTRY	LOC117591672|XP_034140886.1|DGUA
OG0000006	LOC120767476|XP_039949500.1|BTRY, LOC120767512|XP_039949539.1|BTRY, LOC120781340|XP_039969478.1|BTRY	LOC117591645|XP_034140861.1|DGUA
OG0000007	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY	LOC117587429|XP_034133994.1|DGUA
OG0000007	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY	LOC117587428|XP_034133991.1|DGUA
OG0000007	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY	LOC117584024|XP_034128652.1|DGUA, LOC117592308|XP_034141873.1|DGUA, LOC117583354|XP_034127515.1|DGUA, LOC117583632|XP_034127972.1|DGUA, LOC117583285|XP_034127411.1|DGUA, LOC117583201|XP_034127296.1|DGUA, LOC117584026|XP_034128654.1|DGUA, LOC117587067|XP_034133401.1|DGUA, LOC117584025|XP_034128653.1|DGUA, LOC117587430|XP_034133997.1|DGUA, LOC117587431|XP_034133998.1|DGUA
OG0000008	LOC120782797|XP_039971208.1|BTRY	LOC117586140|XP_034131924.1|DGUA
OG0000008	LOC120778932|XP_039966913.1|BTRY	LOC117579398|XP_034121168.1|DGUA
OG0000008	LOC120778930|XP_039966911.1|BTRY	LOC117579397|XP_034121167.1|DGUA
OG0000008	LOC120778933|XP_039966914.1|BTRY	LOC117579400|XP_034121171.1|DGUA
OG0000008	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA
OG0000008	LOC120780533|XP_039968729.1|BTRY	LOC117586165|XP_034131957.1|DGUA
OG0000008	LOC120778133|XP_039965828.1|BTRY	LOC117586221|XP_034132048.1|DGUA
OG0000008	LOC120780988|XP_039969143.1|BTRY	LOC117586120|XP_034131875.1|DGUA
OG0000008	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY	LOC117586582|XP_034132641.1|DGUA
OG0000009	LOC120780063|XP_039968275.1|BTRY	LOC117586341|XP_034132234.1|DGUA
OG0000009	LOC120782593|XP_039970879.1|BTRY	LOC117586454|XP_034132388.1|DGUA, LOC117585408|XP_034130767.1|DGUA, LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA, LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA
OG0000009	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC117587230|XP_034133688.1|DGUA, LOC117586357|XP_034132268.1|DGUA, LOC117588654|XP_034135988.1|DGUA, LOC117588663|XP_034136000.1|DGUA
OG0000010	LOC120766432|XP_039947870.1|BTRY	LOC117591647|XP_034140863.1|DGUA, LOC117583778|XP_034128224.1|DGUA
OG0000010	LOC120767531|XP_039949557.1|BTRY	LOC117591688|XP_034140902.1|DGUA
OG0000010	LOC120767528|XP_039949554.1|BTRY	LOC117591679|XP_034140894.1|DGUA
OG0000012	LOC120772295|XP_039956737.1|BTRY	LOC117578829|XP_034120480.1|DGUA
OG0000012	LOC120771372|XP_039955267.1|BTRY	LOC117578830|XP_034120484.1|DGUA
OG0000012	LOC120772056|XP_039956371.1|BTRY	LOC117578828|XP_034120477.1|DGUA
OG0000012	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY	LOC117578831|XP_034120485.1|DGUA
OG0000012	LOC120772529|XP_039957131.1|BTRY	LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA, LOC117585406|XP_034130769.1|DGUA, LOC117592596|XP_034142370.1|DGUA, LOC117592593|XP_034142368.1|DGUA, LOC117592595|XP_034142369.1|DGUA, LOC117592597|XP_034142371.1|DGUA, LOC117592598|XP_034142372.1|DGUA
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC117592555|XP_034142321.1|DGUA
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC117590521|XP_034139126.1|DGUA
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC117585977|XP_034131683.1|DGUA
OG0000013	LOC120778592|XP_039966397.1|BTRY	LOC117580093|XP_034122238.1|DGUA
OG0000013	LOC120782170|XP_039970244.1|BTRY	LOC117589807|XP_034137915.1|DGUA
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA
OG0000013	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY	LOC117583601|XP_034127885.1|DGUA
OG0000015	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY	LOC117583918|XP_034128488.1|DGUA, LOC117588212|XP_034135242.1|DGUA
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	LOC117589945|XP_034138127.1|DGUA, LOC117587659|XP_034134479.1|DGUA
OG0000016	LOC120774116|XP_039959415.1|BTRY	LOC117583582|XP_034127854.1|DGUA
OG0000016	LOC120775405|XP_039961502.1|BTRY	LOC117588507|XP_034135722.1|DGUA
OG0000016	LOC120767942|XP_039950259.1|BTRY	LOC117585750|XP_034131294.1|DGUA
OG0000016	LOC120773675|XP_039958634.1|BTRY	LOC117579173|XP_034120827.1|DGUA
OG0000017	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY	LOC117582389|XP_034125960.1|DGUA, LOC117592695|XP_034142550.1|DGUA, LOC117584523|XP_034129364.1|DGUA
OG0000018	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY	LOC117587357|XP_034133889.1|DGUA
OG0000018	LOC120777489|XP_039964764.1|BTRY	LOC117587358|XP_034133890.1|DGUA
OG0000018	LOC120777549|XP_039964872.1|BTRY	LOC117587351|XP_034133882.1|DGUA
OG0000018	LOC120777802|XP_039965269.1|BTRY, LOC120777782|XP_039965236.1|BTRY	LOC117587362|XP_034133895.1|DGUA
