Orthogroup	DELE.longest_only	DVIR.longest_only
OG0000000	LOC108150093|XP_017133546.1|DELE	LOC6623450|XP_002047287.1|DVIR
OG0000000	LOC108148460|XP_017130981.1|DELE, LOC108143366|XP_017123177.1|DELE, LOC108139044|XP_017117150.1|DELE	LOC6627198|XP_032293006.1|DVIR
OG0000000	LOC108144294|XP_017124470.1|DELE	LOC6626786|XP_002048872.2|DVIR
OG0000000	LOC108143648|XP_017123649.1|DELE, LOC108144150|XP_017124283.1|DELE, LOC108144147|XP_017124279.1|DELE, LOC108144148|XP_017124281.1|DELE, LOC108144149|XP_017124282.1|DELE, LOC108144287|XP_017124462.1|DELE, LOC108147230|XP_017129111.1|DELE	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR
OG0000000	LOC108145639|XP_017126664.1|DELE, LOC108145640|XP_017126665.1|DELE	LOC6636429|XP_032291674.1|DVIR
OG0000002	LOC108144341|XP_017124554.1|DELE	LOC6625292|XP_002049777.1|DVIR
OG0000002	LOC108143685|XP_017123691.1|DELE	LOC6627081|XP_002049906.2|DVIR
OG0000002	LOC108143683|XP_017123690.1|DELE	LOC6627080|XP_002049905.2|DVIR
OG0000002	LOC108147831|XP_017130074.1|DELE, LOC108134677|XP_017110563.1|DELE, LOC108134701|XP_017110586.1|DELE, LOC108134705|XP_017110590.1|DELE, LOC108134691|XP_017110578.1|DELE, LOC108134735|XP_017110639.1|DELE	LOC6626597|XP_002049033.2|DVIR
OG0000003	LOC108144467|XP_017124860.1|DELE, LOC108144671|XP_017125217.1|DELE	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR
OG0000003	LOC108145352|XP_017126230.1|DELE	LOC6625464|XP_002049668.1|DVIR
OG0000003	LOC108145367|XP_017126250.1|DELE	LOC6625463|XP_002049667.1|DVIR
OG0000004	LOC108135195|XP_017111306.1|DELE, LOC108134559|XP_017110400.1|DELE	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR, LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR, LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR
OG0000007	LOC108142600|XP_017122060.1|DELE	LOC6623030|XP_002046517.1|DVIR
OG0000007	LOC108142601|XP_017122061.1|DELE, LOC108142394|XP_017121723.1|DELE	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR
OG0000007	LOC108138842|XP_017116842.1|DELE	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR
OG0000007	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR
OG0000008	LOC108149642|XP_017132905.1|DELE	LOC6629514|XP_002054585.2|DVIR
OG0000008	LOC108145869|XP_017126996.1|DELE	LOC6623720|XP_002046325.3|DVIR
OG0000008	LOC108145867|XP_017126995.1|DELE	LOC6622211|XP_002046327.1|DVIR
OG0000008	LOC108138029|XP_017115491.1|DELE	LOC6627554|XP_002052288.1|DVIR
OG0000008	LOC108145871|XP_017126998.1|DELE	LOC26531283|XP_015031719.1|DVIR
OG0000008	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR
OG0000008	LOC108148323|XP_017130803.1|DELE	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR
OG0000008	LOC108148325|XP_017130805.1|DELE	LOC6631289|XP_002053528.2|DVIR
OG0000008	LOC108148321|XP_017130801.1|DELE	LOC6631285|XP_002053524.1|DVIR
OG0000008	LOC108148322|XP_017130802.1|DELE	LOC6631288|XP_002053527.1|DVIR
OG0000008	LOC108148324|XP_017130804.1|DELE	LOC6631290|XP_002053529.1|DVIR
OG0000009	LOC108137036|XP_017114024.1|DELE	LOC6632445|XP_002056511.1|DVIR
OG0000009	LOC108136709|XP_017113523.1|DELE	LOC6632323|XP_002056506.1|DVIR
OG0000009	LOC108136793|XP_017113657.1|DELE, LOC108137037|XP_017114025.1|DELE	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR
OG0000009	LOC108147392|XP_017129317.1|DELE, LOC108147550|XP_017129624.1|DELE	LOC6635767|XP_032294717.1|DVIR
OG0000009	LOC108144916|XP_017125568.1|DELE	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR
OG0000009	LOC108137992|XP_017115455.1|DELE	LOC6626542|XP_002050752.1|DVIR
OG0000009	LOC108137889|XP_017115317.1|DELE	LOC6628883|XP_002051663.1|DVIR
OG0000010	LOC108139189|XP_017117303.1|DELE	LOC6637215|XP_002060533.1|DVIR, LOC116649823|XP_032288859.1|DVIR, LOC6636962|XP_002060409.1|DVIR
OG0000011	LOC108146666|XP_017128208.1|DELE	LOC6623065|XP_002048503.2|DVIR
OG0000011	LOC108139281|XP_017117466.1|DELE	LOC6635697|XP_002059270.2|DVIR
OG0000012	LOC108145523|XP_017126497.1|DELE	LOC6624922|XP_002050777.1|DVIR
OG0000012	LOC108145522|XP_017126496.1|DELE	LOC6625019|XP_002050778.1|DVIR
OG0000012	LOC108145538|XP_017126526.1|DELE	LOC6625021|XP_002050780.1|DVIR
OG0000012	LOC108145542|XP_017126531.1|DELE	LOC6624921|XP_015029085.1|DVIR
OG0000012	LOC108147065|XP_017128845.1|DELE, LOC108145377|XP_017126261.1|DELE, LOC108145375|XP_017126259.1|DELE, LOC108145552|XP_017126542.1|DELE	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR
OG0000012	LOC108137876|XP_017115303.1|DELE, LOC108137991|XP_017115454.1|DELE, LOC108137877|XP_017115304.1|DELE, LOC108137996|XP_017115460.1|DELE, LOC108137901|XP_017115330.1|DELE	LOC6627005|XP_002050771.1|DVIR
OG0000012	LOC108137950|XP_017115398.1|DELE, LOC108137951|XP_017115399.1|DELE	LOC6627004|XP_002050770.1|DVIR
OG0000013	LOC108149749|XP_017133029.1|DELE	LOC6626677|XP_002050872.1|DVIR
OG0000013	LOC108137631|XP_017114906.1|DELE	LOC6633411|XP_015025597.1|DVIR
OG0000013	LOC108134833|XP_017110785.1|DELE	LOC6630204|XP_002053707.1|DVIR
OG0000013	LOC108146660|XP_017128198.1|DELE	LOC6622085|XP_002048525.1|DVIR
OG0000013	LOC108135085|XP_017111146.1|DELE	LOC6632892|XP_002056192.1|DVIR
OG0000013	LOC108136687|XP_017113497.1|DELE	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR
OG0000013	LOC108135067|XP_017111099.1|DELE, LOC108135806|XP_017112171.1|DELE, LOC108135068|XP_017111100.1|DELE	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR
OG0000015	LOC108138780|XP_017116737.1|DELE	LOC6633997|XP_032293758.1|DVIR
OG0000015	LOC108144693|XP_017125256.1|DELE, LOC108141971|XP_017121111.1|DELE	LOC26531562|XP_032293636.1|DVIR
OG0000016	LOC108139227|XP_017117379.1|DELE	LOC6633127|XP_002056070.1|DVIR
OG0000016	LOC108145428|XP_017126326.1|DELE	LOC116650918|XP_032291957.1|DVIR
OG0000016	LOC108135797|XP_017112156.1|DELE	LOC6630423|XP_002053735.1|DVIR
OG0000016	LOC108144651|XP_017125185.1|DELE	LOC6625554|XP_002049004.2|DVIR
OG0000016	LOC108140881|XP_017119405.1|DELE	LOC6636049|XP_002059576.1|DVIR
OG0000016	LOC108134657|XP_017110539.1|DELE	LOC6635861|XP_002059335.1|DVIR
OG0000016	LOC108140478|XP_017118708.1|DELE	LOC6631018|XP_002054294.1|DVIR
OG0000016	LOC108143220|XP_017123005.1|DELE	LOC6623693|XP_002048319.1|DVIR
OG0000017	LOC108134991|XP_017111013.1|DELE	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR
OG0000017	LOC108137351|XP_017114475.1|DELE	LOC6628970|XP_032293497.1|DVIR, LOC6623565|XP_032291328.1|DVIR, LOC116651590|XP_032294188.1|DVIR
OG0000017	LOC108143462|XP_017123388.1|DELE	LOC6627049|XP_002050830.3|DVIR
OG0000017	LOC108141554|XP_017120482.1|DELE	LOC6635871|XP_002059345.1|DVIR
OG0000017	LOC108147936|XP_017130210.1|DELE, LOC108147886|XP_017130134.1|DELE	LOC6627836|XP_032294331.1|DVIR
OG0000018	LOC108142474|XP_017121847.1|DELE	LOC6623414|XP_002046136.1|DVIR
OG0000018	LOC108142172|XP_017121346.1|DELE	LOC6623369|XP_002046140.1|DVIR
OG0000018	LOC108142475|XP_017121848.1|DELE	LOC6623326|XP_002046138.1|DVIR
OG0000018	LOC108142476|XP_017121849.1|DELE, LOC108142480|XP_017121852.1|DELE, LOC108142478|XP_017121851.1|DELE, LOC108142483|XP_017121857.1|DELE, LOC108142171|XP_017121345.1|DELE, LOC108142484|XP_017121859.1|DELE	LOC6623391|XP_002046158.1|DVIR
OG0000019	LOC108148666|XP_017131288.1|DELE	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR
OG0000019	LOC108148661|XP_017131282.1|DELE	LOC6630458|XP_002053919.1|DVIR
OG0000019	LOC108148667|XP_017131289.1|DELE	LOC6630457|XP_002053918.1|DVIR
OG0000019	LOC108148663|XP_017131286.1|DELE, LOC108148665|XP_017131287.1|DELE	LOC6630452|XP_002053913.1|DVIR
OG0000020	LOC108148802|XP_017131514.1|DELE	LOC6634957|XP_002058591.1|DVIR
OG0000020	LOC108145240|XP_017125995.1|DELE	LOC6635984|XP_002059302.2|DVIR
OG0000020	LOC108139069|XP_017117181.1|DELE, LOC108149435|XP_017132505.1|DELE	LOC6628903|XP_002051547.2|DVIR
OG0000020	LOC108136813|XP_017113705.1|DELE	LOC6632501|XP_032289762.1|DVIR
OG0000020	LOC108140627|XP_017119032.1|DELE	LOC6632573|XP_015026213.1|DVIR
OG0000020	LOC108142115|XP_017121302.1|DELE, LOC108138888|XP_017116909.1|DELE	LOC6628471|XP_002051546.1|DVIR
OG0000021	LOC108143679|XP_017123678.1|DELE	LOC6627164|XP_002049737.1|DVIR
OG0000021	LOC108143658|XP_017123658.1|DELE	LOC6625700|XP_015029837.1|DVIR
OG0000021	LOC108144237|XP_017124406.1|DELE	LOC6625029|XP_002050452.1|DVIR
OG0000021	LOC108140888|XP_017119410.1|DELE	LOC6636003|XP_002059503.1|DVIR
OG0000021	LOC108139148|XP_017117255.1|DELE	LOC6629522|XP_002053324.1|DVIR
OG0000021	LOC108134787|XP_017110724.1|DELE	LOC6629847|XP_002054468.1|DVIR
OG0000021	LOC108137723|XP_017115107.1|DELE	LOC26531416|XP_015025728.1|DVIR
OG0000022	LOC108144256|XP_017124426.1|DELE	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR
OG0000022	LOC108145944|XP_017127140.1|DELE, LOC108145943|XP_017127139.1|DELE	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR
OG0000022	LOC108145945|XP_017127141.1|DELE, LOC108145941|XP_017127138.1|DELE	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR
OG0000023	LOC108140988|XP_017119550.1|DELE	LOC6632666|XP_032289605.1|DVIR
OG0000023	LOC108140990|XP_017119554.1|DELE	LOC6632668|XP_002056437.2|DVIR
OG0000023	LOC108140983|XP_017119545.1|DELE, LOC108140984|XP_017119546.1|DELE	LOC6632669|XP_002056438.1|DVIR
OG0000023	LOC108137536|XP_017114748.1|DELE	LOC6626291|XP_002050067.1|DVIR
OG0000023	LOC108140985|XP_017119548.1|DELE	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR
OG0000023	LOC108140949|XP_017119506.1|DELE	LOC6632533|XP_002056431.1|DVIR
OG0000023	LOC108141054|XP_017119691.1|DELE	LOC6632529|XP_002056427.2|DVIR
OG0000023	LOC108141157|XP_017119872.1|DELE	LOC6632531|XP_002056429.1|DVIR
OG0000023	LOC108141055|XP_017119693.1|DELE	LOC6632528|XP_032289545.1|DVIR
OG0000024	LOC108144322|XP_017124512.1|DELE, LOC108144853|XP_017125489.1|DELE, LOC108144323|XP_017124513.1|DELE, LOC108144321|XP_017124511.1|DELE	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR
OG0000024	LOC108144317|XP_017124507.1|DELE	LOC6625431|XP_002049268.3|DVIR
OG0000024	LOC108134565|XP_017110407.1|DELE	LOC6634081|XP_002057902.1|DVIR
OG0000024	LOC108149067|XP_017131913.1|DELE	LOC6625162|XP_002048929.1|DVIR
OG0000025	LOC108136491|XP_017113196.1|DELE	LOC6635606|XP_002058949.1|DVIR
OG0000026	LOC108142200|XP_017121376.1|DELE	LOC6631803|XP_002055737.1|DVIR
OG0000026	LOC108148207|XP_017130606.1|DELE	LOC6628165|XP_002051461.1|DVIR
OG0000026	LOC108140970|XP_017119526.1|DELE	LOC6635194|XP_002058469.1|DVIR
OG0000027	LOC108138066|XP_017115531.1|DELE	LOC6629148|XP_002052895.1|DVIR
OG0000027	LOC108138043|XP_017115505.1|DELE	LOC6627465|XP_002052896.1|DVIR
OG0000028	LOC108146069|XP_017127372.1|DELE	LOC6622574|XP_002047517.1|DVIR
OG0000029	LOC108143743|XP_017123764.1|DELE, LOC108143811|XP_017123822.1|DELE	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR
