Orthogroup	DANA.longest_only	DELE.longest_only
OG0000000	LOC26513897|XP_014765549.1|DANA	LOC108150093|XP_017133546.1|DELE
OG0000000	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA	LOC108148460|XP_017130981.1|DELE
OG0000000	LOC6496234|XP_001960509.1|DANA	LOC108139044|XP_017117150.1|DELE
OG0000000	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA	LOC108145787|XP_017126846.1|DELE, LOC108145637|XP_017126661.1|DELE
OG0000000	LOC6503296|XP_001967564.2|DANA	LOC108143736|XP_017123759.1|DELE
OG0000000	LOC6502666|XP_032305659.1|DANA	LOC108142886|XP_017122451.1|DELE
OG0000000	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA	LOC108141650|XP_017120608.1|DELE, LOC108142885|XP_017122450.1|DELE, LOC108145618|XP_017126643.1|DELE, LOC108141344|XP_017120143.1|DELE
OG0000000	LOC6500855|XP_032305607.1|DANA	LOC108148604|XP_017131171.1|DELE
OG0000000	LOC6494112|XP_001960945.2|DANA	LOC108144147|XP_017124279.1|DELE
OG0000000	LOC6502509|XP_001960943.2|DANA	LOC108144148|XP_017124281.1|DELE, LOC108144149|XP_017124282.1|DELE, LOC108144287|XP_017124462.1|DELE
OG0000000	LOC6499064|XP_032305682.1|DANA	LOC108147230|XP_017129111.1|DELE
OG0000000	LOC6501674|XP_001955728.1|DANA, LOC116654961|XP_032307689.1|DANA, LOC26515107|XP_032307436.1|DANA, LOC116656571|XP_032312202.1|DANA	LOC108135485|XP_017111717.1|DELE
OG0000000	LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA	LOC108141030|XP_017119608.1|DELE
OG0000002	LOC6494276|XP_032306810.1|DANA	LOC108144341|XP_017124554.1|DELE
OG0000002	LOC6496130|XP_001960293.1|DANA	LOC108143685|XP_017123691.1|DELE
OG0000002	LOC6502577|XP_001960292.2|DANA	LOC108143683|XP_017123690.1|DELE
OG0000002	LOC116656048|XP_032311202.1|DANA	LOC108149858|XP_017133226.1|DELE
OG0000002	LOC116655418|XP_032309202.1|DANA	LOC108147831|XP_017130074.1|DELE
OG0000003	LOC6495486|XP_001958950.1|DANA	LOC108144467|XP_017124860.1|DELE
OG0000003	LOC6495485|XP_001958948.1|DANA	LOC108144671|XP_017125217.1|DELE
OG0000003	LOC6495484|XP_001958947.1|DANA	LOC108144670|XP_017125215.1|DELE
OG0000003	LOC6496624|XP_001961285.3|DANA	LOC108145092|XP_017125773.1|DELE
OG0000003	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA	LOC108144466|XP_017124858.1|DELE
OG0000003	LOC6495154|XP_001958949.2|DANA	LOC108144801|XP_017125415.1|DELE
OG0000003	LOC6495150|XP_014763173.1|DANA	LOC108144820|XP_017125440.1|DELE
OG0000003	LOC6495217|XP_001958825.1|DANA	LOC108145352|XP_017126230.1|DELE
OG0000003	LOC6495430|XP_001958829.1|DANA	LOC108145367|XP_017126250.1|DELE
OG0000007	LOC6506540|XP_001957688.2|DANA	LOC108135575|XP_017111853.1|DELE
OG0000007	LOC6493534|XP_001957954.1|DANA	LOC108142600|XP_017122060.1|DELE
OG0000007	LOC6493532|XP_001957952.1|DANA	LOC108142601|XP_017122061.1|DELE
OG0000007	LOC6504215|XP_001965139.1|DANA	LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE
OG0000007	LOC6504214|XP_001965140.1|DANA	LOC108138842|XP_017116842.1|DELE
OG0000007	LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE
OG0000007	LOC6493536|XP_001957956.2|DANA	LOC108142395|XP_017121724.1|DELE
OG0000007	LOC6506391|XP_001957958.1|DANA	LOC108142396|XP_017121725.1|DELE
OG0000008	LOC6501231|XP_001954812.1|DANA	LOC108149642|XP_017132905.1|DELE
OG0000008	LOC6506513|XP_001957739.1|DANA	LOC108145869|XP_017126996.1|DELE
OG0000008	LOC6493433|XP_001957742.1|DANA	LOC108145867|XP_017126995.1|DELE
OG0000008	LOC6504295|XP_001965067.1|DANA	LOC108138029|XP_017115491.1|DELE
OG0000008	LOC6506512|XP_001957740.2|DANA	LOC108145871|XP_017126998.1|DELE
OG0000008	LOC6503895|XP_001963800.1|DANA	LOC108149861|XP_017133230.1|DELE
OG0000008	LOC6499974|XP_001953515.1|DANA	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE
OG0000008	LOC6499973|XP_001953518.1|DANA	LOC108148323|XP_017130803.1|DELE
OG0000008	LOC6500585|XP_001953520.1|DANA	LOC108148325|XP_017130805.1|DELE
OG0000008	LOC6500584|XP_001953519.1|DANA	LOC108148322|XP_017130802.1|DELE
OG0000008	LOC6499972|XP_001953521.2|DANA	LOC108148324|XP_017130804.1|DELE
