Orthogroup	DSUZ.longest_only	DANA.longest_only
OG0000000	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ	LOC26513897|XP_014765549.1|DANA
OG0000000	LOC108019552|XP_036669814.1|DSUZ	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA
OG0000000	LOC108013696|XP_016935107.1|DSUZ	LOC6496234|XP_001960509.1|DANA
OG0000000	LOC108019563|XP_016942889.1|DSUZ	LOC6494335|XP_001960511.2|DANA
OG0000000	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ, LOC108007475|XP_016926645.1|DSUZ	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA
OG0000000	LOC108012145|XP_036675462.1|DSUZ	LOC6503296|XP_001967564.2|DANA
OG0000000	LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ	LOC6502666|XP_032305659.1|DANA
OG0000000	LOC108016521|XP_036671132.1|DSUZ, LOC108017700|XP_016940298.1|DSUZ, LOC108016425|XP_016938565.2|DSUZ, LOC108020024|XP_036672415.1|DSUZ	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA
OG0000000	LOC108012139|XP_036675579.1|DSUZ	LOC26514259|XP_032305722.1|DANA
OG0000000	LOC108013429|XP_016934786.2|DSUZ	LOC6497917|XP_001961708.2|DANA
OG0000000	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ	LOC6494112|XP_001960945.2|DANA
OG0000000	LOC108020157|XP_036673587.1|DSUZ	LOC6499064|XP_032305682.1|DANA
OG0000000	LOC118878061|XP_036675143.1|DSUZ	LOC6498897|XP_032305704.1|DANA
OG0000000	LOC108007738|XP_016926982.2|DSUZ, LOC108021799|XP_036676928.1|DSUZ, LOC108012280|XP_036672320.1|DSUZ	LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA
OG0000002	LOC108008721|XP_016928110.1|DSUZ	LOC6494276|XP_032306810.1|DANA
OG0000002	LOC108009088|XP_016928634.1|DSUZ	LOC6496130|XP_001960293.1|DANA
OG0000002	LOC108009087|XP_016928633.1|DSUZ	LOC6502577|XP_001960292.2|DANA
OG0000002	LOC108009933|XP_016930164.1|DSUZ	LOC6495823|XP_001959659.3|DANA, LOC116654680|XP_032306049.1|DANA, LOC6495824|XP_001959660.3|DANA
OG0000002	LOC108016449|XP_016938590.2|DSUZ	LOC6502757|XP_014760373.1|DANA, LOC6505775|XP_001965022.2|DANA
OG0000002	LOC108009013|XP_016928477.1|DSUZ	LOC116655418|XP_032309202.1|DANA
OG0000003	LOC108008945|XP_016928345.1|DSUZ	LOC6495486|XP_001958950.1|DANA
OG0000003	LOC108008944|XP_016928343.1|DSUZ	LOC6495485|XP_001958948.1|DANA
OG0000003	LOC118877697|XP_036673424.1|DSUZ, LOC108008943|XP_016928342.1|DSUZ	LOC6495484|XP_001958947.1|DANA
OG0000003	LOC108018006|XP_016940848.1|DSUZ	LOC6496624|XP_001961285.3|DANA
OG0000003	LOC108008949|XP_016928349.1|DSUZ, LOC108008948|XP_016928348.1|DSUZ	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA
OG0000003	LOC108008947|XP_016928347.2|DSUZ	LOC6495153|XP_001958951.2|DANA
OG0000003	LOC108008946|XP_016928346.1|DSUZ, LOC108008150|XP_016927428.2|DSUZ	LOC6495154|XP_001958949.2|DANA
OG0000003	LOC108008950|XP_016928350.1|DSUZ	LOC6495150|XP_014763173.1|DANA
OG0000003	LOC108019593|XP_016942923.1|DSUZ	LOC6495217|XP_001958825.1|DANA
OG0000003	LOC108019592|XP_016942921.1|DSUZ	LOC6495430|XP_001958829.1|DANA
OG0000003	LOC108019594|XP_016942924.1|DSUZ	LOC6495216|XP_001958826.1|DANA
OG0000004	LOC118879510|XP_036678268.1|DSUZ, LOC108016323|XP_016938449.2|DSUZ, LOC118877303|XP_036671346.1|DSUZ, LOC118879250|XP_036678028.1|DSUZ, LOC118879509|XP_036678267.1|DSUZ, LOC118879267|XP_036678044.1|DSUZ, LOC118879249|XP_036678027.1|DSUZ, LOC118879639|XP_036678427.1|DSUZ, LOC118877305|XP_036671351.1|DSUZ, LOC118879640|XP_036678428.1|DSUZ	LOC116655976|XP_032310860.1|DANA, LOC26514479|XP_014758928.2|DANA, LOC116655701|XP_032309456.1|DANA, LOC116655709|XP_032309467.1|DANA, LOC116655975|XP_032310859.1|DANA, LOC6501745|XP_001967751.3|DANA, LOC6502880|XP_001967788.3|DANA, LOC6498691|XP_001967677.3|DANA, LOC116655427|XP_032309213.1|DANA, LOC116655702|XP_032309457.1|DANA, LOC6506068|XP_001967797.3|DANA, LOC6504968|XP_001964805.3|DANA, LOC116655977|XP_032310861.1|DANA, LOC116655978|XP_032310862.1|DANA, LOC116655704|XP_032309459.1|DANA, LOC6504908|XP_001964815.2|DANA, LOC6504940|XP_001964810.3|DANA, LOC116655703|XP_032309458.1|DANA, LOC6504875|XP_001964820.3|DANA, LOC6502394|XP_032309212.1|DANA, LOC6504999|XP_001964802.3|DANA
OG0000005	LOC108016330|XP_016938455.2|DSUZ	LOC6501749|XP_001967750.2|DANA
OG0000006	LOC118879269|XP_036678046.1|DSUZ, LOC118879646|XP_036678433.1|DSUZ	LOC116656005|XP_032310965.1|DANA
OG0000006	LOC118879645|XP_036678432.1|DSUZ	LOC6506066|XP_032309425.1|DANA
OG0000007	LOC108004804|XP_016923359.1|DSUZ	LOC6506540|XP_001957688.2|DANA
