Orthogroup	DELE.longest_only	DSUZ.longest_only
OG0000000	LOC108150093|XP_017133546.1|DELE	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ
OG0000000	LOC108148460|XP_017130981.1|DELE	LOC108019552|XP_036669814.1|DSUZ
OG0000000	LOC108139044|XP_017117150.1|DELE	LOC108013696|XP_016935107.1|DSUZ
OG0000000	LOC108135022|XP_017111043.1|DELE	LOC108013925|XP_016935418.2|DSUZ
OG0000000	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE	LOC118877230|XP_036670644.1|DSUZ
OG0000000	LOC108145787|XP_017126846.1|DELE	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ
OG0000000	LOC108145637|XP_017126661.1|DELE	LOC108007475|XP_016926645.1|DSUZ
OG0000000	LOC108144294|XP_017124470.1|DELE	LOC108008220|XP_016927499.2|DSUZ
OG0000000	LOC108134556|XP_017110398.1|DELE	LOC108021133|XP_036668720.1|DSUZ
OG0000000	LOC108150089|XP_017133542.1|DELE	LOC108014081|XP_036675273.1|DSUZ, LOC118878117|XP_036675454.1|DSUZ
OG0000000	LOC108143736|XP_017123759.1|DELE	LOC108012145|XP_036675462.1|DSUZ
OG0000000	LOC108142886|XP_017122451.1|DELE	LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ
OG0000000	LOC108141650|XP_017120608.1|DELE	LOC108016521|XP_036671132.1|DSUZ
OG0000000	LOC108141344|XP_017120143.1|DELE	LOC108017700|XP_016940298.1|DSUZ
OG0000000	LOC108144147|XP_017124279.1|DELE	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ
OG0000000	LOC108147230|XP_017129111.1|DELE	LOC108020157|XP_036673587.1|DSUZ
OG0000000	LOC108145639|XP_017126664.1|DELE	LOC108007497|XP_016926669.2|DSUZ
OG0000000	LOC108145640|XP_017126665.1|DELE	LOC108007477|XP_016926648.2|DSUZ
OG0000000	LOC108141030|XP_017119608.1|DELE	LOC108007738|XP_016926982.2|DSUZ, LOC108021799|XP_036676928.1|DSUZ
OG0000002	LOC108144341|XP_017124554.1|DELE	LOC108008721|XP_016928110.1|DSUZ
OG0000002	LOC108143685|XP_017123691.1|DELE	LOC108009088|XP_016928634.1|DSUZ
OG0000002	LOC108143683|XP_017123690.1|DELE	LOC108009087|XP_016928633.1|DSUZ
OG0000002	LOC108147339|XP_017129256.1|DELE	LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ
OG0000002	LOC108147831|XP_017130074.1|DELE	LOC108009013|XP_016928477.1|DSUZ
OG0000002	LOC108134735|XP_017110639.1|DELE	LOC108021294|XP_016945474.2|DSUZ
OG0000003	LOC108144467|XP_017124860.1|DELE	LOC108008945|XP_016928345.1|DSUZ
OG0000003	LOC108144671|XP_017125217.1|DELE	LOC108008944|XP_016928343.1|DSUZ
OG0000003	LOC108144670|XP_017125215.1|DELE	LOC108008943|XP_016928342.1|DSUZ
OG0000003	LOC108145092|XP_017125773.1|DELE	LOC108018006|XP_016940848.1|DSUZ
OG0000003	LOC108144466|XP_017124858.1|DELE	LOC108008949|XP_016928349.1|DSUZ, LOC108008948|XP_016928348.1|DSUZ
OG0000003	LOC108144801|XP_017125415.1|DELE	LOC108008946|XP_016928346.1|DSUZ, LOC108008150|XP_016927428.2|DSUZ
OG0000003	LOC108144820|XP_017125440.1|DELE	LOC108008950|XP_016928350.1|DSUZ
OG0000003	LOC108145352|XP_017126230.1|DELE	LOC108019593|XP_016942923.1|DSUZ
OG0000003	LOC108145367|XP_017126250.1|DELE	LOC108019592|XP_016942921.1|DSUZ
OG0000007	LOC108135575|XP_017111853.1|DELE	LOC108004804|XP_016923359.1|DSUZ
OG0000007	LOC108142600|XP_017122060.1|DELE	LOC118877416|XP_036672028.1|DSUZ
OG0000007	LOC108142393|XP_017121722.1|DELE	LOC108013025|XP_016934104.1|DSUZ
OG0000007	LOC108142601|XP_017122061.1|DELE	LOC108013029|XP_016934109.1|DSUZ
OG0000007	LOC108142394|XP_017121723.1|DELE	LOC108013028|XP_016934108.1|DSUZ, LOC108013026|XP_016934106.1|DSUZ
