Orthogroup	DGUA.longest_only	DMAU.longest_only
OG0000000	LOC117592188|XP_034141680.1|DGUA	LOC117145695|XP_033167327.1|DMAU
OG0000000	LOC117583189|XP_034127284.1|DGUA	LOC117145817|XP_033167509.1|DMAU, LOC117145797|XP_033167474.1|DMAU
OG0000000	LOC117588815|XP_034136215.1|DGUA	LOC117138309|XP_033156204.1|DMAU
OG0000000	LOC117589025|XP_034136545.1|DGUA	LOC117139148|XP_033157197.1|DMAU
OG0000000	LOC117588940|XP_034136409.1|DGUA	LOC117140540|XP_033159421.1|DMAU
OG0000000	LOC117592532|XP_034142283.1|DGUA	LOC117138648|XP_033156758.1|DMAU
OG0000000	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA	LOC117142327|XP_033162129.1|DMAU
OG0000000	LOC117583194|XP_034127289.1|DGUA	LOC117138341|XP_033156269.1|DMAU
OG0000000	LOC117583318|XP_034127468.1|DGUA	LOC117145856|XP_033167567.1|DMAU
OG0000000	LOC117582218|XP_034125717.1|DGUA	LOC117150929|XP_033173982.1|DMAU
OG0000000	LOC117592359|XP_034141946.1|DGUA	LOC117138584|XP_033156654.1|DMAU, LOC117138016|XP_033155711.1|DMAU
OG0000000	LOC117589701|XP_034137755.1|DGUA	LOC117146038|XP_033167862.1|DMAU
OG0000002	LOC117579099|XP_034120716.1|DGUA	LOC117135907|XP_033152364.1|DMAU
OG0000002	LOC117579108|XP_034120728.1|DGUA	LOC117135906|XP_033152363.1|DMAU
OG0000002	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA	LOC117136934|XP_033153971.1|DMAU
OG0000003	LOC117592331|XP_034141917.1|DGUA	LOC117136850|XP_033153839.1|DMAU, LOC117137895|XP_033155524.1|DMAU
OG0000003	LOC117592350|XP_034141940.1|DGUA	LOC117145313|XP_033166799.1|DMAU, LOC117137897|XP_033155527.1|DMAU
OG0000003	LOC117578447|XP_034119862.1|DGUA	LOC117136364|XP_033153130.1|DMAU
OG0000003	LOC117583299|XP_034127435.1|DGUA	LOC117136849|XP_033153838.1|DMAU
OG0000003	LOC117592340|XP_034141928.1|DGUA	LOC117137674|XP_033155124.1|DMAU
OG0000003	LOC117583309|XP_034127448.1|DGUA	LOC117136851|XP_033153841.1|DMAU
OG0000003	LOC117583990|XP_034128606.1|DGUA	LOC117137104|XP_033154281.1|DMAU
OG0000003	LOC117583987|XP_034128590.1|DGUA	LOC117137102|XP_033154279.1|DMAU, LOC117137103|XP_033154280.1|DMAU
OG0000003	LOC117587981|XP_034134880.1|DGUA	LOC117138777|XP_033156858.1|DMAU
OG0000007	LOC117587428|XP_034133991.1|DGUA	LOC117142070|XP_033161841.1|DMAU
