Orthogroup	DSUZ.longest_only	DMAU.longest_only
OG0000000	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ	LOC117141546|XP_033160941.1|DMAU
OG0000000	LOC108013696|XP_016935107.1|DSUZ	LOC117149958|XP_033172750.1|DMAU
OG0000000	LOC108013925|XP_016935418.2|DSUZ	LOC117145797|XP_033167474.1|DMAU
OG0000000	LOC108019563|XP_016942889.1|DSUZ	LOC117138309|XP_033156204.1|DMAU
OG0000000	LOC118877230|XP_036670644.1|DSUZ	LOC117139148|XP_033157197.1|DMAU
OG0000000	LOC108007474|XP_036670349.1|DSUZ	LOC117139149|XP_033157198.1|DMAU
OG0000000	LOC108007475|XP_016926645.1|DSUZ	LOC117140540|XP_033159421.1|DMAU
OG0000000	LOC108008220|XP_016927499.2|DSUZ	LOC117138648|XP_033156758.1|DMAU
OG0000000	LOC108021133|XP_036668720.1|DSUZ	LOC117144786|XP_033166045.1|DMAU
OG0000000	LOC108012145|XP_036675462.1|DSUZ	LOC117142327|XP_033162129.1|DMAU
OG0000000	LOC108016521|XP_036671132.1|DSUZ	LOC117136304|XP_033153082.1|DMAU
OG0000000	LOC108017700|XP_016940298.1|DSUZ	LOC117138341|XP_033156269.1|DMAU
OG0000000	LOC108020024|XP_036672415.1|DSUZ	LOC117140233|XP_033158923.1|DMAU, LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU, LOC117136161|XP_033152774.1|DMAU, LOC117139178|XP_033157238.1|DMAU
OG0000000	LOC108011960|XP_036678587.1|DSUZ	LOC117150663|XP_033173544.1|DMAU
OG0000000	LOC108012139|XP_036675579.1|DSUZ	LOC117145744|XP_033167397.1|DMAU
OG0000000	LOC108012154|XP_036675464.1|DSUZ	LOC117145225|XP_033166688.1|DMAU
OG0000000	LOC108013429|XP_016934786.2|DSUZ	LOC117150929|XP_033173982.1|DMAU
OG0000000	LOC108017737|XP_016940334.1|DSUZ	LOC117138584|XP_033156654.1|DMAU
OG0000000	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ	LOC117138016|XP_033155711.1|DMAU
OG0000000	LOC108020157|XP_036673587.1|DSUZ	LOC117146038|XP_033167862.1|DMAU
OG0000000	LOC118878061|XP_036675143.1|DSUZ	LOC117145160|XP_033166598.1|DMAU
OG0000000	LOC108007479|XP_036670397.1|DSUZ	LOC117140539|XP_033159419.1|DMAU
OG0000000	LOC108007497|XP_016926669.2|DSUZ	LOC117140538|XP_033159418.1|DMAU
OG0000001	LOC118879535|XP_036678284.1|DSUZ, LOC118879596|XP_036678401.1|DSUZ	LOC117140024|XP_033158645.1|DMAU
OG0000001	LOC118878822|XP_036677740.1|DSUZ	LOC117139899|XP_033158470.1|DMAU
OG0000001	LOC118879060|XP_036677938.1|DSUZ	LOC117149766|XP_033172711.1|DMAU, LOC117136660|XP_033153552.1|DMAU
OG0000002	LOC108008721|XP_016928110.1|DSUZ	LOC117138082|XP_033155798.1|DMAU
OG0000002	LOC108009088|XP_016928634.1|DSUZ	LOC117135907|XP_033152364.1|DMAU
OG0000002	LOC108009087|XP_016928633.1|DSUZ	LOC117135906|XP_033152363.1|DMAU
OG0000002	LOC108011106|XP_016931667.2|DSUZ	LOC117149870|XP_033172720.1|DMAU
OG0000002	LOC108005613|XP_016924412.2|DSUZ, LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ, LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ	LOC117140283|XP_033159002.1|DMAU
OG0000003	LOC108008945|XP_016928345.1|DSUZ	LOC117136850|XP_033153839.1|DMAU
OG0000003	LOC108008944|XP_016928343.1|DSUZ	LOC117137895|XP_033155524.1|DMAU
OG0000003	LOC118877697|XP_036673424.1|DSUZ	LOC117145313|XP_033166799.1|DMAU
OG0000003	LOC108008943|XP_016928342.1|DSUZ	LOC117137897|XP_033155527.1|DMAU
OG0000003	LOC108018006|XP_016940848.1|DSUZ	LOC117136364|XP_033153130.1|DMAU
OG0000003	LOC108008948|XP_016928348.1|DSUZ	LOC117136849|XP_033153838.1|DMAU
OG0000003	LOC108008947|XP_016928347.2|DSUZ	LOC117138513|XP_033156538.1|DMAU
OG0000003	LOC108008946|XP_016928346.1|DSUZ, LOC108008150|XP_016927428.2|DSUZ	LOC117137674|XP_033155124.1|DMAU
OG0000003	LOC108008950|XP_016928350.1|DSUZ	LOC117136851|XP_033153841.1|DMAU
OG0000003	LOC108019593|XP_016942923.1|DSUZ	LOC117137104|XP_033154281.1|DMAU
OG0000003	LOC108019592|XP_016942921.1|DSUZ	LOC117137102|XP_033154279.1|DMAU
OG0000003	LOC108019594|XP_016942924.1|DSUZ	LOC117137103|XP_033154280.1|DMAU
OG0000003	LOC108007096|XP_016926191.1|DSUZ	LOC117138777|XP_033156858.1|DMAU
OG0000007	LOC108004804|XP_016923359.1|DSUZ	LOC117141087|XP_033160294.1|DMAU
OG0000007	LOC108013025|XP_016934104.1|DSUZ	LOC117142070|XP_033161841.1|DMAU
OG0000007	LOC108012496|XP_016933394.1|DSUZ	LOC117140666|XP_033159604.1|DMAU
OG0000007	LOC108012427|XP_016933279.1|DSUZ	LOC117139205|XP_033157267.1|DMAU
OG0000007	LOC108013028|XP_016934108.1|DSUZ	LOC117140665|XP_033159603.1|DMAU
OG0000007	LOC118879795|XP_036678702.1|DSUZ	LOC117150742|XP_033173667.1|DMAU
OG0000007	LOC108019834|XP_016943342.1|DSUZ	LOC117136894|XP_033153899.1|DMAU
OG0000007	LOC108017241|XP_036675632.1|DSUZ	LOC117143375|XP_033163942.1|DMAU, LOC117144956|XP_033166302.1|DMAU
OG0000007	LOC118876800|XP_036668611.1|DSUZ	LOC117139714|XP_033158125.1|DMAU
OG0000007	LOC108012354|XP_016933195.2|DSUZ	LOC117139147|XP_033157196.1|DMAU
OG0000007	LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ	LOC117139091|XP_033157106.1|DMAU
OG0000007	LOC108013030|XP_016934110.1|DSUZ	LOC117142072|XP_033161843.1|DMAU
OG0000008	LOC108014183|XP_016935707.1|DSUZ	LOC117142833|XP_033162955.1|DMAU
OG0000008	LOC108020044|XP_016943629.1|DSUZ	LOC117140615|XP_033159521.1|DMAU
OG0000008	LOC118877368|XP_036671791.1|DSUZ	LOC117140614|XP_033159520.1|DMAU
OG0000008	LOC108007042|XP_016926141.1|DSUZ	LOC117150767|XP_033173694.1|DMAU
OG0000008	LOC108020009|XP_016943583.1|DSUZ	LOC117140617|XP_033159524.1|DMAU
OG0000008	LOC108011129|XP_016931690.1|DSUZ	LOC117147420|XP_033170189.1|DMAU
OG0000008	LOC108014245|XP_016935771.2|DSUZ	LOC117144387|XP_033165412.1|DMAU
OG0000008	LOC108006378|XP_036675047.1|DSUZ	LOC117143719|XP_033164408.1|DMAU
OG0000008	LOC108014237|XP_016935761.1|DSUZ	LOC117144386|XP_033165411.1|DMAU
OG0000008	LOC118878011|XP_036674950.1|DSUZ	LOC117143928|XP_033164736.1|DMAU
OG0000009	LOC108014185|XP_016935709.1|DSUZ	LOC117145423|XP_033166959.1|DMAU
OG0000009	LOC108014181|XP_016935705.2|DSUZ	LOC117143759|XP_033164466.1|DMAU
OG0000009	LOC108015574|XP_036672879.1|DSUZ	LOC117145633|XP_033167244.1|DMAU
