Orthogroup	DPER.longest_only	DPSE.longest_only
OG0000000	LOC6592191|XP_002017761.2|DPER	LOC6898781|XP_002138758.2|DPSE
OG0000000	LOC6603460|XP_002028440.1|DPER	LOC6898696|XP_002138701.1|DPSE
OG0000000	LOC6603459|XP_026842774.1|DPER	LOC6898697|XP_033233391.1|DPSE
OG0000000	LOC6603458|XP_002028438.2|DPER	LOC6898698|XP_015040315.2|DPSE
OG0000000	LOC113564914|XP_026840098.1|DPER	LOC117183397|XP_033233111.1|DPSE
OG0000000	LOC6598749|XP_026840097.1|DPER	LOC6896911|XP_033233104.1|DPSE
OG0000000	LOC6598747|XP_026840096.1|DPER	LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE
OG0000000	LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER	LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE
OG0000000	LOC6598745|XP_026840088.1|DPER	LOC6896908|XP_033233090.1|DPSE
OG0000000	LOC6603462|XP_002028442.1|DPER	LOC6898695|XP_002138700.2|DPSE
OG0000000	LOC6599796|XP_002024966.2|DPER	LOC117184977|XP_033240205.1|DPSE
OG0000000	LOC6592293|XP_002018412.1|DPER	LOC4804691|XP_001361210.2|DPSE
OG0000000	LOC6594745|XP_002020397.2|DPER	LOC6896672|XP_033232290.1|DPSE
OG0000000	LOC6594749|XP_026851250.1|DPER	LOC6896676|XP_033241757.1|DPSE
OG0000000	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER	LOC6896675|XP_033232980.1|DPSE
OG0000000	LOC6589576|XP_026844127.1|DPER	LOC117183963|XP_033235597.1|DPSE
OG0000000	LOC6593032|XP_002017709.2|DPER	LOC117183537|XP_033233520.1|DPSE
OG0000000	LOC6593087|XP_026841436.1|DPER	LOC117183751|XP_033234658.1|DPSE
OG0000000	LOC6593031|XP_026841437.1|DPER	LOC6898801|XP_033234867.1|DPSE
OG0000000	LOC6595061|XP_026851238.1|DPER	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE
OG0000000	LOC6595060|XP_002020414.2|DPER	LOC6896683|XP_002136898.3|DPSE
OG0000000	LOC6588283|XP_026842223.1|DPER	LOC6897227|XP_002137399.2|DPSE
OG0000000	LOC113565649|XP_026844091.1|DPER	LOC6902907|XP_033236216.1|DPSE
OG0000000	LOC6592855|XP_026840797.1|DPER	LOC6898538|XP_033233460.1|DPSE
OG0000000	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE
OG0000000	LOC6595014|XP_026839995.1|DPER	LOC6896813|XP_033232366.1|DPSE
OG0000000	LOC6587480|XP_002013644.2|DPER	LOC4801605|XP_001358672.2|DPSE
OG0000000	LOC113564894|XP_026839940.1|DPER	LOC117183386|XP_033233030.1|DPSE
OG0000000	LOC113564893|XP_026839937.1|DPER	LOC117183385|XP_033233027.1|DPSE
OG0000000	LOC113564896|XP_026839945.1|DPER, LOC113564892|XP_026839936.1|DPER, LOC113564891|XP_026839935.1|DPER, LOC6595239|XP_026839947.1|DPER	LOC13036529|XP_033233038.1|DPSE
OG0000000	LOC6591953|XP_026851182.1|DPER, LOC6592013|XP_002017508.2|DPER	LOC6897761|XP_002137866.2|DPSE
OG0000000	LOC113567447|XP_026851145.1|DPER, LOC113564924|XP_026840190.1|DPER	LOC6899372|XP_033233116.1|DPSE
OG0000000	LOC6587947|XP_026840188.1|DPER	LOC6896993|XP_033241798.1|DPSE
OG0000000	LOC6588042|XP_002012846.2|DPER	LOC26533415|XP_033234557.1|DPSE
OG0000000	LOC6592618|XP_002018494.2|DPER	LOC117183599|XP_033233927.1|DPSE
OG0000000	LOC113564925|XP_026840193.1|DPER	LOC6896992|XP_002137178.3|DPSE, LOC117183671|XP_033234253.1|DPSE, LOC117183249|XP_033232383.1|DPSE
OG0000000	LOC6587712|XP_002012839.2|DPER	LOC6898266|XP_002138332.3|DPSE
OG0000000	LOC6588022|XP_026840192.1|DPER	LOC6898641|XP_002138646.2|DPSE
OG0000000	LOC113566937|XP_026849986.1|DPER, LOC113567058|XP_026850069.1|DPER	LOC13036393|XP_003736798.3|DPSE, LOC6897759|XP_002137864.4|DPSE
OG0000000	LOC6598646|XP_026840107.1|DPER	LOC6898293|XP_033233430.1|DPSE, LOC13036490|XP_003736302.2|DPSE
OG0000001	LOC113566438|XP_026847737.1|DPER	LOC117184464|XP_033238070.1|DPSE
OG0000002	LOC6601614|XP_002026650.2|DPER	LOC6899110|XP_033234698.1|DPSE
OG0000002	LOC6601615|XP_026841465.1|DPER	LOC6899111|XP_002139028.1|DPSE
OG0000002	LOC6595741|XP_026845259.1|DPER	LOC6900542|XP_033238667.1|DPSE
OG0000002	LOC6596381|XP_002021534.2|DPER	LOC6902531|XP_002133071.3|DPSE
OG0000003	LOC6591231|XP_002016677.1|DPER	LOC4804983|XP_001361457.3|DPSE
OG0000003	LOC6590819|XP_026841177.1|DPER	LOC4804982|XP_001361456.3|DPSE
OG0000003	LOC6590049|XP_002015522.1|DPER	LOC4803409|XP_001360156.1|DPSE
OG0000003	LOC6591234|XP_002016680.1|DPER	LOC6898736|XP_002138723.1|DPSE
OG0000003	LOC6591233|XP_002016679.1|DPER	LOC6898737|XP_002138724.1|DPSE
OG0000003	LOC6591232|XP_002016678.1|DPER	LOC4804980|XP_001361454.1|DPSE
OG0000003	LOC6591235|XP_002016681.1|DPER	LOC4804975|XP_001361450.3|DPSE
OG0000003	LOC6591236|XP_002016682.2|DPER	LOC4804978|XP_001361452.2|DPSE
OG0000003	LOC6591237|XP_026840952.1|DPER	LOC117183541|XP_033233567.1|DPSE
OG0000003	LOC6591238|XP_002016684.1|DPER	LOC4804974|XP_001361449.3|DPSE
OG0000003	LOC6596552|XP_002021689.1|DPER	LOC6902590|XP_002133118.2|DPSE
OG0000004	LOC6587316|XP_002013131.1|DPER, LOC113567243|XP_026850214.1|DPER, LOC113567235|XP_026850206.1|DPER, LOC6587397|XP_002013126.1|DPER, LOC113567242|XP_026850212.1|DPER, LOC113567391|XP_026850908.1|DPER, LOC113567026|XP_026850037.1|DPER, LOC113567027|XP_026850038.1|DPER, LOC113567400|XP_026850928.1|DPER, LOC6587650|XP_002013120.1|DPER, LOC113564935|XP_026840262.1|DPER, LOC113567383|XP_026850888.1|DPER, LOC113567241|XP_026850211.1|DPER, LOC6604119|XP_002029056.2|DPER	LOC26533245|XP_033241636.1|DPSE
OG0000004	LOC113565361|XP_026842911.1|DPER	LOC117185608|XP_033241637.1|DPSE
OG0000004	LOC113567390|XP_026850907.1|DPER	LOC117185631|XP_033241718.1|DPSE
OG0000004	LOC6587454|XP_002013136.2|DPER	LOC117185630|XP_033241717.1|DPSE
OG0000004	LOC113566634|XP_026848945.1|DPER	LOC26532398|XP_015035141.1|DPSE
OG0000004	LOC6599392|XP_026847172.1|DPER, LOC6599399|XP_026847197.1|DPER	LOC6901706|XP_002134374.3|DPSE, LOC26534400|XP_015042050.2|DPSE
OG0000005	LOC113567239|XP_026850209.1|DPER	LOC6897430|XP_002137581.2|DPSE
OG0000005	LOC113565365|XP_026842917.1|DPER	LOC6903936|XP_033233874.1|DPSE
OG0000005	LOC6587310|XP_002013132.1|DPER	LOC117183560|XP_033233682.1|DPSE
OG0000005	LOC113566308|XP_026847198.1|DPER, LOC6599391|XP_002024443.1|DPER	LOC6901707|XP_002134375.1|DPSE
OG0000005	LOC6587632|XP_002013116.1|DPER	LOC117183589|XP_033233906.1|DPSE
OG0000006	LOC113565363|XP_026842914.1|DPER	LOC117185602|XP_033241630.1|DPSE
OG0000006	LOC113567411|XP_026850946.1|DPER	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE
OG0000006	LOC6588461|XP_002013138.1|DPER, LOC113567246|XP_026850216.1|DPER, LOC113567245|XP_026850215.1|DPER, LOC6587643|XP_002013117.1|DPER, LOC113567402|XP_026850930.1|DPER, LOC113567395|XP_026850912.1|DPER	LOC117183581|XP_033233838.1|DPSE
OG0000007	LOC6595910|XP_002021056.1|DPER	LOC6900428|XP_002134819.1|DPSE
OG0000007	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER	LOC5495512|XP_001353851.2|DPSE
OG0000007	LOC6601482|XP_002026422.2|DPER	LOC5495507|XP_001353849.1|DPSE
OG0000007	LOC6596309|XP_002021479.1|DPER	LOC5495509|XP_001355939.3|DPSE
OG0000007	LOC6592462|XP_002017797.1|DPER	LOC4805058|XP_001361522.1|DPSE
OG0000007	LOC6595007|XP_002020464.1|DPER	LOC6896708|XP_002136922.1|DPSE
OG0000007	LOC6595006|XP_002020463.1|DPER	LOC4800234|XP_001357614.1|DPSE
OG0000007	LOC6595005|XP_002020462.1|DPER	LOC6896707|XP_002136921.2|DPSE
OG0000007	LOC6596310|XP_002021480.2|DPER	LOC4816610|XP_001355938.2|DPSE
