Orthogroup	DPSE.longest_only	DANA.longest_only
OG0000000	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA
OG0000000	LOC6898698|XP_015040315.2|DPSE	LOC6496234|XP_001960509.1|DANA
OG0000000	LOC6898695|XP_002138700.2|DPSE	LOC6494335|XP_001960511.2|DANA
OG0000000	LOC6899999|XP_033240207.1|DPSE	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA
OG0000000	LOC6896672|XP_033232290.1|DPSE	LOC26515012|XP_032305331.1|DANA
OG0000000	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE	LOC6503296|XP_001967564.2|DANA
OG0000000	LOC117183963|XP_033235597.1|DPSE	LOC26514039|XP_032307416.1|DANA
OG0000000	LOC6898794|XP_033234286.1|DPSE, LOC117183537|XP_033233520.1|DPSE, LOC117183751|XP_033234658.1|DPSE, LOC6898801|XP_033234867.1|DPSE	LOC6502666|XP_032305659.1|DANA
OG0000000	LOC6897227|XP_002137399.2|DPSE	LOC6500855|XP_032305607.1|DANA
OG0000000	LOC6902907|XP_033236216.1|DPSE	LOC6497917|XP_001961708.2|DANA
OG0000000	LOC6898538|XP_033233460.1|DPSE	LOC26514098|XP_032306915.1|DANA
OG0000000	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE	LOC6494112|XP_001960945.2|DANA
OG0000000	LOC6896813|XP_033232366.1|DPSE	LOC6502509|XP_001960943.2|DANA
OG0000000	LOC4801605|XP_001358672.2|DPSE	LOC6499064|XP_032305682.1|DANA
OG0000000	LOC6897749|XP_033232309.1|DPSE	LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA
OG0000000	LOC6899372|XP_033233116.1|DPSE, LOC6896993|XP_033241798.1|DPSE, LOC26533415|XP_033234557.1|DPSE, LOC117183599|XP_033233927.1|DPSE, LOC6896992|XP_002137178.3|DPSE, LOC117183671|XP_033234253.1|DPSE, LOC117183249|XP_033232383.1|DPSE, LOC6898266|XP_002138332.3|DPSE, LOC6898641|XP_002138646.2|DPSE, LOC6898500|XP_002138541.2|DPSE, LOC13036393|XP_003736798.3|DPSE, LOC6897759|XP_002137864.4|DPSE	LOC6497530|XP_001961898.2|DANA
OG0000002	LOC6899110|XP_033234698.1|DPSE	LOC6496130|XP_001960293.1|DANA
OG0000002	LOC6899111|XP_002139028.1|DPSE	LOC6502577|XP_001960292.2|DANA
