Orthogroup	DBUS.longest_only	CCAP.longest_only
OG0000000	LOC117134726|XP_033149242.1|DBUS	CCAP1982_LOCUS22474|CAD7014476.1|CCAP
OG0000000	LOC108598118|XP_017840224.1|DBUS	CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP
OG0000000	LOC108601266|XP_017844655.2|DBUS	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP
OG0000000	LOC108594849|XP_017835476.1|DBUS	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP
OG0000000	LOC117134725|XP_033149241.1|DBUS, LOC108604182|XP_017849014.1|DBUS, LOC108601273|XP_017844662.1|DBUS, LOC108594727|XP_017835355.1|DBUS	CCAP1982_LOCUS11001|CAD7002512.1|CCAP
OG0000002	LOC108599003|XP_033149617.1|DBUS	CCAP1982_LOCUS4991|CAD6996312.1|CCAP
OG0000002	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP
OG0000002	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS	CCAP1982_LOCUS1975|CAD6993149.1|CCAP
OG0000003	LOC108597513|XP_017838772.1|DBUS	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP
OG0000003	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP
OG0000003	LOC117134628|XP_033150902.1|DBUS	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP
OG0000003	LOC108597142|XP_017839023.1|DBUS	CCAP1982_LOCUS20941|CAD7012841.1|CCAP
OG0000003	LOC108608148|XP_017854884.1|DBUS	CCAP1982_LOCUS7775|CAD6999243.1|CCAP
OG0000004	LOC117134690|XP_033149085.1|DBUS	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP
OG0000007	LOC108598463|XP_017840596.2|DBUS	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP
OG0000007	LOC108595911|XP_017836691.1|DBUS, LOC117134784|XP_033149441.1|DBUS	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP
OG0000008	LOC108602201|XP_017845739.1|DBUS	CCAP1982_LOCUS4930|CAD6996247.1|CCAP
OG0000008	LOC108599783|XP_017842330.1|DBUS	CCAP1982_LOCUS12715|CAD7004295.1|CCAP
OG0000008	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP
OG0000008	LOC108601548|XP_017844935.1|DBUS	CCAP1982_LOCUS3598|CAD6994863.1|CCAP
OG0000008	LOC108604418|XP_033150077.1|DBUS	CCAP1982_LOCUS3595|CAD6994860.1|CCAP
OG0000008	LOC108602531|XP_017846153.1|DBUS	CCAP1982_LOCUS3597|CAD6994862.1|CCAP
OG0000008	LOC108602012|XP_017845504.1|DBUS	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP
OG0000009	LOC108604020|XP_017848755.1|DBUS	CCAP1982_LOCUS973|CAD6992095.1|CCAP
OG0000009	LOC108595579|XP_017836330.1|DBUS, LOC108595290|XP_017835992.1|DBUS, LOC108595467|XP_017836201.1|DBUS, LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP
OG0000010	LOC108603408|XP_017847686.1|DBUS	CCAP1982_LOCUS6246|CAD6997610.1|CCAP
OG0000010	LOC117134729|XP_033149263.1|DBUS	CCAP1982_LOCUS6235|CAD6997599.1|CCAP, CCAP1982_LOCUS6248|CAD6997612.1|CCAP
OG0000012	LOC108595899|XP_017836677.1|DBUS	CCAP1982_LOCUS22583|CAD7014589.1|CCAP
OG0000012	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS	CCAP1982_LOCUS22582|CAD7014587.1|CCAP
