Orthogroup	BCOP.longest_only	DSER.longest_only
OG0000000	LOC119067394|XP_037026221.1|BCOP	LOC110190761|XP_020817050.1|DSER, LOC110188492|XP_020813881.1|DSER, LOC110181445|XP_020804849.1|DSER, LOC110190735|XP_020817016.1|DSER, LOC110190738|XP_020817019.1|DSER, LOC110190736|XP_020817017.1|DSER, LOC110184046|XP_020808080.1|DSER, LOC110186264|XP_020811030.1|DSER, LOC110186911|XP_020811890.1|DSER, LOC110186265|XP_020811031.1|DSER, LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER, LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER, LOC110184021|XP_020808046.1|DSER, LOC110176723|XP_020798824.1|DSER, LOC110178370|XP_020801166.1|DSER, LOC110186869|XP_020811824.1|DSER, LOC110186289|XP_020811062.1|DSER, LOC110186287|XP_020811060.1|DSER, LOC110186290|XP_020811063.1|DSER, LOC110186288|XP_020811061.1|DSER, LOC110185901|XP_020810577.1|DSER, LOC110180637|XP_020803993.1|DSER, LOC110187976|XP_020813156.1|DSER, LOC110184825|XP_020809128.1|DSER, LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER, LOC110177452|XP_020799845.1|DSER, LOC110187957|XP_020813134.1|DSER, LOC110190734|XP_020817015.1|DSER, LOC110190733|XP_020817014.1|DSER, LOC110190479|XP_020816650.1|DSER, LOC110185197|XP_020809581.1|DSER, LOC110187956|XP_020813133.1|DSER, LOC110182697|XP_020806451.1|DSER, LOC110186018|XP_020810717.1|DSER, LOC110186045|XP_020810747.1|DSER, LOC110186008|XP_020810705.1|DSER, LOC110186038|XP_020810738.1|DSER, LOC110186028|XP_020810726.1|DSER, LOC110186065|XP_020810763.1|DSER, LOC110185933|XP_020810606.1|DSER, LOC110177976|XP_020800628.1|DSER
OG0000002	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP	LOC110189677|XP_020815494.1|DSER, LOC110189091|XP_020814726.1|DSER
OG0000002	LOC119076785|XP_037039644.1|BCOP	LOC110184909|XP_020809214.1|DSER, LOC110180508|XP_020803846.1|DSER, LOC110187569|XP_020812616.1|DSER, LOC110187570|XP_020812617.1|DSER, LOC110180507|XP_020803842.1|DSER, LOC110179772|XP_020803049.1|DSER, LOC110179791|XP_020803062.1|DSER, LOC110179771|XP_020803048.1|DSER, LOC110184842|XP_020809143.1|DSER, LOC110179770|XP_020803046.1|DSER, LOC110184843|XP_020809144.1|DSER, LOC110184841|XP_020809142.1|DSER, LOC110179768|XP_020803044.1|DSER, LOC110179788|XP_020803061.1|DSER, LOC110184840|XP_020809141.1|DSER, LOC110179792|XP_020803063.1|DSER, LOC110184848|XP_020809147.1|DSER, LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER
OG0000003	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP	LOC110182737|XP_020806498.1|DSER
OG0000004	LOC119077551|XP_037040656.1|BCOP, LOC119082422|XP_037047846.1|BCOP, LOC119077556|XP_037040662.1|BCOP	LOC110183788|XP_020807803.1|DSER, LOC110182151|XP_020805816.1|DSER
OG0000004	LOC119078393|XP_037041791.1|BCOP	LOC110182445|XP_020806139.1|DSER
OG0000006	LOC119070768|XP_037031146.1|BCOP, LOC119082428|XP_037047851.1|BCOP	LOC110185948|XP_020810624.1|DSER
OG0000006	LOC119075400|XP_037037739.1|BCOP	LOC110181334|XP_020804711.1|DSER
OG0000006	LOC119077559|XP_037040665.1|BCOP	LOC110182435|XP_020806129.1|DSER
OG0000007	LOC119080766|XP_037045225.1|BCOP	LOC110184727|XP_020809014.1|DSER, LOC110184726|XP_020809013.1|DSER, LOC110184728|XP_020809015.1|DSER, LOC110184729|XP_020809016.1|DSER, LOC110184693|XP_020808964.1|DSER, LOC110184736|XP_020809022.1|DSER, LOC110184730|XP_020809017.1|DSER, LOC110182363|XP_020806064.1|DSER, LOC110189366|XP_020815075.1|DSER, LOC110186676|XP_020811602.1|DSER, LOC110186433|XP_020811275.1|DSER, LOC110182364|XP_020806065.1|DSER, LOC110190669|XP_020816933.1|DSER, LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER, LOC110184731|XP_020809018.1|DSER, LOC110184732|XP_020809019.1|DSER
OG0000008	LOC119076148|XP_037038725.1|BCOP	LOC110188534|XP_020813940.1|DSER
OG0000008	LOC119067198|XP_037025928.1|BCOP	LOC110183610|XP_020807586.1|DSER
OG0000008	LOC119077089|XP_037040143.1|BCOP	LOC110183997|XP_020808013.1|DSER
OG0000008	LOC119067264|XP_037026041.1|BCOP	LOC110183613|XP_020807591.1|DSER
OG0000009	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP	LOC110188739|XP_020814232.1|DSER, LOC110188430|XP_020813815.1|DSER, LOC110186309|XP_020811090.1|DSER, LOC110188741|XP_020814234.1|DSER, LOC110188740|XP_020814233.1|DSER, LOC110181065|XP_020804398.1|DSER, LOC110176644|XP_020798730.1|DSER, LOC110178269|XP_020800994.1|DSER, LOC110189524|XP_020815309.1|DSER, LOC110189486|XP_020815231.1|DSER, LOC110178372|XP_020801168.1|DSER, LOC110178373|XP_020801169.1|DSER, LOC110178375|XP_020801170.1|DSER, LOC110189711|XP_020815559.1|DSER, LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER, LOC110178386|XP_020801181.1|DSER
OG0000010	LOC119077562|XP_037040668.1|BCOP, LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP, LOC119075111|XP_037037395.1|BCOP, LOC119075118|XP_037037401.1|BCOP, LOC119082431|XP_037047855.1|BCOP	LOC110182164|XP_020805826.1|DSER
OG0000010	LOC119077564|XP_037040669.1|BCOP	LOC110183810|XP_020807821.1|DSER
OG0000012	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP	LOC110178863|XP_020801799.1|DSER, LOC110178859|XP_020801786.1|DSER, LOC110190967|XP_020817320.1|DSER, LOC110176037|XP_020797910.1|DSER, LOC110181698|XP_020805203.1|DSER, LOC110180096|XP_020803382.1|DSER, LOC110181688|XP_020805193.1|DSER, LOC110176319|XP_020798300.1|DSER, LOC110178311|XP_020801063.1|DSER, LOC110178377|XP_020801172.1|DSER, LOC110178312|XP_020801065.1|DSER, LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER, LOC110178292|XP_020801024.1|DSER, LOC110178324|XP_020801093.1|DSER
OG0000013	LOC119078237|XP_037041593.1|BCOP	LOC110189766|XP_020815644.1|DSER
OG0000013	LOC119071389|XP_037032165.1|BCOP	LOC110179613|XP_020802873.1|DSER
OG0000013	LOC119072742|XP_037033921.1|BCOP	LOC110188689|XP_020814151.1|DSER
OG0000013	LOC119068977|XP_037028742.1|BCOP	LOC110188074|XP_020813284.1|DSER
OG0000013	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP	LOC110191421|XP_020817937.1|DSER, LOC110191071|XP_020817464.1|DSER, LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER
OG0000016	LOC119069122|XP_037028916.1|BCOP	LOC110185112|XP_020809466.1|DSER, LOC110182974|XP_020806826.1|DSER
OG0000016	LOC119071771|XP_037032720.1|BCOP	LOC110186803|XP_020811744.1|DSER
OG0000016	LOC119070068|XP_037030257.1|BCOP	LOC110181494|XP_020804920.1|DSER
OG0000016	LOC119072263|XP_037033347.1|BCOP	LOC110179844|XP_020803110.1|DSER
