Orthogroup	BCOP.longest_only	AEAL.longest_only
OG0000001	LOC119084781|XP_037050738.1|BCOP, LOC119083939|XP_037049649.1|BCOP	LOC115258813|XP_029715105.1|AEAL
OG0000001	LOC119082907|XP_037048458.1|BCOP, LOC119083964|XP_037049665.1|BCOP, LOC119075285|XP_037037567.1|BCOP	LOC115261991|XP_029719785.1|AEAL
OG0000001	LOC119068942|XP_037028702.1|BCOP	LOC109398938|XP_029729633.1|AEAL, LOC115265076|XP_029725147.1|AEAL, LOC115270984|XP_029736215.1|AEAL, LOC115265135|XP_029725238.1|AEAL, LOC115257038|XP_029712150.1|AEAL, LOC115260532|XP_029717306.1|AEAL, LOC115260537|XP_029717310.1|AEAL, LOC115259910|XP_029716566.1|AEAL
OG0000001	LOC119084767|XP_037050728.1|BCOP, LOC119071419|XP_037032191.1|BCOP, LOC119079853|XP_037043815.1|BCOP, LOC119083951|XP_037049655.1|BCOP, LOC119066006|XP_037024118.1|BCOP, LOC119082920|XP_037048471.1|BCOP, LOC119083910|XP_037049617.1|BCOP, LOC119066058|XP_037024178.1|BCOP, LOC119083512|XP_037049126.1|BCOP, LOC119081102|XP_037045737.1|BCOP, LOC119081228|XP_037045848.1|BCOP, LOC119076010|XP_037038490.1|BCOP	LOC115256725|XP_029711525.1|AEAL, LOC115268205|XP_029732120.1|AEAL, LOC115262799|XP_029721549.1|AEAL, LOC115263370|XP_029722527.1|AEAL, LOC115254876|XP_029708423.1|AEAL, LOC115257801|XP_029713614.1|AEAL, LOC115268197|XP_029732110.1|AEAL, LOC115261516|XP_029719137.1|AEAL, LOC115271064|XP_029736362.1|AEAL
OG0000002	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP	LOC115267447|XP_029730304.1|AEAL, LOC109408162|XP_019536944.2|AEAL, LOC109411104|XP_019540095.2|AEAL, LOC115260605|XP_029717480.1|AEAL, LOC109423035|XP_029717489.1|AEAL, LOC109400931|XP_019528968.1|AEAL, LOC109400921|XP_019553236.2|AEAL, LOC115260619|XP_029717519.1|AEAL, LOC115260618|XP_029717518.1|AEAL, LOC109400889|XP_029717517.1|AEAL, LOC115260641|XP_029717583.1|AEAL, LOC109400932|XP_019528970.2|AEAL, LOC115260609|XP_029717488.1|AEAL, LOC109422815|XP_019553244.2|AEAL, LOC109413005|XP_019542224.2|AEAL, LOC109430155|XP_019561733.2|AEAL, LOC109413124|XP_019542389.2|AEAL, LOC109424669|XP_019555383.2|AEAL, LOC115262564|XP_029720824.1|AEAL, LOC109424713|XP_029721106.1|AEAL, LOC109421668|XP_029732765.1|AEAL, LOC109427771|XP_019558940.2|AEAL, LOC109421763|XP_019551842.2|AEAL, LOC109425501|XP_019556332.2|AEAL, LOC109421764|XP_019551843.2|AEAL, LOC109415861|XP_029719818.1|AEAL, LOC109402720|XP_029717961.1|AEAL
OG0000002	LOC119076785|XP_037039644.1|BCOP	LOC115263125|XP_029721902.1|AEAL, LOC109430246|XP_019561842.2|AEAL, LOC109416944|XP_019546605.2|AEAL, LOC115265443|XP_029726462.1|AEAL, LOC109426996|XP_019558100.2|AEAL, LOC109411377|XP_019540446.2|AEAL, LOC115266493|XP_029728592.1|AEAL, LOC109403760|XP_019532176.2|AEAL, LOC109416948|XP_019546608.2|AEAL, LOC109400072|XP_019528089.2|AEAL, LOC109621611|XP_019931245.2|AEAL
OG0000003	LOC119068573|XP_037028113.1|BCOP	LOC109409211|XP_019538182.2|AEAL, LOC109421551|XP_019551616.2|AEAL, LOC109409210|XP_019538181.2|AEAL, LOC115255001|XP_029708566.1|AEAL, LOC109398259|XP_019526126.2|AEAL, LOC109421477|XP_019551518.2|AEAL, LOC109421555|XP_019551619.2|AEAL, LOC109409164|XP_019538127.2|AEAL, LOC109421553|XP_019551618.2|AEAL, LOC109421549|XP_019551614.2|AEAL, LOC109409160|XP_019538123.2|AEAL
OG0000003	LOC119075880|XP_037038340.1|BCOP, LOC119071708|XP_037032596.1|BCOP	LOC109421556|XP_019551620.2|AEAL, LOC109425972|XP_029731864.1|AEAL
OG0000003	LOC119078496|XP_037041942.1|BCOP	LOC109421550|XP_019551615.2|AEAL
OG0000003	LOC119081763|XP_037046852.1|BCOP, LOC119068720|XP_037028307.1|BCOP, LOC119067922|XP_037027121.1|BCOP, LOC119076082|XP_037038628.1|BCOP, LOC119077463|XP_037040564.1|BCOP, LOC119085325|XP_037051602.1|BCOP	LOC115269310|XP_029733775.1|AEAL
OG0000003	LOC119080884|XP_037045357.1|BCOP, LOC119074508|XP_037036560.1|BCOP, LOC119084862|XP_037050890.1|BCOP	LOC109623204|XP_019933243.2|AEAL, LOC109415289|XP_019544713.2|AEAL, LOC109623205|XP_019933244.2|AEAL
OG0000004	LOC119078393|XP_037041791.1|BCOP	LOC115255472|XP_029709456.1|AEAL
