Orthogroup	DSUB.longest_only	CCAP.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB, LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB, LOC117898485|XP_034663813.1|DSUB, LOC117890871|XP_034651851.1|DSUB, LOC117889909|XP_034650326.1|DSUB	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP
OG0000000	LOC117893407|XP_034655897.1|DSUB, LOC117893701|XP_034656280.1|DSUB, LOC117893403|XP_034655894.1|DSUB, LOC117892287|XP_034654298.1|DSUB, LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB, LOC117892705|XP_034655010.1|DSUB, LOC117897477|XP_034662229.1|DSUB, LOC117899325|XP_034665150.1|DSUB, LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB, LOC117890046|XP_034650557.1|DSUB, LOC117892618|XP_034654860.1|DSUB, LOC117892700|XP_034655002.1|DSUB, LOC117899298|XP_034665106.1|DSUB, LOC117898533|XP_034663894.1|DSUB, LOC117892569|XP_034654782.1|DSUB, LOC117899299|XP_034665108.1|DSUB, LOC117899382|XP_034665255.1|DSUB, LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB, LOC117896020|XP_034659918.1|DSUB, LOC117901385|XP_034668002.1|DSUB, LOC117892680|XP_034654976.1|DSUB	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB, LOC117897324|XP_034661985.1|DSUB, LOC117898800|XP_034664334.1|DSUB, LOC117898812|XP_034664357.1|DSUB, LOC117896263|XP_034660345.1|DSUB, LOC117897179|XP_034661768.1|DSUB, LOC117898832|XP_034664390.1|DSUB, LOC117898840|XP_034664406.1|DSUB, LOC117889741|XP_034650055.1|DSUB, LOC117889744|XP_034650074.1|DSUB, LOC117889734|XP_034650048.1|DSUB, LOC117889737|XP_034650052.1|DSUB, LOC117890530|XP_034651341.1|DSUB, LOC117890531|XP_034651342.1|DSUB, LOC117892566|XP_034654779.1|DSUB, LOC117898833|XP_034664391.1|DSUB, LOC117898839|XP_034664405.1|DSUB, LOC117898838|XP_034664404.1|DSUB, LOC117899182|XP_034664933.1|DSUB, LOC117898297|XP_034663459.1|DSUB	CCAP1982_LOCUS11001|CAD7002512.1|CCAP
OG0000001	LOC117902179|XP_034669231.1|DSUB	CCAP1982_LOCUS9694|CAD7001196.1|CCAP, CCAP1982_LOCUS9894|CAD7001397.1|CCAP, CCAP1982_LOCUS9398|CAD7000923.1|CCAP, CCAP1982_LOCUS9782|CAD7001285.1|CCAP, CCAP1982_LOCUS9733|CAD7001235.1|CCAP, CCAP1982_LOCUS5945|CAD6997312.1|CCAP, CCAP1982_LOCUS9129|CAD7000655.1|CCAP, CCAP1982_LOCUS10167|CAD7001676.1|CCAP, CCAP1982_LOCUS14199|CAD7005857.1|CCAP, CCAP1982_LOCUS3923|CAD6995204.1|CCAP, CCAP1982_LOCUS6598|CAD6997982.1|CCAP, CCAP1982_LOCUS2222|CAD6993407.1|CCAP, CCAP1982_LOCUS7260|CAD6998703.1|CCAP
OG0000002	LOC117900215|XP_034666390.1|DSUB	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP
OG0000002	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB	CCAP1982_LOCUS1975|CAD6993149.1|CCAP
OG0000003	LOC117890983|XP_034652023.1|DSUB	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP
OG0000003	LOC117890985|XP_034652025.1|DSUB, LOC117890142|XP_034650721.1|DSUB	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP
OG0000003	LOC117890988|XP_034652030.1|DSUB	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP
OG0000003	LOC117890982|XP_034652022.1|DSUB	CCAP1982_LOCUS20941|CAD7012841.1|CCAP
OG0000003	LOC117900241|XP_034666421.1|DSUB	CCAP1982_LOCUS7775|CAD6999243.1|CCAP
OG0000006	LOC117901441|XP_034668075.1|DSUB	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP
OG0000007	LOC117894702|XP_034657776.1|DSUB	CCAP1982_LOCUS12646|CAD7004227.1|CCAP
OG0000007	LOC117900834|XP_034667236.1|DSUB, LOC117890133|XP_034650711.1|DSUB, LOC117897873|XP_034662839.1|DSUB, LOC117897862|XP_034662826.1|DSUB, LOC117897982|XP_034662985.1|DSUB, LOC117900835|XP_034667237.1|DSUB, LOC117894709|XP_034657781.1|DSUB, LOC117901609|XP_034668319.1|DSUB, LOC117894591|XP_034657631.1|DSUB, LOC117894593|XP_034657634.1|DSUB	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP
OG0000008	LOC117896362|XP_034660529.1|DSUB	CCAP1982_LOCUS4930|CAD6996247.1|CCAP
OG0000008	LOC117895169|XP_034658523.1|DSUB	CCAP1982_LOCUS12720|CAD7004300.1|CCAP
OG0000008	LOC117895168|XP_034658522.1|DSUB	CCAP1982_LOCUS12715|CAD7004295.1|CCAP
OG0000008	LOC117895171|XP_034658525.1|DSUB	CCAP1982_LOCUS12718|CAD7004298.1|CCAP
OG0000008	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP
OG0000008	LOC117898640|XP_034664094.1|DSUB	CCAP1982_LOCUS3598|CAD6994863.1|CCAP
OG0000008	LOC117898631|XP_034664083.1|DSUB	CCAP1982_LOCUS3595|CAD6994860.1|CCAP
OG0000008	LOC117898634|XP_034664087.1|DSUB	CCAP1982_LOCUS3597|CAD6994862.1|CCAP
OG0000008	LOC117898636|XP_034664090.1|DSUB	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP
OG0000009	LOC117896628|XP_034660961.1|DSUB	CCAP1982_LOCUS973|CAD6992095.1|CCAP
OG0000009	LOC117890282|XP_034650935.1|DSUB, LOC117896426|XP_034660636.1|DSUB, LOC117892376|XP_034654476.1|DSUB, LOC117892374|XP_034654475.1|DSUB	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP
OG0000010	LOC117899454|XP_034665355.1|DSUB	CCAP1982_LOCUS2041|CAD6993222.1|CCAP
OG0000012	LOC117892204|XP_034654190.1|DSUB	CCAP1982_LOCUS22583|CAD7014589.1|CCAP
OG0000012	LOC117892205|XP_034654193.1|DSUB	CCAP1982_LOCUS22582|CAD7014587.1|CCAP
OG0000012	LOC117892198|XP_034654182.1|DSUB	CCAP1982_LOCUS22581|CAD7014586.1|CCAP
OG0000012	LOC117892199|XP_034654185.1|DSUB	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP
OG0000012	LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB, LOC117892200|XP_034654187.1|DSUB, LOC117891062|XP_034652125.1|DSUB, LOC117891063|XP_034652127.1|DSUB, LOC117891061|XP_034652124.1|DSUB, LOC117891058|XP_034652122.1|DSUB, LOC117891064|XP_034652128.1|DSUB	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP
OG0000013	LOC117890717|XP_034651649.1|DSUB	CCAP1982_LOCUS7142|CAD6998559.1|CCAP
OG0000013	LOC117896516|XP_034660775.1|DSUB	CCAP1982_LOCUS4900|CAD6996212.1|CCAP
OG0000013	LOC117895334|XP_034658799.1|DSUB	CCAP1982_LOCUS14162|CAD7005816.1|CCAP
OG0000013	LOC117898536|XP_034663901.1|DSUB	CCAP1982_LOCUS3120|CAD6994367.1|CCAP
OG0000013	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB	CCAP1982_LOCUS2756|CAD6993971.1|CCAP
OG0000013	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP
OG0000016	LOC117899529|XP_034665488.1|DSUB, LOC117889984|XP_034650458.1|DSUB	CCAP1982_LOCUS2337|CAD6993525.1|CCAP
OG0000016	LOC117898309|XP_034663475.1|DSUB	CCAP1982_LOCUS4238|CAD6995526.1|CCAP
OG0000016	LOC117892105|XP_034654005.1|DSUB	CCAP1982_LOCUS8417|CAD6999907.1|CCAP
OG0000016	LOC117898432|XP_034663715.1|DSUB	CCAP1982_LOCUS4923|CAD6996239.1|CCAP
OG0000016	LOC117893424|XP_034655932.1|DSUB	CCAP1982_LOCUS22100|CAD7014094.1|CCAP
OG0000017	LOC117890423|XP_034651134.1|DSUB, LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP
OG0000018	LOC117895264|XP_034658678.1|DSUB	CCAP1982_LOCUS12552|CAD7004131.1|CCAP
OG0000018	LOC117895265|XP_034658679.1|DSUB	CCAP1982_LOCUS12546|CAD7004125.1|CCAP
OG0000018	LOC117895258|XP_034658670.1|DSUB	CCAP1982_LOCUS12550|CAD7004129.1|CCAP
OG0000018	LOC117895269|XP_034658684.1|DSUB	CCAP1982_LOCUS12554|CAD7004133.1|CCAP
OG0000018	LOC117895272|XP_034658688.1|DSUB	CCAP1982_LOCUS12549|CAD7004128.1|CCAP, CCAP1982_LOCUS12547|CAD7004126.1|CCAP, CCAP1982_LOCUS12548|CAD7004127.1|CCAP
OG0000019	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB, LOC117899339|XP_034665171.1|DSUB, LOC117899361|XP_034665230.1|DSUB, LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP
OG0000020	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB	CCAP1982_LOCUS1146|CAD6992278.1|CCAP
OG0000020	LOC117902343|XP_034669534.1|DSUB	CCAP1982_LOCUS1002|CAD6992120.1|CCAP
OG0000020	LOC117898500|XP_034663833.1|DSUB	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP
OG0000020	LOC117901489|XP_034668148.1|DSUB, LOC117901231|XP_034667794.1|DSUB	CCAP1982_LOCUS999|CAD6992115.1|CCAP
OG0000021	LOC117898591|XP_034664027.1|DSUB	CCAP1982_LOCUS162|CAD6991224.1|CCAP
OG0000022	LOC117892309|XP_034654347.1|DSUB	CCAP1982_LOCUS19689|CAD7011600.1|CCAP
