Orthogroup	DSEC.longest_only	DPSE.longest_only
OG0000000	LOC6612593|XP_002037098.2|DSEC	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE
OG0000000	LOC6611330|XP_002035877.1|DSEC	LOC6898698|XP_015040315.2|DPSE
OG0000000	LOC6606995|XP_002031784.1|DSEC	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE
OG0000000	LOC6608865|XP_002033579.1|DSEC	LOC6898695|XP_002138700.2|DPSE
OG0000000	LOC6605884|XP_032575999.1|DSEC	LOC117184977|XP_033240205.1|DPSE
OG0000000	LOC6605885|XP_032575997.1|DSEC	LOC6900000|XP_002135366.3|DPSE
OG0000000	LOC116800964|XP_032573791.1|DSEC, LOC116801306|XP_032575998.1|DSEC	LOC6899999|XP_033240207.1|DPSE
OG0000000	LOC6618886|XP_002043134.2|DSEC	LOC4804691|XP_001361210.2|DPSE
OG0000000	LOC6607083|XP_032579519.1|DSEC, LOC6612938|XP_032579196.1|DSEC	LOC6896672|XP_033232290.1|DPSE
OG0000000	LOC6612936|XP_002037428.1|DSEC	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE
OG0000000	LOC6611281|XP_032582965.1|DSEC	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE
OG0000000	LOC116801718|XP_032578762.1|DSEC	LOC6897227|XP_002137399.2|DPSE
OG0000000	LOC6614481|XP_002038914.1|DSEC	LOC6902907|XP_033236216.1|DPSE
OG0000000	LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE
OG0000000	LOC6612634|XP_002037138.2|DSEC	LOC4801605|XP_001358672.2|DPSE
OG0000002	LOC6615482|XP_002039862.2|DSEC	LOC6899110|XP_033234698.1|DPSE
OG0000002	LOC6615481|XP_002039861.2|DSEC	LOC6899111|XP_002139028.1|DPSE
OG0000002	LOC6611325|XP_002035872.2|DSEC	LOC6903424|XP_002132303.3|DPSE, LOC6903440|XP_033236733.1|DPSE, LOC6903450|XP_002132329.2|DPSE, LOC6902906|XP_002132639.3|DPSE
OG0000002	LOC6619439|XP_032575015.1|DSEC	LOC6900542|XP_033238667.1|DPSE
OG0000003	LOC6609226|XP_032570279.1|DSEC, LOC6609227|XP_002033918.2|DSEC	LOC4804983|XP_001361457.3|DPSE
OG0000003	LOC6617182|XP_002041509.2|DSEC, LOC6609229|XP_032570278.1|DSEC	LOC4804982|XP_001361456.3|DPSE
OG0000003	LOC6607893|XP_002032647.1|DSEC	LOC4803409|XP_001360156.1|DPSE
OG0000003	LOC6609222|XP_002033913.1|DSEC	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE
OG0000003	LOC116800691|XP_032572969.1|DSEC	LOC4804980|XP_001361454.1|DPSE
OG0000003	LOC6609221|XP_002033912.1|DSEC	LOC4804975|XP_001361450.3|DPSE
OG0000003	LOC6608196|XP_002032941.1|DSEC	LOC4804978|XP_001361452.2|DPSE
OG0000003	LOC6608194|XP_002032939.1|DSEC	LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE
OG0000003	LOC6613508|XP_002037976.1|DSEC	LOC6902590|XP_002133118.2|DPSE
OG0000007	LOC116800972|XP_032573823.1|DSEC	LOC5495512|XP_001353851.2|DPSE
OG0000007	LOC6610954|XP_002035511.1|DSEC	LOC5495507|XP_001353849.1|DPSE
OG0000007	LOC6613406|XP_032583270.1|DSEC	LOC5495509|XP_001355939.3|DPSE
OG0000007	LOC6608215|XP_032572281.1|DSEC	LOC4805058|XP_001361522.1|DPSE
OG0000007	LOC6613407|XP_032570241.1|DSEC	LOC4816610|XP_001355938.2|DPSE
OG0000007	LOC6604870|XP_002029715.1|DSEC	LOC4813941|XP_001354103.1|DPSE
OG0000007	LOC6613405|XP_032574637.1|DSEC	LOC4816998|XP_001356721.3|DPSE
OG0000007	LOC6610955|XP_032575304.1|DSEC	LOC4813497|XP_001353852.2|DPSE
OG0000007	LOC6610956|XP_002035513.1|DSEC	LOC4813468|XP_001353840.2|DPSE
OG0000008	LOC6619063|XP_002043304.1|DSEC	LOC4803265|XP_001360036.3|DPSE
OG0000008	LOC6610740|XP_002035306.1|DSEC	LOC6900302|XP_002135624.1|DPSE
OG0000008	LOC6610743|XP_002035309.1|DSEC	LOC6900304|XP_002135626.2|DPSE
OG0000008	LOC6617678|XP_002041991.1|DSEC	LOC6903158|XP_002132860.2|DPSE
OG0000008	LOC6614150|XP_002038603.2|DSEC, LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE
OG0000008	LOC116801478|XP_032577234.1|DSEC	LOC4802270|XP_033239768.1|DPSE
OG0000008	LOC6614149|XP_002038602.2|DSEC	LOC4802267|XP_001359221.4|DPSE
OG0000008	LOC116801482|XP_032577264.1|DSEC	LOC117184116|XP_033236234.1|DPSE
OG0000008	LOC116801721|XP_032578777.1|DSEC	LOC4802269|XP_001359223.2|DPSE
OG0000009	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC	LOC6897995|XP_002138092.2|DPSE
OG0000009	LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC	LOC4803283|XP_001360048.3|DPSE
OG0000009	LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC, LOC6619042|XP_032576485.1|DSEC	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE
OG0000009	LOC6610926|XP_032574591.1|DSEC, LOC116801150|XP_032574906.1|DSEC	LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE
OG0000009	LOC6618810|XP_002043059.1|DSEC	LOC4805603|XP_001361980.2|DPSE
OG0000009	LOC6606719|XP_002031518.1|DSEC	LOC4802604|XP_001359493.2|DPSE
OG0000009	LOC6608841|XP_002033555.1|DSEC	LOC4804281|XP_001360862.1|DPSE
OG0000009	LOC6608840|XP_002033554.1|DSEC	LOC6898444|XP_002138487.3|DPSE
OG0000010	LOC6606375|XP_032579311.1|DSEC	LOC117185604|XP_033241632.1|DPSE, LOC117185605|XP_033241633.1|DPSE, LOC26532676|XP_015035129.1|DPSE, LOC26532710|XP_015035140.1|DPSE, LOC117185616|XP_033241646.1|DPSE, LOC26532680|XP_015035136.1|DPSE, LOC117183563|XP_033233697.1|DPSE, LOC117185642|XP_033241729.1|DPSE
OG0000011	LOC6613215|XP_002037694.2|DSEC, LOC6613214|XP_002037693.2|DSEC, LOC6613356|XP_002037830.1|DSEC, LOC6616450|XP_032574488.1|DSEC, LOC6613355|XP_032576619.1|DSEC, LOC6614408|XP_032583172.1|DSEC, LOC6614413|XP_032577346.1|DSEC, LOC6618632|XP_032581615.1|DSEC, LOC6618634|XP_002042893.2|DSEC	LOC6903257|XP_015036468.1|DPSE, LOC26534003|XP_015037011.2|DPSE, LOC6902418|XP_033235641.1|DPSE, LOC6902419|XP_015037014.2|DPSE, LOC26532842|XP_033240537.1|DPSE, LOC6903258|XP_033236331.1|DPSE, LOC117184128|XP_033236322.1|DPSE, LOC117184127|XP_033236312.1|DPSE, LOC6903259|XP_015036470.1|DPSE, LOC6900979|XP_033239557.1|DPSE, LOC6904000|XP_033239558.1|DPSE, LOC6903305|XP_002132493.1|DPSE, LOC6903279|XP_002132978.2|DPSE, LOC26533994|XP_033236319.1|DPSE, LOC117184073|XP_033236055.1|DPSE, LOC26533837|XP_033236050.1|DPSE, LOC117184074|XP_033236060.1|DPSE, LOC6903240|XP_033236052.1|DPSE, LOC6903239|XP_015036440.1|DPSE
OG0000011	LOC6605626|XP_002030444.2|DSEC	LOC117183548|XP_033233646.1|DPSE, LOC6897642|XP_033241732.1|DPSE, LOC117185097|XP_033240835.1|DPSE
OG0000011	LOC6605627|XP_002030445.2|DSEC	LOC6900040|XP_002135404.2|DPSE
OG0000011	LOC6607077|XP_002031865.1|DSEC	LOC6897605|XP_002137750.2|DPSE
OG0000012	LOC6609925|XP_002034575.2|DSEC	LOC4804261|XP_015039777.2|DPSE
OG0000012	LOC6609924|XP_002034574.2|DSEC	LOC4804255|XP_001360842.2|DPSE
OG0000012	LOC6609923|XP_032571611.1|DSEC	LOC4804254|XP_015039772.2|DPSE
OG0000012	LOC6609926|XP_002034576.1|DSEC	LOC6898436|XP_033233736.1|DPSE
OG0000012	LOC6609929|XP_032571342.1|DSEC	LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE
OG0000012	LOC6609927|XP_002034577.1|DSEC	LOC4804256|XP_015039778.2|DPSE
OG0000012	LOC6608817|XP_032571423.1|DSEC	LOC4804263|XP_001360847.3|DPSE
OG0000012	LOC6608818|XP_032571424.1|DSEC	LOC6898438|XP_002138480.2|DPSE
OG0000012	LOC6608819|XP_002033533.2|DSEC, LOC6608820|XP_032571616.1|DSEC	LOC4804265|XP_001360848.3|DPSE
OG0000012	LOC6608821|XP_032571618.1|DSEC	LOC6898439|XP_002138481.3|DPSE
OG0000012	LOC6608822|XP_032571615.1|DSEC	LOC4804266|XP_033235099.1|DPSE
OG0000013	LOC6609116|XP_002033818.1|DSEC	LOC4805483|XP_001361878.1|DPSE
OG0000013	LOC6619913|XP_032582274.1|DSEC	LOC4815139|XP_001354758.1|DPSE
OG0000013	LOC6606301|XP_002031106.1|DSEC	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE
OG0000013	LOC6605619|XP_032575697.1|DSEC	LOC6900589|XP_002134962.1|DPSE
OG0000013	LOC6606578|XP_002031379.1|DSEC	LOC4801399|XP_001358499.2|DPSE
OG0000013	LOC6607674|XP_002032439.2|DSEC	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE
OG0000013	LOC116801751|XP_032578918.1|DSEC, LOC6606753|XP_002031550.1|DSEC, LOC6606754|XP_002031551.1|DSEC	LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE
OG0000014	LOC116802439|XP_032582809.1|DSEC	LOC117184937|XP_033240069.1|DPSE
OG0000015	LOC6608675|XP_002033404.2|DSEC	LOC6902329|XP_002133283.3|DPSE, LOC6902626|XP_033236804.1|DPSE
OG0000016	LOC6606525|XP_002031326.2|DSEC	LOC4801993|XP_001359004.1|DPSE
OG0000016	LOC6615268|XP_002039673.2|DSEC	LOC6898475|XP_002138517.1|DPSE
OG0000016	LOC6606623|XP_002031424.1|DSEC	LOC4801351|XP_001358460.1|DPSE
OG0000016	LOC6609492|XP_032572820.1|DSEC	LOC4805675|XP_001362034.4|DPSE
OG0000016	LOC6612339|XP_002036849.1|DSEC	LOC4814924|XP_001354857.1|DPSE
