Orthogroup	DANA.longest_only	DMAU.longest_only
OG0000000	LOC26513897|XP_014765549.1|DANA	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU
OG0000000	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA	LOC117145695|XP_033167327.1|DMAU
OG0000000	LOC6496234|XP_001960509.1|DANA	LOC117149958|XP_033172750.1|DMAU
OG0000000	LOC6494335|XP_001960511.2|DANA	LOC117138309|XP_033156204.1|DMAU
OG0000000	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA	LOC117140540|XP_033159421.1|DMAU
OG0000000	LOC26515012|XP_032305331.1|DANA	LOC117142323|XP_033162125.1|DMAU
OG0000000	LOC6503296|XP_001967564.2|DANA	LOC117142327|XP_033162129.1|DMAU
OG0000000	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA	LOC117136304|XP_033153082.1|DMAU, LOC117145451|XP_033167010.1|DMAU, LOC117137412|XP_033154732.1|DMAU, LOC117138341|XP_033156269.1|DMAU, LOC117140233|XP_033158923.1|DMAU, LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU, LOC117136161|XP_033152774.1|DMAU, LOC117139178|XP_033157238.1|DMAU
OG0000000	LOC26514259|XP_032305722.1|DANA	LOC117145744|XP_033167397.1|DMAU
OG0000000	LOC6500855|XP_032305607.1|DANA	LOC117145856|XP_033167567.1|DMAU
OG0000000	LOC6497917|XP_001961708.2|DANA	LOC117150929|XP_033173982.1|DMAU
OG0000000	LOC6494112|XP_001960945.2|DANA	LOC117138016|XP_033155711.1|DMAU
OG0000000	LOC6499064|XP_032305682.1|DANA	LOC117146038|XP_033167862.1|DMAU
OG0000000	LOC6498897|XP_032305704.1|DANA	LOC117145160|XP_033166598.1|DMAU
OG0000002	LOC6494276|XP_032306810.1|DANA	LOC117138082|XP_033155798.1|DMAU
OG0000002	LOC6496130|XP_001960293.1|DANA	LOC117135907|XP_033152364.1|DMAU
OG0000002	LOC6502577|XP_001960292.2|DANA	LOC117135906|XP_033152363.1|DMAU
OG0000002	LOC6494605|XP_001960022.3|DANA	LOC117136987|XP_033154052.1|DMAU
OG0000003	LOC6495486|XP_001958950.1|DANA	LOC117136850|XP_033153839.1|DMAU
OG0000003	LOC6495485|XP_001958948.1|DANA	LOC117137895|XP_033155524.1|DMAU
OG0000003	LOC6495484|XP_001958947.1|DANA	LOC117145313|XP_033166799.1|DMAU, LOC117137897|XP_033155527.1|DMAU
OG0000003	LOC6496624|XP_001961285.3|DANA	LOC117136364|XP_033153130.1|DMAU
OG0000003	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA	LOC117136849|XP_033153838.1|DMAU
OG0000003	LOC6495153|XP_001958951.2|DANA	LOC117138513|XP_033156538.1|DMAU
OG0000003	LOC6495154|XP_001958949.2|DANA	LOC117137674|XP_033155124.1|DMAU
OG0000003	LOC6495150|XP_014763173.1|DANA	LOC117136851|XP_033153841.1|DMAU
OG0000003	LOC6495217|XP_001958825.1|DANA	LOC117137104|XP_033154281.1|DMAU
OG0000003	LOC6495430|XP_001958829.1|DANA	LOC117137102|XP_033154279.1|DMAU
OG0000003	LOC6495216|XP_001958826.1|DANA	LOC117137103|XP_033154280.1|DMAU
OG0000007	LOC6506540|XP_001957688.2|DANA	LOC117141087|XP_033160294.1|DMAU
OG0000007	LOC6493531|XP_001957951.1|DANA	LOC117140666|XP_033159604.1|DMAU
