Orthogroup	DGUA.longest_only	SLEB.longest_only
OG0000000	LOC117592188|XP_034141680.1|DGUA, LOC117583189|XP_034127284.1|DGUA, LOC117583148|XP_034127229.1|DGUA, LOC117588815|XP_034136215.1|DGUA	LOC115634408|XP_030387964.1|SLEB
OG0000000	LOC117589025|XP_034136545.1|DGUA, LOC117588940|XP_034136409.1|DGUA	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB
OG0000000	LOC117592532|XP_034142283.1|DGUA	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB
OG0000000	LOC117592662|XP_034142498.1|DGUA, LOC117592359|XP_034141946.1|DGUA	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB
OG0000000	LOC117589701|XP_034137755.1|DGUA	LOC115632651|XP_030385741.1|SLEB
OG0000002	LOC117578777|XP_034120374.1|DGUA	LOC115634390|XP_030387939.1|SLEB
OG0000002	LOC117584002|XP_034128622.1|DGUA	LOC115633967|XP_030387348.1|SLEB
OG0000002	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA	LOC115624495|XP_030375058.1|SLEB
OG0000003	LOC117592331|XP_034141917.1|DGUA	LOC115620029|XP_030368994.1|SLEB
OG0000003	LOC117592350|XP_034141940.1|DGUA	LOC115620049|XP_030369030.1|SLEB
OG0000003	LOC117578447|XP_034119862.1|DGUA	LOC115634646|XP_030388364.1|SLEB
OG0000003	LOC117583987|XP_034128590.1|DGUA	LOC115619981|XP_030368881.1|SLEB
OG0000003	LOC117587981|XP_034134880.1|DGUA	LOC115628616|XP_030380660.1|SLEB
OG0000004	LOC117591660|XP_034140874.1|DGUA	LOC115630273|XP_030382667.1|SLEB, LOC115630322|XP_030382721.1|SLEB, LOC115633522|XP_030386841.1|SLEB, LOC115633597|XP_030386900.1|SLEB, LOC115633488|XP_030386812.1|SLEB, LOC115633502|XP_030386824.1|SLEB, LOC115633531|XP_030386849.1|SLEB, LOC115633478|XP_030386800.1|SLEB, LOC115633483|XP_030386806.1|SLEB, LOC115633585|XP_030386889.1|SLEB, LOC115633596|XP_030386899.1|SLEB, LOC115633484|XP_030386807.1|SLEB, LOC115633506|XP_030386827.1|SLEB, LOC115633477|XP_030386799.1|SLEB, LOC115633503|XP_030386825.1|SLEB, LOC115633505|XP_030386826.1|SLEB, LOC115630271|XP_030382665.1|SLEB, LOC115630300|XP_030382698.1|SLEB, LOC115630309|XP_030382707.1|SLEB, LOC115630301|XP_030382699.1|SLEB, LOC115633532|XP_030386850.1|SLEB, LOC115630286|XP_030382682.1|SLEB, LOC115630272|XP_030382666.1|SLEB, LOC115633521|XP_030386840.1|SLEB, LOC115630310|XP_030382708.1|SLEB, LOC115630117|XP_030382589.1|SLEB, LOC115630132|XP_030382600.1|SLEB, LOC115630122|XP_030382594.1|SLEB
OG0000005	LOC117581361|XP_034124384.1|DGUA	LOC115630139|XP_030382607.1|SLEB, LOC115633501|XP_030386823.1|SLEB
OG0000005	LOC117591646|XP_034140862.1|DGUA	LOC115630137|XP_030382605.1|SLEB
OG0000005	LOC117591690|XP_034140904.1|DGUA	LOC115630358|XP_030382752.1|SLEB
OG0000006	LOC117591658|XP_034140872.1|DGUA	LOC115630364|XP_030382757.1|SLEB
OG0000006	LOC117591645|XP_034140861.1|DGUA	LOC115630265|XP_030382658.1|SLEB, LOC115630313|XP_030382711.1|SLEB, LOC115630278|XP_030382673.1|SLEB, LOC115633465|XP_030386780.1|SLEB, LOC115630135|XP_030382603.1|SLEB
OG0000007	LOC117587429|XP_034133994.1|DGUA	LOC115633153|XP_030386422.1|SLEB
OG0000007	LOC117587428|XP_034133991.1|DGUA	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB
OG0000007	LOC117592308|XP_034141873.1|DGUA	LOC115633111|XP_030386356.1|SLEB
OG0000007	LOC117584026|XP_034128654.1|DGUA	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB
OG0000007	LOC117587067|XP_034133401.1|DGUA, LOC117584025|XP_034128653.1|DGUA	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB
OG0000007	LOC117587430|XP_034133997.1|DGUA, LOC117587431|XP_034133998.1|DGUA	LOC115630750|XP_030383265.1|SLEB
OG0000008	LOC117586140|XP_034131924.1|DGUA	LOC115623801|XP_030374203.1|SLEB
OG0000008	LOC117579398|XP_034121168.1|DGUA	LOC115628395|XP_030380343.1|SLEB
OG0000008	LOC117579397|XP_034121167.1|DGUA	LOC115628400|XP_030380349.1|SLEB
OG0000008	LOC117581836|XP_034125174.1|DGUA	LOC115631184|XP_030383735.1|SLEB
OG0000008	LOC117579400|XP_034121171.1|DGUA	LOC115628403|XP_030380351.1|SLEB
OG0000008	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB
OG0000008	LOC117586165|XP_034131957.1|DGUA	LOC115623587|XP_030373847.1|SLEB
OG0000008	LOC117586221|XP_034132048.1|DGUA	LOC115624340|XP_030374852.1|SLEB
OG0000008	LOC117586120|XP_034131875.1|DGUA	LOC115624344|XP_030374855.1|SLEB
OG0000008	LOC117586582|XP_034132641.1|DGUA	LOC115623612|XP_030373889.1|SLEB
OG0000009	LOC117586341|XP_034132234.1|DGUA	LOC115624173|XP_030374629.1|SLEB
OG0000009	LOC117586454|XP_034132388.1|DGUA	LOC115624028|XP_030374465.1|SLEB
OG0000009	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB
OG0000009	LOC117588654|XP_034135988.1|DGUA	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB
OG0000010	LOC117583778|XP_034128224.1|DGUA	LOC115633544|XP_030386861.1|SLEB
OG0000010	LOC117591688|XP_034140902.1|DGUA	LOC115630140|XP_030382609.1|SLEB
OG0000010	LOC117591671|XP_034140885.1|DGUA	LOC115630332|XP_030382730.1|SLEB
OG0000010	LOC117591679|XP_034140894.1|DGUA	LOC115630368|XP_030382761.1|SLEB, LOC115630369|XP_030382762.1|SLEB, LOC115625114|XP_030375880.1|SLEB
OG0000012	LOC117578829|XP_034120480.1|DGUA	LOC115626791|XP_030378121.1|SLEB
OG0000012	LOC117578830|XP_034120484.1|DGUA	LOC115634820|XP_030388598.1|SLEB
OG0000012	LOC117578828|XP_034120477.1|DGUA	LOC115624523|XP_030375106.1|SLEB
OG0000012	LOC117578831|XP_034120485.1|DGUA	LOC115632632|XP_030385725.1|SLEB
OG0000012	LOC117592596|XP_034142370.1|DGUA, LOC117592593|XP_034142368.1|DGUA, LOC117592595|XP_034142369.1|DGUA	LOC115630730|XP_030383248.1|SLEB
OG0000012	LOC117592597|XP_034142371.1|DGUA, LOC117592598|XP_034142372.1|DGUA	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC117592555|XP_034142321.1|DGUA	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC117590521|XP_034139126.1|DGUA	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC117585977|XP_034131683.1|DGUA	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC117580093|XP_034122238.1|DGUA	LOC115623047|XP_030373085.1|SLEB
OG0000013	LOC117589807|XP_034137915.1|DGUA	LOC115621092|XP_030370486.1|SLEB
OG0000013	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA	LOC115624312|XP_030374797.1|SLEB
OG0000013	LOC117583601|XP_034127885.1|DGUA	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000015	LOC117588212|XP_034135242.1|DGUA	LOC115628471|XP_030380453.1|SLEB
OG0000016	LOC117589945|XP_034138127.1|DGUA	LOC115621740|XP_030371332.1|SLEB
OG0000016	LOC117587659|XP_034134479.1|DGUA	LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC117583582|XP_034127854.1|DGUA	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC117592229|XP_034141753.1|DGUA	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB
OG0000016	LOC117581434|XP_034124497.1|DGUA	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC117588507|XP_034135722.1|DGUA	LOC115634608|XP_030388318.1|SLEB
OG0000016	LOC117585750|XP_034131294.1|DGUA	LOC115621272|XP_030370732.1|SLEB
OG0000016	LOC117579173|XP_034120827.1|DGUA	LOC115634447|XP_030388017.1|SLEB
OG0000017	LOC117582389|XP_034125960.1|DGUA	LOC115619974|XP_030368869.1|SLEB
OG0000017	LOC117592695|XP_034142550.1|DGUA, LOC117584523|XP_034129364.1|DGUA	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB
OG0000017	LOC117580469|XP_034122942.1|DGUA	LOC115630526|XP_030382993.1|SLEB
OG0000017	LOC117583419|XP_034127607.1|DGUA	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB
OG0000017	LOC117582253|XP_034125754.1|DGUA, LOC117582249|XP_034125751.1|DGUA	LOC115620280|XP_030369314.1|SLEB
OG0000018	LOC117587357|XP_034133889.1|DGUA	LOC115633159|XP_030386430.1|SLEB
OG0000018	LOC117587358|XP_034133890.1|DGUA	LOC115633160|XP_030386431.1|SLEB
OG0000018	LOC117587351|XP_034133882.1|DGUA	LOC115633162|XP_030386433.1|SLEB
OG0000018	LOC117587362|XP_034133895.1|DGUA	LOC115632521|XP_030385577.1|SLEB, LOC115632120|XP_030384981.1|SLEB, LOC115632121|XP_030384982.1|SLEB
OG0000019	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA	LOC115621701|XP_030371268.1|SLEB
OG0000019	LOC117583705|XP_034128081.1|DGUA	LOC115621698|XP_030371264.1|SLEB
OG0000019	LOC117583723|XP_034128130.1|DGUA	LOC115621699|XP_030371266.1|SLEB
OG0000019	LOC117583722|XP_034128122.1|DGUA	LOC115621700|XP_030371267.1|SLEB
OG0000020	LOC117583658|XP_034128012.1|DGUA	LOC115620461|XP_030369552.1|SLEB
