Orthogroup	DSUZ.longest_only	Other
OG0000006	LOC118877312|XP_036671383.1|DSUZ	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL
OG0000006	LOC118877312|XP_036671383.1|DSUZ	LOC115261264|XP_029718499.1|AEAL, LOC115261271|XP_029718506.1|AEAL, LOC115261261|XP_029718496.1|AEAL, LOC115261224|XP_029718458.1|AEAL, LOC115261225|XP_029718459.1|AEAL, LOC115261263|XP_029718498.1|AEAL, LOC115261262|XP_029718497.1|AEAL, LOC115261290|XP_029718531.1|AEAL, LOC115263330|XP_029722488.1|AEAL, LOC109418596|XP_019548347.2|AEAL, LOC115261265|XP_029718500.1|AEAL, LOC115261270|XP_029718504.1|AEAL
OG0000006	LOC118877312|XP_036671383.1|DSUZ	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC
OG0000006	LOC118877312|XP_036671383.1|DSUZ	LOC120422946|XP_039442462.1|CPIP, LOC120422948|XP_039442464.1|CPIP, LOC120425523|XP_039446011.1|CPIP, LOC120425547|XP_039446042.1|CPIP, LOC120415403|XP_039432863.1|CPIP, LOC120419524|XP_039438169.1|CPIP, LOC120421025|XP_039440092.1|CPIP, LOC120425532|XP_039446021.1|CPIP, LOC120415440|XP_039432922.1|CPIP, LOC120430245|XP_039451257.1|CPIP, LOC120420432|XP_039439389.1|CPIP
OG0000006	LOC118877312|XP_036671383.1|DSUZ	LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI
OG0000006	LOC118877312|XP_036671383.1|DSUZ	LOC119075400|XP_037037739.1|BCOP
OG0000006	LOC118877312|XP_036671383.1|DSUZ	LOC5578787|XP_001657157.1|AAEG, LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG
OG0000006	LOC118877312|XP_036671383.1|DSUZ	LOC118508036|XP_035903331.1|ASTE
OG0000006	LOC118877312|XP_036671383.1|DSUZ	LOC118465084|XP_035788881.1|AALB
OG0000006	LOC118877312|XP_036671383.1|DSUZ	LOC6507218|XP_001956446.1|DANA
OG0000006	LOC118877312|XP_036671383.1|DSUZ	LOC6507218|XP_001956446.1|DANA
OG0000010	LOC118879513|XP_036678270.1|DSUZ, LOC108006791|XP_016925829.1|DSUZ	LOC120457970|XP_039501405.1|DSAN
OG0000047	LOC108019650|XP_016943022.1|DSUZ	LOC117580524|XP_034123007.1|DGUA, LOC117580525|XP_034123009.1|DGUA
OG0000047	LOC108019650|XP_016943022.1|DSUZ	LOC117194873|XP_033255228.1|DMIR, LOC117190172|XP_033251125.1|DMIR, LOC117192459|XP_033253049.1|DMIR, LOC117193977|XP_033254515.1|DMIR, LOC117193990|XP_033254522.1|DMIR, LOC117191230|XP_033252040.1|DMIR
OG0000064	LOC108012433|XP_016933287.1|DSUZ	LOC110679452|XP_021709737.1|AAEG, LOC5576377|XP_021700128.1|AAEG, LOC110678899|XP_021708190.1|AAEG, LOC110676390|XP_021699796.1|AAEG, LOC110674019|XP_021707298.1|AAEG, LOC23687640|XP_021712884.1|AAEG, LOC110679062|XP_021708700.1|AAEG
OG0000071	LOC108010694|XP_036670542.1|DSUZ	LOC118508074|XP_035903431.1|ASTE
OG0000071	LOC108010694|XP_036670542.1|DSUZ	LOC5565474|XP_001649820.2|AAEG
OG0000073	LOC108016759|XP_036676337.1|DSUZ	LOC120424940|XP_039445180.1|CPIP
OG0000120	LOC108016657|XP_016938855.1|DSUZ	LOC6496786|XP_001965770.1|DANA
OG0000142	LOC108015869|XP_036678422.1|DSUZ	LOC115760359|XP_030557508.1|DNOV
OG0000157	LOC108019667|XP_016943045.1|DSUZ	LOC117193637|XP_033254273.1|DMIR
OG0000171	LOC108018039|XP_036669567.1|DSUZ	LOC115268592|XP_029732566.1|AEAL
OG0000239	LOC108014112|XP_016935626.1|DSUZ	LOC115482805|XP_030078778.1|DHYD
OG0000255	LOC108009231|XP_016928882.1|DSUZ	LOC5578920|XP_001657206.1|AAEG
OG0000259	LOC108019126|XP_016942349.1|DSUZ	LOC108110566|XP_017075152.1|DEUG
OG0000301	LOC108020419|XP_016944213.1|DSUZ	LOC118456217|XP_035772695.1|AALB
OG0000364	LOC118876793|XP_036670325.1|DSUZ	LOC111603056|XP_030081833.1|DHYD
OG0000442	LOC108006803|XP_016925841.2|DSUZ	LOC108153453|XP_033242971.1|DMIR
OG0000472	LOC108004665|XP_016923135.1|DSUZ	LOC115266895|XP_029729366.1|AEAL
OG0000493	LOC108014841|XP_016936538.2|DSUZ	LOC108077890|XP_017026916.1|DKIK
OG0000493	LOC108014841|XP_016936538.2|DSUZ	LOC6729917|XP_002105219.1|DSIM
OG0000493	LOC108014841|XP_016936538.2|DSUZ	LOC119557094|XP_037725588.1|DSUP
OG0000493	LOC108014841|XP_016936538.2|DSUZ	LOC6618751|XP_002043009.1|DSEC
OG0000493	LOC108014841|XP_016936538.2|DSUZ	LOC117145644|XP_033167257.1|DMAU
OG0000493	LOC108014841|XP_016936538.2|DSUZ	LOC108024882|XP_016950516.1|DBIA
OG0000493	LOC108014841|XP_016936538.2|DSUZ	Mst98Ca|NP_524899.1|DMEL
OG0000493	LOC108014841|XP_016936538.2|DSUZ	LOC108148464|XP_017130985.1|DELE
OG0000493	LOC108014841|XP_016936538.2|DSUZ	LOC110176446|XP_020798454.1|DSER
OG0000639	LOC108006251|XP_036671034.1|DSUZ	LOC119766935|XP_038109439.1|CQUI
OG0000843	LOC108010211|XP_016930544.1|DSUZ	LOC6047696|XP_038104663.1|CQUI
OG0000910	LOC108005122|XP_036677107.1|DSUZ	LOC4815686|XP_033240674.1|DPSE
OG0000910	LOC108005122|XP_036677107.1|DSUZ	LOC108158469|XP_017146252.1|DMIR
OG0000910	LOC108005122|XP_036677107.1|DSUZ	LOC117903736|XP_034671985.1|DSUB
OG0000910	LOC108005122|XP_036677107.1|DSUZ	LOC117581641|XP_034124901.1|DGUA
OG0000939	LOC108019046|XP_016942161.2|DSUZ	LOC117893086|XP_034655403.1|DSUB
OG0000939	LOC108019046|XP_016942161.2|DSUZ	LOC6901920|XP_033240727.1|DPSE
OG0000964	LOC108010465|XP_016930823.1|DSUZ, LOC108010278|XP_016930634.1|DSUZ	LOC6035895|XP_038106137.1|CQUI
OG0000997	LOC108010246|XP_016930589.1|DSUZ	LOC115269910|XP_029734571.1|AEAL
OG0001050	LOC108005619|XP_036672051.1|DSUZ	LOC119770659|XP_038121888.1|CQUI
OG0001119	LOC108011176|XP_036677448.1|DSUZ	LOC108027956|XP_016955071.1|DBIA
OG0001119	LOC108011176|XP_036677448.1|DSUZ	LOC108080752|XP_017031095.1|DKIK
OG0001119	LOC108011176|XP_036677448.1|DSUZ	LOC108098668|XP_017057251.1|DFIC
OG0001147	LOC108010483|XP_016930843.2|DSUZ	LOC116800992|XP_032573931.1|DSEC
OG0001166	LOC108012451|XP_036670780.1|DSUZ	LOC6903282|XP_033235587.1|DPSE
OG0001308	LOC108016952|XP_016939376.1|DSUZ	LOC117147216|XP_033169921.1|DMAU
OG0001308	LOC108016952|XP_016939376.1|DSUZ	LOC6724945|XP_016037809.1|DSIM
OG0001424	LOC118877966|XP_036674694.1|DSUZ	LOC6553480|XP_001980274.1|DERE
OG0001481	LOC118879765|XP_036678618.1|DSUZ	LOC110680971|XP_021712436.1|AAEG
OG0001521	LOC108020376|XP_036668628.1|DSUZ	LOC115482924|XP_030079089.1|DHYD
OG0001568	LOC108010878|XP_036675480.1|DSUZ, LOC108017459|XP_036674133.1|DSUZ	LOC117188390|XP_033248086.1|DMIR
OG0001573	LOC108010949|XP_036671242.1|DSUZ	LOC115483418|XP_030081175.1|DHYD
OG0001573	LOC108010949|XP_036671242.1|DSUZ	LOC117572790|XP_034111784.1|DALB
OG0001629	LOC118879715|XP_036678511.1|DSUZ, LOC108011192|XP_036678509.1|DSUZ	LOC108138359|XP_017116016.1|DELE
OG0001629	LOC118879715|XP_036678511.1|DSUZ, LOC108011192|XP_036678509.1|DSUZ	LOC108101968|XP_017062039.1|DFIC
OG0001629	LOC118879715|XP_036678511.1|DSUZ, LOC108011192|XP_036678509.1|DSUZ	LOC108084745|XP_017036545.1|DKIK
OG0001629	LOC118879715|XP_036678511.1|DSUZ, LOC108011192|XP_036678509.1|DSUZ	CCAP1982_LOCUS4164|CAD6995449.1|CCAP
OG0001629	LOC118879715|XP_036678511.1|DSUZ, LOC108011192|XP_036678509.1|DSUZ	LOC119077391|XP_037040487.1|BCOP
OG0001629	LOC118879715|XP_036678511.1|DSUZ, LOC108011192|XP_036678509.1|DSUZ	LOC108115326|XP_017082227.1|DEUG, LOC108118071|XP_017086106.1|DEUG
