Orthogroup	DBIA.longest_only	DSER.longest_only
OG0000000	LOC108029860|XP_016957839.1|DBIA	LOC110190761|XP_020817050.1|DSER
OG0000000	LOC108031338|XP_016960091.1|DBIA	LOC110188492|XP_020813881.1|DSER
OG0000000	LOC108029341|XP_016957023.1|DBIA	LOC110181445|XP_020804849.1|DSER
OG0000000	LOC108034429|XP_016964803.1|DBIA	LOC110190735|XP_020817016.1|DSER
OG0000000	LOC108034424|XP_016964798.1|DBIA	LOC110190738|XP_020817019.1|DSER
OG0000000	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA, LOC108034426|XP_016964799.1|DBIA	LOC110190736|XP_020817017.1|DSER
OG0000000	LOC108022107|XP_016946439.1|DBIA	LOC110184046|XP_020808080.1|DSER
OG0000000	LOC108024280|XP_016949667.1|DBIA	LOC110186265|XP_020811031.1|DSER
OG0000000	LOC108024997|XP_016950742.1|DBIA	LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER
OG0000000	LOC108024999|XP_016950744.1|DBIA	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER
OG0000000	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA, LOC108031000|XP_016959689.1|DBIA	LOC110184021|XP_020808046.1|DSER
OG0000000	LOC108025172|XP_016950938.1|DBIA	LOC110186869|XP_020811824.1|DSER, LOC110186289|XP_020811062.1|DSER, LOC110186287|XP_020811060.1|DSER
OG0000000	LOC108025165|XP_016950931.1|DBIA	LOC110186290|XP_020811063.1|DSER
OG0000000	LOC108025419|XP_016951390.1|DBIA	LOC110186288|XP_020811061.1|DSER
OG0000000	LOC108032345|XP_016961644.1|DBIA	LOC110185901|XP_020810577.1|DSER
OG0000000	LOC108033274|XP_016963030.1|DBIA	LOC110184825|XP_020809128.1|DSER
OG0000000	LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER
OG0000000	LOC108024473|XP_016949882.1|DBIA	LOC110177452|XP_020799845.1|DSER
OG0000000	LOC108032904|XP_016962446.1|DBIA	LOC110187957|XP_020813134.1|DSER
OG0000000	LOC108034432|XP_016964806.1|DBIA	LOC110190733|XP_020817014.1|DSER
OG0000000	LOC108027980|XP_016955095.1|DBIA, LOC108032244|XP_016961600.1|DBIA	LOC110185197|XP_020809581.1|DSER
OG0000002	LOC108036386|XP_016967980.1|DBIA	LOC110191937|XP_020818616.1|DSER
OG0000002	LOC108022558|XP_016947041.1|DBIA	LOC110177829|XP_020800431.1|DSER
OG0000002	LOC108022153|XP_016946484.1|DBIA	LOC110177830|XP_020800433.1|DSER
OG0000002	LOC108028911|XP_016956419.1|DBIA	LOC110189677|XP_020815494.1|DSER
OG0000002	LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA	LOC110189091|XP_020814726.1|DSER
OG0000002	LOC108027710|XP_016954748.1|DBIA	LOC110184909|XP_020809214.1|DSER
OG0000002	LOC108029019|XP_016956553.1|DBIA	LOC110179772|XP_020803049.1|DSER, LOC110179791|XP_020803062.1|DSER, LOC110179771|XP_020803048.1|DSER, LOC110184842|XP_020809143.1|DSER, LOC110179770|XP_020803046.1|DSER, LOC110184843|XP_020809144.1|DSER, LOC110184841|XP_020809142.1|DSER, LOC110179768|XP_020803044.1|DSER, LOC110179788|XP_020803061.1|DSER, LOC110184840|XP_020809141.1|DSER, LOC110179792|XP_020803063.1|DSER
OG0000003	LOC108030370|XP_016958727.1|DBIA	LOC110177692|XP_020800174.1|DSER
OG0000003	LOC108030025|XP_016958054.1|DBIA	LOC110177680|XP_020800160.1|DSER
OG0000003	LOC108030024|XP_016958053.1|DBIA	LOC110177747|XP_020800264.1|DSER
OG0000003	LOC108030125|XP_016958318.1|DBIA	LOC110189782|XP_020815670.1|DSER
OG0000003	LOC108030172|XP_016958401.1|DBIA	LOC110177689|XP_020800171.1|DSER
OG0000003	LOC108029931|XP_016957914.1|DBIA, LOC108030395|XP_016958768.1|DBIA, LOC108034850|XP_016965477.1|DBIA	LOC110177694|XP_020800177.1|DSER
OG0000003	LOC108030023|XP_016958052.1|DBIA, LOC108029857|XP_016957836.1|DBIA, LOC108029859|XP_016957838.1|DBIA	LOC110177698|XP_020800183.1|DSER
OG0000003	LOC108030173|XP_016958402.1|DBIA	LOC110177690|XP_020800172.1|DSER
OG0000003	LOC108029368|XP_016957084.1|DBIA	LOC110188514|XP_020813952.1|DSER
OG0000003	LOC108029347|XP_016957028.1|DBIA	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER
OG0000003	LOC108029367|XP_016957083.1|DBIA	LOC110176203|XP_020798127.1|DSER
OG0000003	LOC108034204|XP_016964524.1|DBIA	LOC110182737|XP_020806498.1|DSER
OG0000004	LOC108021905|XP_016946216.1|DBIA	LOC110182445|XP_020806139.1|DSER
OG0000006	LOC108021907|XP_016946218.1|DBIA	LOC110185948|XP_020810624.1|DSER
OG0000007	LOC108028761|XP_016956223.1|DBIA	LOC110184727|XP_020809014.1|DSER
OG0000007	LOC108028706|XP_016956144.1|DBIA	LOC110184726|XP_020809013.1|DSER
OG0000007	LOC108028068|XP_016955198.1|DBIA	LOC110184693|XP_020808964.1|DSER
OG0000007	LOC108027995|XP_016955111.1|DBIA	LOC110184730|XP_020809017.1|DSER
OG0000007	LOC108027672|XP_016954706.1|DBIA	LOC110182363|XP_020806064.1|DSER
OG0000007	LOC108025402|XP_016951367.1|DBIA	LOC110189366|XP_020815075.1|DSER
OG0000007	LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA	LOC110182364|XP_020806065.1|DSER
OG0000007	LOC108034518|XP_016964930.1|DBIA	LOC110190669|XP_020816933.1|DSER
OG0000007	LOC108027854|XP_016954941.1|DBIA	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER
OG0000007	LOC108028309|XP_016955521.1|DBIA	LOC110184731|XP_020809018.1|DSER
OG0000007	LOC108028310|XP_016955522.1|DBIA	LOC110184732|XP_020809019.1|DSER
OG0000008	LOC108032174|XP_016961516.1|DBIA	LOC110188534|XP_020813940.1|DSER
OG0000008	LOC108034858|XP_016965498.1|DBIA	LOC110183610|XP_020807586.1|DSER
OG0000008	LOC108034855|XP_016965493.1|DBIA	LOC110183609|XP_020807585.1|DSER
OG0000008	LOC108033465|XP_016963291.1|DBIA	LOC110183997|XP_020808013.1|DSER
OG0000008	LOC108034860|XP_016965500.1|DBIA	LOC110183613|XP_020807591.1|DSER
OG0000008	LOC108029542|XP_016957386.1|DBIA	LOC110182844|XP_020806635.1|DSER
OG0000008	LOC108027365|XP_016954278.1|DBIA	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER
OG0000008	LOC108027095|XP_016953802.1|DBIA	LOC110191819|XP_020818443.1|DSER
OG0000008	LOC108027071|XP_016953774.1|DBIA	LOC110191820|XP_020818444.1|DSER
OG0000009	LOC108031158|XP_016959863.1|DBIA	LOC110188739|XP_020814232.1|DSER
OG0000009	LOC108032245|XP_016961597.1|DBIA	LOC110188430|XP_020813815.1|DSER
OG0000009	LOC108031027|XP_016959717.1|DBIA	LOC110186309|XP_020811090.1|DSER
OG0000009	LOC108031475|XP_016960425.1|DBIA	LOC110188741|XP_020814234.1|DSER
OG0000009	LOC108032170|XP_016961513.1|DBIA	LOC110188740|XP_020814233.1|DSER
OG0000009	LOC108022184|XP_016946525.1|DBIA	LOC110181065|XP_020804398.1|DSER
OG0000009	LOC108032134|XP_016961458.1|DBIA	LOC110176644|XP_020798730.1|DSER
OG0000009	LOC108023117|XP_016947872.1|DBIA	LOC110178269|XP_020800994.1|DSER
OG0000009	LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA	LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER
OG0000009	LOC108022200|XP_016946542.1|DBIA	LOC110178386|XP_020801181.1|DSER
OG0000010	LOC108024778|XP_016950383.1|DBIA	LOC110182164|XP_020805826.1|DSER
OG0000011	LOC108027691|XP_016954727.1|DBIA, LOC108027694|XP_016954732.1|DBIA	LOC110183280|XP_020807170.1|DSER
OG0000011	LOC108030731|XP_016959262.1|DBIA, LOC108030820|XP_016959420.1|DBIA, LOC108030017|XP_016958025.1|DBIA, LOC108025089|XP_016950839.1|DBIA, LOC108027384|XP_016954306.1|DBIA, LOC108035135|XP_016966066.1|DBIA, LOC108027385|XP_016954308.1|DBIA, LOC108028835|XP_016956315.1|DBIA, LOC108027989|XP_016955104.1|DBIA, LOC108030612|XP_016959094.1|DBIA, LOC108033420|XP_016963229.1|DBIA	LOC110182663|XP_020806400.1|DSER, LOC110187551|XP_020812598.1|DSER, LOC110187412|XP_020812458.1|DSER, LOC110182662|XP_020806399.1|DSER
OG0000011	LOC108027705|XP_016954744.1|DBIA, LOC108027867|XP_016954970.1|DBIA	LOC110185813|XP_020810477.1|DSER
OG0000011	LOC108033517|XP_016963352.1|DBIA, LOC108033630|XP_016963538.1|DBIA, LOC108035164|XP_016966113.1|DBIA, LOC108024287|XP_016949675.1|DBIA	LOC110182278|XP_020805955.1|DSER
OG0000011	LOC108035648|XP_016966843.1|DBIA	LOC110191403|XP_020817919.1|DSER
OG0000011	LOC108024710|XP_016950292.1|DBIA	LOC110185215|XP_020809607.1|DSER
OG0000012	LOC108026825|XP_016953482.1|DBIA	LOC110178863|XP_020801799.1|DSER
OG0000012	LOC108026824|XP_016953480.1|DBIA	LOC110178859|XP_020801786.1|DSER
OG0000012	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA	LOC110190967|XP_020817320.1|DSER
OG0000012	LOC108026906|XP_016953604.1|DBIA	LOC110176037|XP_020797910.1|DSER
OG0000012	LOC108026521|XP_016952956.1|DBIA	LOC110181698|XP_020805203.1|DSER
OG0000012	LOC108026886|XP_016953577.1|DBIA	LOC110180096|XP_020803382.1|DSER
OG0000012	LOC108026520|XP_016952955.1|DBIA	LOC110181688|XP_020805193.1|DSER
OG0000012	LOC108026941|XP_016953643.1|DBIA	LOC110176319|XP_020798300.1|DSER
OG0000012	LOC108022093|XP_016946425.1|DBIA	LOC110178311|XP_020801063.1|DSER
OG0000012	LOC108022195|XP_016946536.1|DBIA	LOC110178377|XP_020801172.1|DSER
OG0000012	LOC108023104|XP_016947858.1|DBIA	LOC110178312|XP_020801065.1|DSER
OG0000012	LOC108022092|XP_016946424.1|DBIA	LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER
OG0000012	LOC108022979|XP_016947693.1|DBIA	LOC110178292|XP_020801024.1|DSER
OG0000012	LOC108022976|XP_016947689.1|DBIA	LOC110178324|XP_020801093.1|DSER
OG0000013	LOC108036445|XP_016968074.1|DBIA	LOC110189766|XP_020815644.1|DSER
OG0000013	LOC108030851|XP_016959521.1|DBIA	LOC110179613|XP_020802873.1|DSER
OG0000013	LOC108031414|XP_016960303.1|DBIA	LOC110188689|XP_020814151.1|DSER
OG0000013	LOC108034990|XP_016965812.1|DBIA	LOC110188838|XP_020814394.1|DSER
OG0000013	LOC108024443|XP_016949852.1|DBIA	LOC110188074|XP_020813284.1|DSER
OG0000013	LOC108026153|XP_016952377.1|DBIA	LOC110191421|XP_020817937.1|DSER, LOC110191071|XP_020817464.1|DSER
OG0000013	LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA	LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER
OG0000015	LOC108033679|XP_016963624.1|DBIA	LOC110181407|XP_020804802.1|DSER
OG0000015	LOC108022080|XP_016946413.1|DBIA, LOC108022078|XP_016946412.1|DBIA	LOC110182685|XP_020806436.1|DSER
OG0000015	LOC108033497|XP_016963330.1|DBIA	LOC110190940|XP_020817272.1|DSER
OG0000015	LOC108033354|XP_016963153.1|DBIA	LOC110187200|XP_020812259.1|DSER, LOC110182170|XP_020805830.1|DSER, LOC110187202|XP_020812260.1|DSER
OG0000015	LOC108030294|XP_016958615.1|DBIA	LOC110179364|XP_020802537.1|DSER
OG0000015	LOC108033676|XP_016963619.1|DBIA, LOC108033509|XP_016963341.1|DBIA	LOC110181374|XP_020804762.1|DSER
OG0000016	LOC108031488|XP_016960465.1|DBIA	LOC110185112|XP_020809466.1|DSER
OG0000016	LOC108022510|XP_016946968.1|DBIA	LOC110182974|XP_020806826.1|DSER
OG0000016	LOC108032049|XP_016961350.1|DBIA	LOC110186803|XP_020811744.1|DSER
OG0000016	LOC108031387|XP_016960277.1|DBIA	LOC110181494|XP_020804920.1|DSER
OG0000016	LOC108024269|XP_016949648.1|DBIA	LOC110189526|XP_020815315.1|DSER
OG0000016	LOC108026160|XP_016952383.1|DBIA	LOC110191952|XP_020818633.1|DSER
OG0000016	LOC108030823|XP_016959429.1|DBIA	LOC110179844|XP_020803110.1|DSER
OG0000017	LOC108032967|XP_016962527.1|DBIA	LOC110179704|XP_020802972.1|DSER
OG0000017	LOC108036348|XP_016967909.1|DBIA	LOC110182944|XP_020806786.1|DSER
OG0000017	LOC108036878|XP_016968743.1|DBIA	LOC110189651|XP_020815456.1|DSER
OG0000017	LOC108031941|XP_016961211.1|DBIA	LOC110186415|XP_020811251.1|DSER
OG0000017	LOC108026055|XP_016952238.1|DBIA	LOC110177433|XP_020799815.1|DSER, LOC110177434|XP_020799816.1|DSER
OG0000017	LOC108022955|XP_016947661.1|DBIA	LOC110178450|XP_020801244.1|DSER, LOC110178456|XP_020801250.1|DSER
OG0000017	LOC108024069|XP_016949327.1|DBIA	LOC110189689|XP_020815522.1|DSER
OG0000017	LOC108022064|XP_016946398.1|DBIA	LOC110178449|XP_020801243.1|DSER
OG0000017	LOC108027769|XP_016954820.1|DBIA, LOC108027730|XP_016954771.1|DBIA	LOC110183096|XP_020806947.1|DSER, LOC110183098|XP_020806949.1|DSER, LOC110183097|XP_020806948.1|DSER
OG0000018	LOC108028400|XP_016955704.1|DBIA	LOC110184702|XP_020808977.1|DSER
OG0000018	LOC108028081|XP_016955212.1|DBIA	LOC110184746|XP_020809033.1|DSER
OG0000018	LOC108028402|XP_016955706.1|DBIA	LOC110184752|XP_020809041.1|DSER
OG0000018	LOC108028083|XP_016955214.1|DBIA, LOC108028405|XP_016955709.1|DBIA, LOC108028408|XP_016955713.1|DBIA, LOC108028407|XP_016955711.1|DBIA, LOC108028404|XP_016955708.1|DBIA, LOC108028411|XP_016955717.1|DBIA	LOC110184704|XP_020808979.1|DSER, LOC110184742|XP_020809030.1|DSER
OG0000018	LOC108028409|XP_016955715.1|DBIA, LOC108028410|XP_016955716.1|DBIA	LOC110184703|XP_020808978.1|DSER
OG0000019	LOC108025227|XP_016951062.1|DBIA	LOC110186753|XP_020811674.1|DSER
OG0000019	LOC108025229|XP_016951064.1|DBIA, LOC108025230|XP_016951066.1|DBIA	LOC110186755|XP_020811676.1|DSER, LOC110186756|XP_020811677.1|DSER
OG0000019	LOC108025224|XP_016951060.1|DBIA	LOC110186746|XP_020811668.1|DSER
OG0000019	LOC108025228|XP_016951063.1|DBIA	LOC110186754|XP_020811675.1|DSER
OG0000019	LOC108025225|XP_016951061.1|DBIA, LOC108025231|XP_016951067.1|DBIA	LOC110186749|XP_020811671.1|DSER, LOC110186750|XP_020811672.1|DSER
OG0000020	LOC108026305|XP_016952678.1|DBIA	LOC110186419|XP_020811254.1|DSER
OG0000020	LOC108026784|XP_016953432.1|DBIA	LOC110179314|XP_020802461.1|DSER
OG0000020	LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA	LOC110178058|XP_020800723.1|DSER
OG0000020	LOC108036110|XP_016967573.1|DBIA	LOC110183820|XP_020807830.1|DSER
OG0000020	LOC108031537|XP_016960562.1|DBIA	LOC110188252|XP_020813584.1|DSER
OG0000020	LOC108024628|XP_016950157.1|DBIA	LOC110186984|XP_020811998.1|DSER
OG0000020	LOC108034268|XP_016964616.1|DBIA	LOC110187270|XP_020812316.1|DSER
OG0000020	LOC108033875|XP_016964007.1|DBIA	LOC110183751|XP_020807766.1|DSER
OG0000021	LOC108027081|XP_016953819.1|DBIA	LOC110180622|XP_020803965.1|DSER
OG0000021	LOC108022678|XP_016947238.1|DBIA	LOC110177674|XP_020800156.1|DSER
OG0000021	LOC108022247|XP_016946595.1|DBIA	LOC110177755|XP_020800276.1|DSER
OG0000021	LOC108022243|XP_016946590.1|DBIA	LOC110177907|XP_020800536.1|DSER
OG0000021	LOC108025789|XP_016951907.1|DBIA	LOC110181842|XP_020805408.1|DSER
OG0000021	LOC108026319|XP_016952697.1|DBIA	LOC110184678|XP_020808951.1|DSER
OG0000021	LOC108027350|XP_016954258.1|DBIA	LOC110190995|XP_020817366.1|DSER
OG0000021	LOC108026442|XP_016952872.1|DBIA	LOC110189278|XP_020814959.1|DSER
OG0000022	LOC108022346|XP_016946698.1|DBIA	LOC110176354|XP_020798342.1|DSER
OG0000022	LOC108030636|XP_016959139.1|DBIA	LOC110178658|XP_020801510.1|DSER
OG0000022	LOC108029246|XP_016956933.1|DBIA, LOC108029225|XP_016956911.1|DBIA	LOC110178662|XP_020801517.1|DSER
OG0000023	LOC108027146|XP_016953855.1|DBIA	LOC110188311|XP_020813678.1|DSER
OG0000023	LOC108027143|XP_016953853.1|DBIA	LOC110188309|XP_020813677.1|DSER, LOC110188457|XP_020813846.1|DSER
OG0000023	LOC108026627|XP_016953132.1|DBIA	LOC110180829|XP_020804169.1|DSER
OG0000023	LOC108027145|XP_016953854.1|DBIA	LOC110188308|XP_020813675.1|DSER
OG0000023	LOC108027009|XP_016953696.1|DBIA	LOC110188454|XP_020813842.1|DSER
OG0000023	LOC108027245|XP_016954086.1|DBIA	LOC110188692|XP_020814155.1|DSER
OG0000023	LOC108027357|XP_016954268.1|DBIA	LOC110188691|XP_020814154.1|DSER
OG0000023	LOC108027244|XP_016954083.1|DBIA	LOC110188690|XP_020814152.1|DSER
