Orthogroup	DMIR.longest_only	DBIA.longest_only
OG0000000	LOC108150869|XP_017134661.1|DMIR	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA
OG0000000	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR	LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA
OG0000000	LOC108158045|XP_017145679.2|DMIR	LOC108029053|XP_016956604.1|DBIA
OG0000000	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR	LOC108031338|XP_016960091.1|DBIA
OG0000000	LOC117185812|XP_033243800.1|DMIR	LOC108034429|XP_016964803.1|DBIA
OG0000000	LOC108165373|XP_017156898.2|DMIR	LOC108034424|XP_016964798.1|DBIA
OG0000000	LOC108151290|XP_017135310.1|DMIR	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA, LOC108034426|XP_016964799.1|DBIA
OG0000000	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC108153842|XP_033245237.1|DMIR	LOC108025270|XP_016951121.1|DBIA, LOC108024280|XP_016949667.1|DBIA
OG0000000	LOC108156429|XP_017143371.1|DMIR	LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA
OG0000000	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR	LOC108024999|XP_016950744.1|DBIA
OG0000000	LOC117187703|XP_033246307.1|DMIR, LOC108158063|XP_017145701.1|DMIR, LOC108159866|XP_033253985.1|DMIR, LOC117193681|XP_033254307.1|DMIR, LOC117185879|XP_033246561.1|DMIR, LOC108158064|XP_033254350.1|DMIR, LOC117193739|XP_033254355.1|DMIR	LOC108031001|XP_016959690.1|DBIA
OG0000000	LOC108154033|XP_017139614.1|DMIR	LOC108025165|XP_016950931.1|DBIA
OG0000000	LOC108154065|XP_033245991.1|DMIR, LOC117187434|XP_033245992.1|DMIR	LOC108032345|XP_016961644.1|DBIA
OG0000000	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR	LOC108033274|XP_016963030.1|DBIA
OG0000000	LOC117192382|XP_033252940.1|DMIR, LOC117192383|XP_033252942.1|DMIR, LOC108158670|XP_033246362.1|DMIR	LOC108033239|XP_016962994.1|DBIA
OG0000000	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR	LOC108022409|XP_016946783.1|DBIA, LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA
OG0000000	LOC108154608|XP_017140414.2|DMIR	LOC108024473|XP_016949882.1|DBIA
OG0000000	LOC108154051|XP_017139631.2|DMIR, LOC108154052|XP_017139633.1|DMIR	LOC108035120|XP_016966040.1|DBIA
OG0000001	LOC117191691|XP_033252383.1|DMIR, LOC117191935|XP_033252574.1|DMIR, LOC117186833|XP_033244022.1|DMIR, LOC117193719|XP_033254335.1|DMIR, LOC117190985|XP_033251856.1|DMIR, LOC117188067|XP_033247232.1|DMIR, LOC117186429|XP_033243124.1|DMIR, LOC117186350|XP_033242949.1|DMIR, LOC117190965|XP_033251845.1|DMIR, LOC117193360|XP_033253966.1|DMIR, LOC117190662|XP_033251608.1|DMIR, LOC117193513|XP_033254148.1|DMIR, LOC117193461|XP_033254111.1|DMIR, LOC117188882|XP_033249301.1|DMIR, LOC117190672|XP_033251629.1|DMIR	LOC108035859|XP_016967093.1|DBIA
OG0000001	LOC117188126|XP_033247368.1|DMIR, LOC117186570|XP_033243418.1|DMIR, LOC117189960|XP_033250935.1|DMIR, LOC117186559|XP_033243395.1|DMIR, LOC117189228|XP_033250247.1|DMIR, LOC117186732|XP_033243774.1|DMIR, LOC117186566|XP_033243405.1|DMIR, LOC117188268|XP_033247713.1|DMIR, LOC117193495|XP_033254138.1|DMIR, LOC117186602|XP_033243477.1|DMIR	LOC108027240|XP_016954071.1|DBIA
OG0000001	LOC117190783|XP_033251735.1|DMIR	LOC108021927|XP_016946239.1|DBIA
OG0000002	LOC108159521|XP_017148375.1|DMIR	LOC108022558|XP_016947041.1|DBIA
OG0000002	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR	LOC108022153|XP_016946484.1|DBIA
OG0000002	LOC108163440|XP_017154213.2|DMIR, LOC117188921|XP_033249395.1|DMIR	LOC108032347|XP_016961646.1|DBIA, LOC108028911|XP_016956419.1|DBIA
OG0000002	LOC108152350|XP_017137109.1|DMIR	LOC108029608|XP_016957477.1|DBIA, LOC108029010|XP_016956543.1|DBIA, LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA
OG0000002	LOC108161412|XP_017151153.2|DMIR	LOC108027710|XP_016954748.1|DBIA
OG0000003	LOC108160528|XP_017150077.1|DMIR	LOC108030370|XP_016958727.1|DBIA, LOC108030025|XP_016958054.1|DBIA
