Orthogroup	DPSE.longest_only	DNOV.longest_only
OG0000000	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE, LOC6898698|XP_015040315.2|DPSE	LOC115758064|XP_030554438.1|DNOV
OG0000000	LOC6898695|XP_002138700.2|DPSE	LOC115760506|XP_030557727.1|DNOV
OG0000000	LOC6899999|XP_033240207.1|DPSE	LOC115762880|XP_030561115.1|DNOV
OG0000000	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE, LOC6896813|XP_033232366.1|DPSE, LOC4801605|XP_001358672.2|DPSE	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000001	LOC6899689|XP_015044449.2|DPSE, LOC117184831|XP_033239700.1|DPSE, LOC117185157|XP_033241160.1|DPSE, LOC117183639|XP_033234125.1|DPSE, LOC117184075|XP_033236063.1|DPSE, LOC6899580|XP_033235226.1|DPSE, LOC117184644|XP_033239077.1|DPSE, LOC117184038|XP_033235938.1|DPSE	LOC115768652|XP_030569188.1|DNOV
OG0000002	LOC6899110|XP_033234698.1|DPSE	LOC115759079|XP_030555811.1|DNOV
OG0000002	LOC6899111|XP_002139028.1|DPSE	LOC115762794|XP_030561011.1|DNOV
OG0000002	LOC6902531|XP_002133071.3|DPSE	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV
OG0000003	LOC4804983|XP_001361457.3|DPSE	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE	LOC115771231|XP_030572696.1|DNOV
OG0000003	LOC4804978|XP_001361452.2|DPSE	LOC115762286|XP_030560313.1|DNOV
OG0000003	LOC26533075|XP_033237686.1|DPSE, LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE	LOC115771912|XP_030573666.1|DNOV
OG0000003	LOC6902590|XP_002133118.2|DPSE	LOC115758743|XP_030555359.1|DNOV
OG0000004	LOC117183568|XP_033233728.1|DPSE, LOC117185607|XP_033241635.1|DPSE, LOC117185606|XP_033241634.1|DPSE, LOC26532116|XP_015035138.1|DPSE, LOC117185600|XP_033241628.1|DPSE, LOC26534267|XP_015035134.1|DPSE, LOC117185633|XP_033241719.1|DPSE, LOC117185634|XP_033241720.1|DPSE, LOC26533245|XP_033241636.1|DPSE, LOC117185608|XP_033241637.1|DPSE, LOC117185631|XP_033241718.1|DPSE, LOC117185630|XP_033241717.1|DPSE, LOC26532398|XP_015035141.1|DPSE, LOC117183574|XP_033233756.1|DPSE, LOC117183621|XP_033234074.1|DPSE	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV, LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV, LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV
OG0000005	LOC6901707|XP_002134375.1|DPSE, LOC6901701|XP_015042049.1|DPSE	LOC115761952|XP_030559851.1|DNOV
OG0000005	LOC6903933|XP_002136581.1|DPSE	LOC115761880|XP_030559741.1|DNOV
OG0000006	LOC117183556|XP_033233676.1|DPSE	LOC115761994|XP_030559922.1|DNOV
