Orthogroup	CPIP.longest_only	BTRY.longest_only
OG0000001	LOC120417099|XP_039435012.1|CPIP	LOC120779349|XP_039967479.1|BTRY, LOC120768684|XP_039951395.1|BTRY, LOC120769217|XP_039952045.1|BTRY, LOC120780712|XP_039968906.1|BTRY
OG0000001	LOC120413315|XP_039430017.1|CPIP, LOC120423043|XP_039442644.1|CPIP, LOC120430559|XP_039451607.1|CPIP, LOC120426566|XP_039447276.1|CPIP, LOC120426978|XP_039447730.1|CPIP, LOC120431423|XP_039452479.1|CPIP, LOC120425893|XP_039446445.1|CPIP, LOC120426987|XP_039447736.1|CPIP, LOC120431421|XP_039452476.1|CPIP, LOC120432073|XP_039453137.1|CPIP, LOC120431130|XP_039452216.1|CPIP, LOC120412455|XP_039428860.1|CPIP, LOC120425674|XP_039446191.1|CPIP, LOC120430157|XP_039451174.1|CPIP, LOC120416259|XP_039433896.1|CPIP, LOC120427814|XP_039448672.1|CPIP, LOC120416260|XP_039433897.1|CPIP, LOC120416979|XP_039434837.1|CPIP, LOC120413730|XP_039430628.1|CPIP, LOC120421521|XP_039440676.1|CPIP, LOC120412957|XP_039429565.1|CPIP, LOC120417306|XP_039435191.1|CPIP, LOC120416040|XP_039433630.1|CPIP, LOC120431232|XP_039452302.1|CPIP, LOC120421940|XP_039441182.1|CPIP, LOC120427651|XP_039448464.1|CPIP, LOC120431985|XP_039453056.1|CPIP	LOC120781540|XP_039969706.1|BTRY, LOC120780083|XP_039968286.1|BTRY
OG0000001	LOC120412441|XP_039428835.1|CPIP, LOC120418326|XP_039436592.1|CPIP, LOC120431370|XP_039452434.1|CPIP, LOC120419884|XP_039438683.1|CPIP, LOC120424001|XP_039443943.1|CPIP, LOC120418075|XP_039436266.1|CPIP, LOC120429246|XP_039450391.1|CPIP, LOC120423045|XP_039442655.1|CPIP, LOC120421351|XP_039440470.1|CPIP, LOC120418234|XP_039436470.1|CPIP, LOC120416204|XP_039433826.1|CPIP, LOC120426640|XP_039447365.1|CPIP, LOC120415987|XP_039433576.1|CPIP, LOC120413847|XP_039430737.1|CPIP, LOC120417943|XP_039436110.1|CPIP, LOC120423320|XP_039443015.1|CPIP, LOC120430489|XP_039451516.1|CPIP, LOC120421555|XP_039440716.1|CPIP	LOC120781507|XP_039969664.1|BTRY, LOC120781523|XP_039969677.1|BTRY, LOC120768683|XP_039951393.1|BTRY, LOC120768702|XP_039951408.1|BTRY, LOC120768701|XP_039951407.1|BTRY, LOC120780857|XP_039969026.1|BTRY, LOC120781828|XP_039969983.1|BTRY, LOC120781123|XP_039969191.1|BTRY, LOC120779390|XP_039967521.1|BTRY, LOC120768688|XP_039951398.1|BTRY, LOC120768687|XP_039951397.1|BTRY, LOC120767769|XP_039949942.1|BTRY
OG0000006	LOC120422946|XP_039442462.1|CPIP, LOC120422948|XP_039442464.1|CPIP, LOC120425523|XP_039446011.1|CPIP, LOC120425547|XP_039446042.1|CPIP, LOC120415403|XP_039432863.1|CPIP, LOC120419524|XP_039438169.1|CPIP, LOC120421025|XP_039440092.1|CPIP, LOC120425532|XP_039446021.1|CPIP, LOC120415440|XP_039432922.1|CPIP, LOC120430245|XP_039451257.1|CPIP, LOC120420432|XP_039439389.1|CPIP	LOC120781340|XP_039969478.1|BTRY
OG0000007	LOC120412432|XP_039428825.1|CPIP, LOC120412413|XP_039428810.1|CPIP, LOC120412387|XP_039428758.1|CPIP, LOC120412425|XP_039428820.1|CPIP	LOC120778908|XP_039966889.1|BTRY, LOC120778909|XP_039966890.1|BTRY, LOC120778027|XP_039965634.1|BTRY, LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY, LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY, LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY
OG0000008	LOC120426154|XP_039446807.1|CPIP, LOC120426153|XP_039446806.1|CPIP, LOC120426147|XP_039446799.1|CPIP	LOC120782797|XP_039971208.1|BTRY
OG0000008	LOC120421629|XP_039440794.1|CPIP, LOC120421652|XP_039440822.1|CPIP, LOC120421673|XP_039440840.1|CPIP	LOC120778932|XP_039966913.1|BTRY
OG0000008	LOC120421619|XP_039440783.1|CPIP	LOC120778930|XP_039966911.1|BTRY
OG0000008	LOC120421683|XP_039440852.1|CPIP	LOC120778933|XP_039966914.1|BTRY
OG0000009	LOC120426658|XP_039447384.1|CPIP, LOC120429628|XP_039450593.1|CPIP, LOC120421295|XP_039440420.1|CPIP, LOC120421293|XP_039440418.1|CPIP, LOC120430193|XP_039451208.1|CPIP, LOC120430194|XP_039451209.1|CPIP, LOC120430179|XP_039451193.1|CPIP, LOC120414768|XP_039432015.1|CPIP, LOC120414769|XP_039432016.1|CPIP, LOC120422527|XP_039441920.1|CPIP, LOC120413328|XP_039430036.1|CPIP, LOC120413359|XP_039430078.1|CPIP, LOC120413353|XP_039430071.1|CPIP, LOC120422471|XP_039441860.1|CPIP, LOC120422470|XP_039441859.1|CPIP, LOC120422469|XP_039441857.1|CPIP, LOC120422468|XP_039441855.1|CPIP	LOC120780063|XP_039968275.1|BTRY, LOC120771333|XP_039955212.1|BTRY, LOC120782593|XP_039970879.1|BTRY, LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY
