Orthogroup	DSUP.longest_only	SLEB.longest_only
OG0000000	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP	LOC115634489|XP_030388106.1|SLEB
OG0000000	LOC119551980|XP_037717623.1|DSUP, LOC119548573|XP_037711818.1|DSUP, LOC119560985|XP_037730690.1|DSUP, LOC119551998|XP_037717650.1|DSUP	LOC115634408|XP_030387964.1|SLEB
OG0000000	LOC119555358|XP_037722624.1|DSUP, LOC119555354|XP_037722619.1|DSUP, LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP, LOC119552809|XP_037718575.1|DSUP	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB
OG0000000	LOC119549854|XP_037714077.1|DSUP	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB
OG0000000	LOC119549506|XP_037713545.1|DSUP, LOC119549505|XP_037713544.1|DSUP, LOC119551387|XP_037716639.1|DSUP, LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB
OG0000000	LOC119563146|XP_037732330.1|DSUP	LOC115632651|XP_030385741.1|SLEB
OG0000001	LOC119561797|XP_037731208.1|DSUP, LOC119559462|XP_037728496.1|DSUP, LOC119559031|XP_037728088.1|DSUP, LOC119562332|XP_037731421.1|DSUP, LOC119561847|XP_037731255.1|DSUP, LOC119562465|XP_037731580.1|DSUP	LOC115624586|XP_030375184.1|SLEB, LOC115630185|XP_030382615.1|SLEB, LOC115626197|XP_030377337.1|SLEB
OG0000001	LOC119561984|XP_037731306.1|DSUP	LOC115633656|XP_030386961.1|SLEB
OG0000002	LOC119550446|XP_037715049.1|DSUP	LOC115634390|XP_030387939.1|SLEB
OG0000002	LOC119546867|XP_037709399.1|DSUP, LOC119547584|XP_037710417.1|DSUP, LOC119548714|XP_037712115.1|DSUP, LOC119548338|XP_037711471.1|DSUP, LOC119547562|XP_037710391.1|DSUP	LOC115633967|XP_030387348.1|SLEB
OG0000003	LOC119549193|XP_037712950.1|DSUP, LOC119549691|XP_037713842.1|DSUP	LOC115620029|XP_030368994.1|SLEB
OG0000003	LOC119553060|XP_037719113.1|DSUP, LOC119549692|XP_037713843.1|DSUP	LOC115620049|XP_030369030.1|SLEB
OG0000003	LOC119548975|XP_037712493.1|DSUP	LOC115634646|XP_030388364.1|SLEB
OG0000003	LOC119551759|XP_037717214.1|DSUP, LOC119551760|XP_037717215.1|DSUP	LOC115619981|XP_030368881.1|SLEB
OG0000003	LOC119546510|XP_037708761.1|DSUP	LOC115628616|XP_030380660.1|SLEB
OG0000004	LOC119559172|XP_037728161.1|DSUP, LOC119561436|XP_037731018.1|DSUP, LOC119561507|XP_037731086.1|DSUP, LOC119547987|XP_037710970.1|DSUP, LOC119547988|XP_037710972.1|DSUP, LOC119546069|XP_037708068.1|DSUP, LOC119561521|XP_037731100.1|DSUP, LOC119561518|XP_037731097.1|DSUP, LOC119546076|XP_037708081.1|DSUP, LOC119561441|XP_037731022.1|DSUP, LOC119559251|XP_037728250.1|DSUP, LOC119561442|XP_037731023.1|DSUP, LOC119561429|XP_037731011.1|DSUP, LOC119559242|XP_037728241.1|DSUP, LOC119559173|XP_037728162.1|DSUP, LOC119559174|XP_037728163.1|DSUP, LOC119561440|XP_037731020.1|DSUP, LOC119559179|XP_037728167.1|DSUP, LOC119546618|XP_037708984.1|DSUP, LOC119561433|XP_037731015.1|DSUP, LOC119559178|XP_037728166.1|DSUP, LOC119547940|XP_037710915.1|DSUP, LOC119561511|XP_037731090.1|DSUP, LOC119548245|XP_037711313.1|DSUP, LOC119559232|XP_037728231.1|DSUP, LOC119561428|XP_037731010.1|DSUP, LOC119561434|XP_037731016.1|DSUP, LOC119559226|XP_037728224.1|DSUP, LOC119561431|XP_037731013.1|DSUP, LOC119561435|XP_037731017.1|DSUP, LOC119559225|XP_037728223.1|DSUP, LOC119559219|XP_037728218.1|DSUP, LOC119561432|XP_037731014.1|DSUP, LOC119559218|XP_037728217.1|DSUP, LOC119547941|XP_037710916.1|DSUP, LOC119561427|XP_037731009.1|DSUP, LOC119559175|XP_037728164.1|DSUP, LOC119559177|XP_037728165.1|DSUP, LOC119561512|XP_037731091.1|DSUP, LOC119559231|XP_037728230.1|DSUP, LOC119546960|XP_037709531.1|DSUP, LOC119559171|XP_037728160.1|DSUP, LOC119561438|XP_037731019.1|DSUP, LOC119561510|XP_037731089.1|DSUP	LOC115630361|XP_030382755.1|SLEB, LOC115630324|XP_030382722.1|SLEB, LOC115630325|XP_030382723.1|SLEB
OG0000004	LOC119561499|XP_037731078.1|DSUP	LOC115630292|XP_030382688.1|SLEB, LOC115630349|XP_030382742.1|SLEB, LOC115630350|XP_030382743.1|SLEB, LOC115630290|XP_030382685.1|SLEB, LOC115630360|XP_030382754.1|SLEB, LOC115630289|XP_030382684.1|SLEB
OG0000004	LOC119561503|XP_037731081.1|DSUP, LOC119561533|XP_037731112.1|DSUP, LOC119561508|XP_037731087.1|DSUP	LOC115633467|XP_030386783.1|SLEB, LOC115633464|XP_030386779.1|SLEB, LOC115633591|XP_030386895.1|SLEB, LOC115630342|XP_030382736.1|SLEB
OG0000005	LOC119561464|XP_037731045.1|DSUP	LOC115630367|XP_030382760.1|SLEB
OG0000006	LOC119559257|XP_037728256.1|DSUP	LOC115630364|XP_030382757.1|SLEB
OG0000006	LOC119547942|XP_037710917.1|DSUP	LOC115630130|XP_030382598.1|SLEB
OG0000006	LOC119546622|XP_037708987.1|DSUP	LOC115630120|XP_030382591.1|SLEB
OG0000006	LOC119547943|XP_037710919.1|DSUP	LOC115630278|XP_030382673.1|SLEB
OG0000007	LOC119555653|XP_037723160.1|DSUP	LOC115633152|XP_030386421.1|SLEB
OG0000007	LOC119554492|XP_037721353.1|DSUP	LOC115633153|XP_030386422.1|SLEB
OG0000007	LOC119554489|XP_037721348.1|DSUP, LOC119554495|XP_037721355.1|DSUP, LOC119554491|XP_037721352.1|DSUP, LOC119552519|XP_037718065.1|DSUP, LOC119554490|XP_037721351.1|DSUP, LOC119554494|XP_037721354.1|DSUP	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB
OG0000007	LOC119550735|XP_037715578.1|DSUP	LOC115633111|XP_030386356.1|SLEB
OG0000007	LOC119546891|XP_037709439.1|DSUP	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB
OG0000007	LOC119553820|XP_037720375.1|DSUP, LOC119553445|XP_037719763.1|DSUP, LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB
OG0000007	LOC119554496|XP_037721356.1|DSUP	LOC115630750|XP_030383265.1|SLEB
OG0000008	LOC119559922|XP_037729053.1|DSUP	LOC115623801|XP_030374203.1|SLEB
OG0000008	LOC119554295|XP_037721083.1|DSUP	LOC115628395|XP_030380343.1|SLEB
OG0000008	LOC119554293|XP_037721080.1|DSUP	LOC115628400|XP_030380349.1|SLEB
OG0000008	LOC119546547|XP_037708827.1|DSUP	LOC115631184|XP_030383735.1|SLEB
OG0000008	LOC119554296|XP_037721084.1|DSUP	LOC115628403|XP_030380351.1|SLEB
