Orthogroup	CCAP.longest_only	DKIK.longest_only
OG0000000	CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP	LOC108078585|XP_017027994.1|DKIK
OG0000000	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP	LOC108077905|XP_017026932.1|DKIK, LOC108084016|XP_017035518.1|DKIK, LOC108085530|XP_017037652.1|DKIK, LOC108077933|XP_017026960.1|DKIK
OG0000000	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP	LOC108078602|XP_017028011.1|DKIK, LOC108078603|XP_017028013.1|DKIK, LOC108072234|XP_017018785.1|DKIK, LOC108085325|XP_017037369.1|DKIK, LOC108085309|XP_017037356.1|DKIK, LOC108085307|XP_017037354.1|DKIK, LOC108080866|XP_017031258.1|DKIK, LOC108085308|XP_017037355.1|DKIK, LOC108084391|XP_017036073.1|DKIK, LOC108084392|XP_017036074.1|DKIK, LOC108085312|XP_017037357.1|DKIK, LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK, LOC108080870|XP_017031262.1|DKIK, LOC108080867|XP_017031259.1|DKIK, LOC108078011|XP_017027058.1|DKIK, LOC108074649|XP_017022253.1|DKIK, LOC108073657|XP_017020873.1|DKIK, LOC108073658|XP_017020874.1|DKIK, LOC108073660|XP_017020875.1|DKIK, LOC108073704|XP_017020929.1|DKIK, LOC108073703|XP_017020927.1|DKIK, LOC108080896|XP_017031287.1|DKIK, LOC108080463|XP_017030690.1|DKIK, LOC108070739|XP_017016824.1|DKIK, LOC108082281|XP_017033101.1|DKIK, LOC108075384|XP_017023284.1|DKIK, LOC108076851|XP_017025370.1|DKIK, LOC108086044|XP_017038352.1|DKIK
OG0000000	CCAP1982_LOCUS11001|CAD7002512.1|CCAP	LOC108070814|XP_017016902.1|DKIK, LOC108070634|XP_017016690.1|DKIK, LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK, LOC108078600|XP_017028009.1|DKIK, LOC108078601|XP_017028010.1|DKIK, LOC108070504|XP_017016486.1|DKIK, LOC108070505|XP_017016488.1|DKIK, LOC108070503|XP_017016485.1|DKIK, LOC108076854|XP_017025373.1|DKIK, LOC108074034|XP_017021390.1|DKIK, LOC108074033|XP_017021389.1|DKIK, LOC108074035|XP_017021392.1|DKIK, LOC108074412|XP_017021929.1|DKIK
OG0000002	CCAP1982_LOCUS4991|CAD6996312.1|CCAP	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK
OG0000002	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP	LOC108077339|XP_017026117.1|DKIK, LOC108086114|XP_017038438.1|DKIK, LOC108086113|XP_017038437.1|DKIK, LOC108086115|XP_017038439.1|DKIK, LOC108086110|XP_017038435.1|DKIK, LOC108086111|XP_017038436.1|DKIK, LOC108076940|XP_017025477.1|DKIK, LOC108076949|XP_017025488.1|DKIK
OG0000002	CCAP1982_LOCUS1975|CAD6993149.1|CCAP	LOC108082669|XP_017033655.1|DKIK
OG0000003	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP	LOC108072418|XP_017019012.1|DKIK
OG0000003	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP	LOC108072446|XP_017019063.1|DKIK, LOC108072408|XP_017018999.1|DKIK, LOC108070524|XP_017016527.1|DKIK
OG0000003	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP	LOC108072419|XP_017019013.1|DKIK
OG0000003	CCAP1982_LOCUS20941|CAD7012841.1|CCAP	LOC108070791|XP_017016879.1|DKIK, LOC108070793|XP_017016882.1|DKIK, LOC108070792|XP_017016880.1|DKIK
OG0000003	CCAP1982_LOCUS7775|CAD6999243.1|CCAP	LOC108073603|XP_017020784.1|DKIK
OG0000004	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP	LOC108085733|XP_017037954.1|DKIK, LOC108083332|XP_017034568.1|DKIK, LOC108085470|XP_017037578.1|DKIK, LOC108075568|XP_017023576.1|DKIK, LOC108073963|XP_017021295.1|DKIK, LOC108074133|XP_017021525.1|DKIK
OG0000006	CCAP1982_LOCUS6247|CAD6997611.1|CCAP, CCAP1982_LOCUS6244|CAD6997608.1|CCAP, CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP, CCAP1982_LOCUS6242|CAD6997606.1|CCAP, CCAP1982_LOCUS9859|CAD7001361.1|CCAP, CCAP1982_LOCUS9861|CAD7001363.1|CCAP	LOC108072846|XP_017019650.1|DKIK
OG0000006	CCAP1982_LOCUS6252|CAD6997616.1|CCAP	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK
OG0000007	CCAP1982_LOCUS12646|CAD7004227.1|CCAP	LOC108071918|XP_017018366.1|DKIK
OG0000007	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP	LOC108086265|XP_017038640.1|DKIK, LOC108078491|XP_017027862.1|DKIK, LOC108073664|XP_017020878.1|DKIK, LOC108073665|XP_017020880.1|DKIK, LOC108077603|XP_017026488.1|DKIK, LOC108086266|XP_017038642.1|DKIK, LOC108078726|XP_017028216.1|DKIK, LOC108078727|XP_017028217.1|DKIK, LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK, LOC108071626|XP_017017898.1|DKIK, LOC108071627|XP_017017899.1|DKIK
OG0000008	CCAP1982_LOCUS4930|CAD6996247.1|CCAP	LOC108081759|XP_017032449.1|DKIK
OG0000008	CCAP1982_LOCUS12715|CAD7004295.1|CCAP	LOC108072724|XP_017019474.1|DKIK
OG0000008	CCAP1982_LOCUS12718|CAD7004298.1|CCAP	LOC108072727|XP_017019476.1|DKIK
OG0000008	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK
OG0000008	CCAP1982_LOCUS3596|CAD6994861.1|CCAP	LOC108080451|XP_017030677.1|DKIK
OG0000008	CCAP1982_LOCUS3598|CAD6994863.1|CCAP	LOC108080456|XP_017030682.1|DKIK
OG0000008	CCAP1982_LOCUS3597|CAD6994862.1|CCAP	LOC108080419|XP_017030641.1|DKIK
OG0000008	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP	LOC108080455|XP_017030681.1|DKIK
OG0000009	CCAP1982_LOCUS973|CAD6992095.1|CCAP	LOC108076150|XP_017024404.1|DKIK
OG0000009	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP	LOC108070751|XP_017016837.1|DKIK, LOC108080446|XP_017030671.1|DKIK, LOC108082335|XP_017033154.1|DKIK, LOC108082309|XP_017033129.1|DKIK, LOC108078551|XP_017027957.1|DKIK, LOC108078552|XP_017027958.1|DKIK, LOC108082375|XP_017033205.1|DKIK, LOC108082329|XP_017033149.1|DKIK, LOC108074693|XP_017022321.1|DKIK, LOC108082367|XP_017033197.1|DKIK, LOC108082310|XP_017033130.1|DKIK, LOC108082371|XP_017033201.1|DKIK
OG0000010	CCAP1982_LOCUS6235|CAD6997599.1|CCAP	LOC108072854|XP_017019661.1|DKIK
OG0000010	CCAP1982_LOCUS6248|CAD6997612.1|CCAP	LOC108073959|XP_017021281.1|DKIK
OG0000012	CCAP1982_LOCUS22583|CAD7014589.1|CCAP	LOC108076784|XP_017025279.1|DKIK
OG0000012	CCAP1982_LOCUS22582|CAD7014587.1|CCAP	LOC108076783|XP_017025278.1|DKIK
OG0000012	CCAP1982_LOCUS22581|CAD7014586.1|CCAP	LOC108076799|XP_017025312.1|DKIK
OG0000012	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP	LOC108076590|XP_017024991.1|DKIK
OG0000012	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP	LOC108076575|XP_017024974.1|DKIK, LOC108076815|XP_017025335.1|DKIK, LOC108076574|XP_017024973.1|DKIK, LOC108076609|XP_017025012.1|DKIK, LOC108082430|XP_017033289.1|DKIK, LOC108082433|XP_017033293.1|DKIK, LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK, LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK, LOC108082347|XP_017033172.1|DKIK, LOC108082320|XP_017033139.1|DKIK, LOC108082319|XP_017033138.1|DKIK
OG0000013	CCAP1982_LOCUS7142|CAD6998559.1|CCAP	LOC108074734|XP_017022389.1|DKIK
OG0000013	CCAP1982_LOCUS4900|CAD6996212.1|CCAP	LOC108084190|XP_017035777.1|DKIK
OG0000013	CCAP1982_LOCUS14162|CAD7005816.1|CCAP	LOC108075225|XP_017023059.1|DKIK
OG0000013	CCAP1982_LOCUS3120|CAD6994367.1|CCAP	LOC108080801|XP_017031181.1|DKIK
OG0000013	CCAP1982_LOCUS2756|CAD6993971.1|CCAP	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK
OG0000013	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP	LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK
OG0000016	CCAP1982_LOCUS2337|CAD6993525.1|CCAP	LOC108074071|XP_017021434.1|DKIK, LOC108078132|XP_017027246.1|DKIK
OG0000016	CCAP1982_LOCUS4238|CAD6995526.1|CCAP	LOC108085727|XP_017037944.1|DKIK
OG0000016	CCAP1982_LOCUS4923|CAD6996239.1|CCAP	LOC108081075|XP_017031544.1|DKIK
OG0000016	CCAP1982_LOCUS22100|CAD7014094.1|CCAP	LOC108075195|XP_017023019.1|DKIK
OG0000017	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP	LOC108076702|XP_017025149.1|DKIK, LOC108074963|XP_017022684.1|DKIK
OG0000018	CCAP1982_LOCUS12552|CAD7004131.1|CCAP	LOC108071595|XP_017017864.1|DKIK
OG0000018	CCAP1982_LOCUS12546|CAD7004125.1|CCAP	LOC108071573|XP_017017843.1|DKIK
OG0000018	CCAP1982_LOCUS12549|CAD7004128.1|CCAP, CCAP1982_LOCUS12547|CAD7004126.1|CCAP, CCAP1982_LOCUS12548|CAD7004127.1|CCAP	LOC108071596|XP_017017865.1|DKIK, LOC108071599|XP_017017870.1|DKIK
OG0000019	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP	LOC108084990|XP_017036905.1|DKIK, LOC108084992|XP_017036907.1|DKIK, LOC108084993|XP_017036908.1|DKIK, LOC108084902|XP_017036785.1|DKIK, LOC108084991|XP_017036906.1|DKIK, LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK
OG0000020	CCAP1982_LOCUS1146|CAD6992278.1|CCAP	LOC108075744|XP_017023787.1|DKIK
OG0000020	CCAP1982_LOCUS1002|CAD6992120.1|CCAP	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK, LOC108074835|XP_017022525.1|DKIK
OG0000020	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP	LOC108077930|XP_017026994.1|DKIK
OG0000020	CCAP1982_LOCUS999|CAD6992115.1|CCAP	LOC108074862|XP_017022564.1|DKIK, LOC108074823|XP_017022510.1|DKIK
OG0000021	CCAP1982_LOCUS162|CAD6991224.1|CCAP	LOC108077813|XP_017026825.1|DKIK
OG0000021	CCAP1982_LOCUS4579|CAD6995878.1|CCAP	LOC108074275|XP_017021739.1|DKIK
OG0000022	CCAP1982_LOCUS19689|CAD7011600.1|CCAP	LOC108082382|XP_017033212.1|DKIK
OG0000022	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP	LOC108071516|XP_017017771.1|DKIK, LOC108071512|XP_017017766.1|DKIK, LOC108071514|XP_017017768.1|DKIK, LOC108071515|XP_017017770.1|DKIK, LOC108071513|XP_017017767.1|DKIK, LOC108071477|XP_017017725.1|DKIK, LOC108071510|XP_017017765.1|DKIK
OG0000023	CCAP1982_LOCUS4737|CAD6996031.1|CCAP	LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK, LOC108078099|XP_017027186.1|DKIK, LOC108083995|XP_017035498.1|DKIK, LOC108083992|XP_017035495.1|DKIK
OG0000023	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP	LOC108084052|XP_017035560.1|DKIK
OG0000023	CCAP1982_LOCUS4752|CAD6996046.1|CCAP	LOC108084215|XP_017035827.1|DKIK
OG0000023	CCAP1982_LOCUS4751|CAD6996045.1|CCAP	LOC108084051|XP_017035559.1|DKIK
OG0000023	CCAP1982_LOCUS4754|CAD6996047.1|CCAP	LOC108084214|XP_017035825.1|DKIK
OG0000024	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP	LOC108072495|XP_017019150.1|DKIK, LOC108078211|XP_017027385.1|DKIK
OG0000025	CCAP1982_LOCUS6236|CAD6997600.1|CCAP	LOC108081074|XP_017031548.1|DKIK
OG0000026	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP	LOC108079334|XP_017029126.1|DKIK, LOC108070686|XP_017016752.1|DKIK, LOC108075406|XP_017023320.1|DKIK
OG0000027	CCAP1982_LOCUS8299|CAD6999776.1|CCAP	LOC108079592|XP_017029427.1|DKIK
OG0000027	CCAP1982_LOCUS8293|CAD6999770.1|CCAP	LOC108079587|XP_017029421.1|DKIK
OG0000027	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP	LOC108079588|XP_017029422.1|DKIK
OG0000029	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP	LOC108082661|XP_017033647.1|DKIK, LOC108077932|XP_017026959.1|DKIK, LOC108076869|XP_017025387.1|DKIK, LOC108085551|XP_017037679.1|DKIK, LOC108076852|XP_017025371.1|DKIK, LOC108076861|XP_017025380.1|DKIK, LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK, LOC108071401|XP_017017633.1|DKIK, LOC108080624|XP_017030937.1|DKIK
OG0000030	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP	LOC108075768|XP_017023819.1|DKIK, LOC108075896|XP_017024005.1|DKIK, LOC108075779|XP_017023830.1|DKIK
OG0000030	CCAP1982_LOCUS21173|CAD7013099.1|CCAP	LOC108077325|XP_017026102.1|DKIK, LOC108076161|XP_017024376.1|DKIK, LOC108076242|XP_017024479.1|DKIK
OG0000031	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP	LOC108077225|XP_017025972.1|DKIK
OG0000032	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP	LOC108077824|XP_017026839.1|DKIK
OG0000032	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP	LOC108077846|XP_017026865.1|DKIK, LOC108074977|XP_017022699.1|DKIK, LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK, LOC108077628|XP_017026527.1|DKIK
OG0000034	CCAP1982_LOCUS7893|CAD6999366.1|CCAP	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK, LOC108076836|XP_017025354.1|DKIK, LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK, LOC108082752|XP_017033757.1|DKIK, LOC108082754|XP_017033758.1|DKIK, LOC108082755|XP_017033759.1|DKIK
OG0000035	CCAP1982_LOCUS10039|CAD7001544.1|CCAP, CCAP1982_LOCUS10038|CAD7001542.1|CCAP, CCAP1982_LOCUS9306|CAD7000831.1|CCAP, CCAP1982_LOCUS10521|CAD7002033.1|CCAP	LOC108072805|XP_017019589.1|DKIK, LOC108074192|XP_017021623.1|DKIK
OG0000036	CCAP1982_LOCUS4712|CAD6996006.1|CCAP	LOC108084034|XP_017035539.1|DKIK
OG0000036	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP	LOC108081215|XP_017031778.1|DKIK
OG0000036	CCAP1982_LOCUS1595|CAD6992752.1|CCAP	LOC108080827|XP_017031220.1|DKIK
OG0000036	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP	LOC108081087|XP_017031565.1|DKIK
OG0000037	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP	LOC108082568|XP_017033513.1|DKIK
OG0000037	CCAP1982_LOCUS2613|CAD6993815.1|CCAP	LOC108073148|XP_017020150.1|DKIK, LOC108073159|XP_017020158.1|DKIK
